Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,3.059,3.55,2.66,3.27,3.27,95513900,AGAE,Allied Gaming & Entertainment Inc,소프트웨어 및 IT서비스,,,
2021-03-05,3.07,3.17,2.3,2.44,2.44,16262500,AGAE,Allied Gaming & Entertainment Inc,소프트웨어 및 IT서비스,,,
2021-03-08,2.49,2.49,2.15,2.23,2.23,3319400,AGAE,Allied Gaming & Entertainment Inc,소프트웨어 및 IT서비스,,,
2021-03-09,2.29,2.45,2.22,2.38,2.38,3950500,AGAE,Allied Gaming & Entertainment Inc,소프트웨어 및 IT서비스,,,
2021-03-10,2.42,2.6,2.36,2.42,2.42,2719700,AGAE,Allied Gaming & Entertainment Inc,소프트웨어 및 IT서비스,,,
2021-03-11,2.51,2.84,2.46,2.75,2.75,6724700,AGAE,Allied Gaming & Entertainment Inc,소프트웨어 및 IT서비스,,,
2021-03-12,2.57,2.66,2.5,2.5,2.5,2366800,AGAE,Allied Gaming & Entertainment Inc,소프트웨어 및 IT서비스,,,
2021-03-15,2.599,2.84,2.54,2.79,2.79,2718300,AGAE,Allied Gaming & Entertainment Inc,소프트웨어 및 IT서비스,,,
2021-03-16,2.83,2.87,2.61,2.69,2.69,3887600,AGAE,Allied Gaming & Entertainment Inc,소프트웨어 및 IT서비스,,,
2021-03-17,2.61,3.14,2.54,2.86,2.86,4906300,AGAE,Allied Gaming & Entertainment Inc,소프트웨어 및 IT서비스,,,
2021-03-18,2.86,3.89,2.86,3.2,3.2,21383400,AGAE,Allied Gaming & Entertainment Inc,소프트웨어 및 IT서비스,,,
2021-03-19,3.222,4.12,3.22,3.71,3.71,21551600,AGAE,Allied Gaming & Entertainment Inc,소프트웨어 및 IT서비스,,,
2021-03-22,3.88,4.31,3.36,3.55,3.55,13585900,AGAE,Allied Gaming & Entertainment Inc,소프트웨어 및 IT서비스,,,
2021-03-23,3.693,4.05,3.21,3.36,3.36,10908900,AGAE,Allied Gaming & Entertainment Inc,소프트웨어 및 IT서비스,,,
2021-03-24,3.407,3.83,3.06,3.31,3.31,12720700,AGAE,Allied Gaming & Entertainment Inc,소프트웨어 및 IT서비스,,,
2021-03-25,3.144,3.21,2.78,3.04,3.04,6366200,AGAE,Allied Gaming & Entertainment Inc,소프트웨어 및 IT서비스,,,
2021-03-26,3.04,3.08,2.68,2.79,2.79,3595400,AGAE,Allied Gaming & Entertainment Inc,소프트웨어 및 IT서비스,,,
2021-03-29,2.84,2.93,2.68,2.84,2.84,3285800,AGAE,Allied Gaming & Entertainment Inc,소프트웨어 및 IT서비스,,,
2021-03-30,2.83,3.04,2.74,2.88,2.88,2492500,AGAE,Allied Gaming & Entertainment Inc,소프트웨어 및 IT서비스,,,
2021-03-31,2.9,3.12,2.85,2.88,2.88,2474300,AGAE,Allied Gaming & Entertainment Inc,소프트웨어 및 IT서비스,-1.8959790737428706,,
