Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,10.03,10.03,9.83,9.95,9.95,62100,AGIL,AgileThought Inc,소프트웨어 및 IT서비스,,,
2021-03-05,9.84,10.09,9.83,9.94,9.94,53800,AGIL,AgileThought Inc,소프트웨어 및 IT서비스,,,
2021-03-08,9.94,9.99,9.94,9.99,9.99,1200,AGIL,AgileThought Inc,소프트웨어 및 IT서비스,,,
2021-03-09,9.99,9.99,9.99,9.99,9.99,0,AGIL,AgileThought Inc,소프트웨어 및 IT서비스,,,
2021-03-10,9.93,9.936,9.93,9.93,9.93,2400,AGIL,AgileThought Inc,소프트웨어 및 IT서비스,,,
2021-03-11,10.034,10.034,10.034,10.034,10.034,1000,AGIL,AgileThought Inc,소프트웨어 및 IT서비스,,,
2021-03-12,10.0,10.0,10.0,10.0,10.0,100,AGIL,AgileThought Inc,소프트웨어 및 IT서비스,,,
2021-03-15,9.96,10.3,9.96,10.0,10.0,12900,AGIL,AgileThought Inc,소프트웨어 및 IT서비스,,,
2021-03-16,10.1,10.1,10.0,10.0,10.0,300,AGIL,AgileThought Inc,소프트웨어 및 IT서비스,,,
2021-03-17,10.07,10.07,9.95,9.95,9.95,4000,AGIL,AgileThought Inc,소프트웨어 및 IT서비스,,,
2021-03-18,9.96,9.96,9.92,9.93,9.93,19300,AGIL,AgileThought Inc,소프트웨어 및 IT서비스,,,
2021-03-19,9.95,9.99,9.95,9.98,9.98,2100,AGIL,AgileThought Inc,소프트웨어 및 IT서비스,,,
2021-03-22,9.97,9.99,9.94,9.99,9.99,3100,AGIL,AgileThought Inc,소프트웨어 및 IT서비스,,,
2021-03-23,9.99,9.99,9.99,9.99,9.99,5500,AGIL,AgileThought Inc,소프트웨어 및 IT서비스,,,
2021-03-24,9.95,9.96,9.93,9.93,9.93,8400,AGIL,AgileThought Inc,소프트웨어 및 IT서비스,,,
2021-03-25,9.93,9.94,9.91,9.915,9.915,47600,AGIL,AgileThought Inc,소프트웨어 및 IT서비스,,,
2021-03-26,9.91,10.1,9.91,10.1,10.1,217700,AGIL,AgileThought Inc,소프트웨어 및 IT서비스,,,
2021-03-29,9.93,9.98,9.93,9.94,9.94,3900,AGIL,AgileThought Inc,소프트웨어 및 IT서비스,,,
2021-03-30,9.95,9.95,9.94,9.94,9.94,400,AGIL,AgileThought Inc,소프트웨어 및 IT서비스,,,
2021-03-31,9.94,9.94,9.94,9.94,9.94,200,AGIL,AgileThought Inc,소프트웨어 및 IT서비스,-1.7285271831838256,,
2021-04-01,10.0,10.0,9.992,9.992,9.992,200,AGIL,AgileThought Inc,소프트웨어 및 IT서비스,-2.071462612150432,,
2021-04-05,10.01,10.01,10.01,10.01,10.01,100,AGIL,AgileThought Inc,소프트웨어 및 IT서비스,-3.03818544037604,,
2021-04-06,10.01,10.01,10.01,10.01,10.01,0,AGIL,AgileThought Inc,소프트웨어 및 IT서비스,-2.641465636049778,,
2021-04-07,10.01,10.01,10.01,10.01,10.01,0,AGIL,AgileThought Inc,소프트웨어 및 IT서비스,-2.544866499795473,,
2021-04-08,10.02,10.07,10.02,10.06,10.06,8200,AGIL,AgileThought Inc,소프트웨어 및 IT서비스,-2.292005980271894,,
2021-04-09,10.06,10.06,10.06,10.06,10.06,0,AGIL,AgileThought Inc,소프트웨어 및 IT서비스,-2.826718676406126,,
2021-04-12,10.06,10.06,10.06,10.06,10.06,0,AGIL,AgileThought Inc,소프트웨어 및 IT서비스,-2.6156050781340534,,
2021-04-13,9.96,10.0,9.96,10.0,10.0,3900,AGIL,AgileThought Inc,소프트웨어 및 IT서비스,-3.311388973208884,,
2021-04-14,9.97,9.97,9.959,9.97,9.97,5100,AGIL,AgileThought Inc,소프트웨어 및 IT서비스,-2.999223423962172,,
2021-04-15,9.98,9.99,9.98,9.99,9.99,1300,AGIL,AgileThought Inc,소프트웨어 및 IT서비스,-3.6618480210160453,,
2021-04-16,9.98,10.01,9.98,10.005,10.005,542900,AGIL,AgileThought Inc,소프트웨어 및 IT서비스,-3.581667080729145,,
2021-04-19,10.015,10.02,9.98,9.99,9.99,4400,AGIL,AgileThought Inc,소프트웨어 및 IT서비스,-2.9172681534555878,,
2021-04-20,10.04,10.04,9.98,9.99,9.99,201800,AGIL,AgileThought Inc,소프트웨어 및 IT서비스,-2.0161716825515374,,
2021-04-21,9.98,10.01,9.98,9.983,9.983,8900,AGIL,AgileThought Inc,소프트웨어 및 IT서비스,-2.666692897884504,,
2021-04-22,9.99,9.994,9.99,9.99,9.99,1000,AGIL,AgileThought Inc,소프트웨어 및 IT서비스,-1.4176096964829576,,
