Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2022-11-11,15.5,17.049999,12.0,12.88,12.88,1841100,ATAT,Atour Lifestyle Holdings Ltd ADR,호텔 및 엔터테인먼트,,,
2022-11-14,14.68,14.95,12.6,13.35,13.35,1490300,ATAT,Atour Lifestyle Holdings Ltd ADR,호텔 및 엔터테인먼트,,,
2022-11-15,14.4,15.27,13.74,14.11,14.11,1678000,ATAT,Atour Lifestyle Holdings Ltd ADR,호텔 및 엔터테인먼트,,,
2022-11-16,13.61,13.9,11.017,11.39,11.39,468900,ATAT,Atour Lifestyle Holdings Ltd ADR,호텔 및 엔터테인먼트,,,
2022-11-17,12.01,15.7,11.8,14.92,14.92,1942900,ATAT,Atour Lifestyle Holdings Ltd ADR,호텔 및 엔터테인먼트,,,
2022-11-18,15.01,15.36,12.6,13.13,13.13,1038200,ATAT,Atour Lifestyle Holdings Ltd ADR,호텔 및 엔터테인먼트,,,
2022-11-21,12.6,13.16,12.2,12.44,12.44,298800,ATAT,Atour Lifestyle Holdings Ltd ADR,호텔 및 엔터테인먼트,,,
2022-11-22,12.0,12.26,11.239,11.35,11.35,423200,ATAT,Atour Lifestyle Holdings Ltd ADR,호텔 및 엔터테인먼트,,,
2022-11-23,12.0,12.1,11.15,11.47,11.47,293300,ATAT,Atour Lifestyle Holdings Ltd ADR,호텔 및 엔터테인먼트,,,
2022-11-25,11.6,11.88,11.19,11.64,11.64,124300,ATAT,Atour Lifestyle Holdings Ltd ADR,호텔 및 엔터테인먼트,,,
2022-11-28,12.22,12.8,12.02,12.4,12.4,607300,ATAT,Atour Lifestyle Holdings Ltd ADR,호텔 및 엔터테인먼트,,,
2022-11-29,13.5,13.79,12.02,12.75,12.75,1110700,ATAT,Atour Lifestyle Holdings Ltd ADR,호텔 및 엔터테인먼트,,,
2022-11-30,13.98,15.8,13.2,15.23,15.23,1493100,ATAT,Atour Lifestyle Holdings Ltd ADR,호텔 및 엔터테인먼트,,,
2022-12-01,14.79,16.120001,14.65,15.83,15.83,960800,ATAT,Atour Lifestyle Holdings Ltd ADR,호텔 및 엔터테인먼트,,,
2022-12-02,15.22,18.879999,14.85,17.690001,17.690001,2141800,ATAT,Atour Lifestyle Holdings Ltd ADR,호텔 및 엔터테인먼트,,,
2022-12-05,18.6,18.610001,15.1,15.37,15.37,1154100,ATAT,Atour Lifestyle Holdings Ltd ADR,호텔 및 엔터테인먼트,,,
2022-12-06,15.62,16.0,14.381,15.88,15.88,580800,ATAT,Atour Lifestyle Holdings Ltd ADR,호텔 및 엔터테인먼트,,,
2022-12-07,15.2,15.38,14.33,14.89,14.89,381600,ATAT,Atour Lifestyle Holdings Ltd ADR,호텔 및 엔터테인먼트,,,
2022-12-08,16.0,17.200001,15.79,16.6,16.6,1029200,ATAT,Atour Lifestyle Holdings Ltd ADR,호텔 및 엔터테인먼트,,,
2022-12-09,16.370001,16.58,16.209999,16.540001,16.540001,141900,ATAT,Atour Lifestyle Holdings Ltd ADR,호텔 및 엔터테인먼트,19.793586381987826,,
2022-12-12,15.4,16.59,15.35,16.59,16.59,336100,ATAT,Atour Lifestyle Holdings Ltd ADR,호텔 및 엔터테인먼트,16.912317492695905,,
2022-12-13,16.889999,17.754999,16.6,17.4,17.4,365900,ATAT,Atour Lifestyle Holdings Ltd ADR,호텔 및 엔터테인먼트,20.119810544952664,,
2022-12-14,17.280001,17.49,16.496,16.780001,16.780001,299600,ATAT,Atour Lifestyle Holdings Ltd ADR,호텔 및 엔터테인먼트,15.479440707289971,,
2022-12-15,16.83,17.299999,16.09,16.51,16.51,261000,ATAT,Atour Lifestyle Holdings Ltd ADR,호텔 및 엔터테인먼트,14.385365217743406,,
2022-12-16,16.68,16.889999,16.0,16.68,16.68,187400,ATAT,Atour Lifestyle Holdings Ltd ADR,호텔 및 엔터테인먼트,16.004825125210864,,
