Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,19.120001,19.700001,18.940001,19.15,18.647697,191500,BANC,Banc of California Inc,은행,,,
2021-03-05,19.66,19.66,18.91,19.42,18.910618,270500,BANC,Banc of California Inc,은행,,,
2021-03-08,19.59,20.889999,19.549999,20.799999,20.254423,445500,BANC,Banc of California Inc,은행,,,
2021-03-09,20.690001,20.719999,19.91,20.51,19.972029,271600,BANC,Banc of California Inc,은행,,,
2021-03-10,20.530001,21.0,20.32,20.940001,20.390749,299600,BANC,Banc of California Inc,은행,,,
2021-03-11,20.940001,20.959999,20.49,20.959999,20.410225,248500,BANC,Banc of California Inc,은행,,,
2021-03-12,21.0,21.4,20.99,21.32,20.820379,217900,BANC,Banc of California Inc,은행,,,
2021-03-15,21.24,21.24,20.209999,20.610001,20.127024,190500,BANC,Banc of California Inc,은행,,,
2021-03-16,20.370001,20.5,19.879999,20.41,19.931709,166300,BANC,Banc of California Inc,은행,,,
2021-03-17,20.5,20.9,20.16,20.290001,19.81452,179700,BANC,Banc of California Inc,은행,,,
2021-03-18,20.42,21.35,20.309999,20.43,19.951239,216100,BANC,Banc of California Inc,은행,,,
2021-03-19,20.26,20.610001,19.629999,20.450001,19.970772,563400,BANC,Banc of California Inc,은행,,,
2021-03-22,20.24,20.24,19.299999,19.540001,19.082098,178400,BANC,Banc of California Inc,은행,,,
2021-03-23,18.559999,18.85,18.18,18.41,17.978577,1062900,BANC,Banc of California Inc,은행,,,
2021-03-24,18.74,18.93,18.32,18.34,17.910217,898000,BANC,Banc of California Inc,은행,,,
2021-03-25,18.209999,18.799999,18.040001,18.690001,18.252014,560700,BANC,Banc of California Inc,은행,,,
2021-03-26,19.01,19.1,18.459999,18.66,18.222717,333400,BANC,Banc of California Inc,은행,,,
2021-03-29,18.379999,18.690001,18.08,18.110001,17.685604,323600,BANC,Banc of California Inc,은행,,,
2021-03-30,18.24,18.700001,18.200001,18.290001,17.861389,285400,BANC,Banc of California Inc,은행,,,
2021-03-31,18.200001,18.450001,17.98,18.08,17.656309,328900,BANC,Banc of California Inc,은행,-9.392648130474324,,
2021-04-01,17.950001,18.309999,17.809999,18.24,17.812563,281600,BANC,Banc of California Inc,은행,-9.167043484224546,,
2021-04-05,18.540001,18.66,18.09,18.290001,17.861389,245600,BANC,Banc of California Inc,은행,-9.6995663242605,,
2021-04-06,18.26,18.49,18.209999,18.4,17.968809,229300,BANC,Banc of California Inc,은행,-8.211793542054401,,
2021-04-07,18.49,18.6,18.0,18.059999,17.636776,205400,BANC,Banc of California Inc,은행,-9.242152343875699,,
2021-04-08,18.01,18.27,17.83,18.129999,17.705137,184800,BANC,Banc of California Inc,은행,-8.384945873809402,,
2021-04-09,18.280001,18.65,18.26,18.549999,18.115294,249100,BANC,Banc of California Inc,은행,-6.176630464014455,,
2021-04-12,18.52,18.82,18.42,18.709999,18.271545,318300,BANC,Banc of California Inc,은행,-4.476974059512839,,
2021-04-13,18.530001,18.549999,18.129999,18.33,17.900448,267800,BANC,Banc of California Inc,은행,-5.9643200867193435,,
2021-04-14,18.17,18.870001,18.17,18.59,18.154358,227600,BANC,Banc of California Inc,은행,-3.5799101173904724,,
2021-04-15,18.629999,18.629999,18.01,18.27,17.841856,198700,BANC,Banc of California Inc,은행,-5.547235720249044,,
