Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,86.610001,93.815002,86.610001,92.010002,92.010002,1291700,BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,,,
2021-03-05,93.510002,96.160004,89.050003,95.93,95.93,765700,BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,,,
2021-03-08,95.0,96.464996,91.599998,92.07,92.07,627300,BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,,,
2021-03-09,94.230003,99.919998,94.230003,97.110001,97.110001,407000,BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,,,
2021-03-10,97.709999,98.535004,93.949997,96.019997,96.019997,328300,BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,,,
2021-03-11,97.279999,105.790001,96.489998,105.449997,105.449997,515300,BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,,,
2021-03-12,104.529999,107.889999,103.800003,107.360001,107.360001,355200,BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,,,
2021-03-15,106.870003,108.110001,104.029999,105.769997,105.769997,603500,BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,,,
2021-03-16,105.419998,106.160004,102.839996,103.510002,103.510002,320400,BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,,,
2021-03-17,104.120003,106.120003,103.514999,105.18,105.18,467600,BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,,,
2021-03-18,104.580002,104.949997,98.540001,98.790001,98.790001,363500,BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,,,
2021-03-19,98.970001,104.959999,98.080002,104.650002,104.650002,927900,BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,,,
2021-03-22,105.199997,105.830002,103.800003,104.989998,104.989998,315100,BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,,,
2021-03-23,103.5,104.0,98.349998,98.860001,98.860001,332400,BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,,,
2021-03-24,99.739998,99.739998,94.519997,94.709999,94.709999,324900,BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,,,
2021-03-25,94.230003,96.669998,91.5,96.309998,96.309998,321300,BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,,,
2021-03-26,97.07,99.0,94.099998,96.669998,96.669998,197000,BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,,,
2021-03-29,96.010002,96.150002,91.275002,92.010002,92.010002,423400,BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,,,
2021-03-30,92.0,93.550003,89.279999,93.269997,93.269997,559800,BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,,,
2021-03-31,93.489998,97.620003,93.489998,97.230003,97.230003,428000,BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,-3.0388115628728674,,
2021-04-01,98.129997,99.0,96.389999,97.949997,97.949997,254800,BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,-3.4529585430886134,,
2021-04-05,98.93,99.620003,96.230003,99.610001,99.610001,213100,BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,-3.1100264494812846,,
2021-04-06,98.830002,99.610001,96.599998,97.019997,97.019997,301000,BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,-5.485083459880736,,
2021-04-07,96.209999,96.525002,92.785004,93.0,93.0,315100,BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,-9.126587924587747,,
2021-04-08,94.32,96.239998,92.980003,94.080002,94.080002,360600,BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,-8.152664434287704,,
2021-04-09,94.32,94.510002,91.879997,94.160004,94.160004,211700,BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,-8.050038839153705,,
2021-04-12,95.269997,95.625,92.360001,92.610001,92.610001,455200,BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,-8.663762795115982,,
2021-04-13,93.120003,96.080002,91.110001,93.080002,93.080002,365500,BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,-7.717393410936213,,
2021-04-14,93.419998,99.32,93.419998,96.860001,96.860001,528600,BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,-3.050572683922037,,
2021-04-15,96.709999,98.290001,95.660004,95.949997,95.949997,223700,BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,-4.332117603307239,,
2021-04-16,97.059998,97.059998,92.260002,95.199997,95.199997,292800,BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,-4.929970795306071,,
2021-04-19,94.620003,95.555,92.394997,93.809998,93.809998,302800,BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,-4.982152700439279,,
2021-04-20,94.160004,95.470001,91.43,92.580002,92.580002,565700,BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,-4.73135332508684,,
2021-04-21,92.709999,95.209999,91.650002,94.900002,94.900002,463400,BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,-2.718406805988949,,
2021-04-22,95.160004,96.400002,92.839996,94.400002,94.400002,259100,BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,-2.012175358127055,,
2021-04-23,94.879997,97.68,93.959999,97.0,97.0,274800,BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,-0.09525607609611741,,
2021-04-26,98.0,101.459999,96.470001,101.0,101.0,310900,BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,3.8849882344898834,,
