Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,93.629997,98.830002,80.519997,86.139999,86.139999,4195700,DQ,Daqo New Energy Corp ADR,재생에너지,,,
2021-03-05,88.059998,89.970001,73.279999,79.980003,79.980003,4302900,DQ,Daqo New Energy Corp ADR,재생에너지,,,
2021-03-08,75.309998,80.959999,70.300003,72.040001,72.040001,4120800,DQ,Daqo New Energy Corp ADR,재생에너지,,,
2021-03-09,82.0,89.610001,81.290001,87.980003,87.980003,4082600,DQ,Daqo New Energy Corp ADR,재생에너지,,,
2021-03-10,94.449997,94.470001,77.43,78.379997,78.379997,3410100,DQ,Daqo New Energy Corp ADR,재생에너지,,,
2021-03-11,86.0,93.199997,85.440002,91.209999,91.209999,3245500,DQ,Daqo New Energy Corp ADR,재생에너지,,,
2021-03-12,84.0,95.410004,83.050003,94.220001,94.220001,2182100,DQ,Daqo New Energy Corp ADR,재생에너지,,,
2021-03-15,88.849998,91.440002,86.620003,88.07,88.07,2512800,DQ,Daqo New Energy Corp ADR,재생에너지,,,
2021-03-16,88.07,93.389999,84.800003,85.730003,85.730003,1697000,DQ,Daqo New Energy Corp ADR,재생에너지,,,
2021-03-17,83.0,90.330002,82.830002,87.989998,87.989998,1856200,DQ,Daqo New Energy Corp ADR,재생에너지,,,
2021-03-18,85.339996,86.580002,80.300003,81.209999,81.209999,1904900,DQ,Daqo New Energy Corp ADR,재생에너지,,,
2021-03-19,82.699997,84.239998,79.230003,79.230003,79.230003,3759800,DQ,Daqo New Energy Corp ADR,재생에너지,,,
2021-03-22,83.889999,87.709999,80.099998,80.470001,80.470001,2230200,DQ,Daqo New Energy Corp ADR,재생에너지,,,
2021-03-23,80.900002,82.860001,73.510002,74.440002,74.440002,2508400,DQ,Daqo New Energy Corp ADR,재생에너지,,,
2021-03-24,76.860001,76.860001,65.900002,66.089996,66.089996,3596800,DQ,Daqo New Energy Corp ADR,재생에너지,,,
2021-03-25,62.43,70.629997,62.419998,68.019997,68.019997,3655700,DQ,Daqo New Energy Corp ADR,재생에너지,,,
2021-03-26,70.510002,71.449997,66.730003,70.339996,70.339996,2256700,DQ,Daqo New Energy Corp ADR,재생에너지,,,
2021-03-29,69.489998,71.480003,60.560001,62.16,62.16,3091800,DQ,Daqo New Energy Corp ADR,재생에너지,,,
2021-03-30,65.029999,72.339996,63.0,70.580002,70.580002,5481900,DQ,Daqo New Energy Corp ADR,재생에너지,,,
2021-03-31,74.080002,77.059998,71.550003,75.5,75.5,3429500,DQ,Daqo New Energy Corp ADR,재생에너지,-5.773969919629341,,
2021-04-01,77.099998,79.199997,74.379997,75.190002,75.190002,1885300,DQ,Daqo New Energy Corp ADR,재생에너지,-6.292640839707175,,
2021-04-05,77.0,77.089996,68.019997,70.120003,70.120003,2726900,DQ,Daqo New Energy Corp ADR,재생에너지,-13.066177862137774,,
2021-04-06,71.32,74.699997,70.580002,71.25,71.25,2796200,DQ,Daqo New Energy Corp ADR,재생에너지,-11.273489673598991,,
2021-04-07,70.489998,70.82,67.199997,68.080002,68.080002,2487000,DQ,Daqo New Energy Corp ADR,재생에너지,-14.034183005283596,,
2021-04-08,68.540001,69.029999,64.650002,66.220001,66.220001,2132800,DQ,Daqo New Energy Corp ADR,재생에너지,-15.880275550607125,,
2021-04-09,64.269997,70.089996,64.059998,69.290001,69.290001,3036700,DQ,Daqo New Energy Corp ADR,재생에너지,-11.182062922324254,,
2021-04-12,67.0,68.290001,65.410004,67.220001,67.220001,1405900,DQ,Daqo New Energy Corp ADR,재생에너지,-12.04751213605919,,
2021-04-13,68.029999,68.669998,64.900002,67.919998,67.919998,2106600,DQ,Daqo New Energy Corp ADR,재생에너지,-10.016336289839101,,
2021-04-14,68.18,71.300003,65.629997,66.300003,66.300003,2461700,DQ,Daqo New Energy Corp ADR,재생에너지,-10.435827835079504,,
2021-04-15,67.0,69.199997,65.599998,67.650002,67.650002,3117100,DQ,Daqo New Energy Corp ADR,재생에너지,-8.099316404401458,,
2021-04-16,67.889999,70.949997,67.209999,70.260002,70.260002,9787800,DQ,Daqo New Energy Corp ADR,재생에너지,-3.819585699609851,,
2021-04-19,73.0,76.629997,66.5,66.940002,66.940002,3810800,DQ,Daqo New Energy Corp ADR,재생에너지,-6.762070765069672,,
2021-04-20,68.370003,73.699997,67.519997,69.040001,69.040001,3939800,DQ,Daqo New Energy Corp ADR,재생에너지,-2.1216064840839266,,
2021-04-21,69.349998,75.5,68.029999,74.889999,74.889999,3540500,DQ,Daqo New Energy Corp ADR,재생에너지,5.530598577171464,,
2021-04-22,78.309998,86.480003,76.709999,85.599998,85.599998,6064400,DQ,Daqo New Energy Corp ADR,재생에너지,20.43076990684465,,
2021-04-23,85.449997,89.800003,82.669998,89.510002,89.510002,2854500,DQ,Daqo New Energy Corp ADR,재생에너지,23.132543420099736,,
2021-04-26,86.669998,92.0,85.269997,91.989998,91.989998,2664300,DQ,Daqo New Energy Corp ADR,재생에너지,24.78713264410417,,
2021-04-27,91.120003,91.120003,83.860001,85.620003,85.620003,3715700,DQ,Daqo New Energy Corp ADR,재생에너지,14.609381171047819,,
2021-04-28,84.639999,87.559998,82.290001,85.720001,85.720001,1295300,DQ,Daqo New Energy Corp ADR,재생에너지,13.990110189207217,,
2021-04-29,86.919998,86.919998,80.660004,83.580002,83.580002,1166600,DQ,Daqo New Energy Corp ADR,재생에너지,10.139809113197007,,
