Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,42.665001,43.379002,37.630001,40.360001,40.360001,4305800,EDIT,Editas Medicine Inc,생명과학 및 메디컬 리서치,,,
2021-03-05,42.41,42.939999,36.099998,41.630001,41.630001,3833100,EDIT,Editas Medicine Inc,생명과학 및 메디컬 리서치,,,
2021-03-08,42.389999,45.099998,40.07,40.540001,40.540001,2888500,EDIT,Editas Medicine Inc,생명과학 및 메디컬 리서치,,,
2021-03-09,42.950001,46.419998,42.5,45.330002,45.330002,2961500,EDIT,Editas Medicine Inc,생명과학 및 메디컬 리서치,,,
2021-03-10,46.5,48.400002,45.540001,46.66,46.66,2580700,EDIT,Editas Medicine Inc,생명과학 및 메디컬 리서치,,,
2021-03-11,48.150002,48.82,46.75,47.32,47.32,2051500,EDIT,Editas Medicine Inc,생명과학 및 메디컬 리서치,,,
2021-03-12,46.130001,46.700001,44.34,46.279999,46.279999,1467100,EDIT,Editas Medicine Inc,생명과학 및 메디컬 리서치,,,
2021-03-15,46.310001,48.540001,45.810001,47.970001,47.970001,1249700,EDIT,Editas Medicine Inc,생명과학 및 메디컬 리서치,,,
2021-03-16,48.599998,48.650002,43.939999,45.669998,45.669998,1697700,EDIT,Editas Medicine Inc,생명과학 및 메디컬 리서치,,,
2021-03-17,44.195,47.880001,43.27,46.57,46.57,1247400,EDIT,Editas Medicine Inc,생명과학 및 메디컬 리서치,,,
2021-03-18,45.669998,45.889999,43.150002,43.25,43.25,1363900,EDIT,Editas Medicine Inc,생명과학 및 메디컬 리서치,,,
2021-03-19,43.5,45.25,43.279999,45.0,45.0,2186500,EDIT,Editas Medicine Inc,생명과학 및 메디컬 리서치,,,
2021-03-22,45.91,49.169998,45.330002,48.48,48.48,1820700,EDIT,Editas Medicine Inc,생명과학 및 메디컬 리서치,,,
2021-03-23,47.810001,48.43,45.533001,46.080002,46.080002,1810500,EDIT,Editas Medicine Inc,생명과학 및 메디컬 리서치,,,
2021-03-24,46.169998,46.700001,40.799999,40.990002,40.990002,1991400,EDIT,Editas Medicine Inc,생명과학 및 메디컬 리서치,,,
2021-03-25,39.310001,42.389999,37.375999,42.18,42.18,2255500,EDIT,Editas Medicine Inc,생명과학 및 메디컬 리서치,,,
2021-03-26,42.119999,42.400002,38.119999,40.48,40.48,1816400,EDIT,Editas Medicine Inc,생명과학 및 메디컬 리서치,,,
2021-03-29,40.279999,41.459999,38.865002,39.709999,39.709999,1324900,EDIT,Editas Medicine Inc,생명과학 및 메디컬 리서치,,,
2021-03-30,39.16,41.389999,37.139999,40.5,40.5,1447600,EDIT,Editas Medicine Inc,생명과학 및 메디컬 리서치,,,
2021-03-31,41.389999,43.16,41.049999,42.0,42.0,2040700,EDIT,Editas Medicine Inc,생명과학 및 메디컬 리서치,-5.544890617848308,,
2021-04-01,43.080002,45.59,42.619999,42.830002,42.830002,1742600,EDIT,Editas Medicine Inc,생명과학 및 메디컬 리서치,-4.780443191913908,,
2021-04-05,44.509998,45.431,42.580002,42.860001,42.860001,933400,EDIT,Editas Medicine Inc,생명과학 및 메디컬 리서치,-5.933161763045969,,
2021-04-06,42.389999,44.139999,41.5,42.639999,42.639999,1357800,EDIT,Editas Medicine Inc,생명과학 및 메디컬 리서치,-6.2651293497188565,,
2021-04-07,42.169998,42.282001,40.209999,40.400002,40.400002,1032100,EDIT,Editas Medicine Inc,생명과학 및 메디컬 리서치,-10.601684080356499,,
2021-04-08,41.43,42.396999,40.59,40.759998,40.759998,1030400,EDIT,Editas Medicine Inc,생명과학 및 메디컬 리서치,-9.35786790772266,,
2021-04-09,40.110001,40.349998,38.759998,39.459999,39.459999,1006400,EDIT,Editas Medicine Inc,생명과학 및 메디컬 리서치,-11.936172509157661,,
2021-04-12,40.689999,40.689999,38.25,39.509998,39.509998,1095700,EDIT,Editas Medicine Inc,생명과학 및 메디컬 리서치,-10.9187525638347,,
2021-04-13,39.130001,42.049999,39.119999,41.66,41.66,1465400,EDIT,Editas Medicine Inc,생명과학 및 메디컬 리서치,-5.487983537408036,,
2021-04-14,41.98,43.41,41.209999,41.529999,41.529999,1374400,EDIT,Editas Medicine Inc,생명과학 및 메디컬 리서치,-4.74452918053081,,
2021-04-15,42.040001,43.43,40.73,40.98,40.98,903500,EDIT,Editas Medicine Inc,생명과학 및 메디컬 리서치,-6.197897410162634,,
2021-04-16,38.27,39.220001,33.583,34.669998,34.669998,6787300,EDIT,Editas Medicine Inc,생명과학 및 메디컬 리서치,-19.87012348264069,,
2021-04-19,33.709999,35.477001,33.0,34.169998,34.169998,1871200,EDIT,Editas Medicine Inc,생명과학 및 메디컬 리서치,-19.319644991793773,,
2021-04-20,33.68,35.18,32.830002,34.470001,34.470001,1332200,EDIT,Editas Medicine Inc,생명과학 및 메디컬 리서치,-16.424547765824126,,
2021-04-21,33.990002,35.869999,33.27,35.860001,35.860001,1376700,EDIT,Editas Medicine Inc,생명과학 및 메디컬 리서치,-12.455645841626195,,
2021-04-22,36.18,37.220001,34.735001,36.290001,36.290001,1084700,EDIT,Editas Medicine Inc,생명과학 및 메디컬 리서치,-9.771824623137547,,
2021-04-23,35.859001,37.439999,35.689999,36.91,36.91,858900,EDIT,Editas Medicine Inc,생명과학 및 메디컬 리서치,-8.298833484212853,,
2021-04-26,36.98,39.514999,36.209999,39.080002,39.080002,1222300,EDIT,Editas Medicine Inc,생명과학 및 메디컬 리서치,-2.649322640456686,,
