Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,28.040001,28.91,27.09,27.67,27.223858,40200,EQBK,Equity Bancshares Inc,은행,,,
2021-03-05,28.190001,28.76,27.91,28.76,28.296282,27300,EQBK,Equity Bancshares Inc,은행,,,
2021-03-08,28.799999,29.860001,27.450001,29.299999,28.827574,33600,EQBK,Equity Bancshares Inc,은행,,,
2021-03-09,29.200001,29.200001,28.48,28.639999,28.178217,27300,EQBK,Equity Bancshares Inc,은행,,,
2021-03-10,28.280001,29.209999,27.280001,28.25,27.794504,49500,EQBK,Equity Bancshares Inc,은행,,,
2021-03-11,28.4,29.1,28.01,28.360001,27.902733,33100,EQBK,Equity Bancshares Inc,은행,,,
2021-03-12,28.75,29.17,28.110001,29.1,28.6308,19300,EQBK,Equity Bancshares Inc,은행,,,
2021-03-15,29.02,29.02,28.280001,28.74,28.276604,26500,EQBK,Equity Bancshares Inc,은행,,,
2021-03-16,28.700001,28.700001,27.950001,28.35,27.892893,23300,EQBK,Equity Bancshares Inc,은행,,,
2021-03-17,28.780001,28.780001,27.889999,28.32,27.863377,32500,EQBK,Equity Bancshares Inc,은행,,,
2021-03-18,28.49,29.450001,28.49,28.870001,28.40451,46900,EQBK,Equity Bancshares Inc,은행,,,
2021-03-19,29.0,29.35,28.309999,29.309999,28.837416,138600,EQBK,Equity Bancshares Inc,은행,,,
2021-03-22,29.35,29.4,27.379999,28.639999,28.178217,45100,EQBK,Equity Bancshares Inc,은행,,,
2021-03-23,28.35,28.370001,26.559999,27.120001,26.682726,44300,EQBK,Equity Bancshares Inc,은행,,,
2021-03-24,27.379999,28.6,27.139999,27.27,26.830307,31500,EQBK,Equity Bancshares Inc,은행,,,
2021-03-25,27.049999,27.92,26.84,27.889999,27.440308,21400,EQBK,Equity Bancshares Inc,은행,,,
2021-03-26,27.92,28.559999,27.690001,28.540001,28.079832,25700,EQBK,Equity Bancshares Inc,은행,,,
2021-03-29,28.049999,28.91,27.77,28.16,27.705954,27200,EQBK,Equity Bancshares Inc,은행,,,
2021-03-30,28.17,28.5,27.540001,28.1,27.646925,29700,EQBK,Equity Bancshares Inc,은행,,,
2021-03-31,27.83,28.43,27.040001,27.4,26.95821,54300,EQBK,Equity Bancshares Inc,은행,-4.682878333526874,,
2021-04-01,27.26,28.0,27.139999,27.52,27.076277,20200,EQBK,Equity Bancshares Inc,은행,-5.058533660850961,,
2021-04-05,27.559999,27.639999,27.42,27.6,27.154985,8100,EQBK,Equity Bancshares Inc,은행,-5.6683416262598545,,
2021-04-06,27.42,28.27,27.27,27.76,27.312407,45900,EQBK,Equity Bancshares Inc,은행,-4.460845978023875,,
2021-04-07,28.09,28.49,27.75,28.0,27.548536,44900,EQBK,Equity Bancshares Inc,은행,-3.4197912876293035,,
2021-04-08,27.809999,28.67,27.809999,28.65,28.188053,18700,EQBK,Equity Bancshares Inc,은행,-1.417473698710403,,
2021-04-09,28.690001,28.879999,28.459999,28.5,28.040474,30100,EQBK,Equity Bancshares Inc,은행,-2.481099832201339,,
2021-04-12,28.65,28.83,28.450001,28.530001,28.069994,8600,EQBK,Equity Bancshares Inc,은행,-2.0353202075313326,,
2021-04-13,28.219999,28.690001,28.15,28.450001,27.99128,20800,EQBK,Equity Bancshares Inc,은행,-2.3734932504919537,,
2021-04-14,28.719999,28.860001,28.620001,28.709999,28.247087,16500,EQBK,Equity Bancshares Inc,은행,-0.9406440137267325,,
2021-04-15,28.5,29.059999,28.42,29.049999,28.581604,33100,EQBK,Equity Bancshares Inc,은행,-0.7540618842349134,,
2021-04-16,29.35,29.35,28.77,29.040001,28.571768,17000,EQBK,Equity Bancshares Inc,은행,-0.8376427663491115,,
2021-04-19,28.73,28.73,28.299999,28.4,27.942085,21100,EQBK,Equity Bancshares Inc,은행,-2.0376022149503736,,
2021-04-20,28.4,28.4,27.75,28.0,27.548536,43900,EQBK,Equity Bancshares Inc,은행,-2.4080301621216105,,
2021-04-21,28.110001,29.860001,27.690001,29.75,29.270321,27900,EQBK,Equity Bancshares Inc,은행,2.5924978706070245,,
2021-04-22,29.98,30.219999,29.620001,29.629999,29.152256,40900,EQBK,Equity Bancshares Inc,은행,3.0145024157508304,,
2021-04-23,29.85,30.98,29.85,30.610001,30.116453,27100,EQBK,Equity Bancshares Inc,은행,5.128523635171267,,
2021-04-26,30.790001,30.91,29.879999,30.08,29.594997,17300,EQBK,Equity Bancshares Inc,은행,3.122709886853281,,
2021-04-27,30.040001,30.040001,29.030001,29.51,29.034189,23600,EQBK,Equity Bancshares Inc,은행,1.2214145216485228,,
2021-04-28,29.360001,29.91,29.360001,29.610001,29.132576,25500,EQBK,Equity Bancshares Inc,은행,1.6651289739622932,,
2021-04-29,29.99,30.809999,29.34,29.59,29.112898,33500,EQBK,Equity Bancshares Inc,은행,0.8203716421455454,,
2021-04-30,29.24,29.639999,28.99,29.26,28.788221,54200,EQBK,Equity Bancshares Inc,은행,0.309033693498284,,
2021-05-03,29.49,30.99,29.49,30.35,29.860645,38400,EQBK,Equity Bancshares Inc,은행,3.4117909387614276,,
2021-05-04,30.35,30.530001,29.940001,30.040001,29.555645,28400,EQBK,Equity Bancshares Inc,은행,2.7508273112190063,,
2021-05-05,30.280001,30.639999,29.540001,30.35,29.860645,56000,EQBK,Equity Bancshares Inc,은행,3.4291139287285777,,
2021-05-06,30.4,31.0,30.35,30.780001,30.283712,29100,EQBK,Equity Bancshares Inc,은행,3.799388083237676,,
