Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,1.68,1.81,1.63,1.77,1.77,6307000,GERN,Geron Corp,생명과학 및 메디컬 리서치,,,
2021-03-05,1.76,1.81,1.68,1.8,1.8,5116800,GERN,Geron Corp,생명과학 및 메디컬 리서치,,,
2021-03-08,1.8,1.84,1.75,1.77,1.77,2535700,GERN,Geron Corp,생명과학 및 메디컬 리서치,,,
2021-03-09,1.78,1.87,1.78,1.86,1.86,2619900,GERN,Geron Corp,생명과학 및 메디컬 리서치,,,
2021-03-10,1.91,1.91,1.8,1.83,1.83,2217600,GERN,Geron Corp,생명과학 및 메디컬 리서치,,,
2021-03-11,1.86,1.9,1.82,1.89,1.89,2937400,GERN,Geron Corp,생명과학 및 메디컬 리서치,,,
2021-03-12,1.75,1.77,1.7,1.72,1.72,6993900,GERN,Geron Corp,생명과학 및 메디컬 리서치,,,
2021-03-15,1.7,1.73,1.68,1.72,1.72,4049300,GERN,Geron Corp,생명과학 및 메디컬 리서치,,,
2021-03-16,1.7,1.78,1.69,1.77,1.77,5328200,GERN,Geron Corp,생명과학 및 메디컬 리서치,,,
2021-03-17,1.74,1.81,1.71,1.81,1.81,3509800,GERN,Geron Corp,생명과학 및 메디컬 리서치,,,
2021-03-18,1.77,1.83,1.74,1.75,1.75,3853800,GERN,Geron Corp,생명과학 및 메디컬 리서치,,,
2021-03-19,1.76,1.86,1.74,1.83,1.83,9308100,GERN,Geron Corp,생명과학 및 메디컬 리서치,,,
2021-03-22,1.81,1.85,1.78,1.79,1.79,1715600,GERN,Geron Corp,생명과학 및 메디컬 리서치,,,
2021-03-23,1.8,1.8,1.65,1.65,1.65,4313300,GERN,Geron Corp,생명과학 및 메디컬 리서치,,,
2021-03-24,1.69,1.69,1.55,1.55,1.55,4098500,GERN,Geron Corp,생명과학 및 메디컬 리서치,,,
2021-03-25,1.56,1.64,1.54,1.62,1.62,2760200,GERN,Geron Corp,생명과학 및 메디컬 리서치,,,
2021-03-26,1.62,1.63,1.54,1.59,1.59,2607000,GERN,Geron Corp,생명과학 및 메디컬 리서치,,,
2021-03-29,1.58,1.59,1.51,1.53,1.53,3061400,GERN,Geron Corp,생명과학 및 메디컬 리서치,,,
2021-03-30,1.56,1.57,1.49,1.52,1.52,2027300,GERN,Geron Corp,생명과학 및 메디컬 리서치,,,
2021-03-31,1.54,1.62,1.53,1.58,1.58,2572000,GERN,Geron Corp,생명과학 및 메디컬 리서치,-9.334985375553106,,
2021-04-01,1.6,1.64,1.58,1.62,1.62,1226100,GERN,Geron Corp,생명과학 및 메디컬 리서치,-7.422348945253199,,
2021-04-05,1.65,1.65,1.58,1.6,1.6,1851700,GERN,Geron Corp,생명과학 및 메디컬 리서치,-9.071267475009881,,
2021-04-06,1.6,1.64,1.58,1.59,1.59,1400200,GERN,Geron Corp,생명과학 및 메디컬 리서치,-8.780949925066006,,
2021-04-07,1.58,1.6,1.52,1.52,1.52,1470600,GERN,Geron Corp,생명과학 및 메디컬 리서치,-11.818660160326445,,
2021-04-08,1.55,1.56,1.5,1.52,1.52,1735300,GERN,Geron Corp,생명과학 및 메디컬 리서치,-11.154787358110308,,
2021-04-09,1.53,1.53,1.48,1.48,1.48,1860500,GERN,Geron Corp,생명과학 및 메디컬 리서치,-12.890104607674047,,
2021-04-12,1.49,1.49,1.4,1.42,1.42,3000800,GERN,Geron Corp,생명과학 및 메디컬 리서치,-15.458232564664753,,
2021-04-13,1.41,1.44,1.38,1.43,1.43,2282000,GERN,Geron Corp,생명과학 및 메디컬 리서치,-14.213846766263805,,
2021-04-14,1.47,1.54,1.45,1.51,1.51,2709700,GERN,Geron Corp,생명과학 및 메디컬 리서치,-8.123178981614853,,
2021-04-15,1.51,1.54,1.49,1.51,1.51,1766200,GERN,Geron Corp,생명과학 및 메디컬 리서치,-8.05398334820171,,
2021-04-16,1.51,1.51,1.44,1.47,1.47,1679900,GERN,Geron Corp,생명과학 및 메디컬 리서치,-9.714068304518253,,
2021-04-19,1.45,1.47,1.38,1.4,1.4,2262100,GERN,Geron Corp,생명과학 및 메디컬 리서치,-12.069758530952813,,
2021-04-20,1.38,1.42,1.37,1.4,1.4,1856900,GERN,Geron Corp,생명과학 및 메디컬 리서치,-10.108124672956853,,
2021-04-21,1.38,1.49,1.38,1.48,1.48,1603500,GERN,Geron Corp,생명과학 및 메디컬 리서치,-4.998719641600791,,
2021-04-22,1.46,1.51,1.41,1.49,1.49,2330100,GERN,Geron Corp,생명과학 및 메디컬 리서치,-2.971151844251485,,
2021-04-23,1.48,1.5,1.43,1.43,1.43,1628900,GERN,Geron Corp,생명과학 및 메디컬 리서치,-6.979809637938383,,
2021-04-26,1.43,1.51,1.41,1.51,1.51,1722900,GERN,Geron Corp,생명과학 및 메디컬 리서치,-1.4217755185287895,,
2021-04-27,1.5,1.54,1.47,1.48,1.48,1405600,GERN,Geron Corp,생명과학 및 메디컬 리서치,-2.9377929372683798,,
2021-04-28,1.46,1.53,1.46,1.52,1.52,1439200,GERN,Geron Corp,생명과학 및 메디컬 리서치,0.05309449892232365,,
2021-04-29,1.55,1.55,1.48,1.51,1.51,1225900,GERN,Geron Corp,생명과학 및 메디컬 리서치,-0.7377804770670293,,
2021-04-30,1.48,1.52,1.42,1.45,1.45,1992900,GERN,Geron Corp,생명과학 및 메디컬 리서치,-3.2384010014596565,,
2021-05-03,1.46,1.47,1.43,1.43,1.43,1200400,GERN,Geron Corp,생명과학 및 메디컬 리서치,-4.148769117976991,,
2021-05-04,1.43,1.45,1.36,1.37,1.37,2288600,GERN,Geron Corp,생명과학 및 메디컬 리서치,-6.749534772571475,,
2021-05-05,1.41,1.43,1.36,1.37,1.37,1247800,GERN,Geron Corp,생명과학 및 메디컬 리서치,-6.23262471963375,,
2021-05-06,1.38,1.38,1.31,1.34,1.34,2458300,GERN,Geron Corp,생명과학 및 메디컬 리서치,-8.348199993079874,,
2021-05-07,1.34,1.36,1.31,1.33,1.33,1314100,GERN,Geron Corp,생명과학 및 메디컬 리서치,-9.120423724897886,,
2021-05-10,1.34,1.35,1.25,1.25,1.25,2327700,GERN,Geron Corp,생명과학 및 메디컬 리서치,-13.113789714916624,,
2021-05-11,1.24,1.41,1.22,1.39,1.39,2773800,GERN,Geron Corp,생명과학 및 메디컬 리서치,-2.387845343449313,,
2021-05-12,1.41,1.41,1.36,1.38,1.38,2341400,GERN,Geron Corp,생명과학 및 메디컬 리서치,-0.5825936421997358,,
2021-05-13,1.39,1.4,1.3,1.34,1.34,2219800,GERN,Geron Corp,생명과학 및 메디컬 리서치,-4.116743931175693,,
2021-05-14,1.37,1.44,1.35,1.43,1.43,1821800,GERN,Geron Corp,생명과학 및 메디컬 리서치,0.9469785510002104,,
2021-05-17,1.41,1.44,1.38,1.43,1.43,994100,GERN,Geron Corp,생명과학 및 메디컬 리서치,1.0957436893160644,,
2021-05-18,1.44,1.45,1.41,1.44,1.44,903700,GERN,Geron Corp,생명과학 및 메디컬 리서치,2.522236163333602,,
2021-05-19,1.4,1.44,1.38,1.41,1.41,1285700,GERN,Geron Corp,생명과학 및 메디컬 리서치,0.8610454098061382,,
2021-05-20,1.39,1.47,1.38,1.45,1.45,1314400,GERN,Geron Corp,생명과학 및 메디컬 리서치,2.816235343470841,,
2021-05-21,1.47,1.48,1.42,1.43,1.43,1175300,GERN,Geron Corp,생명과학 및 메디컬 리서치,1.4476920510964941,,
2021-05-24,1.45,1.45,1.37,1.38,1.38,1144400,GERN,Geron Corp,생명과학 및 메디컬 리서치,-2.6038857865279708,,
2021-05-25,1.38,1.4,1.33,1.34,1.34,1193100,GERN,Geron Corp,생명과학 및 메디컬 리서치,-4.7522981620995,,
2021-05-26,1.34,1.42,1.34,1.42,1.42,884400,GERN,Geron Corp,생명과학 및 메디컬 리서치,1.1204593736951818,,
2021-05-27,1.45,1.45,1.39,1.42,1.42,2925500,GERN,Geron Corp,생명과학 및 메디컬 리서치,1.3133608153759413,,
2021-05-28,1.4,1.44,1.37,1.38,1.38,1210700,GERN,Geron Corp,생명과학 및 메디컬 리서치,-1.3420291867476952,,
2021-06-01,1.43,1.43,1.38,1.4,1.4,939100,GERN,Geron Corp,생명과학 및 메디컬 리서치,0.25613262034580586,,
2021-06-02,1.4,1.45,1.38,1.44,1.44,1307500,GERN,Geron Corp,생명과학 및 메디컬 리서치,2.766927302891675,,
2021-06-03,1.41,1.45,1.4,1.4,1.4,1102400,GERN,Geron Corp,생명과학 및 메디컬 리서치,0.19830811943972737,,
2021-06-04,1.42,1.43,1.39,1.39,1.39,1024500,GERN,Geron Corp,생명과학 및 메디컬 리서치,-1.5316878528396916,,
2021-06-07,1.4,1.49,1.4,1.49,1.49,2433100,GERN,Geron Corp,생명과학 및 메디컬 리서치,5.033688776938616,,
2021-06-08,1.5,1.52,1.43,1.48,1.48,1501700,GERN,Geron Corp,생명과학 및 메디컬 리서치,3.513779326947697,,
2021-06-09,1.47,1.52,1.46,1.5,1.5,1415900,GERN,Geron Corp,생명과학 및 메디컬 리서치,4.783386866700012,,
2021-06-10,1.49,1.5,1.45,1.49,1.49,975900,GERN,Geron Corp,생명과학 및 메디컬 리서치,3.4224383899079225,,
2021-06-11,1.48,1.48,1.42,1.44,1.44,1680700,GERN,Geron Corp,생명과학 및 메디컬 리서치,-0.4357214058944181,,
2021-06-14,1.44,1.47,1.43,1.45,1.45,2221900,GERN,Geron Corp,생명과학 및 메디컬 리서치,0.1011730840607239,,
2021-06-15,1.44,1.46,1.39,1.39,1.39,1952700,GERN,Geron Corp,생명과학 및 메디컬 리서치,-3.6187940366344096,,
2021-06-16,1.4,1.42,1.36,1.41,1.41,1357400,GERN,Geron Corp,생명과학 및 메디컬 리서치,-1.4843083983661187,,
2021-06-17,1.4,1.43,1.37,1.41,1.41,6655500,GERN,Geron Corp,생명과학 및 메디컬 리서치,-1.3159030176112196,,
2021-06-18,1.63,2.23,1.52,1.83,1.83,348269100,GERN,Geron Corp,생명과학 및 메디컬 리서치,28.068607232339595,,
2021-06-21,1.8,1.81,1.61,1.7,1.7,34084800,GERN,Geron Corp,생명과학 및 메디컬 리서치,16.339239619248012,,
