Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,18.25,18.4,17.940001,18.190001,14.683221,679600,GNL,Global Net Lease Inc,주택 및 상업용 리츠,,,
2021-03-05,18.370001,18.42,18.059999,18.25,14.731651,603800,GNL,Global Net Lease Inc,주택 및 상업용 리츠,,,
2021-03-08,18.35,18.790001,18.190001,18.6,15.014176,1457500,GNL,Global Net Lease Inc,주택 및 상업용 리츠,,,
2021-03-09,18.690001,18.690001,18.26,18.51,14.941528,962100,GNL,Global Net Lease Inc,주택 및 상업용 리츠,,,
2021-03-10,18.440001,18.77,18.370001,18.620001,15.030322,831300,GNL,Global Net Lease Inc,주택 및 상업용 리츠,,,
2021-03-11,18.67,18.790001,18.59,18.700001,15.094899,875000,GNL,Global Net Lease Inc,주택 및 상업용 리츠,,,
2021-03-12,18.809999,19.040001,18.76,18.9,15.256342,810500,GNL,Global Net Lease Inc,주택 및 상업용 리츠,,,
2021-03-15,18.870001,19.200001,18.67,19.0,15.337061,816500,GNL,Global Net Lease Inc,주택 및 상업용 리츠,,,
2021-03-16,18.91,18.91,18.42,18.43,14.876951,862500,GNL,Global Net Lease Inc,주택 및 상업용 리츠,,,
2021-03-17,18.4,18.469999,18.17,18.360001,14.820447,927300,GNL,Global Net Lease Inc,주택 및 상업용 리츠,,,
2021-03-18,18.4,18.440001,18.1,18.190001,14.683221,590200,GNL,Global Net Lease Inc,주택 및 상업용 리츠,,,
2021-03-19,18.16,18.43,17.889999,17.9,14.449125,1638100,GNL,Global Net Lease Inc,주택 및 상업용 리츠,,,
2021-03-22,17.940001,18.110001,17.84,18.110001,14.618644,663200,GNL,Global Net Lease Inc,주택 및 상업용 리츠,,,
2021-03-23,18.0,18.219999,17.9,18.0,14.529847,599600,GNL,Global Net Lease Inc,주택 및 상업용 리츠,,,
2021-03-24,18.1,18.370001,17.68,17.68,14.271542,744800,GNL,Global Net Lease Inc,주택 및 상업용 리츠,,,
2021-03-25,17.6,18.09,17.41,18.030001,14.554066,499800,GNL,Global Net Lease Inc,주택 및 상업용 리츠,,,
2021-03-26,18.200001,18.309999,18.040001,18.25,14.731651,411100,GNL,Global Net Lease Inc,주택 및 상업용 리츠,,,
2021-03-29,18.27,18.379999,18.129999,18.129999,14.634786,398000,GNL,Global Net Lease Inc,주택 및 상업용 리츠,,,
2021-03-30,18.139999,18.42,18.110001,18.360001,14.820447,249900,GNL,Global Net Lease Inc,주택 및 상업용 리츠,,,
2021-03-31,18.309999,18.370001,18.059999,18.059999,14.57828,637500,GNL,Global Net Lease Inc,주택 및 상업용 리츠,-2.77595517994228,,
2021-04-01,18.219999,18.59,18.1,18.59,15.006106,534800,GNL,Global Net Lease Inc,주택 및 상업용 리츠,-0.8778491485240347,,
2021-04-05,18.700001,18.780001,18.554001,18.73,15.119116,481000,GNL,Global Net Lease Inc,주택 및 상업용 리츠,-1.3866721180916253,,
2021-04-06,18.780001,18.985001,18.74,18.93,15.280559,633200,GNL,Global Net Lease Inc,주택 및 상업용 리츠,0.0004619638356517797,,
2021-04-07,18.9,19.120001,18.9,19.09,15.409711,472700,GNL,Global Net Lease Inc,주택 및 상업용 리츠,0.8026232387044141,,
2021-04-08,19.09,19.23,19.049999,19.16,15.466217,765300,GNL,Global Net Lease Inc,주택 및 상업용 리츠,0.8550412724191547,,
2021-04-09,18.700001,18.799999,18.43,18.450001,15.210644,531100,GNL,Global Net Lease Inc,주택 및 상업용 리츠,-3.3361029183933577,,
2021-04-12,18.49,18.73,18.379999,18.709999,15.424994,308800,GNL,Global Net Lease Inc,주택 및 상업용 리츠,-1.677746732074492,,
2021-04-13,18.74,18.870001,18.59,18.799999,15.499194,414900,GNL,Global Net Lease Inc,주택 및 상업용 리츠,-1.263767024208129,,
2021-04-14,18.799999,18.940001,18.6,18.629999,15.359042,334400,GNL,Global Net Lease Inc,주택 및 상업용 리츠,-1.6114798220087545,,
2021-04-15,18.870001,19.01,18.719999,19.0,15.664081,339700,GNL,Global Net Lease Inc,주택 및 상업용 리츠,-0.6892201587378022,,
2021-04-16,19.040001,19.1,18.809999,18.860001,15.54866,258100,GNL,Global Net Lease Inc,주택 및 상업용 리츠,-1.625751308385448,,
2021-04-19,18.860001,18.870001,18.620001,18.77,15.474463,489700,GNL,Global Net Lease Inc,주택 및 상업용 리츠,-1.5020438424498739,,
2021-04-20,18.799999,19.07,18.780001,19.059999,15.713545,387200,GNL,Global Net Lease Inc,주택 및 상업용 리츠,0.6896766221089923,,
2021-04-21,19.110001,19.200001,18.969999,19.059999,15.713545,417400,GNL,Global Net Lease Inc,주택 및 상업용 리츠,-0.19949874578601978,,
2021-04-22,19.0,19.209999,18.92,18.950001,15.622857,305600,GNL,Global Net Lease Inc,주택 및 상업용 리츠,0.10664073854187439,,
