Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,34.09,35.0,33.93,34.360001,33.177292,869600,HTH,Hilltop Holdings Inc,은행,,,
2021-03-05,35.0,35.0,34.349998,34.970001,33.766304,793900,HTH,Hilltop Holdings Inc,은행,,,
2021-03-08,35.0,36.25,34.75,36.139999,34.896027,801400,HTH,Hilltop Holdings Inc,은행,,,
2021-03-09,36.25,37.009998,35.52,36.66,35.398125,737200,HTH,Hilltop Holdings Inc,은행,,,
2021-03-10,36.91,37.98,36.720001,37.549999,36.257492,733600,HTH,Hilltop Holdings Inc,은행,,,
2021-03-11,37.41,38.610001,37.25,38.610001,37.281017,592000,HTH,Hilltop Holdings Inc,은행,,,
2021-03-12,39.0,39.599998,38.700001,39.369999,38.014847,937900,HTH,Hilltop Holdings Inc,은행,,,
2021-03-15,39.380001,39.439999,37.939999,38.0,36.692005,751100,HTH,Hilltop Holdings Inc,은행,,,
2021-03-16,37.740002,38.029999,36.959999,37.57,36.27681,624800,HTH,Hilltop Holdings Inc,은행,,,
2021-03-17,37.810001,37.869999,37.150002,37.459999,36.170589,501600,HTH,Hilltop Holdings Inc,은행,,,
2021-03-18,37.84,39.150002,37.639999,37.779999,36.479576,567400,HTH,Hilltop Holdings Inc,은행,,,
2021-03-19,37.75,38.130001,36.84,38.080002,36.769253,2495200,HTH,Hilltop Holdings Inc,은행,,,
2021-03-22,37.740002,37.830002,36.119999,36.32,35.069836,725000,HTH,Hilltop Holdings Inc,은행,,,
2021-03-23,35.970001,36.060001,34.330002,34.529999,33.341446,755100,HTH,Hilltop Holdings Inc,은행,,,
2021-03-24,34.799999,35.610001,33.599998,33.700001,32.540012,522700,HTH,Hilltop Holdings Inc,은행,,,
2021-03-25,33.299999,34.459999,33.25,34.330002,33.148331,409300,HTH,Hilltop Holdings Inc,은행,,,
2021-03-26,34.82,35.18,34.5,35.18,33.969074,350100,HTH,Hilltop Holdings Inc,은행,,,
2021-03-29,34.689999,35.040001,33.48,33.669998,32.511047,525800,HTH,Hilltop Holdings Inc,은행,,,
2021-03-30,33.939999,34.560001,33.77,34.349998,33.167641,392000,HTH,Hilltop Holdings Inc,은행,,,
2021-03-31,34.200001,34.59,33.970001,34.130001,32.955219,572600,HTH,Hilltop Holdings Inc,은행,-6.878709120435844,,
2021-04-01,34.150002,34.470001,33.68,34.41,33.225574,382900,HTH,Hilltop Holdings Inc,은행,-6.930630362298573,,
