Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,18.120001,19.09,16.32,17.09,17.09,1366600,KLR,Kaleyra Inc,통신 서비스,,,
2021-03-05,17.09,17.65,14.89,16.92,16.92,1295700,KLR,Kaleyra Inc,통신 서비스,,,
2021-03-08,16.969999,17.49,15.4,15.45,15.45,703500,KLR,Kaleyra Inc,통신 서비스,,,
2021-03-09,15.64,16.91,15.64,16.76,16.76,504400,KLR,Kaleyra Inc,통신 서비스,,,
2021-03-10,16.629999,17.0,15.8,16.200001,16.200001,488300,KLR,Kaleyra Inc,통신 서비스,,,
2021-03-11,16.450001,17.75,16.07,17.700001,17.700001,334600,KLR,Kaleyra Inc,통신 서비스,,,
2021-03-12,17.700001,17.700001,17.01,17.440001,17.440001,195400,KLR,Kaleyra Inc,통신 서비스,,,
2021-03-15,17.26,18.68,17.26,17.629999,17.629999,299600,KLR,Kaleyra Inc,통신 서비스,,,
2021-03-16,17.5,17.879999,16.219999,16.49,16.49,328500,KLR,Kaleyra Inc,통신 서비스,,,
2021-03-17,16.35,16.719999,15.9,16.58,16.58,313800,KLR,Kaleyra Inc,통신 서비스,,,
2021-03-18,16.68,16.68,15.35,15.74,15.74,432100,KLR,Kaleyra Inc,통신 서비스,,,
2021-03-19,16.07,16.620001,15.59,16.200001,16.200001,313700,KLR,Kaleyra Inc,통신 서비스,,,
2021-03-22,16.610001,16.639999,15.95,16.129999,16.129999,204400,KLR,Kaleyra Inc,통신 서비스,,,
2021-03-23,16.25,16.329,15.2,15.71,15.71,219600,KLR,Kaleyra Inc,통신 서비스,,,
2021-03-24,15.65,15.9,14.7,14.75,14.75,520100,KLR,Kaleyra Inc,통신 서비스,,,
2021-03-25,14.27,15.27,14.25,14.76,14.76,306000,KLR,Kaleyra Inc,통신 서비스,,,
2021-03-26,14.63,15.12,14.35,15.12,15.12,279900,KLR,Kaleyra Inc,통신 서비스,,,
2021-03-29,14.84,15.03,14.35,14.56,14.56,180200,KLR,Kaleyra Inc,통신 서비스,,,
2021-03-30,14.8,14.92,14.36,14.5,14.5,410900,KLR,Kaleyra Inc,통신 서비스,,,
2021-03-31,14.21,14.87,14.1,14.1,14.1,383200,KLR,Kaleyra Inc,통신 서비스,-13.092462891454726,,
2021-04-01,14.65,15.5,14.515,15.1,15.1,211700,KLR,Kaleyra Inc,통신 서비스,-7.1311482539999975,,
2021-04-05,15.02,16.16,15.01,15.83,15.83,287900,KLR,Kaleyra Inc,통신 서비스,-3.403666091430124,,
2021-04-06,15.72,16.08,15.09,15.25,15.25,208300,KLR,Kaleyra Inc,통신 서비스,-6.503491545495111,,
2021-04-07,15.31,15.31,14.62,14.75,14.75,225700,KLR,Kaleyra Inc,통신 서비스,-8.894997011009576,,
2021-04-08,14.71,15.19,14.5,14.9,14.9,237000,KLR,Kaleyra Inc,통신 서비스,-7.752686185507207,,
2021-04-09,14.3,15.0,14.3,14.61,14.61,180500,KLR,Kaleyra Inc,통신 서비스,-9.141014273210935,,
2021-04-12,14.5,14.91,14.09,14.45,14.45,212000,KLR,Kaleyra Inc,통신 서비스,-9.04156684504801,,
2021-04-13,14.51,14.8,14.04,14.8,14.8,251600,KLR,Kaleyra Inc,통신 서비스,-6.084633650276727,,
2021-04-14,14.75,15.07,14.0,14.0,14.0,311400,KLR,Kaleyra Inc,통신 서비스,-9.888196124357407,,
