Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,19.459999,19.6,18.610001,18.83,18.474188,141100,MANU,Manchester United PLC,호텔 및 엔터테인먼트,,,
2021-03-05,19.0,19.85,18.809999,19.799999,19.425861,222800,MANU,Manchester United PLC,호텔 및 엔터테인먼트,,,
2021-03-08,19.98,20.0,19.4,20.0,19.622082,242700,MANU,Manchester United PLC,호텔 및 엔터테인먼트,,,
2021-03-09,20.0,20.219999,19.91,19.969999,19.592649,123000,MANU,Manchester United PLC,호텔 및 엔터테인먼트,,,
2021-03-10,20.049999,20.139999,19.709999,19.940001,19.563217,144500,MANU,Manchester United PLC,호텔 및 엔터테인먼트,,,
2021-03-11,20.01,20.219999,19.290001,20.129999,19.749624,227300,MANU,Manchester United PLC,호텔 및 엔터테인먼트,,,
2021-03-12,18.299999,18.440001,17.719999,18.26,17.914959,2190000,MANU,Manchester United PLC,호텔 및 엔터테인먼트,,,
2021-03-15,18.33,19.0,18.299999,18.76,18.405512,528600,MANU,Manchester United PLC,호텔 및 엔터테인먼트,,,
2021-03-16,18.790001,18.940001,18.299999,18.879999,18.523245,532600,MANU,Manchester United PLC,호텔 및 엔터테인먼트,,,
2021-03-17,18.9,18.9,18.139999,18.27,17.924772,205900,MANU,Manchester United PLC,호텔 및 엔터테인먼트,,,
2021-03-18,18.219999,18.280001,17.719999,17.73,17.394976,194600,MANU,Manchester United PLC,호텔 및 엔터테인먼트,,,
2021-03-19,17.75,17.99,17.48,17.530001,17.198755,171600,MANU,Manchester United PLC,호텔 및 엔터테인먼트,,,
2021-03-22,17.66,17.9,17.25,17.32,16.992723,179000,MANU,Manchester United PLC,호텔 및 엔터테인먼트,,,
2021-03-23,17.309999,17.450001,17.09,17.110001,16.786692,276100,MANU,Manchester United PLC,호텔 및 엔터테인먼트,,,
2021-03-24,17.139999,18.370001,16.610001,17.27,16.943666,2533100,MANU,Manchester United PLC,호텔 및 엔터테인먼트,,,
2021-03-25,17.030001,17.030001,16.41,16.809999,16.492359,302900,MANU,Manchester United PLC,호텔 및 엔터테인먼트,,,
2021-03-26,16.719999,16.719999,15.91,16.15,15.844831,301200,MANU,Manchester United PLC,호텔 및 엔터테인먼트,,,
2021-03-29,16.049999,16.26,15.87,15.95,15.648609,191400,MANU,Manchester United PLC,호텔 및 엔터테인먼트,,,
2021-03-30,15.93,16.200001,15.79,15.8,15.501445,382600,MANU,Manchester United PLC,호텔 및 엔터테인먼트,,,
2021-03-31,15.81,16.08,15.65,15.74,15.442578,198500,MANU,Manchester United PLC,호텔 및 엔터테인먼트,-13.903239882862373,,
2021-04-01,15.72,16.280001,15.7,16.24,15.933129,327600,MANU,Manchester United PLC,호텔 및 엔터테인먼트,-11.284138933674859,,
2021-04-05,16.540001,16.68,16.02,16.32,16.011618,252900,MANU,Manchester United PLC,호텔 및 엔터테인먼트,-10.990534830571807,,
2021-04-06,16.32,16.860001,16.32,16.76,16.443304,353500,MANU,Manchester United PLC,호텔 및 엔터테인먼트,-7.347924638546233,,
2021-04-07,17.1,17.17,16.66,16.76,16.443304,507200,MANU,Manchester United PLC,호텔 및 엔터테인먼트,-6.382697190698961,,
2021-04-08,16.76,17.01,16.43,16.5,16.188217,321100,MANU,Manchester United PLC,호텔 및 엔터테인먼트,-7.071098646004148,,
2021-04-09,16.459999,16.639999,16.25,16.52,16.207842,231300,MANU,Manchester United PLC,호텔 및 엔터테인먼트,-6.4747238958014375,,
2021-04-12,16.719999,16.719999,16.139999,16.379999,16.070486,268700,MANU,Manchester United PLC,호텔 및 엔터테인먼트,-6.525307883641673,,
2021-04-13,16.32,16.48,16.1,16.25,15.942941,238300,MANU,Manchester United PLC,호텔 및 엔터테인먼트,-6.68902558597696,,
2021-04-14,16.200001,16.4,16.02,16.049999,15.746721,303100,MANU,Manchester United PLC,호텔 및 엔터테인먼트,-6.488258627157039,,
2021-04-15,16.24,16.530001,16.110001,16.299999,15.991997,300000,MANU,Manchester United PLC,호텔 및 엔터테인먼트,-5.289904832709425,,
2021-04-16,16.379999,16.43,16.049999,16.17,15.864452,143100,MANU,Manchester United PLC,호텔 및 엔터테인먼트,-5.622878591547364,,
2021-04-19,17.6,17.950001,17.129999,17.26,16.933857,1557500,MANU,Manchester United PLC,호텔 및 엔터테인먼트,1.6912999949066254,,
2021-04-20,17.16,17.549999,16.01,16.219999,15.913507,827200,MANU,Manchester United PLC,호텔 및 엔터테인먼트,-3.2206361417469465,,
2021-04-21,16.219999,16.549999,16.07,16.540001,16.227463,577500,MANU,Manchester United PLC,호텔 및 엔터테인먼트,-1.7214915018224364,,
2021-04-22,16.65,16.68,16.139999,16.309999,16.001808,336600,MANU,Manchester United PLC,호텔 및 엔터테인먼트,-1.5817394870449197,,
2021-04-23,16.290001,16.52,16.110001,16.200001,15.893888,268700,MANU,Manchester United PLC,호텔 및 엔터테인먼트,-2.787661082993498,,
2021-04-26,16.360001,16.91,16.25,16.889999,16.570848,321400,MANU,Manchester United PLC,호텔 및 엔터테인먼트,1.2106760365324654,,
2021-04-27,16.889999,16.98,16.629999,16.74,16.423683,205100,MANU,Manchester United PLC,호텔 및 엔터테인먼트,0.3562741556859095,,
2021-04-28,16.709999,17.200001,16.559999,17.200001,16.87499,368400,MANU,Manchester United PLC,호텔 및 엔터테인먼트,3.045612308070922,,
2021-04-29,17.200001,17.82,17.200001,17.74,17.404787,516000,MANU,Manchester United PLC,호텔 및 엔터테인먼트,5.236558455980145,,
2021-04-30,17.73,17.84,17.559999,17.73,17.394976,282500,MANU,Manchester United PLC,호텔 및 엔터테인먼트,5.674760307420801,,
2021-05-03,17.639999,17.709999,17.26,17.469999,17.139887,220500,MANU,Manchester United PLC,호텔 및 엔터테인먼트,3.6269985070857658,,
2021-05-04,17.469999,17.5,17.02,17.139999,16.816124,267900,MANU,Manchester United PLC,호텔 및 엔터테인먼트,2.351010026832756,,
