Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,2.73,2.76,2.6,2.67,2.67,315300,MHLD,Maiden Holdings Ltd,보험,,,
2021-03-05,2.67,2.86,2.54,2.85,2.85,382200,MHLD,Maiden Holdings Ltd,보험,,,
2021-03-08,2.9,2.91,2.8,2.9,2.9,254100,MHLD,Maiden Holdings Ltd,보험,,,
2021-03-09,2.92,2.92,2.85,2.88,2.88,166100,MHLD,Maiden Holdings Ltd,보험,,,
2021-03-10,2.92,2.98,2.88,2.95,2.95,169600,MHLD,Maiden Holdings Ltd,보험,,,
2021-03-11,2.96,3.0,2.92,2.97,2.97,246000,MHLD,Maiden Holdings Ltd,보험,,,
2021-03-12,2.97,3.03,2.94,2.99,2.99,150400,MHLD,Maiden Holdings Ltd,보험,,,
2021-03-15,3.0,3.13,2.97,3.1,3.1,453700,MHLD,Maiden Holdings Ltd,보험,,,
2021-03-16,3.25,3.31,3.14,3.17,3.17,328400,MHLD,Maiden Holdings Ltd,보험,,,
2021-03-17,3.14,3.17,2.97,3.14,3.14,323600,MHLD,Maiden Holdings Ltd,보험,,,
2021-03-18,3.14,3.17,3.01,3.06,3.06,168000,MHLD,Maiden Holdings Ltd,보험,,,
2021-03-19,3.05,3.25,2.98,3.25,3.25,637400,MHLD,Maiden Holdings Ltd,보험,,,
2021-03-22,3.23,3.23,3.1,3.19,3.19,141900,MHLD,Maiden Holdings Ltd,보험,,,
2021-03-23,3.18,3.18,3.05,3.09,3.09,178200,MHLD,Maiden Holdings Ltd,보험,,,
2021-03-24,3.09,3.13,2.99,3.11,3.11,148200,MHLD,Maiden Holdings Ltd,보험,,,
2021-03-25,3.11,3.22,3.06,3.22,3.22,237200,MHLD,Maiden Holdings Ltd,보험,,,
2021-03-26,3.25,3.25,3.15,3.24,3.24,103300,MHLD,Maiden Holdings Ltd,보험,,,
2021-03-29,3.23,3.46,3.16,3.42,3.42,366400,MHLD,Maiden Holdings Ltd,보험,,,
2021-03-30,3.45,3.46,3.35,3.38,3.38,203100,MHLD,Maiden Holdings Ltd,보험,,,
2021-03-31,3.37,3.39,3.27,3.3,3.3,216900,MHLD,Maiden Holdings Ltd,보험,5.221221129292308,,
2021-04-01,3.33,3.42,3.27,3.33,3.33,128300,MHLD,Maiden Holdings Ltd,보험,4.146133198667146,,
2021-04-05,3.38,3.38,3.27,3.27,3.27,85400,MHLD,Maiden Holdings Ltd,보험,0.43481124702244855,,
2021-04-06,3.27,3.44,3.24,3.43,3.43,196200,MHLD,Maiden Holdings Ltd,보험,4.906148065906324,,
2021-04-07,3.46,3.5,3.38,3.4,3.4,186100,MHLD,Maiden Holdings Ltd,보험,3.255163711691589,,
2021-04-08,3.39,3.66,3.31,3.62,3.62,384100,MHLD,Maiden Holdings Ltd,보험,8.62041223207466,,
2021-04-09,3.6,3.63,3.52,3.61,3.61,190400,MHLD,Maiden Holdings Ltd,보험,6.700772981612735,,
2021-04-12,3.59,3.65,3.56,3.59,3.59,125200,MHLD,Maiden Holdings Ltd,보험,5.413702763460604,,
2021-04-13,3.61,3.63,3.55,3.58,3.58,108500,MHLD,Maiden Holdings Ltd,보험,4.248365146976485,,
2021-04-14,3.6,3.64,3.4,3.43,3.43,208600,MHLD,Maiden Holdings Ltd,보험,0.09947911803926957,,
2021-04-15,3.48,3.54,3.4,3.44,3.44,91000,MHLD,Maiden Holdings Ltd,보험,-0.9174232123095649,,
2021-04-16,3.43,3.45,3.39,3.43,3.43,87100,MHLD,Maiden Holdings Ltd,보험,-1.7847675706543331,,
2021-04-19,3.4,3.4,3.23,3.24,3.24,230200,MHLD,Maiden Holdings Ltd,보험,-6.4370525103669145,,
2021-04-20,3.21,3.3,3.18,3.18,3.18,161200,MHLD,Maiden Holdings Ltd,보험,-7.315298460629616,,
2021-04-21,3.18,3.41,3.18,3.37,3.37,166300,MHLD,Maiden Holdings Ltd,보험,-2.7846017167783343,,
2021-04-22,3.4,3.41,3.33,3.39,3.39,220500,MHLD,Maiden Holdings Ltd,보험,-1.4182556508461341,,
2021-04-23,3.38,3.43,3.34,3.42,3.42,122100,MHLD,Maiden Holdings Ltd,보험,-1.588569460635425,,
2021-04-26,3.43,3.44,3.34,3.37,3.37,147200,MHLD,Maiden Holdings Ltd,보험,-3.1390645238263737,,
2021-04-27,3.37,3.46,3.36,3.4,3.4,143400,MHLD,Maiden Holdings Ltd,보험,-1.9659243617185074,,
2021-04-28,3.41,3.52,3.35,3.52,3.52,191300,MHLD,Maiden Holdings Ltd,보험,1.655971551643387,,
2021-04-29,3.53,3.62,3.5,3.57,3.57,200100,MHLD,Maiden Holdings Ltd,보험,2.301994079337244,,
2021-04-30,3.55,3.76,3.52,3.72,3.72,305300,MHLD,Maiden Holdings Ltd,보험,6.97709215465212,,
2021-05-03,3.75,3.8,3.66,3.79,3.79,228100,MHLD,Maiden Holdings Ltd,보험,8.028441631790507,,
2021-05-04,3.78,3.8,3.68,3.79,3.79,138100,MHLD,Maiden Holdings Ltd,보험,8.313985402237133,,
2021-05-05,3.8,3.84,3.74,3.8,3.8,153500,MHLD,Maiden Holdings Ltd,보험,8.019104169097947,,
2021-05-06,3.78,3.89,3.76,3.86,3.86,235900,MHLD,Maiden Holdings Ltd,보험,8.609797297088306,,
2021-05-07,3.86,4.0,3.85,3.87,3.87,268000,MHLD,Maiden Holdings Ltd,보험,7.839267551222595,,
2021-05-10,4.0,4.0,3.57,3.59,3.59,441100,MHLD,Maiden Holdings Ltd,보험,1.1667730441418112,,
2021-05-11,3.55,3.7,3.45,3.68,3.68,175800,MHLD,Maiden Holdings Ltd,보험,4.4753648403852875,,
2021-05-12,3.61,3.69,3.5,3.52,3.52,161800,MHLD,Maiden Holdings Ltd,보험,1.9146330247583832,,
2021-05-13,3.53,3.62,3.28,3.28,3.28,547800,MHLD,Maiden Holdings Ltd,보험,-6.025385476689749,,
2021-05-14,3.38,3.42,3.24,3.39,3.39,350400,MHLD,Maiden Holdings Ltd,보험,-4.260239500308405,,
2021-05-17,3.34,3.39,3.3,3.32,3.32,99000,MHLD,Maiden Holdings Ltd,보험,-6.105647735810371,,
2021-05-18,3.29,3.43,3.27,3.35,3.35,121000,MHLD,Maiden Holdings Ltd,보험,-4.681859585620574,,
2021-05-19,3.31,3.36,3.23,3.35,3.35,143300,MHLD,Maiden Holdings Ltd,보험,-4.436774518302988,,
2021-05-20,3.34,3.42,3.29,3.37,3.37,128500,MHLD,Maiden Holdings Ltd,보험,-4.816860569153181,,
2021-05-21,3.37,3.37,3.19,3.26,3.26,240900,MHLD,Maiden Holdings Ltd,보험,-7.6686593484084575,,
2021-05-24,3.25,3.33,3.22,3.27,3.27,87000,MHLD,Maiden Holdings Ltd,보험,-8.155796357618005,,
2021-05-25,3.29,3.32,3.25,3.26,3.26,129000,MHLD,Maiden Holdings Ltd,보험,-8.059023036481715,,
2021-05-26,3.27,3.5,3.22,3.46,3.46,242300,MHLD,Maiden Holdings Ltd,보험,-2.504145033465488,,
2021-05-27,3.43,3.58,3.42,3.53,3.53,108200,MHLD,Maiden Holdings Ltd,보험,-0.6040691831540657,,
2021-05-28,3.58,3.58,3.46,3.52,3.52,111700,MHLD,Maiden Holdings Ltd,보험,-0.6537490024487336,,
2021-06-01,3.55,3.6,3.48,3.6,3.6,153700,MHLD,Maiden Holdings Ltd,보험,1.9398292896001923,,
2021-06-02,3.6,3.62,3.55,3.6,3.6,136700,MHLD,Maiden Holdings Ltd,보험,2.1239698745918245,,
2021-06-03,3.56,3.6,3.34,3.45,3.45,252300,MHLD,Maiden Holdings Ltd,보험,-1.250373594205556,,
2021-06-04,3.51,3.51,3.38,3.49,3.49,172300,MHLD,Maiden Holdings Ltd,보험,-0.42083096641459816,,
2021-06-07,3.46,3.63,3.42,3.58,3.58,475600,MHLD,Maiden Holdings Ltd,보험,2.645423127161939,,
2021-06-08,3.6,3.6,3.5,3.52,3.52,138700,MHLD,Maiden Holdings Ltd,보험,1.0570506034116578,,
2021-06-09,3.54,3.62,3.51,3.52,3.52,135100,MHLD,Maiden Holdings Ltd,보험,1.5627059616252437,,
2021-06-10,3.53,3.54,3.44,3.49,3.49,171700,MHLD,Maiden Holdings Ltd,보험,0.49431880660759653,,
2021-06-11,3.47,3.52,3.44,3.49,3.49,163500,MHLD,Maiden Holdings Ltd,보험,0.15156090387511423,,
2021-06-14,3.51,3.54,3.47,3.49,3.49,199600,MHLD,Maiden Holdings Ltd,보험,-0.0785174630882457,,
2021-06-15,3.46,3.51,3.37,3.42,3.42,213200,MHLD,Maiden Holdings Ltd,보험,-1.9325236871387874,,
2021-06-16,3.42,3.51,3.42,3.43,3.43,228800,MHLD,Maiden Holdings Ltd,보험,-1.115891248145029,,
2021-06-17,3.44,3.49,3.3,3.35,3.35,274000,MHLD,Maiden Holdings Ltd,보험,-3.259555945281445,,
2021-06-18,3.35,3.55,3.34,3.5,3.5,376600,MHLD,Maiden Holdings Ltd,보험,2.2307039353720137,,
2021-06-21,3.48,3.63,3.48,3.56,3.56,349200,MHLD,Maiden Holdings Ltd,보험,2.1853878240929436,,
2021-06-22,3.57,3.65,3.47,3.53,3.53,421200,MHLD,Maiden Holdings Ltd,보험,0.4898366272578558,,
2021-06-23,3.56,3.63,3.47,3.49,3.49,478800,MHLD,Maiden Holdings Ltd,보험,-0.807110020914581,,
2021-06-24,3.49,3.6,3.4,3.41,3.41,723600,MHLD,Maiden Holdings Ltd,보험,-3.4933952901911147,,
2021-06-25,3.45,3.69,3.39,3.54,3.54,8188100,MHLD,Maiden Holdings Ltd,보험,-0.06638876266743532,,
2021-06-28,3.51,3.53,3.23,3.3,3.3,511500,MHLD,Maiden Holdings Ltd,보험,-6.67238495041741,,
2021-06-29,3.32,3.36,3.23,3.27,3.27,183200,MHLD,Maiden Holdings Ltd,보험,-7.011571638324055,,
2021-06-30,3.28,3.41,3.26,3.37,3.37,174200,MHLD,Maiden Holdings Ltd,보험,-3.876705850849682,,
2021-07-01,3.4,3.45,3.31,3.41,3.41,222000,MHLD,Maiden Holdings Ltd,보험,-3.042141903281881,,
2021-07-02,3.39,3.41,3.3,3.31,3.31,140900,MHLD,Maiden Holdings Ltd,보험,-6.214176876890354,,
2021-07-06,3.3,3.31,3.22,3.26,3.26,122400,MHLD,Maiden Holdings Ltd,보험,-6.889766173342194,,
2021-07-07,3.24,3.46,3.22,3.45,3.45,219100,MHLD,Maiden Holdings Ltd,보험,-1.5421670674032328,,
2021-07-08,3.43,3.54,3.34,3.48,3.48,279500,MHLD,Maiden Holdings Ltd,보험,0.35134709327135916,,
2021-07-09,3.49,3.56,3.44,3.49,3.49,123900,MHLD,Maiden Holdings Ltd,보험,-0.33011839161837253,,
2021-07-12,3.49,3.53,3.45,3.52,3.52,161900,MHLD,Maiden Holdings Ltd,보험,0.2989727180485735,,
2021-07-13,3.49,3.52,3.39,3.41,3.41,82000,MHLD,Maiden Holdings Ltd,보험,-2.2499074430236687,,
2021-07-14,3.41,3.48,3.27,3.28,3.28,106900,MHLD,Maiden Holdings Ltd,보험,-5.7582034071913535,,
2021-07-15,3.29,3.34,3.25,3.33,3.33,116200,MHLD,Maiden Holdings Ltd,보험,-3.7160276795259017,,
2021-07-16,3.37,3.38,3.29,3.32,3.32,134100,MHLD,Maiden Holdings Ltd,보험,-3.115720705534175,,
2021-07-19,3.28,3.37,3.24,3.29,3.29,180300,MHLD,Maiden Holdings Ltd,보험,-2.025642426563712,,
2021-07-20,3.28,3.54,3.28,3.5,3.5,285400,MHLD,Maiden Holdings Ltd,보험,2.8867814862006735,,
2021-07-21,3.51,3.59,3.51,3.56,3.56,204400,MHLD,Maiden Holdings Ltd,보험,3.8909811708897513,,
2021-07-22,3.55,3.55,3.49,3.52,3.52,94400,MHLD,Maiden Holdings Ltd,보험,2.626573906655172,,
2021-07-23,3.51,3.53,3.41,3.49,3.49,91900,MHLD,Maiden Holdings Ltd,보험,0.7825142450337497,,
2021-07-26,3.46,3.58,3.36,3.51,3.51,109200,MHLD,Maiden Holdings Ltd,보험,1.3338915606536883,,
2021-07-27,3.48,3.52,3.39,3.51,3.51,143600,MHLD,Maiden Holdings Ltd,보험,1.6298151159948704,,
2021-07-28,3.53,3.58,3.39,3.5,3.5,145400,MHLD,Maiden Holdings Ltd,보험,1.1437557785040964,,
2021-07-29,3.51,3.55,3.44,3.48,3.48,73900,MHLD,Maiden Holdings Ltd,보험,0.12352766256837899,,
2021-07-30,3.47,3.48,3.38,3.38,3.38,69200,MHLD,Maiden Holdings Ltd,보험,-2.09833880132958,,
2021-08-02,3.39,3.45,3.33,3.35,3.35,139500,MHLD,Maiden Holdings Ltd,보험,-2.8072099896166325,,
2021-08-03,3.37,3.37,3.23,3.26,3.26,272300,MHLD,Maiden Holdings Ltd,보험,-6.107219398946995,,
2021-08-04,3.26,3.29,3.23,3.27,3.27,148800,MHLD,Maiden Holdings Ltd,보험,-5.0853088305789935,,
2021-08-05,3.29,3.39,3.25,3.38,3.38,65800,MHLD,Maiden Holdings Ltd,보험,-2.2140279719654377,,
2021-08-06,3.4,3.48,3.4,3.43,3.43,101600,MHLD,Maiden Holdings Ltd,보험,-0.7708234399376845,,
