Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,2.23,2.25,1.65,1.78,1.78,23052500,MICT,MICT Inc,우주항공 및 국방,,,
2021-03-05,1.88,1.91,1.51,1.87,1.87,17325500,MICT,MICT Inc,우주항공 및 국방,,,
2021-03-08,1.87,1.93,1.68,1.73,1.73,9568400,MICT,MICT Inc,우주항공 및 국방,,,
2021-03-09,1.83,1.97,1.76,1.91,1.91,7158400,MICT,MICT Inc,우주항공 및 국방,,,
2021-03-10,1.952,1.97,1.82,1.88,1.88,8209000,MICT,MICT Inc,우주항공 및 국방,,,
2021-03-11,1.93,2.05,1.88,2.02,2.02,6011700,MICT,MICT Inc,우주항공 및 국방,,,
2021-03-12,1.9,2.06,1.87,2.04,2.04,4799800,MICT,MICT Inc,우주항공 및 국방,,,
2021-03-15,2.07,2.15,2.01,2.07,2.07,4653900,MICT,MICT Inc,우주항공 및 국방,,,
2021-03-16,2.1,2.29,2.04,2.21,2.21,9254700,MICT,MICT Inc,우주항공 및 국방,,,
2021-03-17,2.04,2.29,2.01,2.27,2.27,5705100,MICT,MICT Inc,우주항공 및 국방,,,
2021-03-18,2.25,2.47,2.21,2.23,2.23,6215900,MICT,MICT Inc,우주항공 및 국방,,,
2021-03-19,2.258,2.52,2.172,2.52,2.52,9256400,MICT,MICT Inc,우주항공 및 국방,,,
2021-03-22,2.56,2.68,2.5,2.57,2.57,7885000,MICT,MICT Inc,우주항공 및 국방,,,
2021-03-23,2.51,2.545,2.2,2.37,2.37,6969100,MICT,MICT Inc,우주항공 및 국방,,,
2021-03-24,2.4,2.43,2.09,2.11,2.11,6457000,MICT,MICT Inc,우주항공 및 국방,,,
2021-03-25,2.04,2.23,1.97,2.17,2.17,4481600,MICT,MICT Inc,우주항공 및 국방,,,
2021-03-26,2.2,2.27,1.96,2.08,2.08,4001900,MICT,MICT Inc,우주항공 및 국방,,,
2021-03-29,2.04,2.08,1.96,1.98,1.98,2940900,MICT,MICT Inc,우주항공 및 국방,,,
2021-03-30,1.98,2.14,1.93,2.08,2.08,2815400,MICT,MICT Inc,우주항공 및 국방,,,
2021-03-31,2.05,2.14,1.98,2.07,2.07,4024100,MICT,MICT Inc,우주항공 및 국방,-2.657933207245178,,
2021-04-01,2.1,2.11,2.01,2.07,2.07,1980700,MICT,MICT Inc,우주항공 및 국방,-4.176903199585336,,
2021-04-05,2.06,2.08,2.0,2.03,2.03,1735700,MICT,MICT Inc,우주항공 및 국방,-7.461347179981736,,
2021-04-06,2.04,2.05,1.94,1.94,1.94,2261600,MICT,MICT Inc,우주항공 및 국방,-11.670619343062928,,
2021-04-07,1.94,1.951,1.81,1.81,1.81,2680400,MICT,MICT Inc,우주항공 및 국방,-17.333674866831927,,
2021-04-08,1.86,1.92,1.82,1.86,1.86,1717200,MICT,MICT Inc,우주항공 및 국방,-15.184056478951003,,
2021-04-09,1.85,1.94,1.805,1.94,1.94,1696700,MICT,MICT Inc,우주항공 및 국방,-11.860492241014153,,
2021-04-12,1.94,1.96,1.78,1.79,1.79,2434700,MICT,MICT Inc,우주항공 및 국방,-18.015828102216847,,
2021-04-13,1.788,1.8,1.675,1.75,1.75,3130800,MICT,MICT Inc,우주항공 및 국방,-19.356288341207595,,
2021-04-14,1.77,1.82,1.74,1.77,1.77,1914200,MICT,MICT Inc,우주항공 및 국방,-17.08252304495573,,
2021-04-15,1.8,1.81,1.57,1.6,1.6,4223900,MICT,MICT Inc,우주항공 및 국방,-24.500825482790354,,
2021-04-16,1.63,1.63,1.541,1.6,1.6,1519800,MICT,MICT Inc,우주항공 및 국방,-23.360171282735465,,
2021-04-19,1.56,1.6,1.45,1.6,1.6,3468800,MICT,MICT Inc,우주항공 및 국방,-20.892094903140112,,
2021-04-20,1.57,1.61,1.44,1.47,1.47,2852000,MICT,MICT Inc,우주항공 및 국방,-24.51699340984638,,
2021-04-21,1.45,1.7,1.45,1.7,1.7,3199300,MICT,MICT Inc,우주항공 및 국방,-11.647680152103469,,
2021-04-22,1.68,1.745,1.605,1.62,1.62,2483300,MICT,MICT Inc,우주항공 및 국방,-13.610297999313426,,
2021-04-23,1.66,1.7,1.62,1.65,1.65,1338200,MICT,MICT Inc,우주항공 및 국방,-11.395408229779935,,
2021-04-26,1.84,1.89,1.75,1.86,1.86,11589400,MICT,MICT Inc,우주항공 및 국방,0.5976714477363476,,
2021-04-27,1.85,1.86,1.7,1.74,1.74,3577500,MICT,MICT Inc,우주항공 및 국방,-4.979112408615361,,
2021-04-28,1.7,1.72,1.65,1.68,1.68,2161400,MICT,MICT Inc,우주항공 및 국방,-6.85949117710829,,
2021-04-29,1.69,1.71,1.58,1.7,1.7,2160300,MICT,MICT Inc,우주항공 및 국방,-5.0920525466760065,,
2021-04-30,1.67,1.72,1.62,1.65,1.65,1585200,MICT,MICT Inc,우주항공 및 국방,-5.8847199775575065,,
2021-05-03,1.68,1.76,1.632,1.69,1.69,2778300,MICT,MICT Inc,우주항공 및 국방,-2.769112807890539,,
2021-05-04,1.66,1.69,1.56,1.67,1.67,1993800,MICT,MICT Inc,우주항공 및 국방,-2.3884403838126733,,
2021-05-05,1.67,1.67,1.6,1.66,1.66,1148800,MICT,MICT Inc,우주항공 및 국방,-2.5033426587124596,,
2021-05-06,1.63,1.66,1.55,1.61,1.61,1540800,MICT,MICT Inc,우주항공 및 국방,-5.386187549360965,,
2021-05-07,1.59,1.63,1.56,1.59,1.59,1372300,MICT,MICT Inc,우주항공 및 국방,-6.153859552391127,,
2021-05-10,1.6,1.6,1.5,1.53,1.53,1534300,MICT,MICT Inc,우주항공 및 국방,-7.957268421781938,,
2021-05-11,1.43,1.545,1.4,1.53,1.53,1219800,MICT,MICT Inc,우주항공 및 국방,-6.515271401731204,,
2021-05-12,1.48,1.54,1.45,1.47,1.47,919200,MICT,MICT Inc,우주항공 및 국방,-7.421888659074394,,
2021-05-13,1.48,1.52,1.23,1.26,1.26,3826300,MICT,MICT Inc,우주항공 및 국방,-20.818883543389354,,
2021-05-14,1.36,1.41,1.32,1.4,1.4,2184300,MICT,MICT Inc,우주항공 및 국방,-12.786136521701764,,
2021-05-17,1.41,1.47,1.4,1.43,1.43,1178100,MICT,MICT Inc,우주항공 및 국방,-10.21464897416523,,
2021-05-18,1.49,1.66,1.48,1.58,1.58,3617000,MICT,MICT Inc,우주항공 및 국방,-0.2996327376686869,,
2021-05-19,1.56,1.73,1.51,1.65,1.65,2751100,MICT,MICT Inc,우주항공 및 국방,4.512412508021524,,
2021-05-20,1.74,1.74,1.611,1.72,1.72,1593000,MICT,MICT Inc,우주항공 및 국방,7.503334940572204,,
2021-05-21,1.75,1.85,1.75,1.81,1.81,3973300,MICT,MICT Inc,우주항공 및 국방,12.619901200791928,,
2021-05-24,1.97,2.0,1.71,1.81,1.81,12234800,MICT,MICT Inc,우주항공 및 국방,11.701107395377107,,
2021-05-25,1.8,1.91,1.73,1.86,1.86,4750500,MICT,MICT Inc,우주항공 및 국방,14.608049230726984,,
2021-05-26,1.84,1.92,1.83,1.84,1.84,2524800,MICT,MICT Inc,우주항공 및 국방,12.62699458336134,,
2021-05-27,1.83,1.95,1.78,1.93,1.93,3327000,MICT,MICT Inc,우주항공 및 국방,17.15936108672316,,
2021-05-28,1.979,2.135,1.97,2.11,2.11,4359400,MICT,MICT Inc,우주항공 및 국방,26.26089955856601,,
2021-06-01,2.195,2.292,2.09,2.17,2.17,4817000,MICT,MICT Inc,우주항공 및 국방,28.0892644455244,,
2021-06-02,2.152,2.39,2.12,2.14,2.14,5699100,MICT,MICT Inc,우주항공 및 국방,24.47570502823735,,
2021-06-03,2.17,2.224,2.14,2.16,2.16,2393800,MICT,MICT Inc,우주항공 및 국방,24.31873547538055,,
2021-06-04,2.26,2.358,2.233,2.34,2.34,3424400,MICT,MICT Inc,우주항공 및 국방,30.815653909688834,,
2021-06-07,2.425,2.49,2.3,2.49,2.49,5277600,MICT,MICT Inc,우주항공 및 국방,35.8824842800028,,
2021-06-08,2.54,2.6,2.24,2.38,2.38,6577600,MICT,MICT Inc,우주항공 및 국방,26.961956896879325,,
2021-06-09,2.38,2.49,2.25,2.26,2.26,4132300,MICT,MICT Inc,우주항공 및 국방,18.54707985678383,,
2021-06-10,2.29,2.4,2.26,2.37,2.37,3720800,MICT,MICT Inc,우주항공 및 국방,21.097645583291925,,
2021-06-11,2.4,2.44,2.3,2.32,2.32,2257700,MICT,MICT Inc,우주항공 및 국방,15.317066764332354,,
2021-06-14,2.39,2.43,2.32,2.42,2.42,3096200,MICT,MICT Inc,우주항공 및 국방,17.183743741106184,,
2021-06-15,2.4,2.4,2.17,2.21,2.21,4770900,MICT,MICT Inc,우주항공 및 국방,5.310917106177704,,
2021-06-16,2.14,2.27,2.1,2.26,2.26,2723000,MICT,MICT Inc,우주항공 및 국방,6.633871063328689,,
2021-06-17,2.209,2.29,2.18,2.25,2.25,1689500,MICT,MICT Inc,우주항공 및 국방,4.8291397649490975,,
2021-06-18,2.25,2.29,2.13,2.27,2.27,2196000,MICT,MICT Inc,우주항공 및 국방,5.8014376413011215,,
2021-06-21,2.27,2.275,2.15,2.23,2.23,2416600,MICT,MICT Inc,우주항공 및 국방,1.5913044342661387,,
2021-06-22,2.19,2.28,2.16,2.28,2.28,2127300,MICT,MICT Inc,우주항공 및 국방,2.299339782774479,,
2021-06-23,2.3,2.4,2.24,2.4,2.4,2625200,MICT,MICT Inc,우주항공 및 국방,6.56501061235244,,
2021-06-24,2.405,2.44,2.35,2.37,2.37,2349900,MICT,MICT Inc,우주항공 및 국방,3.484937083454387,,
2021-06-25,2.385,2.4,2.335,2.4,2.4,1793400,MICT,MICT Inc,우주항공 및 국방,3.4713567207941276,,
2021-06-28,2.46,2.5,2.4,2.49,2.49,3738800,MICT,MICT Inc,우주항공 및 국방,6.333853523700772,,
2021-06-29,2.44,2.46,2.34,2.39,2.39,2693000,MICT,MICT Inc,우주항공 및 국방,1.658302142756174,,
2021-06-30,2.34,2.375,2.29,2.34,2.34,1698600,MICT,MICT Inc,우주항공 및 국방,-0.9256656854411238,,
2021-07-01,2.4,2.42,2.3,2.33,2.33,1403100,MICT,MICT Inc,우주항공 및 국방,-2.077064168037568,,
2021-07-02,2.362,2.369,2.25,2.28,2.28,1502500,MICT,MICT Inc,우주항공 및 국방,-4.637662462364034,,
2021-07-06,2.25,2.25,2.14,2.2,2.2,2317400,MICT,MICT Inc,우주항공 및 국방,-7.098515081652302,,
2021-07-07,2.129,2.16,1.94,2.05,2.05,3970000,MICT,MICT Inc,우주항공 및 국방,-12.983323055102824,,
2021-07-08,1.864,2.12,1.86,2.09,2.09,2146500,MICT,MICT Inc,우주항공 및 국방,-10.087787126585933,,
2021-07-09,2.115,2.215,2.08,2.18,2.18,2158900,MICT,MICT Inc,우주항공 및 국방,-6.740391301900472,,
2021-07-12,2.19,2.2,2.08,2.11,2.11,1864000,MICT,MICT Inc,우주항공 및 국방,-9.49571534070861,,
2021-07-13,2.08,2.207,2.07,2.18,2.18,1930000,MICT,MICT Inc,우주항공 및 국방,-5.5434257004645,,
2021-07-14,2.16,2.16,2.01,2.03,2.03,1745300,MICT,MICT Inc,우주항공 및 국방,-11.674013036000918,,
2021-07-15,2.02,2.08,1.95,2.03,2.03,965500,MICT,MICT Inc,우주항공 및 국방,-10.795086201918092,,
2021-07-16,2.0,2.04,1.95,1.97,1.97,901300,MICT,MICT Inc,우주항공 및 국방,-12.120171364507804,,
2021-07-19,1.86,1.92,1.7,1.87,1.87,4220200,MICT,MICT Inc,우주항공 및 국방,-14.362218090451206,,
2021-07-20,1.84,1.95,1.825,1.9,1.9,1552300,MICT,MICT Inc,우주항공 및 국방,-13.543282173755145,,
2021-07-21,1.88,2.0,1.875,1.96,1.96,1762900,MICT,MICT Inc,우주항공 및 국방,-10.776490245935754,,
2021-07-22,1.965,1.98,1.91,1.93,1.93,886400,MICT,MICT Inc,우주항공 및 국방,-11.227888047112533,,
2021-07-23,1.87,1.897,1.82,1.84,1.84,1457500,MICT,MICT Inc,우주항공 및 국방,-15.036187241277755,,
2021-07-26,1.795,1.92,1.795,1.88,1.88,1109200,MICT,MICT Inc,우주항공 및 국방,-12.183074894231027,,
2021-07-27,1.85,1.895,1.77,1.86,1.86,2080900,MICT,MICT Inc,우주항공 및 국방,-11.260066143583048,,
2021-07-28,1.86,1.91,1.83,1.9,1.9,1291100,MICT,MICT Inc,우주항공 및 국방,-8.127853613255132,,
2021-07-29,1.87,1.94,1.845,1.9,1.9,1303500,MICT,MICT Inc,우주항공 및 국방,-7.383857065542198,,
2021-07-30,1.87,1.89,1.82,1.85,1.85,1048200,MICT,MICT Inc,우주항공 및 국방,-8.159260716919526,,
2021-08-02,1.85,1.9,1.84,1.88,1.88,675600,MICT,MICT Inc,우주항공 및 국방,-5.514937199199343,,
2021-08-03,1.84,1.94,1.75,1.78,1.78,3357800,MICT,MICT Inc,우주항공 및 국방,-10.238780201124964,,
2021-08-04,1.82,1.83,1.75,1.76,1.76,1092100,MICT,MICT Inc,우주항공 및 국방,-10.126381303959908,,
2021-08-05,1.76,1.82,1.75,1.78,1.78,936500,MICT,MICT Inc,우주항공 및 국방,-8.80900862212145,,
2021-08-06,1.76,1.87,1.74,1.83,1.83,994400,MICT,MICT Inc,우주항공 및 국방,-5.4774833514191545,,
2021-08-09,1.86,1.9,1.8,1.84,1.84,1272800,MICT,MICT Inc,우주항공 및 국방,-4.145634325982705,,
2021-08-10,1.83,1.86,1.81,1.82,1.82,663700,MICT,MICT Inc,우주항공 및 국방,-4.3011530388549435,,
2021-08-11,1.81,1.82,1.78,1.82,1.82,606000,MICT,MICT Inc,우주항공 및 국방,-3.812873230670022,,
2021-08-12,1.83,1.95,1.79,1.93,1.93,1440100,MICT,MICT Inc,우주항공 및 국방,1.9737440516802263,,
2021-08-13,1.95,2.06,1.89,1.99,1.99,3439900,MICT,MICT Inc,우주항공 및 국방,5.097484404012409,,
2021-08-16,1.93,1.94,1.77,1.82,1.82,2706300,MICT,MICT Inc,우주항공 및 국방,-3.7589808187227014,,
2021-08-17,1.82,1.82,1.72,1.75,1.75,1525100,MICT,MICT Inc,우주항공 및 국방,-6.2911224942589055,,
2021-08-18,1.771,1.8,1.656,1.71,1.71,2302700,MICT,MICT Inc,우주항공 및 국방,-6.760075807128496,,
2021-08-19,1.658,1.67,1.52,1.64,1.64,3660800,MICT,MICT Inc,우주항공 및 국방,-9.936447594220777,,
2021-08-20,1.59,1.63,1.56,1.62,1.62,730800,MICT,MICT Inc,우주항공 및 국방,-11.190957641667488,,
2021-08-23,1.63,1.69,1.62,1.68,1.68,951300,MICT,MICT Inc,우주항공 및 국방,-8.119937432509605,,
2021-08-24,1.69,1.81,1.69,1.78,1.78,1438700,MICT,MICT Inc,우주항공 및 국방,-2.487897967133501,,
2021-08-25,1.75,1.82,1.75,1.78,1.78,700000,MICT,MICT Inc,우주항공 및 국방,-2.273211723028734,,
2021-08-26,1.77,1.825,1.74,1.76,1.76,1041200,MICT,MICT Inc,우주항공 및 국방,-2.3687614582440286,,
2021-08-27,1.76,1.8,1.75,1.77,1.77,624500,MICT,MICT Inc,우주항공 및 국방,-2.3274614985782205,,
2021-08-30,1.8,1.82,1.75,1.8,1.8,729500,MICT,MICT Inc,우주항공 및 국방,-0.7141644684997561,,
2021-08-31,1.79,1.82,1.77,1.79,1.79,865000,MICT,MICT Inc,우주항공 및 국방,-1.0502417253098528,,
2021-09-01,1.732,1.86,1.73,1.8,1.8,1302800,MICT,MICT Inc,우주항공 및 국방,-0.5049692775605852,,
2021-09-02,1.81,1.855,1.77,1.78,1.78,891400,MICT,MICT Inc,우주항공 및 국방,-1.772028011696658,,
2021-09-03,1.81,1.84,1.78,1.81,1.81,645500,MICT,MICT Inc,우주항공 및 국방,0.08493101546132031,,
2021-09-07,1.79,1.99,1.79,1.97,1.97,3129300,MICT,MICT Inc,우주항공 및 국방,9.020273405657186,,
2021-09-08,2.055,2.06,1.83,1.89,1.89,2672700,MICT,MICT Inc,우주항공 및 국방,4.62018031283109,,
2021-09-09,1.912,1.98,1.87,1.93,1.93,935900,MICT,MICT Inc,우주항공 및 국방,7.063256588096167,,
2021-09-10,2.0,2.08,1.98,2.07,2.07,2699500,MICT,MICT Inc,우주항공 및 국방,15.26896086193279,,
2021-09-13,2.207,2.3,2.11,2.22,2.22,6780200,MICT,MICT Inc,우주항공 및 국방,22.559042019810516,,
2021-09-14,2.2,2.2,1.87,1.91,1.91,6251600,MICT,MICT Inc,우주항공 및 국방,5.746446285736795,,
2021-09-15,1.88,1.88,1.76,1.79,1.79,3420000,MICT,MICT Inc,우주항공 및 국방,-1.803274814079614,,
2021-09-16,1.738,1.75,1.675,1.7,1.7,2844500,MICT,MICT Inc,우주항공 및 국방,-6.496619759810263,,
2021-09-17,1.69,1.75,1.68,1.73,1.73,1117200,MICT,MICT Inc,우주항공 및 국방,-4.184076536488646,,
2021-09-20,1.65,1.688,1.58,1.58,1.58,2344500,MICT,MICT Inc,우주항공 및 국방,-10.956963045918744,,
2021-09-21,1.6,1.66,1.6,1.63,1.63,980600,MICT,MICT Inc,우주항공 및 국방,-8.056701224838303,,
2021-09-22,1.64,1.69,1.62,1.67,1.67,1254100,MICT,MICT Inc,우주항공 및 국방,-6.495253592698502,,
2021-09-23,1.69,1.69,1.631,1.65,1.65,951100,MICT,MICT Inc,우주항공 및 국방,-8.440801537311893,,
2021-09-24,1.62,1.65,1.6,1.61,1.61,928100,MICT,MICT Inc,우주항공 및 국방,-10.43272485962058,,
2021-09-27,1.61,1.71,1.602,1.7,1.7,1364500,MICT,MICT Inc,우주항공 및 국방,-5.046037490446897,,
2021-09-28,1.69,1.737,1.62,1.63,1.63,1223700,MICT,MICT Inc,우주항공 및 국방,-6.797673953170868,,
2021-09-29,1.65,1.667,1.57,1.62,1.62,1426000,MICT,MICT Inc,우주항공 및 국방,-7.235499366103015,,
2021-09-30,1.63,1.65,1.54,1.55,1.55,1549500,MICT,MICT Inc,우주항공 및 국방,-9.745558894302174,,
2021-10-01,1.57,1.61,1.555,1.59,1.59,787800,MICT,MICT Inc,우주항공 및 국방,-8.152549656334351,,
2021-10-04,1.59,1.59,1.44,1.46,1.46,3150900,MICT,MICT Inc,우주항공 및 국방,-13.906954288094642,,
2021-10-05,1.45,1.5,1.42,1.46,1.46,1834900,MICT,MICT Inc,우주항공 및 국방,-13.710873447989602,1.9086666666666667,
2021-10-06,1.43,1.47,1.41,1.43,1.43,792000,MICT,MICT Inc,우주항공 및 국방,-14.834263572302376,1.9063333333333337,-0.0011666666666665382
2021-10-07,1.46,1.5,1.42,1.44,1.44,815500,MICT,MICT Inc,우주항공 및 국방,-13.799345479945679,1.9034666666666669,-0.0014333333333333975
2021-10-08,1.44,1.47,1.42,1.45,1.45,686200,MICT,MICT Inc,우주항공 및 국방,-11.471192640900785,1.9016,-0.0009333333333334526
2021-10-11,1.45,1.48,1.37,1.39,1.39,1010700,MICT,MICT Inc,우주항공 및 국방,-12.458084962528682,1.8981333333333332,-0.0017333333333333645
2021-10-12,1.39,1.45,1.38,1.45,1.45,772600,MICT,MICT Inc,우주항공 및 국방,-7.227282421024828,1.8952666666666664,-0.0014333333333333975
2021-10-13,1.45,1.6,1.435,1.6,1.6,1960300,MICT,MICT Inc,우주항공 및 국방,2.530018011273971,1.8924666666666667,-0.0013999999999998458
2021-10-14,1.61,1.62,1.49,1.5,1.5,1291100,MICT,MICT Inc,우주항공 및 국방,-4.9321330354408,1.8888666666666665,-0.0018000000000001348
2021-10-15,1.5,1.54,1.46,1.47,1.47,792700,MICT,MICT Inc,우주항공 및 국방,-6.716545933849383,1.8848666666666665,-0.0020000000000000018
2021-10-18,1.47,1.5,1.35,1.37,1.37,1672800,MICT,MICT Inc,우주항공 및 국방,-12.645743833189083,1.8792666666666666,-0.0027999999999999137
2021-10-19,1.39,1.45,1.35,1.45,1.45,1350000,MICT,MICT Inc,우주항공 및 국방,-7.515193592048631,1.8738000000000004,-0.0027333333333331433
2021-10-20,1.48,1.53,1.4,1.43,1.43,1376500,MICT,MICT Inc,우주항공 및 국방,-8.26863631411583,1.8684666666666665,-0.002666666666666928
2021-10-21,1.43,1.51,1.41,1.43,1.43,1299600,MICT,MICT Inc,우주항공 및 국방,-7.783630727862012,1.8612,-0.0036333333333332662
2021-10-22,1.41,1.43,1.36,1.37,1.37,1363500,MICT,MICT Inc,우주항공 및 국방,-10.77371617251105,1.8531999999999997,-0.004000000000000115
2021-10-25,1.375,1.44,1.37,1.42,1.42,1252600,MICT,MICT Inc,우주항공 및 국방,-6.967744624911454,1.8468666666666664,-0.003166666666666651
2021-10-26,1.44,1.44,1.35,1.36,1.36,1638600,MICT,MICT Inc,우주항공 및 국방,-10.021380961695336,1.8418666666666668,-0.0024999999999998357
2021-10-27,1.38,1.39,1.31,1.32,1.32,1817900,MICT,MICT Inc,우주항공 및 국방,-11.126873969980544,1.8362,-0.0028333333333333544
2021-10-28,1.3,1.316,1.27,1.29,1.29,1942700,MICT,MICT Inc,우주항공 및 국방,-12.935785939496757,1.8309333333333333,-0.0026333333333333764
