Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-07-19,13.0,16.0,13.0,16.0,16.0,1300,NABL,N-Able Inc,소프트웨어 및 IT서비스,,,
2021-07-20,15.37,15.85,12.25,12.5,12.5,1569400,NABL,N-Able Inc,소프트웨어 및 IT서비스,,,
2021-07-21,12.65,13.63,11.66,13.32,13.32,1806700,NABL,N-Able Inc,소프트웨어 및 IT서비스,,,
2021-07-22,12.16,13.32,12.01,12.53,12.53,1155600,NABL,N-Able Inc,소프트웨어 및 IT서비스,,,
2021-07-23,12.1,13.33,11.8,12.7,12.7,2233200,NABL,N-Able Inc,소프트웨어 및 IT서비스,,,
2021-07-26,13.0,13.14,12.29,12.39,12.39,1474600,NABL,N-Able Inc,소프트웨어 및 IT서비스,,,
2021-07-27,12.71,12.72,12.16,12.5,12.5,1453200,NABL,N-Able Inc,소프트웨어 및 IT서비스,,,
2021-07-28,13.4,13.425,12.92,13.22,13.22,606000,NABL,N-Able Inc,소프트웨어 및 IT서비스,,,
2021-07-29,13.5,13.56,13.222,13.47,13.47,499800,NABL,N-Able Inc,소프트웨어 및 IT서비스,,,
2021-07-30,13.38,14.07,13.2,13.8,13.8,732800,NABL,N-Able Inc,소프트웨어 및 IT서비스,,,
2021-08-02,13.89,14.73,13.76,14.28,14.28,361800,NABL,N-Able Inc,소프트웨어 및 IT서비스,,,
2021-08-03,14.28,14.28,13.9,14.22,14.22,296000,NABL,N-Able Inc,소프트웨어 및 IT서비스,,,
2021-08-04,14.04,14.21,13.97,14.06,14.06,244100,NABL,N-Able Inc,소프트웨어 및 IT서비스,,,
2021-08-05,14.12,14.32,13.93,14.12,14.12,247700,NABL,N-Able Inc,소프트웨어 및 IT서비스,,,
2021-08-06,14.06,14.56,13.95,14.55,14.55,383900,NABL,N-Able Inc,소프트웨어 및 IT서비스,,,
2021-08-09,14.55,14.68,13.551,13.57,13.57,163300,NABL,N-Able Inc,소프트웨어 및 IT서비스,,,
2021-08-10,13.56,13.72,13.34,13.52,13.52,251300,NABL,N-Able Inc,소프트웨어 및 IT서비스,,,
2021-08-11,13.52,13.79,13.435,13.73,13.73,165800,NABL,N-Able Inc,소프트웨어 및 IT서비스,,,
2021-08-12,13.63,13.81,13.34,13.51,13.51,287800,NABL,N-Able Inc,소프트웨어 및 IT서비스,,,
2021-08-13,13.46,13.57,13.315,13.51,13.51,275600,NABL,N-Able Inc,소프트웨어 및 IT서비스,-1.9364352681236041,,
2021-08-16,13.69,13.72,13.25,13.58,13.58,315200,NABL,N-Able Inc,소프트웨어 및 IT서비스,-0.5152033085042085,,
2021-08-17,13.47,13.76,13.47,13.68,13.68,158000,NABL,N-Able Inc,소프트웨어 및 IT서비스,0.6261809513898875,,
2021-08-18,13.57,13.68,13.12,13.31,13.31,263900,NABL,N-Able Inc,소프트웨어 및 IT서비스,-0.9812163772495608,,
2021-08-19,13.11,13.3,12.94,13.29,13.29,379700,NABL,N-Able Inc,소프트웨어 및 IT서비스,-1.4919963098304012,,
2021-08-20,13.2,13.54,13.05,13.26,13.26,1141300,NABL,N-Able Inc,소프트웨어 및 IT서비스,-2.6776783688011063,,
2021-08-23,13.27,13.64,12.96,13.02,13.02,240100,NABL,N-Able Inc,소프트웨어 및 IT서비스,-5.40847872577912,,
2021-08-24,13.01,13.19,12.9,12.92,12.92,249200,NABL,N-Able Inc,소프트웨어 및 IT서비스,-6.3360744313374795,,
2021-08-25,13.3,14.64,13.09,13.83,13.83,657800,NABL,N-Able Inc,소프트웨어 및 IT서비스,-0.07781494031516845,,
2021-08-26,14.0,14.15,13.26,13.88,13.88,637400,NABL,N-Able Inc,소프트웨어 및 IT서비스,0.77762116184803,,
2021-08-27,13.8,14.23,13.76,13.78,13.78,1472700,NABL,N-Able Inc,소프트웨어 및 IT서비스,-0.6867731466444704,,
2021-08-30,13.88,14.28,12.92,13.11,13.11,522600,NABL,N-Able Inc,소프트웨어 및 IT서비스,-5.366852766500207,,
2021-08-31,13.21,13.61,13.12,13.53,13.53,1737600,NABL,N-Able Inc,소프트웨어 및 IT서비스,-1.8449079471953178,,
2021-09-01,13.5,14.01,13.29,13.89,13.89,460400,NABL,N-Able Inc,소프트웨어 및 IT서비스,0.9395240738449218,,
2021-09-02,13.88,14.3,13.63,14.22,14.22,867000,NABL,N-Able Inc,소프트웨어 및 IT서비스,3.135850869250789,,
2021-09-03,14.29,14.635,14.25,14.4,14.4,658200,NABL,N-Able Inc,소프트웨어 및 IT서비스,4.656474685145562,,
2021-09-07,14.59,15.54,14.49,15.05,15.05,974200,NABL,N-Able Inc,소프트웨어 및 IT서비스,9.270502568614237,,
2021-09-08,14.83,15.12,14.34,14.72,14.72,600800,NABL,N-Able Inc,소프트웨어 및 IT서비스,6.6418038564682425,,
2021-09-09,14.5,14.6,13.59,13.73,13.73,1395500,NABL,N-Able Inc,소프트웨어 및 IT서비스,-0.01299256194564613,,
2021-09-10,13.72,14.455,13.55,14.4,14.4,857900,NABL,N-Able Inc,소프트웨어 및 IT서비스,5.335691358224182,,
2021-09-13,14.74,14.98,13.54,13.56,13.56,955400,NABL,N-Able Inc,소프트웨어 및 IT서비스,-1.0514421473450608,,
2021-09-14,13.5,14.32,13.47,14.3,14.3,917600,NABL,N-Able Inc,소프트웨어 및 IT서비스,4.632399771340001,,
2021-09-15,14.12,14.38,13.54,13.56,13.56,1580900,NABL,N-Able Inc,소프트웨어 및 IT서비스,-1.5371523629537864,,
2021-09-16,13.65,14.595,13.645,14.51,14.51,1757200,NABL,N-Able Inc,소프트웨어 및 IT서비스,5.1508945073287515,,
2021-09-17,14.44,15.77,14.4,15.52,15.52,4855200,NABL,N-Able Inc,소프트웨어 및 IT서비스,12.619697255284645,,
2021-09-20,15.15,15.235,13.91,14.33,14.33,1302900,NABL,N-Able Inc,소프트웨어 및 IT서비스,5.267332885742593,,
2021-09-21,14.32,14.8,14.25,14.46,14.46,2114200,NABL,N-Able Inc,소프트웨어 및 IT서비스,5.608213676893414,,
2021-09-22,14.5,14.57,14.17,14.37,14.37,546600,NABL,N-Able Inc,소프트웨어 및 IT서비스,3.321791618577663,,
2021-09-23,14.31,14.5,13.59,13.76,13.76,458000,NABL,N-Able Inc,소프트웨어 및 IT서비스,-2.2764438546953536,,
2021-09-24,13.72,13.76,13.51,13.54,13.54,577100,NABL,N-Able Inc,소프트웨어 및 IT서비스,-3.878656733075958,,
2021-09-27,13.52,13.65,13.01,13.26,13.26,402700,NABL,N-Able Inc,소프트웨어 및 IT서비스,-5.497511806811916,,
2021-09-28,13.21,13.21,12.76,12.83,12.83,561900,NABL,N-Able Inc,소프트웨어 및 IT서비스,-6.739320653729896,,
2021-09-29,12.77,12.78,11.98,12.44,12.44,1464300,NABL,N-Able Inc,소프트웨어 및 IT서비스,-9.51831990481481,,
2021-09-30,12.43,12.58,12.3,12.41,12.41,265300,NABL,N-Able Inc,소프트웨어 및 IT서비스,-8.373658390263394,,
2021-10-01,12.4,12.78,12.13,12.78,12.78,460000,NABL,N-Able Inc,소프트웨어 및 IT서비스,-6.414601666376729,,
2021-10-04,12.73,12.73,11.87,12.14,12.14,492600,NABL,N-Able Inc,소프트웨어 및 IT서비스,-9.422877716583834,,
2021-10-05,12.1,12.68,12.1,12.66,12.66,805100,NABL,N-Able Inc,소프트웨어 및 IT서비스,-5.898244925897799,,
2021-10-06,12.44,13.08,12.34,13.0,13.0,465500,NABL,N-Able Inc,소프트웨어 및 IT서비스,-3.3260330619286793,,
2021-10-07,13.11,13.33,12.745,12.89,12.89,763200,NABL,N-Able Inc,소프트웨어 및 IT서비스,-4.738240128326687,,
2021-10-08,12.87,12.97,12.24,12.31,12.31,347900,NABL,N-Able Inc,소프트웨어 및 IT서비스,-8.21379420059557,,
2021-10-11,12.17,12.77,12.17,12.54,12.54,763100,NABL,N-Able Inc,소프트웨어 및 IT서비스,-5.606666816031359,,
2021-10-12,12.48,12.685,12.28,12.5,12.5,687700,NABL,N-Able Inc,소프트웨어 및 IT서비스,-5.142055557027714,,
2021-10-13,12.57,12.63,12.26,12.5,12.5,584000,NABL,N-Able Inc,소프트웨어 및 IT서비스,-5.17456936442221,,
2021-10-14,12.51,12.77,12.5,12.59,12.59,696300,NABL,N-Able Inc,소프트웨어 및 IT서비스,-5.45777500766812,,
2021-10-15,12.71,13.01,12.61,12.97,12.97,1574000,NABL,N-Able Inc,소프트웨어 및 IT서비스,-2.348519846033681,,
2021-10-18,12.98,13.12,12.68,12.7,12.7,214400,NABL,N-Able Inc,소프트웨어 및 IT서비스,-3.963119452359687,,
2021-10-19,12.77,13.13,12.7,13.11,13.11,274800,NABL,N-Able Inc,소프트웨어 및 IT서비스,-0.883697813053419,,
2021-10-20,13.17,13.315,13.085,13.13,13.13,511600,NABL,N-Able Inc,소프트웨어 및 IT서비스,-0.4577238373842163,,
2021-10-21,13.16,13.41,13.07,13.21,13.21,136100,NABL,N-Able Inc,소프트웨어 및 IT서비스,0.17590110337033504,,
2021-10-22,13.2,13.2,12.82,12.88,12.88,113000,NABL,N-Able Inc,소프트웨어 및 IT서비스,-1.8746928138288155,,
2021-10-25,12.89,13.425,12.89,13.27,13.27,146800,NABL,N-Able Inc,소프트웨어 및 IT서비스,0.7555568118871925,,
2021-10-26,13.29,13.5,13.13,13.21,13.21,129700,NABL,N-Able Inc,소프트웨어 및 IT서비스,0.2221835443901421,,
2021-10-27,13.22,13.33,12.85,12.86,12.86,157700,NABL,N-Able Inc,소프트웨어 및 IT서비스,-1.889771647784344,,
2021-10-28,12.95,13.3,12.84,13.17,13.17,184100,NABL,N-Able Inc,소프트웨어 및 IT서비스,-0.47557083861471394,,
2021-10-29,13.08,13.43,13.01,13.3,13.3,165500,NABL,N-Able Inc,소프트웨어 및 IT서비스,0.39019285061581144,,
2021-11-01,13.38,13.82,13.27,13.71,13.71,269500,NABL,N-Able Inc,소프트웨어 및 IT서비스,3.0327771882479038,,
2021-11-02,13.68,14.01,13.51,13.96,13.96,283300,NABL,N-Able Inc,소프트웨어 및 IT서비스,4.343291765646917,,
2021-11-03,14.0,14.18,13.68,14.01,14.01,299600,NABL,N-Able Inc,소프트웨어 및 IT서비스,3.9964390076293377,,
2021-11-04,13.98,14.41,13.98,14.24,14.24,245200,NABL,N-Able Inc,소프트웨어 및 IT서비스,5.058192111713766,,
2021-11-05,14.38,14.38,13.74,13.83,13.83,276100,NABL,N-Able Inc,소프트웨어 및 IT서비스,1.4072931735983119,,
2021-11-08,13.85,14.17,13.85,14.0,14.0,215100,NABL,N-Able Inc,소프트웨어 및 IT서비스,2.3823978744232477,,
2021-11-09,13.98,14.32,13.5,13.72,13.72,173100,NABL,N-Able Inc,소프트웨어 및 IT서비스,0.5915623627079869,,
2021-11-10,13.74,13.8,13.32,13.46,13.46,148600,NABL,N-Able Inc,소프트웨어 및 IT서비스,-0.5511864212475959,,
2021-11-11,13.39,13.52,12.99,13.11,13.11,247300,NABL,N-Able Inc,소프트웨어 및 IT서비스,-3.1623943319828207,,
2021-11-12,13.09,13.48,13.07,13.32,13.32,126700,NABL,N-Able Inc,소프트웨어 및 IT서비스,-2.22230294277288,,
2021-11-15,13.36,13.43,12.8,13.15,13.15,173300,NABL,N-Able Inc,소프트웨어 및 IT서비스,-3.431684445515204,,
2021-11-16,13.23,13.23,12.78,12.83,12.83,287800,NABL,N-Able Inc,소프트웨어 및 IT서비스,-5.866964701631727,,
