Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,21.200001,21.91,19.75,20.549999,20.343845,96000,NETI,Eneti Inc,화물 및 물류 서비스,,,
2021-03-05,20.9,20.969999,19.799999,20.809999,20.601236,99600,NETI,Eneti Inc,화물 및 물류 서비스,,,
2021-03-08,20.98,21.4,20.370001,20.48,20.274549,67400,NETI,Eneti Inc,화물 및 물류 서비스,,,
2021-03-09,20.889999,21.5,20.42,20.42,20.215151,92600,NETI,Eneti Inc,화물 및 물류 서비스,,,
2021-03-10,20.540001,23.5,20.540001,23.27,23.036562,140800,NETI,Eneti Inc,화물 및 물류 서비스,,,
2021-03-11,23.5,23.76,22.76,23.639999,23.402847,94700,NETI,Eneti Inc,화물 및 물류 서비스,,,
2021-03-12,23.33,24.34,23.18,23.93,23.689941,61700,NETI,Eneti Inc,화물 및 물류 서비스,,,
2021-03-15,23.52,24.42,23.51,24.41,24.165125,55900,NETI,Eneti Inc,화물 및 물류 서비스,,,
2021-03-16,24.620001,24.620001,22.799999,22.809999,22.581175,66500,NETI,Eneti Inc,화물 및 물류 서비스,,,
2021-03-17,22.68,24.110001,22.280001,24.01,23.76914,50400,NETI,Eneti Inc,화물 및 물류 서비스,,,
2021-03-18,23.870001,24.74,23.02,23.32,23.08606,64600,NETI,Eneti Inc,화물 및 물류 서비스,,,
2021-03-19,23.049999,24.6,22.459999,24.6,24.353218,215400,NETI,Eneti Inc,화물 및 물류 서비스,,,
2021-03-22,24.5,24.5,22.76,22.83,22.600975,69600,NETI,Eneti Inc,화물 및 물류 서비스,,,
2021-03-23,22.66,22.700001,20.940001,20.99,20.779434,105300,NETI,Eneti Inc,화물 및 물류 서비스,,,
2021-03-24,21.17,21.98,20.360001,20.41,20.20525,69000,NETI,Eneti Inc,화물 및 물류 서비스,,,
2021-03-25,20.01,21.73,19.719999,21.73,21.512011,81900,NETI,Eneti Inc,화물 및 물류 서비스,,,
2021-03-26,21.9,22.08,20.09,20.450001,20.24485,66900,NETI,Eneti Inc,화물 및 물류 서비스,,,
2021-03-29,20.25,21.23,19.85,21.0,20.789333,114000,NETI,Eneti Inc,화물 및 물류 서비스,,,
2021-03-30,20.629999,21.41,20.18,21.07,20.858633,93100,NETI,Eneti Inc,화물 및 물류 서비스,,,
2021-03-31,21.299999,21.299999,20.65,21.030001,20.819035,39700,NETI,Eneti Inc,화물 및 물류 서비스,-6.0986335660045965,,
2021-04-01,21.219999,21.91,20.860001,21.870001,21.650608,43300,NETI,Eneti Inc,화물 및 물류 서비스,-3.478352730576073,,
2021-04-05,22.48,22.48,21.01,21.360001,21.14572,35900,NETI,Eneti Inc,화물 및 물류 서비스,-6.923505440396715,,
2021-04-06,21.25,22.110001,21.25,21.879999,21.660503,30200,NETI,Eneti Inc,화물 및 물류 서비스,-4.5743289892047345,,
2021-04-07,21.68,22.129999,21.459999,21.700001,21.482313,35500,NETI,Eneti Inc,화물 및 물류 서비스,-5.540403367768388,,
2021-04-08,21.5,21.74,20.540001,20.67,20.462643,87700,NETI,Eneti Inc,화물 및 물류 서비스,-9.661263641787677,,
2021-04-09,20.790001,20.91,20.26,20.440001,20.234951,58800,NETI,Eneti Inc,화물 및 물류 서비스,-10.509205959762447,,
2021-04-12,20.25,21.07,19.76,20.15,19.947859,44800,NETI,Eneti Inc,화물 및 물류 서비스,-10.804531269387285,,
2021-04-13,20.15,20.15,19.15,19.18,18.987591,98500,NETI,Eneti Inc,화물 및 물류 서비스,-14.18600553719449,,
2021-04-14,19.4,20.75,19.25,20.27,20.066658,112900,NETI,Eneti Inc,화물 및 물류 서비스,-8.221127125800898,,
2021-04-15,20.67,20.67,19.379999,19.559999,19.363777,85300,NETI,Eneti Inc,화물 및 물류 서비스,-11.288166775225694,,
2021-04-16,19.77,20.27,19.290001,19.530001,19.334078,107400,NETI,Eneti Inc,화물 및 물류 서비스,-10.65293225292766,,
2021-04-19,19.549999,19.969999,19.299999,19.870001,19.670671,89300,NETI,Eneti Inc,화물 및 물류 서비스,-7.268495618029569,,
2021-04-20,19.950001,19.950001,18.5,19.209999,19.017288,137300,NETI,Eneti Inc,화물 및 물류 서비스,-8.716810338858426,,
2021-04-21,19.469999,20.0,18.790001,19.76,19.561771,149900,NETI,Eneti Inc,화물 및 물류 서비스,-6.387015952639075,,
2021-04-22,19.639999,20.610001,19.4,19.450001,19.254885,67200,NETI,Eneti Inc,화물 및 물류 서비스,-6.496021660720752,,
2021-04-23,19.629999,20.09,19.02,19.09,18.898493,45200,NETI,Eneti Inc,화물 및 물류 서비스,-8.315346423102188,,
2021-04-26,19.32,19.940001,19.190001,19.42,19.225183,63000,NETI,Eneti Inc,화물 및 물류 서비스,-6.4193831935964285,,
2021-04-27,19.52,19.85,19.0,19.799999,19.601372,66700,NETI,Eneti Inc,화물 및 물류 서비스,-4.026463913525335,,
2021-04-28,19.719999,20.360001,19.700001,20.219999,20.017159,54500,NETI,Eneti Inc,화물 및 물류 서비스,-1.4185662769287788,,
2021-04-29,20.709999,20.92,20.0,20.110001,19.908262,44400,NETI,Eneti Inc,화물 및 물류 서비스,-2.0959854218926544,,
2021-04-30,19.959999,20.24,19.77,20.110001,19.908262,64900,NETI,Eneti Inc,화물 및 물류 서비스,-0.7446177712688518,,
2021-05-03,20.43,21.459999,20.219999,21.120001,20.908131,77000,NETI,Eneti Inc,화물 및 물류 서비스,4.170305295120458,,
2021-05-04,20.85,21.33,20.190001,20.41,20.20525,168000,NETI,Eneti Inc,화물 및 물류 서비스,1.8400503978867055,,
2021-05-05,20.389999,20.700001,19.790001,19.9,19.700367,81400,NETI,Eneti Inc,화물 및 물류 서비스,-0.2107258279417601,,
2021-05-06,19.6,19.799999,18.93,19.200001,19.007393,78500,NETI,Eneti Inc,화물 및 물류 서비스,-4.024044094365209,,
2021-05-07,19.15,20.049999,19.15,19.77,19.571674,65000,NETI,Eneti Inc,화물 및 물류 서비스,-1.6090997003146423,,
2021-05-10,20.23,20.24,19.65,19.860001,19.66077,83400,NETI,Eneti Inc,화물 및 물류 서비스,0.02829347716155617,,
2021-05-11,19.379999,19.940001,19.23,19.4,19.205385,40800,NETI,Eneti Inc,화물 및 물류 서비스,-1.4765047232883632,,
2021-05-12,19.01,19.16,18.51,18.58,18.393608,94700,NETI,Eneti Inc,화물 및 물류 서비스,-3.2242335823415846,,
2021-05-13,18.549999,19.24,18.299999,18.959999,18.769796,70100,NETI,Eneti Inc,화물 및 물류 서비스,-2.3501750371028307,,
2021-05-14,19.32,20.75,19.17,20.389999,20.185452,67700,NETI,Eneti Inc,화물 및 물류 서비스,3.2317244756406183,,
2021-05-17,20.620001,20.879999,20.290001,20.32,20.116158,56900,NETI,Eneti Inc,화물 및 물류 서비스,3.0206595555780646,,
2021-05-18,20.08,20.84,20.0,20.120001,19.918161,80800,NETI,Eneti Inc,화물 및 물류 서비스,2.635503329059352,,
2021-05-19,20.0,20.66,19.41,20.549999,20.343845,81600,NETI,Eneti Inc,화물 및 물류 서비스,4.853234160365338,,
2021-05-20,20.4,20.82,19.98,20.709999,20.502241,61500,NETI,Eneti Inc,화물 및 물류 서비스,4.264177589939089,,
2021-05-21,21.0,21.549999,20.870001,21.01,20.799232,101800,NETI,Eneti Inc,화물 및 물류 서비스,5.318636685481692,,
2021-05-24,21.120001,21.559999,21.07,21.389999,21.175419,52200,NETI,Eneti Inc,화물 및 물류 서비스,5.66604895838978,,
2021-05-25,21.24,21.6,20.93,20.93,20.720037,76700,NETI,Eneti Inc,화물 및 물류 서비스,3.3265718061605165,,
2021-05-26,21.02,21.299999,20.74,20.83,20.621038,45400,NETI,Eneti Inc,화물 및 물류 서비스,2.5018454398221923,,
2021-05-27,21.129999,21.129999,19.68,19.84,19.640968,74400,NETI,Eneti Inc,화물 및 물류 서비스,-2.430843119484316,,
2021-05-28,19.950001,20.18,19.370001,20.110001,19.958561,49500,NETI,Eneti Inc,화물 및 물류 서비스,-1.1522171350795585,,
2021-06-01,20.27,20.709999,20.25,20.58,20.42502,61800,NETI,Eneti Inc,화물 및 물류 서비스,1.3541763778499805,,
2021-06-02,20.51,20.530001,19.85,20.01,19.859312,82000,NETI,Eneti Inc,화물 및 물류 서비스,-1.4468486409334846,,
2021-06-03,19.91,20.07,19.629999,19.92,19.769993,45200,NETI,Eneti Inc,화물 및 물류 서비스,-1.50831508861482,,
2021-06-04,19.98,20.209999,19.23,19.33,19.184435,41200,NETI,Eneti Inc,화물 및 물류 서비스,-5.262598507999527,,
2021-06-07,19.43,20.33,19.16,20.139999,19.988335,58300,NETI,Eneti Inc,화물 및 물류 서비스,-1.3104679749304515,,
2021-06-08,20.15,20.540001,20.0,20.24,20.087582,39300,NETI,Eneti Inc,화물 및 물류 서비스,-0.8853612563676561,,
2021-06-09,20.23,20.629999,20.0,20.1,19.948637,39400,NETI,Eneti Inc,화물 및 물류 서비스,-1.4840889085260156,,
2021-06-10,20.1,20.950001,20.01,20.610001,20.454794,34300,NETI,Eneti Inc,화물 및 물류 서비스,0.24836100248704085,,
2021-06-11,20.5,21.33,20.299999,21.09,20.931179,94700,NETI,Eneti Inc,화물 및 물류 서비스,2.010252547990654,,
2021-06-14,21.120001,21.32,20.18,20.35,20.196753,52100,NETI,Eneti Inc,화물 및 물류 서비스,-1.6436032733755157,,
2021-06-15,20.25,20.360001,19.51,19.59,19.442476,54500,NETI,Eneti Inc,화물 및 물류 서비스,-4.864175621344458,,
2021-06-16,19.58,20.299999,19.549999,20.200001,20.047882,51800,NETI,Eneti Inc,화물 및 물류 서비스,-1.2768285592503203,,
2021-06-17,20.030001,20.379999,19.65,20.040001,19.889088,53200,NETI,Eneti Inc,화물 및 물류 서비스,-1.7663030037732952,,
2021-06-18,19.74,20.01,18.700001,18.700001,18.559177,84500,NETI,Eneti Inc,화물 및 물류 서비스,-6.641266757001829,,
2021-06-21,18.9,19.35,18.77,18.959999,18.817219,62200,NETI,Eneti Inc,화물 및 물류 서비스,-6.095896795363243,,
