Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,214.369995,214.970001,209.139999,212.589996,211.857819,8300,NWLI,National Western Life Group Inc,보험,,,
2021-03-05,214.0,220.330002,210.309998,220.330002,219.571167,12900,NWLI,National Western Life Group Inc,보험,,,
2021-03-08,222.009995,230.220001,222.009995,228.380005,227.593445,11400,NWLI,National Western Life Group Inc,보험,,,
2021-03-09,229.130005,229.509995,227.360001,229.0,228.211304,6200,NWLI,National Western Life Group Inc,보험,,,
2021-03-10,228.970001,233.100006,228.970001,231.089996,230.294098,5500,NWLI,National Western Life Group Inc,보험,,,
2021-03-11,232.529999,233.050003,230.600006,232.360001,231.559738,6500,NWLI,National Western Life Group Inc,보험,,,
2021-03-12,232.470001,234.410004,230.839996,233.949997,233.144257,5400,NWLI,National Western Life Group Inc,보험,,,
2021-03-15,232.300003,237.130005,230.0,237.130005,236.313309,7500,NWLI,National Western Life Group Inc,보험,,,
2021-03-16,236.75,237.0,232.320007,236.289993,235.476181,7400,NWLI,National Western Life Group Inc,보험,,,
2021-03-17,235.899994,238.309998,235.899994,238.309998,237.489243,5100,NWLI,National Western Life Group Inc,보험,,,
2021-03-18,237.330002,244.899994,237.330002,244.899994,244.056534,9000,NWLI,National Western Life Group Inc,보험,,,
2021-03-19,244.580002,258.140015,244.580002,251.059998,250.195328,29700,NWLI,National Western Life Group Inc,보험,,,
2021-03-22,249.699997,254.919998,246.0,246.649994,245.800507,11500,NWLI,National Western Life Group Inc,보험,,,
2021-03-23,243.740005,246.899994,236.029999,241.800003,240.967224,6500,NWLI,National Western Life Group Inc,보험,,,
2021-03-24,240.699997,244.990005,236.039993,236.039993,235.227051,6600,NWLI,National Western Life Group Inc,보험,,,
2021-03-25,241.649994,252.899994,241.649994,247.0,246.149307,4300,NWLI,National Western Life Group Inc,보험,,,
2021-03-26,247.149994,247.149994,244.990005,245.300003,244.45517,3100,NWLI,National Western Life Group Inc,보험,,,
2021-03-29,255.0,255.0,250.0,251.179993,250.314911,5700,NWLI,National Western Life Group Inc,보험,,,
2021-03-30,252.080002,252.080002,252.080002,252.080002,251.211823,2400,NWLI,National Western Life Group Inc,보험,,,
2021-03-31,247.520004,250.449997,247.520004,249.0,248.14241,7600,NWLI,National Western Life Group Inc,보험,3.0947699843701937,,
2021-04-01,251.850006,255.880005,245.479996,255.880005,254.998718,6200,NWLI,National Western Life Group Inc,보험,4.085304193116701,,
2021-04-05,257.0,257.570007,254.320007,257.299988,256.413849,5600,NWLI,National Western Life Group Inc,보험,2.690731068795249,,
2021-04-06,257.200012,257.200012,251.039993,252.889999,252.019012,2100,NWLI,National Western Life Group Inc,보험,0.8393945122759039,,
2021-04-07,252.0,252.240005,246.429993,251.690002,250.823151,4400,NWLI,National Western Life Group Inc,보험,0.0019218965627842977,,
2021-04-08,249.080002,252.320007,248.360001,249.350006,248.491226,2000,NWLI,National Western Life Group Inc,보험,-1.470950153116135,,
2021-04-09,252.339996,252.339996,245.550003,247.699997,246.846893,5400,NWLI,National Western Life Group Inc,보험,-2.952000610721439,,
2021-04-12,246.320007,250.580002,246.0,246.0,245.152756,1800,NWLI,National Western Life Group Inc,보험,-3.619831705280041,,
2021-04-13,246.240005,250.0,245.050003,245.050003,244.206024,2000,NWLI,National Western Life Group Inc,보험,-4.262515241041354,,
2021-04-14,245.979996,249.0,242.889999,246.899994,246.049637,5200,NWLI,National Western Life Group Inc,보험,-3.1619338023635257,,
2021-04-15,243.25,246.0,242.940002,242.940002,242.103302,2400,NWLI,National Western Life Group Inc,보험,-5.629904551215093,,
2021-04-16,244.949997,248.940002,240.039993,240.690002,239.861038,4700,NWLI,National Western Life Group Inc,보험,-6.458175504432273,,
2021-04-19,242.470001,242.470001,237.990005,237.990005,237.170349,3400,NWLI,National Western Life Group Inc,보험,-6.482064625895934,,
2021-04-20,235.410004,238.0,231.820007,233.220001,232.416779,2500,NWLI,National Western Life Group Inc,보험,-7.259213063063841,,
2021-04-21,233.220001,237.309998,233.220001,233.869995,233.064529,5000,NWLI,National Western Life Group Inc,보험,-7.417107990860716,,
2021-04-22,229.490005,229.490005,224.800003,227.830002,227.045334,5100,NWLI,National Western Life Group Inc,보험,-8.54713294067746,,
2021-04-23,231.970001,232.949997,228.509995,232.0,231.200974,11100,NWLI,National Western Life Group Inc,보험,-7.289180990448574,,
2021-04-26,234.339996,237.820007,230.210007,230.649994,229.855606,4800,NWLI,National Western Life Group Inc,보험,-7.479626174258169,,
2021-04-27,232.25,237.029999,232.25,233.600006,232.795456,3700,NWLI,National Western Life Group Inc,보험,-5.685479355468126,,
2021-04-28,235.0,235.240005,232.25,233.460007,232.655945,5900,NWLI,National Western Life Group Inc,보험,-5.030486551827318,,
2021-04-29,234.0,234.0,230.800003,230.990005,230.194458,4300,NWLI,National Western Life Group Inc,보험,-6.0407381760706365,,
2021-04-30,230.0,231.860001,227.839996,229.300003,228.510269,10000,NWLI,National Western Life Group Inc,보험,-5.3376948607996795,,
2021-05-03,229.389999,239.639999,228.110001,237.490005,236.672058,5300,NWLI,National Western Life Group Inc,보험,-1.677808692510141,,
2021-05-04,232.330002,232.330002,228.690002,228.690002,227.902374,4200,NWLI,National Western Life Group Inc,보험,-4.0882544052252,,
2021-05-05,234.740005,235.240005,231.119995,231.119995,230.32399,4200,NWLI,National Western Life Group Inc,보험,-2.607116457389369,,
2021-05-06,231.25,236.100006,231.25,236.100006,235.286865,2700,NWLI,National Western Life Group Inc,보험,-0.9083347423218147,,
2021-05-07,235.300003,239.690002,235.300003,239.690002,238.864487,4000,NWLI,National Western Life Group Inc,보험,0.15913340908988438,,
2021-05-10,239.100006,240.0,235.300003,239.5,238.67514,9400,NWLI,National Western Life Group Inc,보험,1.3513179473714665,,
2021-05-11,237.199997,238.839996,233.0,237.490005,236.672058,9400,NWLI,National Western Life Group Inc,보험,1.5574470825928666,,
2021-05-12,238.100006,260.0,238.100006,247.600006,246.747253,12300,NWLI,National Western Life Group Inc,보험,8.09797414861897,,
2021-05-13,247.0,257.0,247.0,253.0,252.128647,6300,NWLI,National Western Life Group Inc,보험,8.81184402735531,,
2021-05-14,259.079987,259.079987,253.169998,257.5,256.613159,4600,NWLI,National Western Life Group Inc,보험,8.716780351861985,,
2021-05-17,260.0,260.0,253.0,257.0,256.114868,3700,NWLI,National Western Life Group Inc,보험,8.345047149618612,,
2021-05-18,256.100006,256.5,252.119995,253.699997,252.826233,5400,NWLI,National Western Life Group Inc,보험,7.395867633005082,,
2021-05-19,250.0,255.889999,250.0,253.5,252.626923,3400,NWLI,National Western Life Group Inc,보험,7.108095317893581,,
2021-05-20,259.480011,259.480011,250.5,252.360001,251.490845,5900,NWLI,National Western Life Group Inc,보험,5.003500110580661,,
2021-05-21,255.509995,260.0,250.5,259.980011,259.084625,9800,NWLI,National Western Life Group Inc,보험,7.601868930563427,,
2021-05-24,257.980011,258.0,245.410004,246.800003,245.949997,12400,NWLI,National Western Life Group Inc,보험,0.8214666913649582,,
2021-05-25,259.5,259.5,239.240005,239.240005,238.416046,7200,NWLI,National Western Life Group Inc,보험,-2.170117991035181,,
2021-05-26,235.529999,242.539993,235.529999,240.699997,239.871002,11900,NWLI,National Western Life Group Inc,보험,-1.8881293170285085,,
2021-05-27,242.050003,245.369995,242.050003,242.649994,241.814285,7400,NWLI,National Western Life Group Inc,보험,-1.4539746184511926,,
2021-05-28,243.0,248.610001,243.0,245.020004,244.176132,5000,NWLI,National Western Life Group Inc,보험,-0.8588293811488623,,
2021-06-01,248.520004,248.520004,238.220001,238.580002,237.758316,7500,NWLI,National Western Life Group Inc,보험,-3.427983625823605,,
2021-06-02,238.850006,244.649994,235.759995,236.460007,235.645615,7800,NWLI,National Western Life Group Inc,보험,-4.5282759813644935,,
2021-06-03,235.020004,236.970001,230.130005,231.990005,231.19101,16000,NWLI,National Western Life Group Inc,보험,-5.981818722001142,,
2021-06-04,233.479996,233.479996,227.600006,227.600006,226.816116,15000,NWLI,National Western Life Group Inc,보험,-8.383007677623489,,
2021-06-07,231.199997,233.800003,230.279999,231.679993,230.882065,16600,NWLI,National Western Life Group Inc,보험,-6.5219689680277915,,
2021-06-08,233.029999,233.029999,229.199997,230.199997,229.407166,4000,NWLI,National Western Life Group Inc,보험,-6.91907792236618,,
2021-06-09,231.360001,231.580002,227.809998,229.740005,228.948761,5400,NWLI,National Western Life Group Inc,보험,-6.7160157343211235,,
2021-06-10,230.009995,230.009995,227.110001,227.5,226.716461,12100,NWLI,National Western Life Group Inc,보험,-7.476802929400861,,
2021-06-11,227.110001,229.190002,222.289993,228.910004,228.121628,8600,NWLI,National Western Life Group Inc,보험,-6.469538901303173,,
2021-06-14,227.740005,230.149994,223.990005,225.75,224.972504,16400,NWLI,National Western Life Group Inc,보험,-7.2322954471093714,,
2021-06-15,225.520004,228.550003,223.789993,225.009995,224.235046,7500,NWLI,National Western Life Group Inc,보험,-6.636260896081714,,
2021-06-16,225.850006,232.580002,225.850006,231.210007,230.413696,6700,NWLI,National Western Life Group Inc,보험,-2.9693229337403593,,
2021-06-17,233.0,235.5,228.800003,228.800003,228.011993,8600,NWLI,National Western Life Group Inc,보험,-3.3047317416219912,,
2021-06-18,224.630005,230.039993,223.0,230.0,229.207855,25800,NWLI,National Western Life Group Inc,보험,-1.0215872993675323,,
2021-06-21,230.300003,237.490005,228.5,232.960007,232.157669,14100,NWLI,National Western Life Group Inc,보험,-0.47041443483261114,,
2021-06-22,230.580002,234.869995,230.0,230.600006,229.805786,5600,NWLI,National Western Life Group Inc,보험,-1.5813928956017298,,
2021-06-23,228.100006,230.0,228.100006,230.0,229.207855,6100,NWLI,National Western Life Group Inc,보험,-1.47195306755038,,
2021-06-24,232.139999,233.690002,231.729996,233.690002,232.885162,4500,NWLI,National Western Life Group Inc,보험,-0.2347651861780098,,
2021-06-25,238.509995,238.509995,230.119995,230.119995,229.327454,29500,NWLI,National Western Life Group Inc,보험,-1.7265968495666861,,
2021-06-28,226.559998,230.0,225.899994,228.610001,227.822647,7000,NWLI,National Western Life Group Inc,보험,-2.149768470946267,,
