Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-04-29,9.75,9.8,9.75,9.8,9.8,1600,PDOT,Peridot Acquisition Corp II,기타 금융업,,,
2021-04-30,9.85,9.85,9.8,9.8,9.8,100,PDOT,Peridot Acquisition Corp II,기타 금융업,,,
2021-05-03,9.8,9.8,9.8,9.8,9.8,800,PDOT,Peridot Acquisition Corp II,기타 금융업,,,
2021-05-04,9.8,9.8,9.8,9.8,9.8,0,PDOT,Peridot Acquisition Corp II,기타 금융업,,,
2021-05-05,9.775,9.8,9.76,9.8,9.8,100,PDOT,Peridot Acquisition Corp II,기타 금융업,,,
2021-05-06,9.8,9.8,9.8,9.8,9.8,0,PDOT,Peridot Acquisition Corp II,기타 금융업,,,
2021-05-07,9.786,9.786,9.786,9.786,9.786,400,PDOT,Peridot Acquisition Corp II,기타 금융업,,,
2021-05-10,9.78,9.78,9.75,9.75,9.75,10400,PDOT,Peridot Acquisition Corp II,기타 금융업,,,
2021-05-11,9.754,9.78,9.754,9.78,9.78,3700,PDOT,Peridot Acquisition Corp II,기타 금융업,,,
2021-05-12,9.78,9.78,9.78,9.78,9.78,0,PDOT,Peridot Acquisition Corp II,기타 금융업,,,
2021-05-13,9.78,9.78,9.78,9.78,9.78,0,PDOT,Peridot Acquisition Corp II,기타 금융업,,,
2021-05-14,9.78,9.78,9.78,9.78,9.78,0,PDOT,Peridot Acquisition Corp II,기타 금융업,,,
2021-05-17,10.6,10.6,9.77,9.81,9.81,1900,PDOT,Peridot Acquisition Corp II,기타 금융업,,,
2021-05-18,9.957,9.957,9.788,9.788,9.788,500,PDOT,Peridot Acquisition Corp II,기타 금융업,,,
2021-05-19,9.7,9.76,9.7,9.76,9.76,700,PDOT,Peridot Acquisition Corp II,기타 금융업,,,
2021-05-20,9.76,9.76,9.76,9.76,9.76,0,PDOT,Peridot Acquisition Corp II,기타 금융업,,,
2021-05-21,9.935,9.935,9.74,9.74,9.74,4900,PDOT,Peridot Acquisition Corp II,기타 금융업,,,
2021-05-24,9.76,9.76,9.72,9.72,9.72,1100,PDOT,Peridot Acquisition Corp II,기타 금융업,,,
2021-05-25,9.72,9.73,9.7,9.72,9.72,1800,PDOT,Peridot Acquisition Corp II,기타 금융업,,,
2021-05-26,9.908,9.99,9.671,9.7,9.7,18500,PDOT,Peridot Acquisition Corp II,기타 금융업,-1.4328524433945722,,
2021-05-27,9.7,9.81,9.67,9.81,9.81,4800,PDOT,Peridot Acquisition Corp II,기타 금융업,-0.4486119869880789,,
2021-05-28,9.91,9.99,9.76,9.8,9.8,2600,PDOT,Peridot Acquisition Corp II,기타 금융업,-0.599400781511017,,
2021-06-01,9.98,9.98,9.72,9.72,9.72,5800,PDOT,Peridot Acquisition Corp II,기타 금융업,-1.3112335477206694,,
2021-06-02,9.77,9.77,9.7,9.72,9.72,3400,PDOT,Peridot Acquisition Corp II,기타 금융업,-1.362686807914637,,
2021-06-03,9.743,9.795,9.7,9.77,9.77,6400,PDOT,Peridot Acquisition Corp II,기타 금융업,-0.44889497009181767,,
2021-06-04,9.758,9.758,9.67,9.67,9.67,600,PDOT,Peridot Acquisition Corp II,기타 금융업,-2.2339215326794837,,
2021-06-07,9.93,9.94,9.7,9.7,9.7,10200,PDOT,Peridot Acquisition Corp II,기타 금융업,-1.8166805604340586,,
2021-06-08,9.84,9.84,9.7,9.7,9.7,4700,PDOT,Peridot Acquisition Corp II,기타 금융업,-1.7640768058929113,,
2021-06-09,9.81,9.815,9.762,9.77,9.77,1100,PDOT,Peridot Acquisition Corp II,기타 금융업,-0.7893732312868496,,
2021-06-10,9.79,9.79,9.76,9.78,9.78,6900,PDOT,Peridot Acquisition Corp II,기타 금융업,-0.9354450192803676,,
2021-06-11,9.95,9.95,9.74,9.79,9.79,13400,PDOT,Peridot Acquisition Corp II,기타 금융업,-0.8712084239660078,,
2021-06-14,9.95,9.95,9.72,9.76,9.76,85200,PDOT,Peridot Acquisition Corp II,기타 금융업,-1.248987673157953,,
