Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,13.69,13.73,13.1,13.129,13.129,6800,PHAR,Pharming Group NV ADR,제약,,,
2021-03-05,13.25,13.51,13.002,13.35,13.35,61700,PHAR,Pharming Group NV ADR,제약,,,
2021-03-08,13.05,13.405,12.96,12.96,12.96,13800,PHAR,Pharming Group NV ADR,제약,,,
2021-03-09,13.48,13.6,13.48,13.6,13.6,2700,PHAR,Pharming Group NV ADR,제약,,,
2021-03-10,13.5,13.5,13.38,13.38,13.38,900,PHAR,Pharming Group NV ADR,제약,,,
2021-03-11,13.62,13.66,13.18,13.66,13.66,1400,PHAR,Pharming Group NV ADR,제약,,,
2021-03-12,13.452,13.46,13.25,13.43,13.43,1800,PHAR,Pharming Group NV ADR,제약,,,
2021-03-15,13.53,13.63,13.53,13.63,13.63,1600,PHAR,Pharming Group NV ADR,제약,,,
2021-03-16,13.74,13.85,13.62,13.62,13.62,3300,PHAR,Pharming Group NV ADR,제약,,,
2021-03-17,13.62,13.62,13.62,13.62,13.62,500,PHAR,Pharming Group NV ADR,제약,,,
2021-03-18,13.73,13.73,13.25,13.26,13.26,4400,PHAR,Pharming Group NV ADR,제약,,,
2021-03-19,13.26,13.26,13.26,13.26,13.26,0,PHAR,Pharming Group NV ADR,제약,,,
2021-03-22,13.456,13.456,13.456,13.456,13.456,500,PHAR,Pharming Group NV ADR,제약,,,
2021-03-23,13.14,13.35,12.9,13.35,13.35,2100,PHAR,Pharming Group NV ADR,제약,,,
2021-03-24,12.85,12.85,12.77,12.82,12.82,2600,PHAR,Pharming Group NV ADR,제약,,,
2021-03-25,12.4,12.44,12.235,12.44,12.44,1200,PHAR,Pharming Group NV ADR,제약,,,
2021-03-26,12.91,12.97,12.88,12.97,12.97,3600,PHAR,Pharming Group NV ADR,제약,,,
2021-03-29,12.85,13.02,12.85,13.02,13.02,7000,PHAR,Pharming Group NV ADR,제약,,,
2021-03-30,13.02,13.02,13.02,13.02,13.02,0,PHAR,Pharming Group NV ADR,제약,,,
2021-03-31,12.975,12.975,12.83,12.83,12.83,900,PHAR,Pharming Group NV ADR,제약,-4.463830652023293,,
2021-04-01,13.3,13.3,13.09,13.09,13.09,1600,PHAR,Pharming Group NV ADR,제약,-3.341562505852824,,
2021-04-05,13.23,13.24,13.23,13.24,13.24,500,PHAR,Pharming Group NV ADR,제약,-3.298124237504829,,
2021-04-06,13.01,13.06,12.757,12.757,12.757,5100,PHAR,Pharming Group NV ADR,제약,-6.372381404448624,,
2021-04-07,13.17,13.4,13.17,13.4,13.4,4200,PHAR,Pharming Group NV ADR,제약,-1.4667438530095778,,
2021-04-08,13.35,13.35,13.258,13.258,13.258,1200,PHAR,Pharming Group NV ADR,제약,-2.634487072120817,,
2021-04-09,13.258,13.258,13.258,13.258,13.258,0,PHAR,Pharming Group NV ADR,제약,-3.0061146804493455,,
2021-04-12,12.96,12.96,12.8,12.8,12.8,1000,PHAR,Pharming Group NV ADR,제약,-5.905040697765662,,
2021-04-13,13.0,13.25,13.0,13.25,13.25,2700,PHAR,Pharming Group NV ADR,제약,-2.5695861505119377,,
2021-04-14,13.07,13.07,12.85,13.0,13.0,3700,PHAR,Pharming Group NV ADR,제약,-3.5967836654434704,,
2021-04-15,13.0,13.58,12.736,13.58,13.58,5100,PHAR,Pharming Group NV ADR,제약,-0.13967976242099667,,
2021-04-16,13.07,13.07,13.07,13.07,13.07,500,PHAR,Pharming Group NV ADR,제약,-3.846513625529513,,
2021-04-19,12.83,12.95,12.83,12.95,12.95,500,PHAR,Pharming Group NV ADR,제약,-3.8092631707476454,,
2021-04-20,12.84,12.9,12.84,12.9,12.9,1800,PHAR,Pharming Group NV ADR,제약,-3.082384453997622,,
2021-04-21,13.55,13.55,13.55,13.55,13.55,300,PHAR,Pharming Group NV ADR,제약,1.1249521947607866,,
2021-04-22,13.025,13.55,13.025,13.55,13.55,400,PHAR,Pharming Group NV ADR,제약,2.09594472650958,,
2021-04-23,12.76,13.159,12.69,12.91,12.91,6900,PHAR,Pharming Group NV ADR,제약,-3.63739720591717,,
2021-04-26,13.1,13.55,13.1,13.135,13.135,2500,PHAR,Pharming Group NV ADR,제약,-1.938638036648932,,
2021-04-27,12.96,13.1,12.72,13.1,13.1,400,PHAR,Pharming Group NV ADR,제약,-1.9493847093479233,,
2021-04-28,13.047,13.047,12.95,12.95,12.95,1000,PHAR,Pharming Group NV ADR,제약,-2.6952905084476786,,
2021-04-29,12.95,13.05,12.82,12.82,12.82,1900,PHAR,Pharming Group NV ADR,제약,-4.039683529544091,,
2021-04-30,12.805,12.85,12.805,12.835,12.835,1600,PHAR,Pharming Group NV ADR,제약,-2.9457158291279817,,
2021-05-03,12.87,12.89,12.76,12.76,12.76,5500,PHAR,Pharming Group NV ADR,제약,-3.466957346001631,,
2021-05-04,12.71,12.72,12.56,12.56,12.56,3000,PHAR,Pharming Group NV ADR,제약,-4.165605630119185,,
2021-05-05,12.62,12.81,12.5,12.55,12.55,3800,PHAR,Pharming Group NV ADR,제약,-3.8923181289436837,,
2021-05-06,12.48,12.62,12.48,12.597,12.597,2800,PHAR,Pharming Group NV ADR,제약,-3.949285128605262,,
2021-05-07,12.98,13.5,12.98,13.2,13.2,5600,PHAR,Pharming Group NV ADR,제약,0.0600212245414955,,
2021-05-10,13.2,13.2,13.2,13.2,13.2,0,PHAR,Pharming Group NV ADR,제약,1.032958827970254,,
2021-05-11,13.13,13.13,13.13,13.13,13.13,600,PHAR,Pharming Group NV ADR,제약,1.4366678166751745,,
2021-05-12,13.16,13.26,13.0,13.003,13.003,6300,PHAR,Pharming Group NV ADR,제약,2.577606678963762,,
2021-05-13,12.08,12.15,11.91,11.91,11.91,3500,PHAR,Pharming Group NV ADR,제약,-6.635803231845216,,
2021-05-14,12.358,12.358,11.982,12.11,12.11,3400,PHAR,Pharming Group NV ADR,제약,-6.12847819865766,,
2021-05-17,12.11,12.11,12.11,12.11,12.11,0,PHAR,Pharming Group NV ADR,제약,-5.582169363140544,,
2021-05-18,12.11,12.11,12.11,12.11,12.11,0,PHAR,Pharming Group NV ADR,제약,-4.482716379722429,,
2021-05-19,12.0,12.18,12.0,12.0,12.0,1700,PHAR,Pharming Group NV ADR,제약,-4.556545916546018,,
2021-05-20,12.3,12.3,11.9,12.0,12.0,2900,PHAR,Pharming Group NV ADR,제약,-4.944003514507123,,
2021-05-21,12.02,12.46,12.02,12.102,12.102,9000,PHAR,Pharming Group NV ADR,제약,-3.7812945329547487,,
2021-05-24,12.277,12.4,12.2,12.2,12.2,1300,PHAR,Pharming Group NV ADR,제약,-3.58800638540252,,
2021-05-25,12.42,12.56,12.42,12.472,12.472,2700,PHAR,Pharming Group NV ADR,제약,-0.980614020465087,,
2021-05-26,12.472,12.472,12.472,12.472,12.472,0,PHAR,Pharming Group NV ADR,제약,-0.9629747623397633,,
2021-05-27,12.472,12.472,12.472,12.472,12.472,0,PHAR,Pharming Group NV ADR,제약,-0.9542210955295727,,
2021-05-28,12.285,12.29,12.04,12.15,12.15,6600,PHAR,Pharming Group NV ADR,제약,-3.295651906142427,,
2021-06-01,12.283,12.283,12.283,12.283,12.283,200,PHAR,Pharming Group NV ADR,제약,-1.991644134835524,,
2021-06-02,12.3,12.3,12.152,12.245,12.245,2000,PHAR,Pharming Group NV ADR,제약,-2.2623360718384333,,
2021-06-03,12.178,12.22,12.178,12.22,12.22,300,PHAR,Pharming Group NV ADR,제약,-1.947174935070728,,
2021-06-04,12.31,12.43,12.31,12.323,12.323,1800,PHAR,Pharming Group NV ADR,제약,-1.8465289747536695,,
2021-06-07,12.18,12.31,12.18,12.3,12.3,12700,PHAR,Pharming Group NV ADR,제약,-1.6060902796397603,,
2021-06-08,12.19,12.19,12.075,12.1,12.1,5900,PHAR,Pharming Group NV ADR,제약,-2.747527108879466,,
2021-06-09,12.1,12.14,12.1,12.1,12.1,2700,PHAR,Pharming Group NV ADR,제약,-2.0796825181224166,,
2021-06-10,12.1,12.135,12.0,12.02,12.02,5800,PHAR,Pharming Group NV ADR,제약,-2.570600951460944,,
2021-06-11,12.15,12.27,12.04,12.09,12.09,5100,PHAR,Pharming Group NV ADR,제약,-2.110312818976079,,
2021-06-14,12.09,12.09,12.09,12.09,12.09,0,PHAR,Pharming Group NV ADR,제약,-2.1865380115878907,,
2021-06-15,12.15,12.15,12.15,12.15,12.15,100,PHAR,Pharming Group NV ADR,제약,-1.422132329920578,,
2021-06-16,12.0,12.0,11.86,11.86,11.86,1400,PHAR,Pharming Group NV ADR,제약,-3.0434552161644257,,
2021-06-17,11.84,11.85,11.545,11.545,11.545,2300,PHAR,Pharming Group NV ADR,제약,-5.281315314394197,,
2021-06-18,11.59,11.65,11.49,11.49,11.49,3500,PHAR,Pharming Group NV ADR,제약,-4.267527122175374,,
2021-06-21,11.49,11.49,11.49,11.49,11.49,0,PHAR,Pharming Group NV ADR,제약,-5.273198725793593,,
2021-06-22,11.01,11.02,10.948,10.95,10.95,4200,PHAR,Pharming Group NV ADR,제약,-9.669106834775054,,
2021-06-23,10.94,11.115,10.94,11.08,11.08,7600,PHAR,Pharming Group NV ADR,제약,-7.907410150069016,,
2021-06-24,11.11,11.11,10.95,10.95,10.95,300,PHAR,Pharming Group NV ADR,제약,-8.861716328398472,,
2021-06-25,11.5,11.725,11.5,11.725,11.725,2000,PHAR,Pharming Group NV ADR,제약,-2.3366463119652625,,
2021-06-28,11.5,11.5,11.07,11.485,11.485,4700,PHAR,Pharming Group NV ADR,제약,-4.192423479267903,,
2021-06-29,11.51,11.7,11.51,11.7,11.7,500,PHAR,Pharming Group NV ADR,제약,-2.0807867810064273,,
2021-06-30,11.47,11.47,11.27,11.27,11.27,6300,PHAR,Pharming Group NV ADR,제약,-5.3159267710845,,
2021-07-01,11.533,11.57,11.533,11.57,11.57,600,PHAR,Pharming Group NV ADR,제약,-2.8863208775476434,,
2021-07-02,11.44,11.44,11.39,11.39,11.39,600,PHAR,Pharming Group NV ADR,제약,-4.596304513285599,,
2021-07-06,11.36,11.36,11.36,11.36,11.36,500,PHAR,Pharming Group NV ADR,제약,-4.139671839333214,,
2021-07-07,11.21,11.21,11.21,11.21,11.21,8600,PHAR,Pharming Group NV ADR,제약,-5.21808465887238,,
2021-07-08,11.39,11.39,11.39,11.39,11.39,500,PHAR,Pharming Group NV ADR,제약,-2.4484504254194905,,
2021-07-09,11.43,11.603,11.43,11.603,11.603,400,PHAR,Pharming Group NV ADR,제약,-1.403994022917121,,
2021-07-12,11.297,11.37,11.297,11.37,11.37,1800,PHAR,Pharming Group NV ADR,제약,-3.261329950554992,,
2021-07-13,11.3,11.3,11.3,11.3,11.3,300,PHAR,Pharming Group NV ADR,제약,-3.056520042055688,,
2021-07-14,11.3,11.3,11.3,11.3,11.3,100,PHAR,Pharming Group NV ADR,제약,-2.662445308767103,,
2021-07-15,11.3,11.3,11.3,11.3,11.3,100,PHAR,Pharming Group NV ADR,제약,-1.9443948134523992,,
2021-07-16,11.3,11.3,11.3,11.3,11.3,100,PHAR,Pharming Group NV ADR,제약,-0.9688193248455379,,
2021-07-19,10.82,10.82,10.82,10.82,10.82,500,PHAR,Pharming Group NV ADR,제약,-3.2483916415558256,,
2021-07-20,10.85,10.85,10.8,10.804,10.804,900,PHAR,Pharming Group NV ADR,제약,-4.433199346257211,,
2021-07-21,11.03,11.17,11.03,11.17,11.17,800,PHAR,Pharming Group NV ADR,제약,-1.9735516714290524,,
2021-07-22,11.17,11.17,11.17,11.17,11.17,100,PHAR,Pharming Group NV ADR,제약,-2.068696427026584,,
2021-07-23,11.37,11.42,11.37,11.42,11.42,1000,PHAR,Pharming Group NV ADR,제약,-0.9241938106842151,,
2021-07-26,11.42,11.42,11.42,11.42,11.42,0,PHAR,Pharming Group NV ADR,제약,-0.8624068779891636,,
2021-07-27,11.32,11.378,11.18,11.18,11.18,1800,PHAR,Pharming Group NV ADR,제약,-2.2297673215665115,,
2021-07-28,11.4,11.4,10.92,11.1,11.1,1000,PHAR,Pharming Group NV ADR,제약,-2.5290442844745797,,
2021-07-29,11.371,11.371,11.371,11.371,11.371,300,PHAR,Pharming Group NV ADR,제약,-0.4727033796053659,,
2021-07-30,11.33,11.33,11.33,11.33,11.33,1500,PHAR,Pharming Group NV ADR,제약,-0.09836641286014025,,
2021-08-02,11.4,11.4,11.4,11.4,11.4,400,PHAR,Pharming Group NV ADR,제약,0.7405300951887961,,
2021-08-03,11.38,11.38,11.38,11.38,11.38,100,PHAR,Pharming Group NV ADR,제약,-0.1721219786358641,,
2021-08-04,11.38,11.51,11.38,11.51,11.51,500,PHAR,Pharming Group NV ADR,제약,1.355337142016655,,
2021-08-05,10.8,11.0,10.73,10.73,10.73,1200,PHAR,Pharming Group NV ADR,제약,-5.687023069352737,,
2021-08-06,10.73,10.73,10.65,10.69,10.69,1000,PHAR,Pharming Group NV ADR,제약,-5.744649297059512,,
2021-08-09,10.44,10.533,10.0,10.533,10.533,3500,PHAR,Pharming Group NV ADR,제약,-6.64579410069236,,
