Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,14.5,14.95,14.49,14.82,13.687394,41500,SAMG,Silvercrest Asset Management Group Inc,투자은행 및 서비스,,,
2021-03-05,14.94,15.0,14.05,15.0,13.853639,53500,SAMG,Silvercrest Asset Management Group Inc,투자은행 및 서비스,,,
2021-03-08,15.0,15.88,14.93,15.25,14.084533,71400,SAMG,Silvercrest Asset Management Group Inc,투자은행 및 서비스,,,
2021-03-09,15.25,15.5,15.14,15.25,14.084533,46400,SAMG,Silvercrest Asset Management Group Inc,투자은행 및 서비스,,,
2021-03-10,15.34,15.59,15.25,15.5,14.315427,65600,SAMG,Silvercrest Asset Management Group Inc,투자은행 및 서비스,,,
2021-03-11,15.25,15.32,15.11,15.3,14.278099,57400,SAMG,Silvercrest Asset Management Group Inc,투자은행 및 서비스,,,
2021-03-12,15.25,15.55,15.02,15.25,14.231439,37100,SAMG,Silvercrest Asset Management Group Inc,투자은행 및 서비스,,,
2021-03-15,15.17,15.18,14.56,14.78,13.79283,52800,SAMG,Silvercrest Asset Management Group Inc,투자은행 및 서비스,,,
2021-03-16,14.76,14.76,14.27,14.46,13.494202,35300,SAMG,Silvercrest Asset Management Group Inc,투자은행 및 서비스,,,
2021-03-17,14.43,14.64,14.35,14.44,13.475537,21100,SAMG,Silvercrest Asset Management Group Inc,투자은행 및 서비스,,,
2021-03-18,14.47,14.53,14.25,14.3,13.34489,31700,SAMG,Silvercrest Asset Management Group Inc,투자은행 및 서비스,,,
2021-03-19,14.31,14.84,14.12,14.84,13.848822,152700,SAMG,Silvercrest Asset Management Group Inc,투자은행 및 서비스,,,
2021-03-22,14.69,14.89,14.32,14.87,13.876818,35500,SAMG,Silvercrest Asset Management Group Inc,투자은행 및 서비스,,,
2021-03-23,14.76,14.76,14.08,14.22,13.270231,28900,SAMG,Silvercrest Asset Management Group Inc,투자은행 및 서비스,,,
2021-03-24,14.39,14.84,14.0,14.1,13.158247,41500,SAMG,Silvercrest Asset Management Group Inc,투자은행 및 서비스,,,
2021-03-25,14.27,14.3,13.84,14.06,13.120919,30900,SAMG,Silvercrest Asset Management Group Inc,투자은행 및 서비스,,,
