Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,14.03,14.47,13.31,13.4,13.4,1982600,STKL,Sunopta Inc,식품 및 담배,,,
2021-03-05,13.4,14.14,12.36,14.08,14.08,2850100,STKL,Sunopta Inc,식품 및 담배,,,
2021-03-08,13.92,14.11,13.24,13.31,13.31,1373500,STKL,Sunopta Inc,식품 및 담배,,,
2021-03-09,13.78,13.85,13.07,13.19,13.19,1524200,STKL,Sunopta Inc,식품 및 담배,,,
2021-03-10,13.09,13.6,13.09,13.13,13.13,1849000,STKL,Sunopta Inc,식품 및 담배,,,
2021-03-11,13.38,13.78,13.15,13.73,13.73,1098900,STKL,Sunopta Inc,식품 및 담배,,,
2021-03-12,13.71,14.34,13.6,14.22,14.22,719600,STKL,Sunopta Inc,식품 및 담배,,,
2021-03-15,14.33,15.5,14.22,14.93,14.93,1211200,STKL,Sunopta Inc,식품 및 담배,,,
2021-03-16,15.12,15.28,14.33,14.76,14.76,763000,STKL,Sunopta Inc,식품 및 담배,,,
2021-03-17,14.6,15.23,14.29,15.2,15.2,857400,STKL,Sunopta Inc,식품 및 담배,,,
2021-03-18,15.15,15.3,14.49,14.61,14.61,897600,STKL,Sunopta Inc,식품 및 담배,,,
2021-03-19,14.7,15.85,14.64,15.65,15.65,1475500,STKL,Sunopta Inc,식품 및 담배,,,
2021-03-22,15.74,15.81,15.27,15.45,15.45,579300,STKL,Sunopta Inc,식품 및 담배,,,
2021-03-23,15.34,15.67,14.85,14.93,14.93,527200,STKL,Sunopta Inc,식품 및 담배,,,
2021-03-24,14.89,14.95,13.49,13.83,13.83,2132700,STKL,Sunopta Inc,식품 및 담배,,,
2021-03-25,13.53,14.24,13.39,14.11,14.11,769400,STKL,Sunopta Inc,식품 및 담배,,,
2021-03-26,14.18,14.91,14.07,14.87,14.87,644300,STKL,Sunopta Inc,식품 및 담배,,,
2021-03-29,14.87,15.09,13.97,14.02,14.02,764200,STKL,Sunopta Inc,식품 및 담배,,,
2021-03-30,13.98,14.34,13.89,14.25,14.25,523100,STKL,Sunopta Inc,식품 및 담배,,,
2021-03-31,14.32,14.91,14.25,14.77,14.77,564500,STKL,Sunopta Inc,식품 및 담배,1.7134173487614035,,
2021-04-01,14.76,15.21,14.71,14.84,14.84,515400,STKL,Sunopta Inc,식품 및 담배,0.8137741992353398,,
2021-04-05,14.83,15.11,14.54,14.95,14.95,351900,STKL,Sunopta Inc,식품 및 담배,0.1138073568903053,,
2021-04-06,14.88,14.97,14.37,14.45,14.45,470000,STKL,Sunopta Inc,식품 및 담배,-3.2245842725102225,,
2021-04-07,14.45,14.74,14.32,14.59,14.59,698600,STKL,Sunopta Inc,식품 및 담배,-2.6600244438809706,,
2021-04-08,14.67,15.16,14.63,15.14,15.14,438700,STKL,Sunopta Inc,식품 및 담배,0.13847276404101994,,
2021-04-09,15.03,15.96,14.43,14.89,14.89,1543600,STKL,Sunopta Inc,식품 및 담배,-2.429535213392864,,
2021-04-12,14.7,15.04,14.66,15.03,15.03,396900,STKL,Sunopta Inc,식품 및 담배,-1.5393416605527066,,
2021-04-13,15.5,15.85,15.07,15.37,15.37,529100,STKL,Sunopta Inc,식품 및 담배,0.4260263028194933,,
2021-04-14,15.25,15.8,15.18,15.53,15.53,817400,STKL,Sunopta Inc,식품 및 담배,1.8322278808499348,,
2021-04-15,15.59,15.68,14.58,14.77,14.77,651200,STKL,Sunopta Inc,식품 및 담배,-3.8457009949888987,,
2021-04-16,15.13,15.2,14.6,14.76,14.76,453200,STKL,Sunopta Inc,식품 및 담배,-3.9892995408010057,,
2021-04-19,14.7,14.86,14.41,14.45,14.45,471000,STKL,Sunopta Inc,식품 및 담배,-4.819511256508868,,
2021-04-20,14.45,14.45,13.42,13.78,13.78,1660200,STKL,Sunopta Inc,식품 및 담배,-7.868070535318394,,
2021-04-21,13.78,14.23,13.53,14.02,14.02,506000,STKL,Sunopta Inc,식품 및 담배,-6.535296893776133,,
2021-04-22,14.13,14.13,13.68,13.81,13.81,538600,STKL,Sunopta Inc,식품 및 담배,-6.799023414413973,,
2021-04-23,13.8,13.87,13.21,13.3,13.3,1394800,STKL,Sunopta Inc,식품 및 담배,-10.67852338549795,,
2021-04-26,13.2,13.38,12.41,12.59,12.59,2250500,STKL,Sunopta Inc,식품 및 담배,-14.717578831525103,,
2021-04-27,12.33,12.51,11.93,12.39,12.39,1929200,STKL,Sunopta Inc,식품 및 담배,-15.36872151699753,,
2021-04-28,12.51,12.72,12.23,12.62,12.62,1989800,STKL,Sunopta Inc,식품 및 담배,-12.99952215580924,,
2021-04-29,12.66,12.74,12.34,12.58,12.58,639900,STKL,Sunopta Inc,식품 및 담배,-12.940682522385183,,
2021-04-30,12.26,12.53,12.25,12.39,12.39,500500,STKL,Sunopta Inc,식품 및 담배,-12.707639173186946,,
2021-05-03,12.4,12.5,11.95,12.0,12.0,1157200,STKL,Sunopta Inc,식품 및 담배,-14.676697019443264,,
2021-05-04,11.76,11.92,11.57,11.8,11.8,976400,STKL,Sunopta Inc,식품 및 담배,-14.626623084101798,,
2021-05-05,11.87,12.03,11.72,11.78,11.78,547900,STKL,Sunopta Inc,식품 및 담배,-13.858613164893752,,
2021-05-06,11.79,11.87,11.43,11.58,11.58,720300,STKL,Sunopta Inc,식품 및 담배,-14.787513912917028,,
2021-05-07,11.6,11.82,11.31,11.39,11.39,654600,STKL,Sunopta Inc,식품 및 담배,-15.604880332931792,,
2021-05-10,11.4,11.41,10.86,11.08,11.08,1439600,STKL,Sunopta Inc,식품 및 담배,-15.720282320356372,,
2021-05-11,10.75,11.28,10.59,11.22,11.22,1331300,STKL,Sunopta Inc,식품 및 담배,-12.502438368854985,,
2021-05-12,11.06,11.86,11.03,11.6,11.6,2470800,STKL,Sunopta Inc,식품 및 담배,-6.173650053630652,,
2021-05-13,11.74,12.54,11.71,12.45,12.45,2189700,STKL,Sunopta Inc,식품 및 담배,0.3383218386241227,,
2021-05-14,12.5,12.65,11.99,12.32,12.32,998000,STKL,Sunopta Inc,식품 및 담배,-1.2280130856369142,,
2021-05-17,12.36,12.63,12.26,12.55,12.55,1440400,STKL,Sunopta Inc,식품 및 담배,1.6473417299487148,,
2021-05-18,12.65,12.8,12.52,12.65,12.65,1072400,STKL,Sunopta Inc,식품 및 담배,3.8065051457601307,,
2021-05-19,12.45,12.68,12.11,12.58,12.58,1245200,STKL,Sunopta Inc,식품 및 담배,4.070464002626917,,
2021-05-20,12.73,13.46,12.62,12.96,12.96,1486200,STKL,Sunopta Inc,식품 및 담배,6.499966076687214,,
2021-05-21,12.96,13.28,12.89,13.25,13.25,756200,STKL,Sunopta Inc,식품 및 담배,8.956233165789307,,
2021-05-24,13.29,13.4,13.15,13.2,13.2,735000,STKL,Sunopta Inc,식품 및 담배,7.225901097448784,,
2021-05-25,13.21,13.29,12.5,12.58,12.58,1192000,STKL,Sunopta Inc,식품 및 담배,2.3297786394962605,,
2021-05-26,12.58,12.62,12.38,12.42,12.42,1354900,STKL,Sunopta Inc,식품 및 담배,0.9368175806641954,,
2021-05-27,12.51,12.79,12.44,12.5,12.5,788200,STKL,Sunopta Inc,식품 및 담배,1.4886539203408544,,
2021-05-28,12.81,12.81,12.4,12.5,12.5,418300,STKL,Sunopta Inc,식품 및 담배,1.3933974922088366,,
2021-06-01,12.86,13.06,12.6,12.66,12.66,858100,STKL,Sunopta Inc,식품 및 담배,2.4785316576661387,,
2021-06-02,12.63,13.31,12.52,13.24,13.24,1155100,STKL,Sunopta Inc,식품 및 담배,6.452045270418028,,
