Date,Symbol,Name,Industry,Open,High,Low,Close,Adj Close,Volume,RS,50MA,150MA,200MA,MA150_Slope,MA200_Slope,ATR,TC,ATC,TRS,ATRS,ATRS150,IsOriginData_NaN
2018-03-19,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,26.790001,26.879999,25.799999,26.219999,26.219999,1265100.0,,,,,,,,,,,,,False
2018-03-20,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,26.07,26.870001,25.950001,26.67,26.67,565000.0,,,,,,,,,,,,,False
2018-03-21,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,26.51,27.24,26.459999,26.709999,26.709999,920700.0,,,,,,,,,,,,,False
2018-03-22,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,26.5,26.969999,25.91,25.959999,25.959999,947900.0,,,,,,,,,,,,,False
2018-03-23,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,26.0,26.325001,25.23,25.360001,25.360001,1127900.0,,,,,,,,,,,,,False
2018-03-26,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,25.549999,25.84,23.51,24.530001,24.530001,1839400.0,,,,,,,,,,,,,False
2018-03-27,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,24.540001,25.239,24.15,24.6,24.6,756500.0,,,,,,,,,,,,,False
2018-03-28,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,24.540001,24.58,23.559999,23.65,23.65,1210400.0,,,,,,,,,,,,,False
2018-03-29,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,23.98,25.190001,23.879999,25.059999,25.059999,872900.0,,,,,,,,,,,,,False
2018-04-02,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,24.870001,25.33,24.02,24.02,24.02,598000.0,,,,,,,,,,,,,False
2018-04-03,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,24.1,24.66,23.76,24.0,24.0,721900.0,,,,,,,,,,,,,False
2018-04-04,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,23.01,24.610001,22.540001,24.290001,24.290001,919000.0,,,,,,,,,,,,,False
2018-04-05,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,24.43,25.07,24.105,24.610001,24.610001,791500.0,,,,,,,,,,,,,False
2018-04-06,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,24.5,24.976999,23.75,24.09,24.09,597100.0,,,,,,,,,,,,,False
2018-04-09,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,24.219999,25.030001,23.49,24.360001,24.360001,677600.0,,,,,,,1.276143071428571,0.21157580685506486,,0.057785116750581844,,,False
2018-04-10,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,24.51,26.077999,24.509001,25.43,25.43,684800.0,,,,,,,1.3331429285714282,0.8026138661265606,,0.06461302882745168,,,False
2018-04-11,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,27.0,29.809999,26.6,29.120001,29.120001,3359400.0,,,,,,,1.5902856428571428,2.3203384980389186,,2.5703597377893086,,,False
2018-04-12,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,29.190001,30.98,28.26,29.59,29.59,2556000.0,,,,,,,1.7088571428571426,0.2750370339408134,,-0.11414520883449125,,,False
2018-04-13,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,30.280001,30.59,29.27,30.190001,30.190001,1413400.0,,,,,,,1.7249284999999996,0.34784108442755685,,0.49183973941683534,,,False
2018-04-16,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,29.93,30.42,28.440001,29.969999,29.969999,1795200.0,14.262780103986582,,,,,,1.6999284285714287,-0.12941838979943454,,-0.557327737433545,,,False
2018-04-17,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,30.09,30.115999,28.290001,28.33,28.33,1217400.0,6.434500971141643,,,,,,1.7525711428571427,-0.9357674332845525,,-1.5399321156564905,,,False
2018-04-18,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,28.209999,28.6,27.6,28.290001,28.290001,1074400.0,5.857878795241711,,,,,,1.7497139285714283,-0.02286030838918663,,-0.07240104749411025,,,False
2018-04-19,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,28.309999,31.719999,28.115999,31.639999,31.639999,1787200.0,17.939813816682793,,,,,,1.8971424285714285,1.7658125976986287,,2.1226515140781066,,,False
2018-04-20,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,31.790001,34.169998,30.780001,32.990002,32.990002,3099300.0,22.4721225401985,,,,,,2.045713642857143,0.6599178749741912,,1.2400859587142472,,,False
2018-04-23,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,32.84,33.470001,31.370001,32.459999,32.459999,1880200.0,19.105836770837993,,,,,,2.131427928571429,-0.24866099993126367,,-0.2525827952602388,,,False
2018-04-24,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,32.700001,34.105,31.790001,32.900002,32.900002,1564600.0,20.433518818536655,,,,,,2.1489278571428576,0.20475466337199913,,1.1557965756007351,,,False
2018-04-25,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,32.799999,33.130001,31.67,32.619999,32.619999,815700.0,17.521786041868825,,,,,,2.1842850714285715,-0.12818976957841516,,-0.2557434220396837,,,False
2018-04-26,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,32.630001,33.889999,32.189999,33.84,33.84,801300.0,18.62215016700304,,,,,,2.2180708571428576,0.5500279650991455,0.4052158921107162,-0.23407757592664769,0.33406584060943284,,False
2018-04-27,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,34.23,34.52,32.709999,33.759998,33.759998,1182900.0,16.491930918643426,,,,,,2.2373565714285717,-0.03575737592373055,0.38754923619794507,-0.12595559193137304,0.32094150427500745,,False
2018-04-30,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,33.759998,33.900002,31.5,31.959999,31.959999,1382200.0,9.792376636371515,,,,,,2.286071142857143,-0.7873766333231237,0.27397848623725335,-0.09735611757509555,0.3093722795319684,,False
2018-05-01,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,31.639999,32.150002,30.1,31.530001,31.530001,1886200.0,6.730599499355616,,,,,,2.1196427857142863,-0.20286342722370487,0.09374977728992308,-0.41230471187883244,0.09632481884138687,,False
2018-05-02,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,32.040001,32.400002,30.216999,30.75,30.75,1424600.0,3.6891820605959413,,,,,,2.081285857142858,-0.3747687984920852,0.04733507497328747,0.22326048191409587,0.1204252253234288,,False
2018-05-03,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,30.6,32.169998,30.469999,32.139999,32.139999,1051000.0,7.201568410160752,,,,,,2.108428642857143,0.6592582607474009,0.06957915899613347,0.8419653163968217,0.14543419510771355,,False
2018-05-04,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,31.860001,32.540001,31.299999,31.84,31.84,857500.0,3.628185468616696,,,,,,2.055571714285714,-0.14594431219065943,0.06839873596818884,-1.1274014960368988,0.10471464092175968,,False
2018-05-07,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,32.0,33.990002,31.59,33.639999,33.639999,1249300.0,7.586857878511233,,,,,,2.0965719999999997,0.8585438515824897,0.19656382774440614,0.5812549959885706,0.25622800603926404,,False
2018-05-08,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,33.889999,35.740002,33.765999,35.130001,35.130001,2567600.0,10.690121969613052,,,,,,2.1751436428571425,0.685013150691426,0.24712621767873563,0.7060588080032174,0.31183228143193037,,False
2018-05-09,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,31.639999,32.630001,30.66,32.259998,32.259998,3177300.0,0.2769575991024009,,,,,,2.2370008571428563,-1.2829691105552923,0.029356095660598398,-2.0456323779381975,0.01409771771648002,,False
2018-05-10,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,32.259998,32.580002,31.4,32.09,32.09,1185100.0,-1.4572564016651746,,,,,,2.0791440714285705,-0.08176345369043848,-0.023621142101160866,-0.8349765224108259,-0.13412103093531091,,False
2018-05-11,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,32.09,32.470001,31.610001,31.780001,31.780001,620000.0,-2.6916539255964933,,,,,,1.990572642857142,-0.15573357802961255,-0.016983469108185788,-0.2971229933637354,-0.13730247365698925,,False
2018-05-14,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,32.599998,33.330002,31.861,32.189999,32.189999,907100.0,-1.7689046627432092,,,,,,1.935929928571428,0.21178349172097857,-0.016481409940401544,0.12965827382774547,-0.21059806664077424,,False
2018-05-15,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,31.91,32.5,31.4,32.400002,32.400002,434000.0,-1.0575184736191567,,,,,,1.9102155714285711,0.10993680668352412,0.0005276312211655508,0.7534211566144926,-0.1385148824511902,,False
2018-05-16,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,32.23,33.555,32.174,33.32,33.32,586800.0,0.5930782761799591,,,,,,1.8874298571428567,0.4874342728649367,-0.003943346795563653,0.08773561229350246,-0.1155282261497509,,False
2018-05-17,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,33.040001,34.099998,32.919998,33.740002,33.740002,607400.0,1.6744654102657464,,,,,,1.8424297857142853,0.2279609259775224,0.014893674768811557,0.31205744143620406,-0.08424158090920968,,False
2018-05-18,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,33.580002,34.058998,33.18,33.220001,33.220001,672800.0,0.4170409916832263,,,,,,1.7337866428571425,-0.2999221398678405,0.049711852872760365,-0.02455642565400251,-0.07904160291484588,,False
2018-05-21,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,33.650002,33.880001,33.07,33.509998,33.509998,640700.0,0.5075316284799847,,,,,,1.6452151428571427,0.17626691637203137,0.07679259170102723,-0.6022453640400878,-0.09260879235493556,,False
2018-05-22,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,33.830002,33.91,33.220001,33.259998,33.259998,535500.0,0.1864091550541236,,,,,,1.5385719999999992,-0.16248833333766644,0.09195548206920001,0.1787832735705277,-0.09578573580804758,,False
2018-05-23,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,33.0,33.75,32.77,33.669998,33.669998,508100.0,1.1097815256744248,,,,,,1.487143499999999,0.27569632654817566,0.06455820105496962,-0.09655808160350426,-0.16282312137949945,,False
2018-05-24,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,33.369999,34.560001,33.369999,33.93,33.93,478500.0,2.2019485203856215,,,,,,1.4835720714285707,0.17525404057359834,0.08750094053813089,0.43064819529577253,-0.051533857712880035,,False
2018-05-25,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,34.080002,35.259998,34.080002,34.490002,34.490002,693100.0,4.121675095178934,,,,,,1.407143214285714,0.39797086345916977,0.05460286995789375,0.7021090861412682,-0.04290142270197306,,False
2018-05-29,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,34.32,35.860001,34.32,35.720001,35.720001,1039300.0,8.55685380584028,29.95660002,,,,,1.3671430714285715,0.8996856479071654,0.069936619759018,2.279253449626724,0.06946962312827742,,False
2018-05-30,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,36.0,40.669998,35.84,40.619999,40.619999,3521200.0,20.407045327500526,30.244600020000004,,,,,1.4014284999999997,3.4964309631208423,0.4113223393073134,2.0454068093970426,0.36168670793793745,,False
2018-05-31,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,41.009998,46.790001,41.009998,46.77,46.77,4887600.0,36.49942724420945,30.64660002,,,,,1.7578570714285708,3.4985785249320847,0.6670610520660649,4.307082270541246,0.7289766217202283,,False
2018-06-01,AAOI,Applied Optoelectronics Inc,전자 장비 및 부품,46.869999,46.990002,42.5,45.02,45.02,3614600.0,27.841362449439934,31.012800040000002,,,,,2.0171429285714275,-0.8675637086556764,0.6162160427356318,-2.0734362362187095,0.6020971043734445,,False
