Date,Symbol,Name,Industry,Open,High,Low,Close,Adj Close,Volume,RS,50MA,150MA,200MA,MA150_Slope,MA200_Slope,ATR,TC,ATC,TRS,ATRS,ATRS150,IsOriginData_NaN
2021-09-23,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,10.04,10.08,9.65,9.75,9.75,14900.0,,,,,,,,,,,,,False
2021-09-24,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.75,9.75,9.75,9.75,9.75,400.0,,,,,,,,,,,,,False
2021-09-27,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.87,9.87,9.62,9.66,9.66,17000.0,,,,,,,,,,,,,False
2021-09-28,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.664,9.68,9.66,9.66,9.66,3600.0,,,,,,,,,,,,,False
2021-09-29,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.66,9.66,9.65,9.65,9.65,76200.0,,,,,,,,,,,,,False
2021-09-30,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.68,9.68,9.68,9.68,9.68,500.0,,,,,,,,,,,,,False
2021-10-01,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.655,9.655,9.655,9.655,9.655,200.0,,,,,,,,,,,,,False
2021-10-04,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.66,9.66,9.66,9.66,9.66,1000.0,,,,,,,,,,,,,False
2021-10-05,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.66,9.69,9.642,9.69,9.69,6100.0,,,,,,,,,,,,,False
2021-10-06,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.675,9.7,9.675,9.7,9.7,34000.0,,,,,,,,,,,,,False
2021-10-07,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.67,9.73,9.67,9.73,9.73,1600.0,,,,,,,,,,,,,False
2021-10-08,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.73,9.73,9.73,9.73,9.73,0.0,,,,,,,,,,,,,False
2021-10-11,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.73,9.73,9.73,9.73,9.73,0.0,,,,,,,,,,,,,False
2021-10-12,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.73,9.73,9.73,9.73,9.73,0.0,,,,,,,,,,,,,False
2021-10-13,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.79,9.79,9.79,9.79,9.79,300.0,,,,,,,0.03807142857142841,1.5759849906191101,,1.3434989405290654,,,False
2021-10-14,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.717,9.72,9.7,9.7,9.7,20100.0,,,,,,,0.044499999999999824,-2.0224719101123645,,-3.2709775943577384,,,False
2021-10-15,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.715,9.715,9.715,9.715,9.715,500.0,,,,,,,0.02771428571428558,0.541237113402085,,-0.0032131666602013276,,,False
2021-10-18,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.715,9.715,9.715,9.715,9.715,0.0,,,,,,,0.026285714285714183,0.0,,-0.26543264548718737,,,False
2021-10-19,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.669,9.71,9.669,9.71,9.71,300.0,,,,,,,0.028857142857142724,-0.1732673267326396,,-0.755999120274086,,,False
2021-10-20,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.71,9.71,9.71,9.71,9.71,0.0,-2.9220508230326514,,,,,,0.026714285714285628,0.0,,-0.31252529022587516,,,False
2021-10-21,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.71,9.71,9.71,9.71,9.71,0.0,-3.085995152307408,,,,,,0.024928571428571317,0.0,,-0.27991009571743497,,,False
2021-10-22,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.71,9.71,9.71,9.71,9.71,0.0,-2.8675742563200712,,,,,,0.024571428571428404,0.0,,0.1072030081835019,,,False
2021-10-25,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.7,9.7,9.68,9.7,9.7,14300.0,-3.316315536099701,,,,,,0.023285714285714194,-0.429447852760805,,-0.9298384639252214,,,False
2021-10-26,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.71,9.71,9.7,9.71,9.71,6800.0,-3.1790524382122487,,,,,,0.022214285714285836,0.45016077170424795,,0.24268372955185216,,,False
2021-10-27,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.7,9.71,9.7,9.71,9.71,4400.0,-2.5089194904021284,,,,,,0.018642857142857343,0.0,,0.6136564601795224,,,False
2021-10-28,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.71,9.71,9.71,9.71,9.71,200.0,-3.1597754714397297,,,,,,0.018642857142857343,0.0,,-1.144448511969316,,,False
2021-10-29,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.66,9.66,9.66,9.66,9.66,300.0,-3.5842054406588053,,,,,,0.022214285714285964,-2.250803858520907,,-2.4863709096132913,,,False
2021-11-01,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.7,9.85,9.7,9.75,9.75,26500.0,-2.562971136896386,,,,,,0.0357857142857145,2.5149700598802207,0.014740141962781981,2.2938937160766137,-0.34626999597927116,,False
2021-11-02,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.78,9.81,9.72,9.765,9.765,2900.0,-2.4989196543948933,,,,,,0.03792857142857172,0.3954802259887125,-0.06958162693938928,-0.07633627475972554,-0.4476867970713277,,False
2021-11-03,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.71,9.8,9.71,9.79,9.79,5200.0,-2.60132973983328,,,,,,0.03792857142857172,0.6591337099811251,0.12196163163871712,-0.2317583385669102,-0.23059970737198282,,False
2021-11-04,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.79,9.79,9.79,9.79,9.79,0.0,-2.737194125880249,,,,,,0.03685714285714311,0.0,0.08330183782428248,-0.599634547301764,-0.27320123456066586,,False
2021-11-05,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.79,9.79,9.79,9.79,9.79,100.0,-2.8014192771350865,,,,,,0.03685714285714311,0.0,0.08330183782428248,-0.5408470624446318,-0.292873692914769,,False
2021-11-08,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.79,9.79,9.79,9.79,9.79,0.0,-2.5494500585565683,,,,,,0.03357142857142887,0.0,0.09567807544804245,-0.13305795611829727,-0.24837789547506986,,False
2021-11-09,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.71,9.79,9.71,9.79,9.79,1300.0,-1.869943222278514,,,,,,0.039285714285714465,0.0,0.09567807544804245,0.5059166181224358,-0.1899177591644762,,False
2021-11-10,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.75,9.76,9.71,9.76,9.76,600.0,-1.0268032795296977,,,,,,0.045000000000000054,-0.6666666666666516,0.04805902782899591,0.4456937983210081,-0.1380889095903017,,False
2021-11-11,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.7,9.7,9.7,9.7,9.7,100.0,-1.4591169730191922,,,,,,0.04928571428571438,-1.217391304347834,-0.03889749391013509,-1.2941006389421503,-0.238182027242134,,False
2021-11-12,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.75,9.75,9.75,9.75,9.75,1100.0,-1.4504769000465267,,,,,,0.050714285714285774,0.9859154929577594,0.06219988792690522,-0.011860563781295963,-0.17261217723185363,,False
2021-11-15,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.73,9.73,9.73,9.73,9.73,2200.0,-1.4472862349495852,,,,,,0.051428571428571344,-0.38888888888888123,0.002267769313110279,-0.38737037781156347,-0.21761604204352616,,False
2021-11-16,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.71,9.71,9.71,9.71,9.71,100.0,-1.8356815199345844,,,,,,0.05214285714285692,-0.38356164383560987,-0.025129490960861856,-0.9269917628840983,-0.32766234369092767,,False
2021-11-17,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.72,9.72,9.72,9.72,9.72,1000.0,-1.3200377760317905,,,,,,0.05285714285714262,0.189189189189186,-0.01161597744734857,0.580530642298789,-0.20444954695749157,,False
2021-11-18,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.74,9.74,9.71,9.71,9.71,2500.0,-1.5896661665797729,,,,,,0.051428571428571095,-0.19444444444444156,0.13526683784382754,-0.7075069962218419,-0.07738783885810231,,False
2021-11-19,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.73,9.73,9.71,9.71,9.71,2400.0,-1.2880256888759711,,,,,,0.03928571428571396,0.0,-0.04437388071904537,0.21358945896117948,-0.22598100008063332,,False
2021-11-22,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.71,9.71,9.71,9.71,9.71,0.0,-0.8514003351822064,,,,,,0.032857142857142536,0.0,-0.07262246828966769,0.44631290097071136,-0.18864891609988785,,False
2021-11-23,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.71,9.71,9.71,9.71,9.71,100.0,-0.8911512073144334,,,,,,0.026428571428571117,0.0,-0.11970344757403377,-0.2284299889962122,-0.188411176844838,,False
2021-11-24,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.71,9.71,9.71,9.71,9.71,0.0,-0.9568355352382207,,,,,,0.026428571428571117,0.0,-0.11970344757403377,-0.3036053385943272,-0.16726623336573537,,False
2021-11-26,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.71,9.71,9.71,9.71,9.71,1000.0,1.3442289317148193,,,,,,0.026428571428571117,0.0,-0.11970344757403377,2.606987517577161,0.05757909377867838,,False
2021-11-29,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.72,9.72,9.72,9.72,9.72,12000.0,0.14993491872030695,,,,,,0.02714285714285682,0.3684210526315755,-0.09338765810034981,-0.9760471670997137,-0.0026344212914227966,,False
2021-11-30,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.729,9.729,9.71,9.71,9.71,600.0,1.9491986295068209,,,,,,0.022785714285713965,-0.4388714733542288,-0.12473562048279474,1.3542970194087633,0.05796417880045774,,False
2021-12-01,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.71,9.71,9.71,9.71,9.71,10100.0,3.062472036544328,,,,,,0.017071428571428373,0.0,-0.07711657286374818,0.9717013677330393,0.09553614804417425,,False
2021-12-02,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.71,9.71,9.67,9.68,9.68,31900.0,1.2714441432889911,9.7188,,,,,0.015642857142856976,-1.9178082191781753,-0.12714635249448686,-2.9725055058005503,-0.0243499138742829,,False
2021-12-03,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.68,9.68,9.68,9.68,9.68,0.0,2.0340669299484304,9.7174,,,,,0.012071428571428353,0.0,-0.1975688877057554,0.5858828308962732,0.01834604288840063,,False
2021-12-06,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.68,9.68,9.68,9.68,9.68,0.0,0.7929152568184383,9.716000000000001,,,,,0.010642857142856954,0.0,-0.16979110992797816,-0.7655285704305922,-0.008665256584387136,,False
2021-12-07,ALPA,Alpha Healthcare Acquisition Corp III,기타 금융업,9.68,9.68,9.68,9.68,9.68,0.0,-1.2121290198450207,9.7164,,,,,0.009214285714285555,0.0,-0.14239384965400603,-1.27932228205666,-0.033831722239570115,,False
