Date,Symbol,Name,Industry,Open,High,Low,Close,Adj Close,Volume,RS,50MA,150MA,200MA,MA150_Slope,MA200_Slope,ATR,TC,ATC,TRS,ATRS,ATRS150,IsOriginData_NaN
2020-09-25,AMST,Amesite Inc,소프트웨어 및 IT서비스,59.400002,78.959999,54.599998,62.639999,62.639999,176300.0,,,,,,,,,,,,,False
2020-09-28,AMST,Amesite Inc,소프트웨어 및 IT서비스,60.119999,62.147999,50.459999,57.48,57.48,31792.0,,,,,,,,,,,,,False
2020-09-29,AMST,Amesite Inc,소프트웨어 및 IT서비스,57.0,57.240002,51.599998,54.0,54.0,12483.0,,,,,,,,,,,,,False
2020-09-30,AMST,Amesite Inc,소프트웨어 및 IT서비스,55.080002,55.080002,51.0,52.799999,52.799999,7042.0,,,,,,,,,,,,,False
2020-10-01,AMST,Amesite Inc,소프트웨어 및 IT서비스,56.279999,56.279999,51.119999,52.200001,52.200001,6617.0,,,,,,,,,,,,,False
2020-10-02,AMST,Amesite Inc,소프트웨어 및 IT서비스,52.200001,59.400002,50.52,57.240002,57.240002,10567.0,,,,,,,,,,,,,False
2020-10-05,AMST,Amesite Inc,소프트웨어 및 IT서비스,60.0,60.0,53.16,53.639999,53.639999,6317.0,,,,,,,,,,,,,False
2020-10-06,AMST,Amesite Inc,소프트웨어 및 IT서비스,57.0,59.279999,54.240002,57.0,57.0,6542.0,,,,,,,,,,,,,False
2020-10-07,AMST,Amesite Inc,소프트웨어 및 IT서비스,58.439999,58.439999,55.32,56.400002,56.400002,5050.0,,,,,,,,,,,,,False
2020-10-08,AMST,Amesite Inc,소프트웨어 및 IT서비스,55.848,56.400002,51.599998,54.240002,54.240002,5717.0,,,,,,,,,,,,,False
2020-10-09,AMST,Amesite Inc,소프트웨어 및 IT서비스,54.48,57.599998,51.599998,56.16,56.16,6142.0,,,,,,,,,,,,,False
2020-10-12,AMST,Amesite Inc,소프트웨어 및 IT서비스,56.52,57.0,53.400002,55.080002,55.080002,3808.0,,,,,,,,,,,,,False
2020-10-13,AMST,Amesite Inc,소프트웨어 및 IT서비스,54.959999,55.080002,50.400002,50.52,50.52,3742.0,,,,,,,,,,,,,False
2020-10-14,AMST,Amesite Inc,소프트웨어 및 IT서비스,53.040001,56.52,50.400002,54.720001,54.720001,6067.0,,,,,,,,,,,,,False
2020-10-15,AMST,Amesite Inc,소프트웨어 및 IT서비스,52.439999,55.799999,50.880001,51.720001,51.720001,9775.0,,,,,,,5.850000214285714,-0.5128204940358794,,-0.40803666351975304,,,False
2020-10-16,AMST,Amesite Inc,소프트웨어 및 IT서비스,51.959999,53.400002,51.240002,51.599998,51.599998,1308.0,,,,,,,5.134285928571428,-0.02337287047692607,,-0.03297614570293758,,,False
2020-10-19,AMST,Amesite Inc,소프트웨어 및 IT서비스,51.599998,52.799999,47.759998,52.080002,52.080002,7625.0,,,,,,,5.074285857142856,0.09459538021972487,,1.174908877853099,,,False
2020-10-20,AMST,Amesite Inc,소프트웨어 및 IT서비스,51.599998,54.0,48.900002,52.560001,52.560001,4900.0,,,,,,,5.147142714285713,0.09325542862213226,,-0.21778661406676159,,,False
2020-10-21,AMST,Amesite Inc,소프트웨어 및 IT서비스,54.0,54.540001,49.799999,52.080002,52.080002,4892.0,,,,,,,5.1171428571428565,-0.09380214963707416,,0.0521488074888324,,,False
2020-10-22,AMST,Amesite Inc,소프트웨어 및 IT서비스,50.759998,53.639999,49.560001,53.639999,53.639999,5167.0,-2.3477663022895445,,,,,,4.774285428571429,0.32674984002093654,,-0.02518193673635921,,,False
2020-10-23,AMST,Amesite Inc,소프트웨어 및 IT서비스,55.799999,57.599998,52.080002,53.675999,53.675999,4908.0,-1.5339464957269344,,,,,,4.679999428571429,0.007692308631538289,,-0.23798478880043217,,,False
2020-10-26,AMST,Amesite Inc,소프트웨어 및 IT서비스,52.799999,53.400002,49.32,50.400002,50.400002,3600.0,-5.089205097841331,,,,,,4.5882850714285714,-0.7139916001295902,,0.5714134491892239,,,False
2020-10-27,AMST,Amesite Inc,소프트웨어 및 IT서비스,51.599998,57.599998,49.32,52.080002,52.080002,6242.0,-1.3657579639896777,,,,,,4.956856428571428,0.33892448252413426,,0.5581479599663586,,,False
2020-10-28,AMST,Amesite Inc,소프트웨어 및 IT서비스,50.880001,53.16,47.880001,50.400002,50.400002,4475.0,-0.9630427873808522,,,,,,4.991141785714285,-0.33659632848109405,,1.8936270079237927,,,False
2020-10-29,AMST,Amesite Inc,소프트웨어 및 IT서비스,51.599998,51.720001,48.599998,51.360001,51.360001,2733.0,-0.29249921631450126,,,,,,4.7854277142857145,0.20060881854596946,,-0.4860304699773691,,,False
2020-10-30,AMST,Amesite Inc,소프트웨어 및 IT서비스,52.560001,52.560001,49.439999,51.0,51.0,1358.0,0.7090506236103078,,,,,,4.751142285714286,-0.07577146259804644,,0.6266190180549702,,,False
2020-11-02,AMST,Amesite Inc,소프트웨어 및 IT서비스,48.911999,52.439999,48.599998,50.52,50.52,1058.0,-1.3013847249901178,,,,,,4.691142357142858,-0.10232049327369828,,-0.784133048135316,,,False
2020-11-03,AMST,Amesite Inc,소프트웨어 및 IT서비스,49.776001,50.784,49.776001,49.919998,49.919998,450.0,-3.5106176560505076,,,,,,4.325999571428571,-0.1386967312624734,-0.06682470509502474,-1.0990305338989197,0.1132646371170306,,False
2020-11-04,AMST,Amesite Inc,소프트웨어 및 IT서비스,51.599998,54.119999,49.200001,49.68,49.68,1883.0,-5.409443645038181,,,,,,4.325999571428571,-0.05547804525573395,-0.034157387325014346,-1.1762629728219274,0.05839132930973242,,False
2020-11-05,AMST,Amesite Inc,소프트웨어 및 IT서비스,49.139999,50.796001,48.48,49.200001,49.200001,542.0,-7.590209921696633,,,,,,4.3371425,-0.11067171530564178,-0.040393019098494035,-1.0697679664468314,-0.015665229314831417,,False
2020-11-06,AMST,Amesite Inc,소프트웨어 및 IT서비스,49.080002,50.807999,49.080002,49.439999,49.439999,1133.0,-6.476487651909824,,,,,,4.100570785714285,0.05852794953232207,-0.042969264147594236,0.07368513439322481,-0.09432406813339386,,False
2020-11-09,AMST,Amesite Inc,소프트웨어 및 IT서비스,50.639999,50.639999,43.799999,49.439999,49.439999,5583.0,-7.04587241311414,,,,,,4.224856642857143,0.0,-0.04963036619203226,-0.5638789144575864,-0.11904494673273848,,False
2020-11-10,AMST,Amesite Inc,소프트웨어 및 IT서비스,49.200001,49.68,48.48,49.200001,49.200001,1917.0,-7.209910910597451,,,,,,3.9719993571428573,-0.06042246697961088,-0.0472461031450706,0.006937599492828912,-0.12227431873245302,,False
2020-11-11,AMST,Amesite Inc,소프트웨어 및 IT서비스,49.200001,50.580002,45.48,49.68,49.68,2525.0,-6.459631561386303,,,,,,4.044856785714286,0.11866897282872176,-0.06210902223022879,-0.25246843328308727,-0.13850906848579075,,False
2020-11-12,AMST,Amesite Inc,소프트웨어 및 IT서비스,50.400002,50.400002,46.080002,49.080002,49.080002,3508.0,-6.351865607365892,,,,,,3.959142785714286,-0.15154745167690414,-0.07348329082368897,0.3231245711182517,-0.09842982849159905,,False
2020-11-13,AMST,Amesite Inc,소프트웨어 및 IT서비스,49.799999,52.439999,49.799999,52.439999,52.439999,6083.0,-1.2228536504978793,,,,,,3.8879997857142863,0.8641968068891537,0.03924445253479274,0.19530854542213238,-0.1252944644749627,,False
2020-11-16,AMST,Amesite Inc,소프트웨어 및 IT서비스,57.599998,58.127998,54.84,57.599998,57.599998,12483.0,7.00030140359158,,,,,,3.7028570000000007,1.3935183022190698,0.11457258251300241,0.8259837330219756,-0.10616333782813293,,False
2020-11-17,AMST,Amesite Inc,소프트웨어 및 IT서비스,57.48,57.599998,55.200001,57.48,57.48,2475.0,7.053757204748723,,,,,,3.497142571428572,-0.0343131563981344,0.13616423766178523,0.22273679335360866,-0.22551263886886036,,False
2020-11-18,AMST,Amesite Inc,소프트웨어 및 IT서비스,57.0,59.880001,52.812,58.68,58.68,12000.0,10.090640922751692,,,,,,3.7791424285714292,0.31753235626359294,0.14451591892732976,0.9547076030146902,-0.1226027765122847,,False
2020-11-19,AMST,Amesite Inc,소프트웨어 및 IT서비스,60.0,61.32,56.52,61.32,61.32,5342.0,13.985779296091483,,,,,,3.8991422857142863,0.6770719831570284,0.198290450766978,0.4536596941080012,-0.13495701393706822,,False
2020-11-20,AMST,Amesite Inc,소프트웨어 및 IT서비스,62.279999,63.0,57.240002,59.040001,59.040001,5042.0,10.092557781100652,,,,,,4.036284928571429,-0.5648756320101933,0.16525079800008546,-0.16280149373590103,-0.09057618862282427,,False
2020-11-23,AMST,Amesite Inc,소프트웨어 및 IT서비스,61.919998,62.400002,58.080002,59.880001,59.880001,2158.0,10.331154219921213,,,,,,4.272856428571429,0.19658980217148225,0.1891998361025109,-0.15212838248405175,-0.02294032066461942,,False
2020-11-24,AMST,Amesite Inc,소프트웨어 및 IT서비스,58.799999,58.799999,54.119999,55.68,55.68,2433.0,0.9753546782147016,,,,,,4.3328567142857155,-0.9693376164857516,0.1239241524432239,-2.0449411582681356,-0.08498876248220573,,False
2020-11-25,AMST,Amesite Inc,소프트웨어 및 IT서비스,59.759998,59.759998,54.720001,55.200001,55.200001,3833.0,0.32985551702029436,,,,,,4.527427857142858,-0.10602024265118036,0.12425640048997115,0.011752498114523571,-0.007737300727823228,,False
2020-11-27,AMST,Amesite Inc,소프트웨어 및 IT서비스,55.080002,56.880001,54.720001,55.200001,55.200001,400.0,0.2037723521961965,,,,,,4.558285214285715,0.0,0.12007583266623387,-0.18386715629739075,-0.026133892920010053,,False
2020-11-30,AMST,Amesite Inc,소프트웨어 및 IT서비스,55.200001,55.728001,54.0,54.240002,54.240002,1000.0,-0.8814419082760927,,,,,,4.193142428571429,-0.22894500159563327,0.10372261826654576,0.18182793538032047,0.027130882068411865,,False
2020-12-01,AMST,Amesite Inc,소프트웨어 및 IT서비스,54.240002,54.959999,52.200001,52.896,52.896,1550.0,-4.155103135233662,,,,,,4.304570857142857,-0.31222671076950803,0.0857366008529817,-1.2952170213114507,-0.06588016227475095,,False
2020-12-02,AMST,Amesite Inc,소프트웨어 및 IT서비스,51.959999,64.475998,50.759998,59.279999,59.279999,11550.0,6.745646716695175,,,,,,4.919999285714285,1.2975609607376533,0.16994317141790535,1.1369607299080264,0.033364777953185744,,False
2020-12-03,AMST,Amesite Inc,소프트웨어 및 IT서비스,60.0,60.0,54.0,59.52,59.52,5142.0,6.60906355038835,,,,,,5.039999285714286,0.047619252780507645,0.18416936459343478,0.10662565920455583,0.017900569959350316,,False
2020-12-04,AMST,Amesite Inc,소프트웨어 및 IT서비스,60.0,61.560001,55.091999,61.560001,61.560001,4267.0,8.362603857368711,54.057840379999995,,,,,5.261999642857142,0.3876855071187964,0.15013284318126643,-0.48602040778099226,-0.03076578384087287,,False
2020-12-07,AMST,Amesite Inc,소프트웨어 및 IT서비스,62.279999,62.279999,56.459999,58.799999,58.799999,2158.0,3.08782877171061,53.98104038,,,,,5.271428285714285,-0.5235776435543439,0.013197418483165428,-0.32149695573150616,-0.11272869018040728,,False
2020-12-08,AMST,Amesite Inc,소프트웨어 및 IT서비스,56.400002,60.0,54.119999,60.0,60.0,2125.0,4.130399250496608,54.03144038000001,,,,,5.519999999999999,0.2173914855072465,0.03117632147640692,-0.07815359002965197,-0.13422086042206877,,False
2020-12-09,AMST,Amesite Inc,소프트웨어 및 IT서비스,59.400002,59.424,55.200001,58.68,58.68,3125.0,1.9675673446919228,54.12504038,,,,,5.357999857142857,-0.24636058887539572,-0.009101746033520841,0.5987546334427669,-0.15964607253434895,,False
2020-12-10,AMST,Amesite Inc,소프트웨어 및 IT서비스,57.240002,57.240002,55.32,56.759998,56.759998,1358.0,-1.7336825317465165,54.20424036,,,,,5.2551427142857134,-0.36535677609299066,-0.08356094312280793,-0.22753599433354726,-0.208302907423031,,False
2020-12-11,AMST,Amesite Inc,소프트웨어 및 IT서비스,56.088001,57.360001,54.48,57.360001,57.360001,592.0,-1.128330515460374,54.30744036,,,,,5.0494286428571415,0.118825919215385,-0.034725118035266615,0.2516342512529039,-0.17870035420954494,,False
2020-12-14,AMST,Amesite Inc,소프트웨어 및 IT서비스,58.080002,60.0,54.360001,56.400002,56.400002,2550.0,-2.6143932946442128,54.29064036,,,,,5.143714285714286,-0.1866353663278335,-0.06209834435664631,0.25708907501457817,-0.14947053581678565,,False
2020-12-15,AMST,Amesite Inc,소프트웨어 및 IT서비스,57.551998,58.560001,54.84,56.400002,56.400002,1883.0,-3.669868689385314,54.34584042,,,,,4.997999928571427,0.0,0.007140056820907371,-1.3550080798982644,-0.10018960164750915,,False
2020-12-16,AMST,Amesite Inc,소프트웨어 및 IT서비스,54.84,57.0,54.192001,55.439999,55.439999,1942.0,-5.194290500576903,54.3146404,,,,,4.8385715,-0.1984062858221689,0.0005410537372653337,-0.38481679879363995,-0.12851597999809225,,False
2020-12-17,AMST,Amesite Inc,소프트웨어 및 IT서비스,55.560001,67.800003,55.560001,64.800003,64.800003,33425.0,9.843596959093581,54.48264042000001,,,,,5.567143214285714,1.681293913183609,0.12063347610752313,1.085661333959849,-0.03783537355114656,,False
2020-12-18,AMST,Amesite Inc,소프트웨어 및 IT서비스,69.0,75.480003,60.0,61.200001,61.200001,18567.0,4.311065301383943,54.6218404,,,,,6.5494290714285714,-0.5496665374551137,0.0977247949747031,-0.18207271686272214,-0.06382827728279246,,False
2020-12-21,AMST,Amesite Inc,소프트웨어 및 IT서비스,60.048,61.200001,57.0,57.119999,57.119999,4400.0,-1.9087455421079258,54.64104037999999,,,,,6.652286428571428,-0.6133232601766032,0.07621789858848202,-0.21856989600617188,0.013075088810441742,,False
2020-12-22,AMST,Amesite Inc,소프트웨어 및 IT서비스,57.0,59.279999,55.799999,55.799999,55.799999,2267.0,-3.4852404543686433,54.655440320000004,,,,,5.921143571428571,-0.2229299094130104,-0.032388592136565385,-0.01260435177581895,-0.06903670273840436,,False
2020-12-23,AMST,Amesite Inc,소프트웨어 및 IT서비스,57.959999,60.119999,55.560001,56.040001,56.040001,2183.0,-3.1024769988116985,54.765840340000004,,,,,5.818286285714286,0.04124960309864384,-0.03284356711384138,-0.03449451652679471,-0.07911671529064368,,False
2020-12-24,AMST,Amesite Inc,소프트웨어 및 IT서비스,56.400002,57.360001,56.040001,56.759998,56.759998,1150.0,-2.240769394565123,54.80664028,,,,,5.450571857142855,0.13209568075989422,-0.05109998328233439,-0.24052689086899384,-0.0615814640826438,,False
2020-12-28,AMST,Amesite Inc,소프트웨어 및 IT서비스,61.200001,63.0,58.68,58.68,58.68,5042.0,0.020693154300910344,54.94584026,,,,,5.4805719999999996,0.3503287613044764,0.011321902779009916,-0.5406718971523092,-0.0772368170412726,,False
2020-12-29,AMST,Amesite Inc,소프트웨어 및 IT서비스,59.400002,60.84,48.48,50.16,50.16,9717.0,-13.89469334829615,54.91704030000001,,,,,5.9434290714285725,-1.4335158874794347,-0.10660005243432445,-1.20543947377237,-0.1577572373086096,,False
2020-12-30,AMST,Amesite Inc,소프트웨어 및 IT서비스,51.119999,59.880001,51.0,59.880001,59.880001,5217.0,2.1296706553751488,55.07304028000001,,,,,6.294857785714286,1.544117648226911,0.021291250215840312,1.3971977797189339,-0.10072558400316911,,False
2020-12-31,AMST,Amesite Inc,소프트웨어 및 IT서비스,58.799999,59.639999,57.959999,58.200001,58.200001,992.0,-1.162499594189459,55.18584028,,,,,6.192000785714286,-0.2713177950293495,0.028008320291814683,-0.9774007007360291,-0.1542873487462035,,False
2021-01-04,AMST,Amesite Inc,소프트웨어 및 IT서비스,58.200001,58.860001,54.0,54.119999,54.119999,3008.0,-6.234025250347686,55.22664022,,,,,6.333429357142856,-0.6442010749513712,-0.02649360786295362,0.7689605713765021,-0.11733546873737508,,False
2021-01-05,AMST,Amesite Inc,소프트웨어 및 IT서비스,53.880001,55.919998,52.799999,54.119999,54.119999,758.0,-6.256295975616388,55.23624022,,,,,6.153429357142857,0.0,-0.01316251026810837,-0.6794860476175446,-0.1842336917825267,,False
2021-01-06,AMST,Amesite Inc,소프트웨어 및 IT서비스,54.599998,55.439999,52.080002,52.080002,52.080002,1300.0,-9.709953266322579,55.204320280000005,,,,,6.127714785714285,-0.33291317747945814,-0.036942022945212524,-0.8556388456633963,-0.14856446076575042,,False
2021-01-07,AMST,Amesite Inc,소프트웨어 및 IT서비스,52.200001,54.84,52.200001,52.32,52.32,1058.0,-9.903252514402826,55.24272024000001,,,,,6.124286142857143,0.039187914215914554,-0.019971008656777988,-1.2366896433573344,-0.2094125210917286,,False
2021-01-08,AMST,Amesite Inc,소프트웨어 및 IT서비스,52.68,55.799999,52.68,55.080002,55.080002,2450.0,-5.17918629521168,55.30272024,,,,,5.490000071428571,0.5027325981949962,-0.10415395972739319,0.0383504285946103,-0.2842204429035313,,False
2021-01-11,AMST,Amesite Inc,소프트웨어 및 IT서비스,53.040001,54.563999,53.040001,53.880001,53.880001,908.0,-6.233699131020187,55.37232022,,,,,4.529999928571429,-0.26490088717913735,-0.08381355613625203,0.2970409687980507,-0.2499980367849047,,False
2021-01-12,AMST,Amesite Inc,소프트웨어 및 IT서비스,53.759998,55.68,53.759998,54.84,54.84,725.0,-4.213083106033977,55.441920200000006,,,,,4.367142857142857,0.21982312724893763,-0.024303099891570534,0.182074494231391,-0.22138058033936453,,False
