Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,9.23,9.24,8.97,9.07,7.771058,464000,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,,,
2021-03-05,9.13,9.15,8.98,9.15,7.8396,279900,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,,,
2021-03-08,9.21,9.24,9.11,9.13,7.822465,387500,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,,,
2021-03-09,9.21,9.26,9.2,9.23,7.908144,324200,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,,,
2021-03-10,9.26,9.3,9.26,9.28,7.950984,227600,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,,,
2021-03-11,9.31,9.38,9.29,9.36,8.019528,248600,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,,,
2021-03-12,9.36,9.38,9.34,9.36,8.019528,202700,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,,,
2021-03-15,9.36,9.41,9.36,9.41,8.062367,349800,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,,,
2021-03-16,9.44,9.47,9.43,9.46,8.105205,229900,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,,,
2021-03-17,9.43,9.48,9.4,9.47,8.113772,350300,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,,,
2021-03-18,9.45,9.49,9.39,9.4,8.053799,415900,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,,,
2021-03-19,9.4,9.47,9.36,9.45,8.096639,232300,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,,,
2021-03-22,9.46,9.51,9.45,9.51,8.148046,238100,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,,,
2021-03-23,9.41,9.42,9.32,9.36,8.068735,241000,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,,,
2021-03-24,9.38,9.4,9.3,9.33,8.042875,238100,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,,,
2021-03-25,9.32,9.32,9.26,9.32,8.034254,338800,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,,,
2021-03-26,9.35,9.4,9.3,9.4,8.103219,256500,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,,,
2021-03-29,9.38,9.43,9.35,9.43,8.129082,254700,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,,,
2021-03-30,9.42,9.47,9.39,9.45,8.14632,200400,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,,,
2021-03-31,9.5,9.55,9.45,9.53,8.215285,480800,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,0.4474124083872155,,
2021-04-01,9.56,9.62,9.54,9.58,8.258386,194700,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,-0.15622817872292805,,
2021-04-05,9.69,9.72,9.65,9.69,8.353213,297900,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,-0.43591707250786316,,
2021-04-06,9.69,9.7,9.65,9.7,8.361832,322400,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,-0.21886020402036577,,
2021-04-07,9.7,9.71,9.66,9.67,8.335975,238100,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,-0.649971441156938,,
2021-04-08,9.7,9.72,9.68,9.72,8.379076,216700,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,-0.539634127314581,,
2021-04-09,9.72,9.78,9.7,9.78,8.430799,282900,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,-0.6771199309101861,,
2021-04-12,9.77,9.79,9.7,9.75,8.404933,366200,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,-0.9380765805554803,,
2021-04-13,9.76,9.8,9.72,9.76,8.413556,300200,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,-1.1323900188005664,,
2021-04-14,9.78,9.81,9.72,9.72,8.379076,239200,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,-1.069740836500288,,
2021-04-15,9.78,9.8,9.69,9.75,8.404933,609200,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,-1.7604170185548051,,
2021-04-16,9.78,9.81,9.75,9.78,8.430799,436300,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,-1.6801009995791483,,
2021-04-19,9.79,9.79,9.7,9.74,8.396317,498000,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,-1.403335732928146,,
2021-04-20,9.74,9.76,9.67,9.71,8.370454,310400,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,-0.8979512254387645,,
2021-04-21,9.69,9.81,9.69,9.8,8.448038,285700,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,-0.8066898956664681,,
2021-04-22,9.76,9.77,9.7,9.71,8.420288,353800,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,-0.697588072471711,,
2021-04-23,9.72,9.81,9.7,9.78,8.48099,438200,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,-0.9701914149802038,,
2021-04-26,9.8,9.81,9.75,9.77,8.472318,272400,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,-1.1805574328675794,,
2021-04-27,9.78,9.81,9.74,9.78,8.48099,209500,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,-0.9769798700317911,,
2021-04-28,9.79,9.82,9.77,9.78,8.48099,230800,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,-0.7895054401011348,,
2021-04-29,9.83,9.83,9.77,9.81,8.507006,255400,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,-1.0078816086705578,,
2021-04-30,9.81,9.82,9.76,9.8,8.498334,254500,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,-0.3088493146406468,,
2021-05-03,9.81,9.88,9.81,9.87,8.559033,330100,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,0.17515783482289216,,
2021-05-04,9.86,9.86,9.72,9.84,8.53302,370500,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,0.5811831508316212,,
2021-05-05,9.86,9.9,9.85,9.89,8.57638,267800,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,1.0148650988333952,,
2021-05-06,9.9,9.97,9.85,9.93,8.611066,285400,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,0.6212216696115602,,
2021-05-07,9.96,10.03,9.95,9.99,8.663097,266400,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,0.5064048015060552,,
2021-05-10,10.0,10.04,9.93,9.93,8.611066,298900,AOD,abrdn Total Dynamic Dividend Mutual Fund,다양한 금융서비스,0.9371963640861347,,
