Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,9.6,9.65,9.0,9.31,9.217704,714900,ARKO,Arko Corp.,오일 및 가스,,,
2021-03-05,9.3,9.62,9.07,9.6,9.504828,382600,ARKO,Arko Corp.,오일 및 가스,,,
2021-03-08,9.38,9.6,9.172,9.35,9.257306,818600,ARKO,Arko Corp.,오일 및 가스,,,
2021-03-09,9.48,9.855,9.48,9.59,9.494927,619600,ARKO,Arko Corp.,오일 및 가스,,,
2021-03-10,9.68,9.835,9.6,9.63,9.534531,616500,ARKO,Arko Corp.,오일 및 가스,,,
2021-03-11,9.77,9.82,9.66,9.79,9.692945,911200,ARKO,Arko Corp.,오일 및 가스,,,
2021-03-12,9.71,9.78,9.43,9.61,9.514728,416100,ARKO,Arko Corp.,오일 및 가스,,,
2021-03-15,9.6,9.98,9.6,9.83,9.732549,1466800,ARKO,Arko Corp.,오일 및 가스,,,
2021-03-16,9.82,9.94,9.82,9.85,9.752349,778300,ARKO,Arko Corp.,오일 및 가스,,,
2021-03-17,9.78,9.8,9.66,9.76,9.663242,1295100,ARKO,Arko Corp.,오일 및 가스,,,
2021-03-18,9.7,10.1,9.66,9.93,9.831556,1877700,ARKO,Arko Corp.,오일 및 가스,,,
2021-03-19,10.06,10.17,9.92,10.15,10.049375,4507400,ARKO,Arko Corp.,오일 및 가스,,,
2021-03-22,10.08,10.15,9.85,9.92,9.821655,1331700,ARKO,Arko Corp.,오일 및 가스,,,
2021-03-23,9.86,9.92,9.61,9.76,9.663242,1086800,ARKO,Arko Corp.,오일 및 가스,,,
2021-03-24,9.78,9.87,9.59,9.79,9.692945,1079700,ARKO,Arko Corp.,오일 및 가스,,,
2021-03-25,9.66,10.32,9.45,10.26,10.158285,1957700,ARKO,Arko Corp.,오일 및 가스,,,
2021-03-26,10.25,10.25,9.77,9.85,9.752349,1195200,ARKO,Arko Corp.,오일 및 가스,,,
2021-03-29,9.84,9.92,9.74,9.81,9.712747,1283200,ARKO,Arko Corp.,오일 및 가스,,,
2021-03-30,9.84,10.0,9.74,9.95,9.851357,724400,ARKO,Arko Corp.,오일 및 가스,,,
2021-03-31,10.01,10.09,9.85,9.94,9.841456,456400,ARKO,Arko Corp.,오일 및 가스,0.17847272340927312,,
2021-04-01,9.919,9.96,9.66,9.81,9.712747,303200,ARKO,Arko Corp.,오일 및 가스,-2.2282230491570187,,
2021-04-05,9.84,10.03,9.775,9.96,9.861259,391400,ARKO,Arko Corp.,오일 및 가스,-2.035574224583536,,
2021-04-06,9.96,10.07,9.91,10.01,9.910764,181200,ARKO,Arko Corp.,오일 및 가스,-1.468197781612235,,
2021-04-07,9.98,10.05,9.91,9.98,9.88106,287700,ARKO,Arko Corp.,오일 및 가스,-1.8522201209355438,,
2021-04-08,10.01,10.27,9.95,10.27,10.168186,665000,ARKO,Arko Corp.,오일 및 가스,0.501434808863932,,
2021-04-09,10.29,10.31,10.19,10.21,10.108782,199500,ARKO,Arko Corp.,오일 및 가스,-0.8266606517805086,,
2021-04-12,10.21,10.22,10.083,10.11,10.00977,670700,ARKO,Arko Corp.,오일 및 가스,-1.8025890360443553,,
2021-04-13,10.09,10.44,10.03,10.42,10.316699,720500,ARKO,Arko Corp.,오일 및 가스,0.7968423126590407,,
2021-04-14,10.41,10.41,10.16,10.19,10.088978,478400,ARKO,Arko Corp.,오일 및 가스,-0.9933724409736833,,
2021-04-15,10.21,10.23,9.925,9.99,9.890961,158000,ARKO,Arko Corp.,오일 및 가스,-3.8851916724643054,,
2021-04-16,9.99,10.01,9.91,9.95,9.851357,196800,ARKO,Arko Corp.,오일 및 가스,-4.309354507747298,,
2021-04-19,9.96,9.96,9.85,9.9,9.801854,450200,ARKO,Arko Corp.,오일 및 가스,-3.864535399170388,,
2021-04-20,9.95,10.02,9.84,9.98,9.88106,274400,ARKO,Arko Corp.,오일 및 가스,-2.218751107895689,,
2021-04-21,9.94,10.195,9.84,10.19,10.088978,487600,ARKO,Arko Corp.,오일 및 가스,-0.9730683858900524,,
2021-04-22,10.18,10.24,9.95,10.1,9.999871,585900,ARKO,Arko Corp.,오일 및 가스,-0.7849666696405522,,
2021-04-23,10.16,10.2,10.03,10.09,9.989971,258900,ARKO,Arko Corp.,오일 및 가스,-1.5335764661165041,,
2021-04-26,10.12,10.2,10.05,10.1,9.999871,454500,ARKO,Arko Corp.,오일 및 가스,-1.4779045704485405,,
2021-04-27,10.1,10.195,10.0,10.05,9.950367,352900,ARKO,Arko Corp.,오일 및 가스,-1.8043605076945912,,
2021-04-28,10.08,10.465,10.01,10.34,10.237493,485400,ARKO,Arko Corp.,오일 및 가스,1.2010468482110292,,
2021-04-29,10.3,10.41,10.2,10.35,10.247393,208400,ARKO,Arko Corp.,오일 및 가스,0.7099589456654121,,
2021-04-30,10.32,10.56,10.32,10.52,10.415708,261100,ARKO,Arko Corp.,오일 및 가스,2.9463462899375292,,
2021-05-03,10.55,10.66,10.43,10.48,10.376102,379700,ARKO,Arko Corp.,오일 및 가스,2.154361265752569,,
2021-05-04,10.39,10.7,10.28,10.66,10.55432,379200,ARKO,Arko Corp.,오일 및 가스,4.3887732573259175,,
2021-05-05,10.6,10.68,10.37,10.4,10.296897,481300,ARKO,Arko Corp.,오일 및 가스,1.6688260973991786,,
2021-05-06,10.4,10.46,10.19,10.34,10.237493,322200,ARKO,Arko Corp.,오일 및 가스,0.3569079290650867,,
2021-05-07,10.41,10.49,10.32,10.37,10.267194,177400,ARKO,Arko Corp.,오일 및 가스,-0.04204527813495007,,
2021-05-10,10.38,10.47,10.27,10.41,10.306797,206100,ARKO,Arko Corp.,오일 및 가스,1.3267134697445782,,
2021-05-11,10.33,10.4,10.1,10.23,10.128582,288600,ARKO,Arko Corp.,오일 및 가스,0.5527733256255773,,
2021-05-12,10.16,10.22,9.79,9.83,9.732549,1132700,ARKO,Arko Corp.,오일 및 가스,-1.1578776465644314,,
2021-05-13,9.89,10.08,9.82,9.93,9.831556,337600,ARKO,Arko Corp.,오일 및 가스,-1.3917726249315865,,
2021-05-14,10.04,10.35,9.985,10.2,10.098879,330300,ARKO,Arko Corp.,오일 및 가스,-0.3347673971617393,,
2021-05-17,10.14,10.55,10.14,10.53,10.425608,289800,ARKO,Arko Corp.,오일 및 가스,2.833395456656884,,
2021-05-18,10.56,10.74,10.53,10.56,10.45531,232000,ARKO,Arko Corp.,오일 및 가스,3.7072774554336663,,
