Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,2.4,2.47,2.04,2.14,2.14,11983700,ATOS,Atossa Therapeutics Inc,생명과학 및 메디컬 리서치,,,
2021-03-05,2.19,2.34,1.78,2.23,2.23,12578300,ATOS,Atossa Therapeutics Inc,생명과학 및 메디컬 리서치,,,
2021-03-08,2.26,2.29,2.09,2.13,2.13,6388200,ATOS,Atossa Therapeutics Inc,생명과학 및 메디컬 리서치,,,
2021-03-09,2.19,2.54,2.16,2.48,2.48,13814100,ATOS,Atossa Therapeutics Inc,생명과학 및 메디컬 리서치,,,
2021-03-10,2.99,3.09,2.53,2.91,2.91,27345200,ATOS,Atossa Therapeutics Inc,생명과학 및 메디컬 리서치,,,
2021-03-11,2.9,3.6,2.88,3.22,3.22,47117200,ATOS,Atossa Therapeutics Inc,생명과학 및 메디컬 리서치,,,
2021-03-12,2.96,3.13,2.87,2.91,2.91,12051600,ATOS,Atossa Therapeutics Inc,생명과학 및 메디컬 리서치,,,
2021-03-15,2.95,3.06,2.9,2.91,2.91,5924500,ATOS,Atossa Therapeutics Inc,생명과학 및 메디컬 리서치,,,
2021-03-16,2.89,2.9,2.65,2.72,2.72,7270100,ATOS,Atossa Therapeutics Inc,생명과학 및 메디컬 리서치,,,
2021-03-17,2.64,2.95,2.59,2.9,2.9,6564700,ATOS,Atossa Therapeutics Inc,생명과학 및 메디컬 리서치,,,
2021-03-18,2.85,2.92,2.65,2.71,2.71,5662900,ATOS,Atossa Therapeutics Inc,생명과학 및 메디컬 리서치,,,
2021-03-19,2.72,2.83,2.63,2.78,2.78,10303000,ATOS,Atossa Therapeutics Inc,생명과학 및 메디컬 리서치,,,
2021-03-22,2.44,2.54,2.42,2.5,2.5,20492600,ATOS,Atossa Therapeutics Inc,생명과학 및 메디컬 리서치,,,
2021-03-23,2.49,2.49,2.32,2.39,2.39,7706400,ATOS,Atossa Therapeutics Inc,생명과학 및 메디컬 리서치,,,
2021-03-24,2.39,2.42,2.15,2.16,2.16,10385600,ATOS,Atossa Therapeutics Inc,생명과학 및 메디컬 리서치,,,
2021-03-25,2.1,2.3,2.02,2.26,2.26,9055400,ATOS,Atossa Therapeutics Inc,생명과학 및 메디컬 리서치,,,
2021-03-26,2.2,2.25,2.03,2.16,2.16,9063500,ATOS,Atossa Therapeutics Inc,생명과학 및 메디컬 리서치,,,
2021-03-29,2.1,2.11,1.97,2.05,2.05,9035700,ATOS,Atossa Therapeutics Inc,생명과학 및 메디컬 리서치,,,
2021-03-30,2.02,2.09,1.91,2.05,2.05,6988000,ATOS,Atossa Therapeutics Inc,생명과학 및 메디컬 리서치,,,
2021-03-31,2.02,2.15,1.99,2.11,2.11,7067100,ATOS,Atossa Therapeutics Inc,생명과학 및 메디컬 리서치,-16.276268467782174,,
2021-04-01,2.11,2.18,2.05,2.16,2.16,6745500,ATOS,Atossa Therapeutics Inc,생명과학 및 메디컬 리서치,-15.089570797640018,,
2021-04-05,2.17,2.17,2.01,2.12,2.12,6323700,ATOS,Atossa Therapeutics Inc,생명과학 및 메디컬 리서치,-17.453121471386922,,
2021-04-06,2.05,2.12,2.04,2.04,2.04,3562700,ATOS,Atossa Therapeutics Inc,생명과학 및 메디컬 리서치,-20.131478132322435,,
