Date,Symbol,Name,Industry,Open,High,Low,Close,Adj Close,Volume,RS,50MA,150MA,200MA,MA150_Slope,MA200_Slope,ATR,TC,ATC,TRS,ATRS,ATRS150,IsOriginData_NaN
2021-10-15,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.05,10.07,10.02,10.04,10.04,3777400.0,,,,,,,,,,,,,False
2021-10-18,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.05,10.11,10.02,10.08,10.08,274800.0,,,,,,,,,,,,,False
2021-10-19,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.07,10.08,10.06,10.08,10.08,4200.0,,,,,,,,,,,,,False
2021-10-20,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.05,10.07,10.05,10.07,10.07,7000.0,,,,,,,,,,,,,False
2021-10-21,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.09,10.09,10.04,10.05,10.05,7800.0,,,,,,,,,,,,,False
2021-10-22,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.06,10.09,10.06,10.074,10.074,119000.0,,,,,,,,,,,,,False
2021-10-25,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.1,10.11,10.1,10.1,10.1,74000.0,,,,,,,,,,,,,False
2021-10-26,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.1,10.11,10.1,10.11,10.11,33900.0,,,,,,,,,,,,,False
2021-10-27,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.11,10.11,10.11,10.11,10.11,2400.0,,,,,,,,,,,,,False
2021-10-28,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.11,10.11,10.11,10.11,10.11,0.0,,,,,,,,,,,,,False
2021-10-29,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.12,10.12,10.12,10.12,10.12,1200.0,,,,,,,,,,,,,False
2021-11-01,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.14,10.14,10.125,10.14,10.14,28600.0,,,,,,,,,,,,,False
2021-11-02,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.15,10.15,10.12,10.12,10.12,30700.0,,,,,,,,,,,,,False
2021-11-03,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.05,10.11,10.05,10.11,10.11,800.0,,,,,,,,,,,,,False
2021-11-04,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.11,10.11,10.11,10.11,10.11,0.0,,,,,,,0.028999999999999915,0.0,,-0.599634547301764,,,False
2021-11-05,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.07,10.115,10.06,10.08,10.08,4300.0,,,,,,,0.026499999999999906,-1.1320754716980932,,-1.672922534142725,,,False
2021-11-08,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.08,10.08,10.08,10.08,10.08,0.0,,,,,,,0.025071428571428505,0.0,,-0.13305795611829727,,,False
2021-11-09,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.1,10.1,10.1,10.1,10.1,200.0,,,,,,,0.024357142857142806,0.8211143695014504,,1.3270309876238864,,,False
2021-11-10,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.09,10.12,10.09,10.12,10.12,1900.0,,,,,,,0.02292857142857128,0.8722741433021677,,1.9846346082898274,,,False
2021-11-11,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.15,10.15,10.14,10.14,10.14,20300.0,-0.6941821372225432,,,,,,0.02221428571428571,0.9003215434084211,,0.8236122088141047,,,False
2021-11-12,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.09,10.09,10.09,10.09,10.09,400.0,-1.6893931010411478,,,,,,0.02321428571428579,-2.1538461538461773,,-3.1516222105852325,,,False
2021-11-15,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.09,10.09,10.09,10.09,10.09,0.0,-1.4814142140971764,,,,,,0.022500000000000093,0.0,,0.001518511077317774,,,False
2021-11-16,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.136,10.14,10.136,10.14,10.14,300.0,-1.2090191784439375,,,,,,0.026071428571428714,1.917808219178099,,1.3743781001296105,,,False
2021-11-17,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.15,10.2,10.14,10.2,10.2,149200.0,-0.26368368699830613,,,,,,0.03035714285714291,1.9764705882352487,,2.367812041344852,,,False
2021-11-18,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.15,10.28,10.15,10.28,10.28,46800.0,0.23410322057104693,,,,,,0.038928571428571423,2.055045871559635,,1.5419833197822346,,,False
2021-11-19,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.24,10.24,10.24,10.24,10.24,300.0,0.06857796738717337,,,,,,0.040357142857142696,-0.991150442477859,,-0.7775609835166795,,,False
2021-11-22,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.66,10.66,10.22,10.22,10.22,275800.0,0.26108046771278204,,,,,,0.06964285714285687,-0.2871794871794822,,0.15913341379122914,,,False
2021-11-23,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.22,10.22,10.22,10.22,10.22,0.0,0.16690094396225597,,,,,,0.06464285714285697,0.0,0.28419879857024355,-0.2284299889962122,0.21549106929943943,,False
2021-11-24,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.62,11.28,10.25,10.99,10.99,9000.0,7.180393855697842,,,,,,0.1403571428571426,5.486005089058532,0.6760563049315672,5.182399750464205,0.6284935191398657,,False
2021-11-26,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.21,10.21,10.21,10.21,10.21,400.0,1.8359952629382503,,,,,,0.19214285714285687,-4.059479553903349,0.4669560133454775,-1.4524920363261877,0.6442385546981898,,False
2021-11-29,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.21,10.21,10.2,10.21,10.21,11000.0,0.5189653171545627,,,,,,0.19285714285714267,0.0,0.4669560133454776,-1.3444682197312892,0.5577092501544048,,False
2021-11-30,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.33,10.33,10.33,10.33,10.33,100.0,3.51406374294172,,,,,,0.1999999999999998,0.5999999999999968,0.4511621298096595,2.393168492762989,0.6338619290929121,,False
2021-12-01,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.33,10.33,10.33,10.33,10.33,1600.0,4.504262835052475,,,,,,0.1978571428571427,0.0,0.38885683385950465,0.9717013677330393,0.5615095547674271,,False
2021-12-02,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.33,10.33,10.33,10.33,10.33,0.0,2.8359396434699535,,,,,,0.19571428571428548,0.0,0.32454815218747457,-1.054697286622375,0.4273445908076786,,False
2021-12-03,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.21,10.265,10.2,10.2,10.2,20900.0,2.2038246938593353,,,,,,0.2014285714285712,-0.6453900709219904,0.43229501525348785,-0.05950724002571717,0.6482099458476441,,False
2021-12-06,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.25,10.25,10.25,10.25,10.25,300.0,1.314723445643784,,,,,,0.20499999999999982,0.24390243902439393,0.4497166180409446,-0.5216261314061983,0.6108424713845357,,False
2021-12-07,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.25,10.25,10.25,10.25,10.25,300.0,-0.8376602926230992,,,,,,0.2014285714285712,0.0,0.31273031667108037,-1.27932228205666,0.4212924440855164,,False
2021-12-08,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.25,10.25,10.25,10.25,10.25,0.0,-1.1977392458654146,,,,,,0.197142857142857,0.0,0.17155384608284832,-0.1920788271316323,0.2384430963371961,,False
2021-12-09,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.19,10.69,10.19,10.25,10.25,1200.0,-0.5240652439926885,,,,,,0.2235714285714285,0.0,0.024764855257160125,0.4487841114632094,0.1603574386001229,,False
2021-12-10,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.09,10.09,10.09,10.09,10.09,200.0,-2.91589541985372,,,,,,0.23214285714285715,-0.6892307692307699,0.04633054620338077,-1.269276115126285,0.12523492919943677,,False
2021-12-13,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.09,10.09,10.09,10.09,10.09,0.0,-2.0349654277521667,,,,,,0.20071428571428576,0.0,0.06684336671620093,0.5693885930309519,0.1545388705737027,,False
2021-12-14,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.09,10.09,10.09,10.09,10.09,4300.0,-1.3482340219256206,,,,,,0.20071428571428576,0.0,0.06684336671620093,0.45458615590349655,0.20332573806653903,,False
2021-12-15,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.15,10.605,10.15,10.605,10.605,500.0,1.800920435930653,,,,,,0.16178571428571445,3.1832229580573954,-0.09764107121245165,2.2467708731460045,-0.006362038884760978,,False
2021-12-16,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.302,10.302,10.11,10.11,10.11,600.0,-2.0726783005914684,,,,,,0.1414285714285717,-3.5,-0.05767824593364103,-2.9743065482913886,-0.1150630754537039,,False
2021-12-17,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.11,10.11,10.11,10.11,10.11,0.0,-1.0612158017207607,,,,,,0.14071428571428587,0.0,-0.05767824593364103,0.6187075551140797,0.025163765606679593,,False
2021-12-20,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.176,10.176,10.176,10.176,10.176,500.0,0.622633982327292,,,,,,0.13685714285714315,0.4822546972860168,-0.06608862469892532,1.1636864605294046,-0.06265637955286214,,False
2021-12-21,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.176,10.176,10.176,10.176,10.176,0.0,-1.149180297518193,,,,,,0.13685714285714315,0.0,-0.06608862469892532,-1.112977810170434,-0.21156203511739594,,False
2021-12-22,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.11,10.11,10.11,10.11,10.11,300.0,-2.722609492518424,,,,,,0.1415714285714289,-0.4661957618567144,-0.09938832197440492,-1.1403177578531496,-0.21767778306245125,,False
2021-12-23,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.11,10.11,10.11,10.11,10.11,0.0,-2.889295167728001,,,,,,0.13228571428571456,0.0,-0.053289031194262745,-0.44762115696048743,-0.24540020570064916,,False
2021-12-27,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.1,10.15,10.1,10.15,10.15,1900.0,-3.609034918218601,10.17682,,,,,0.13228571428571456,0.3023758099352115,-0.049112361843490056,-0.7085085414944873,-0.2587489492783841,,False
2021-12-28,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.15,10.15,10.15,10.15,10.15,0.0,-3.351938191551884,10.17902,,,,,0.13228571428571456,0.0,-0.049112361843490056,0.08160148622225856,-0.16154010868703272,,False
2021-12-29,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.14,10.14,10.14,10.14,10.14,100.0,-3.2597640718980636,10.180219999999998,,,,,0.13300000000000026,-0.07518796992481028,-0.05448293112383364,-0.18894503838468646,-0.16131626663367943,,False
2021-12-30,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.14,10.14,10.14,10.14,10.14,0.0,-2.597712550690756,10.181420000000001,,,,,0.09728571428571454,0.0,-0.05448293112383364,0.24342490296267658,-0.17598478152657468,,False
2021-12-31,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.14,10.14,10.14,10.14,10.14,0.0,-2.0503436033477263,10.18282,,,,,0.0858571428571431,0.0,-0.005252161893064372,0.21986325330705658,-0.06961768378133598,,False
2022-01-03,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.14,10.14,10.14,10.14,10.14,0.0,-2.3707883575826316,10.18462,,,,,0.0858571428571431,0.0,-0.005252161893064372,-0.5362253747237302,-0.14859011004952755,,False
2022-01-04,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.14,10.14,10.14,10.14,10.14,0.0,-2.0447387606037926,10.185939999999999,,,,,0.0858571428571431,0.0,-0.005252161893064372,0.05455021657376212,-0.1771641057159372,,False
2022-01-05,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.09,10.11,10.09,10.11,10.11,2400.0,-0.3194986187030846,10.18614,,,,,0.0526428571428574,-0.569877883310738,-0.2733307934193596,1.116031151990156,-0.25793122865564067,,False
2022-01-06,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.11,10.11,10.11,10.11,10.11,0.0,-0.15990650628597836,10.18614,,,,,0.017285714285714477,0.0,-0.023330793419359626,0.08506401641798628,-0.03940475974782814,,False
2022-01-07,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.11,10.195,10.11,10.11,10.11,600.0,0.32621104480317076,10.18614,,,,,0.023357142857143107,0.0,-0.023330793419359626,0.3686247722275609,-0.05726781566829377,,False
2022-01-10,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.11,10.11,10.11,10.11,10.11,200.0,0.41642791891907116,10.18614,,,,,0.018642857142857343,0.0,-0.05777755751121797,0.12967982170247747,-0.13112543272736,,False
2022-01-11,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.11,10.11,10.11,10.11,10.11,0.0,-0.45814851158747505,10.185939999999999,,,,,0.018642857142857343,0.0,-0.05777755751121797,-0.8314243114948972,-0.11101446853625022,,False
2022-01-12,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.11,10.11,10.11,10.11,10.11,0.0,-0.6496247526967203,10.18534,,,,,0.013928571428571576,0.0,-0.024477860235738367,-0.2617426940346477,-0.04825910683492866,,False
2022-01-13,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.11,10.11,10.11,10.11,10.11,0.0,0.9774792484209538,10.18514,,,,,0.013928571428571576,0.0,-0.024477860235738367,1.2401269629470992,0.07229433030132755,,False
2022-01-14,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.11,10.11,10.11,10.11,10.11,0.0,0.8884030485943217,10.185139999999999,,,,,0.010357142857142954,0.0,-0.04607613237396776,-0.0718229383893115,0.11777187338026865,,False
2022-01-18,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.11,10.11,10.11,10.11,10.11,0.0,2.7285507613610926,10.18514,,,,,0.010357142857142954,0.0,-0.04607613237396776,1.4785715401785957,0.21755544866286416,,False
2022-01-19,AVHIU,Achari Ventures Holdings I Units,기타 금융업,10.51,10.51,10.51,10.51,10.51,300.0,7.610129616395911,10.193739999999998,,,,,0.03821428571428585,10.46728971962614,0.706957988308243,11.1832659360022,1.029856232547642,,False
