Date,Symbol,Name,Industry,Open,High,Low,Close,Adj Close,Volume,RS,50MA,150MA,200MA,MA150_Slope,MA200_Slope,ATR,TC,ATC,TRS,ATRS,ATRS150,IsOriginData_NaN
2018-03-19,BB,BlackBerry Ltd,소프트웨어 및 IT서비스,12.91,12.92,12.51,12.72,12.72,5099000,,,,,,,,,,,,,False
2018-03-20,BB,BlackBerry Ltd,소프트웨어 및 IT서비스,13.3,13.38,12.99,13.08,13.08,8732000,,,,,,,,,,,,,False
2018-03-21,BB,BlackBerry Ltd,소프트웨어 및 IT서비스,13.15,13.28,13.03,13.16,13.16,4859800,,,,,,,,,,,,,False
2018-03-22,BB,BlackBerry Ltd,소프트웨어 및 IT서비스,13.06,13.2,12.79,12.82,12.82,7395200,,,,,,,,,,,,,False
2018-03-23,BB,BlackBerry Ltd,소프트웨어 및 IT서비스,12.88,12.92,12.44,12.44,12.44,5244900,,,,,,,,,,,,,False
2018-03-26,BB,BlackBerry Ltd,소프트웨어 및 IT서비스,12.66,13.09,12.56,13.09,13.09,5479300,,,,,,,,,,,,,False
2018-03-27,BB,BlackBerry Ltd,소프트웨어 및 IT서비스,13.18,13.18,12.37,12.4,12.4,8945500,,,,,,,,,,,,,False
2018-03-28,BB,BlackBerry Ltd,소프트웨어 및 IT서비스,12.96,12.99,12.12,12.2,12.2,13223000,,,,,,,,,,,,,False
2018-03-29,BB,BlackBerry Ltd,소프트웨어 및 IT서비스,12.1,12.23,11.48,11.5,11.5,12367500,,,,,,,,,,,,,False
2018-04-02,BB,BlackBerry Ltd,소프트웨어 및 IT서비스,11.36,11.42,10.67,10.72,10.72,12376200,,,,,,,,,,,,,False
2018-04-03,BB,BlackBerry Ltd,소프트웨어 및 IT서비스,10.78,10.86,10.31,10.44,10.44,8092700,,,,,,,,,,,,,False
2018-04-04,BB,BlackBerry Ltd,소프트웨어 및 IT서비스,10.2,10.56,10.06,10.53,10.53,7275300,,,,,,,,,,,,,False
2018-04-05,BB,BlackBerry Ltd,소프트웨어 및 IT서비스,10.57,10.75,10.26,10.47,10.47,5768500,,,,,,,,,,,,,False
