Date,Symbol,Name,Industry,Open,High,Low,Close,Adj Close,Volume,RS,50MA,150MA,200MA,MA150_Slope,MA200_Slope,ATR,TC,ATC,TRS,ATRS,ATRS150,IsOriginData_NaN
2018-03-19,BSIG,Brightsphere Investment Group Inc,투자은행 및 서비스,15.73,15.75,15.42,15.65,14.445253,622200.0,,,,,,,,,,,,,False
2018-03-20,BSIG,Brightsphere Investment Group Inc,투자은행 및 서비스,15.79,15.8,15.6,15.7,14.491403,881400.0,,,,,,,,,,,,,False
2018-03-21,BSIG,Brightsphere Investment Group Inc,투자은행 및 서비스,15.72,16.02,15.69,15.87,14.648319,641000.0,,,,,,,,,,,,,False
2018-03-22,BSIG,Brightsphere Investment Group Inc,투자은행 및 서비스,15.71,15.8,15.46,15.5,14.306801,969100.0,,,,,,,,,,,,,False
2018-03-23,BSIG,Brightsphere Investment Group Inc,투자은행 및 서비스,15.5,15.57,15.3,15.35,14.168347,1305900.0,,,,,,,,,,,,,False
2018-03-26,BSIG,Brightsphere Investment Group Inc,투자은행 및 서비스,12.88,16.0,12.88,15.74,14.528326,482700.0,,,,,,,,,,,,,False
2018-03-27,BSIG,Brightsphere Investment Group Inc,투자은행 및 서비스,15.85,15.93,15.64,15.68,14.472945,717800.0,,,,,,,,,,,,,False
2018-03-28,BSIG,Brightsphere Investment Group Inc,투자은행 및 서비스,15.64,15.82,15.47,15.52,14.32526,762900.0,,,,,,,,,,,,,False
2018-03-29,BSIG,Brightsphere Investment Group Inc,투자은행 및 서비스,15.56,15.84,15.45,15.76,14.546784,587300.0,,,,,,,,,,,,,False
2018-04-02,BSIG,Brightsphere Investment Group Inc,투자은행 및 서비스,15.74,15.91,14.98,15.07,13.909903,641500.0,,,,,,,,,,,,,False
2018-04-03,BSIG,Brightsphere Investment Group Inc,투자은행 및 서비스,15.11,15.36,15.09,15.27,14.094508,319100.0,,,,,,,,,,,,,False
2018-04-04,BSIG,Brightsphere Investment Group Inc,투자은행 및 서비스,15.09,15.57,15.08,15.53,14.33449,357900.0,,,,,,,,,,,,,False
2018-04-05,BSIG,Brightsphere Investment Group Inc,투자은행 및 서비스,15.53,15.66,15.29,15.35,14.168347,528100.0,,,,,,,,,,,,,False
