Date,Symbol,Name,Industry,Open,High,Low,Close,Adj Close,Volume,RS,50MA,150MA,200MA,MA150_Slope,MA200_Slope,ATR,TC,ATC,TRS,ATRS,ATRS150,IsOriginData_NaN
2018-03-19,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,26.35,26.4,25.99,26.25,26.25,5900.0,,,,,,,,,,,,,False
2018-03-20,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,26.5,27.15,26.0,27.15,27.15,7800.0,,,,,,,,,,,,,False
2018-03-21,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,26.9,26.93,26.299,26.5,26.5,7600.0,,,,,,,,,,,,,False
2018-03-22,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,26.4,27.0,26.299999,26.799999,26.799999,10800.0,,,,,,,,,,,,,False
2018-03-23,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,26.999001,27.0,26.379999,26.379999,26.379999,7900.0,,,,,,,,,,,,,False
2018-03-26,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,26.74,26.74,26.450001,26.6,26.6,2200.0,,,,,,,,,,,,,False
2018-03-27,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,26.450001,26.450001,25.825001,26.299999,26.299999,14800.0,,,,,,,,,,,,,False
2018-03-28,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,26.344,26.459999,26.344,26.459999,26.459999,600.0,,,,,,,,,,,,,False
2018-03-29,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,26.700001,26.700001,25.6,25.620001,25.620001,12400.0,,,,,,,,,,,,,False
2018-04-02,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,25.620001,26.65,25.6,26.65,26.65,1400.0,,,,,,,,,,,,,False
2018-04-03,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,26.950001,27.02,26.52,26.52,26.52,3200.0,,,,,,,,,,,,,False
2018-04-04,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,26.07,27.0,26.07,27.0,27.0,2300.0,,,,,,,,,,,,,False
2018-04-05,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,26.950001,27.0,26.75,26.77,26.77,6100.0,,,,,,,,,,,,,False
2018-04-06,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,26.950001,27.0,26.950001,27.0,27.0,400.0,,,,,,,,,,,,,False
2018-04-09,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,26.99,27.049999,26.799999,26.799999,26.799999,1300.0,,,,,,,0.6375716428571422,-0.3136918058396359,,-0.46748249594411895,,,False
2018-04-10,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,26.9,27.0,26.35,26.9,26.9,3000.0,,,,,,,0.6018573571428565,0.1661539878397843,,-0.5718468494593246,,,False
2018-04-11,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,27.0,27.049999,26.950001,26.950001,26.950001,2200.0,,,,,,,0.5517858571428567,0.09061667556850146,,0.3406379153188913,,,False
2018-04-12,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,27.0,27.049999,26.969999,27.049999,27.049999,11300.0,,,,,,,0.5089284999999995,0.19648732582278153,,-0.19269491695252314,,,False
2018-04-13,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,27.0,27.049999,26.99,27.049999,27.049999,12000.0,,,,,,,0.46892835714285674,0.0,,0.14399865498927852,,,False
2018-04-16,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,26.92,26.92,26.92,26.92,26.92,400.0,-0.3510336874031683,,,,,,0.45249964285714256,-0.28729083448368514,,-0.7152001821177956,,,False
2018-04-17,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,27.0,27.0,27.0,27.0,27.0,200.0,-1.2562729657874083,,,,,,0.40285685714285663,0.19858170112176987,,-0.40558298125016823,,,False
2018-04-18,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,26.549999,27.0,26.549999,27.0,27.0,3400.0,-1.3262073201371072,,,,,,0.4235712142857138,0.0,,-0.04954073910492361,,,False
2018-04-19,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,27.0,27.5,26.782,27.5,27.5,29400.0,0.8604656383979226,,,,,,0.3962854285714282,1.261716843343075,,1.6185557597225526,,,False
2018-04-20,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,27.5,31.1,26.667,31.1,31.1,84900.0,14.194517166967845,,,,,,0.6379282857142855,5.643267559407712,,6.223435643147768,,,False
2018-04-23,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,30.57,31.0,29.5,30.0,30.0,60400.0,9.589199296066543,,,,,,0.7164997142857141,-1.5352413658623754,,-1.5391631611913505,,,False
2018-04-24,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,30.120001,30.469999,30.0,30.0,30.0,9900.0,10.33196444055915,,,,,,0.6836425,0.0,,0.9510419122287359,,,False
2018-04-25,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,30.299999,32.279999,30.0,32.0,32.0,79800.0,16.31228286474997,,,,,,0.8286424285714283,2.4135862840718656,,2.286032631610597,,,False
2018-04-26,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,32.060001,33.299999,32.0,33.0,33.0,32300.0,17.45966104688219,,,,,,0.9050709285714282,1.1048857812485577,0.6385051537313107,0.3207802402227645,0.5673551022300274,,False
2018-04-27,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,33.259998,33.259998,31.0,31.1,31.1,20100.0,9.561235297670589,,,,,,1.0486422142857141,-1.8118667874668668,0.5314926550436513,-1.9020650034745092,0.4648849231207137,,False
2018-04-30,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,31.690001,32.98,29.969999,31.0,31.0,17400.0,9.398022881990986,,,,,,1.217213714285714,-0.08215484168996853,0.5137563100772404,0.6078656740580596,0.5491501033719556,,False
2018-05-01,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,30.76,31.690001,30.5,30.620001,30.620001,20200.0,7.086680721645666,,,,,,1.2914995714285709,-0.29423083708782954,0.4862672020303597,-0.5036721217429572,0.4888422435818235,,False
2018-05-02,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,30.9,30.9,30.43,30.43,30.43,5200.0,6.533735514336003,,,,,,1.317928285714285,-0.14416641789960735,0.4619347917644748,0.4538628625065737,0.5350249421146162,,False
2018-05-03,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,30.0,30.0,29.200001,29.299999,29.299999,14800.0,2.29556613651114,,,,,,1.4014997142857137,-0.8062798646918845,0.4043433728579116,-0.6235728090424637,0.4801984089694917,,False
2018-05-04,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,29.049999,29.790001,27.945,29.790001,29.790001,12600.0,2.3065201379526057,,,,,,1.5239998571428566,0.32152365218631956,0.4478301219057691,-0.6599335316599197,0.48414602685934,,False
2018-05-07,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,29.75,29.790001,27.200001,28.790001,28.790001,24800.0,-1.7006001314857855,,,,,,1.703285571428571,-0.5871006111801235,0.3917099567413481,-0.8643894667740426,0.4513741350362061,,False
2018-05-08,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,28.33,28.33,27.601,28.0,28.0,8200.0,-4.527038573630804,,,,,,1.7560712857142853,-0.44986841162240504,0.35957649876831915,-0.4288227543106136,0.4242825625215139,,False
2018-05-09,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,27.99,28.1,27.24,27.26,27.26,14300.0,-7.90159835001999,,,,,,1.7662141428571427,-0.41897524317347296,0.2395270640171372,-1.181638510556378,0.2242686860730189,,False
2018-05-10,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,27.52,28.110001,26.73,27.200001,27.200001,16900.0,-8.88883303214375,,,,,,1.5481427857142855,-0.03875546916838086,-0.166331723738298,-0.7919685378887683,-0.276831612572448,,False
2018-05-11,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,27.540001,27.93,27.530001,27.799999,27.799999,900.0,-7.0413057734668545,,,,,,1.485999857142857,0.4037671989778115,-0.02783111196399895,0.26237778364368863,-0.14815011651280235,,False
2018-05-14,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,28.0,28.0,27.190001,27.690001,27.690001,4700.0,-7.528594601276528,,,,,,1.5102855714285712,-0.07283258350667708,-0.03303343935733303,-0.15495780139991017,-0.2271500960577056,,False
2018-05-15,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,29.0,29.0,27.52,27.52,27.52,1700.0,-7.536156547670691,,,,,,1.4531427857142858,-0.11698850358771588,-0.21378878133301743,0.5264958463432526,-0.35283129500537314,,False
2018-05-16,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,27.4,27.610001,27.4,27.6,27.6,7000.0,-7.713763783424921,,,,,,1.375285785714286,0.058169727943819347,-0.2885542137119273,-0.34152893262761486,-0.4001390930661145,,False
2018-05-17,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,30.0,30.0,27.4,27.610001,27.610001,18800.0,-7.57561590190633,,,,,,1.399571642857143,0.007145757811713438,-0.15862474619202868,0.0912422732703951,-0.25776000187004994,,False
2018-05-18,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,27.799,27.799,26.85,27.379999,27.379999,13200.0,-7.448397886688108,,,,,,1.252357285714286,-0.1836552576677961,-0.16587477590473068,0.09171045654604187,-0.2946282316923369,,False
2018-05-21,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,27.5,27.5,24.74,27.17,27.17,13200.0,-8.287815472560943,,,,,,1.3645000714285718,-0.153901787473078,-0.15585127236081986,-0.9324140678851972,-0.3252526564167826,,False
2018-05-22,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,27.0,30.98,27.0,30.98,30.98,23900.0,4.909486659782747,,,,,,1.6152143571428577,2.358820043390082,0.02293347487415793,2.700091650298276,-0.1648077430030896,,False
2018-05-23,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,30.870001,30.870001,27.309999,27.51,27.51,13300.0,-6.25232611011347,,,,,,1.7895002142857148,-1.9390888988437822,-0.05798145613669189,-2.3113433069954623,-0.2853627785711609,,False
2018-05-24,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,27.990999,29.0,27.0,27.499001,27.499001,19400.0,-5.086440026891337,,,,,,1.800571571428572,-0.006108615827625869,-0.08138376099483084,0.24928553889454833,-0.22041855924584172,,False
2018-05-25,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,27.16,28.0,26.07,26.9,26.9,12400.0,-6.15548822824935,,,,,,1.7534287142857148,-0.34161696744199443,-0.06384921501353594,-0.03747874475989599,-0.1613535076734027,,False
2018-05-29,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,26.969999,27.99,26.708,27.35,27.35,9100.0,-2.75895121522447,27.955379979999996,,,,,1.7600715000000005,0.25567143152991384,-0.013453511931227442,1.6352392332494725,-0.013920508561967979,,False
2018-05-30,BYSI,Beyondspring Inc,생명과학 및 메디컬 리서치,27.5,27.555,26.76,26.799999,26.799999,13000.0,-5.139969187065418,27.966379959999998,,,,,1.755428642857143,-0.31331435899599874,-0.005906305918550713,-1.7643385127197988,-0.055541937287926606,,False
