Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS,50MA
2018-03-12,45.349998,45.689999,44.830002,45.290001,38.487171,26400,CAC,Camden National Corp,은행,,,,,,,,,
2018-03-13,45.400002,45.580002,44.889999,45.029999,38.26622,25900,CAC,Camden National Corp,은행,,,,,,,,,
2018-03-14,45.220001,45.48,44.700001,44.720001,38.002785,18100,CAC,Camden National Corp,은행,,,,,,,,,
2018-03-15,44.84,45.43,44.41,45.23,38.436184,20900,CAC,Camden National Corp,은행,,,,,,,,,
2018-03-16,45.18,46.34,44.75,45.740002,38.869583,71300,CAC,Camden National Corp,은행,,,,,,,,,
2018-03-19,45.580002,45.959999,45.169998,45.66,38.801601,29300,CAC,Camden National Corp,은행,,,,,,,,,
2018-03-20,45.66,45.740002,44.869999,44.900002,38.15575,20700,CAC,Camden National Corp,은행,,,,,,,,,
2018-03-21,44.959999,45.810001,44.939999,45.32,38.512653,15600,CAC,Camden National Corp,은행,,,,,,,,,
2018-03-22,44.82,45.57,44.23,44.25,37.603394,21300,CAC,Camden National Corp,은행,,,,,,,,,
2018-03-23,44.220001,45.189999,42.959999,42.98,36.524147,33900,CAC,Camden National Corp,은행,,,,,,,,,
2018-03-26,43.52,44.950001,43.439999,44.259998,37.611881,29200,CAC,Camden National Corp,은행,,,,,,,,,
2018-03-27,44.419998,44.700001,43.52,43.700001,37.135994,19400,CAC,Camden National Corp,은행,,,,,,,,,
2018-03-28,43.740002,44.639999,43.740002,44.560001,37.866829,28700,CAC,Camden National Corp,은행,,,,,,,,,
2018-03-29,44.549999,45.099998,44.200001,44.5,37.81583,132900,CAC,Camden National Corp,은행,,,,,,,,,
2018-04-02,44.25,44.25,43.0,43.540001,37.000031,32100,CAC,Camden National Corp,은행,,,,1.1935715714285717,-0.8043078630391572,,0.3968083401497605,,
2018-04-03,43.77,44.18,43.299999,44.049999,37.43343,27700,CAC,Camden National Corp,은행,,,,1.2071428571428575,0.4224835502958604,,-0.2402700556253481,,
2018-04-04,43.689999,44.84,43.689999,44.5,37.81583,23200,CAC,Camden National Corp,은행,,,,1.2335715714285722,0.36479520963576034,,-0.2139372090168073,,
2018-04-05,44.740002,45.369999,44.200001,45.040001,38.274731,19600,CAC,Camden National Corp,은행,,,,1.2442857142857149,0.43398473019517503,,0.08937397114030798,,
2018-04-06,44.740002,44.970001,43.509998,43.889999,37.297451,20700,CAC,Camden National Corp,은행,,,,1.2400002142857143,-0.9274208074733575,,0.09481056116481879,,
2018-04-09,44.139999,44.68,43.619999,43.650002,37.09351,21400,CAC,Camden National Corp,은행,0.12622611828450037,,,1.2592859285714282,-0.1905818166905607,,-0.3443725067950437,,
2018-04-10,44.040001,45.59,44.040001,44.779999,38.053772,16300,CAC,Camden National Corp,은행,0.8528303393871228,,,1.3357141428571428,0.8459871493034353,,0.1079863120043264,,
2018-04-11,44.610001,46.560001,44.049999,44.279999,37.628876,20500,CAC,Camden National Corp,은행,0.13853368724279225,,,1.4500000714285715,-0.34482756922031677,,-0.0948063294699269,,
2018-04-12,44.27,44.950001,44.27,44.689999,38.192924,23600,CAC,Camden National Corp,은행,0.08598993864743498,,,1.4028572857142854,0.2922606627025829,,-0.09692158007272178,,
2018-04-13,44.889999,44.889999,43.950001,44.040001,37.637424,25800,CAC,Camden National Corp,은행,-1.1184620976389947,,,1.3107142857142857,-0.49591128065395373,,-0.3519126256646752,,
2018-04-16,44.34,44.650002,43.830002,44.470001,38.004906,26200,CAC,Camden National Corp,은행,-0.9520388003828817,,,1.228571357142857,0.35000002034884403,,-0.0779093272852664,,
2018-04-17,44.990002,45.049999,44.139999,44.650002,38.158741,51100,CAC,Camden National Corp,은행,-1.5025214374417173,,,1.2092855714285713,0.14884904298275528,,-0.45531563938918285,,
2018-04-18,44.75,44.75,43.790001,44.0,37.603233,25800,CAC,Camden National Corp,은행,-2.9354452663284514,,,1.2107142142857141,-0.5368748399336195,,-0.5864155790385431,,
2018-04-19,43.799999,44.599998,43.799999,44.43,37.97073,14100,CAC,Camden National Corp,은행,-1.3593807913379163,,,1.2035715,0.3572700084706224,-0.006020985933994995,0.7141089248501,-0.07562662450344297,
