Date,Symbol,Name,Industry,Open,High,Low,Close,Adj Close,Volume,RS,50MA,150MA,200MA,MA150_Slope,MA200_Slope,ATR,TC,ATC,TRS,ATRS,ATRS150,IsOriginData_NaN
2019-11-20,CAN,Canaan Inc ADR,"컴퓨터, 전화 및 가전제품",9.0,9.0,9.0,9.0,9.0,100.0,,,,,,,,,,,,,False
2019-11-21,CAN,Canaan Inc ADR,"컴퓨터, 전화 및 가전제품",12.6,13.0,8.21,8.99,8.99,4070300.0,,,,,,,,,,,,,False
2019-11-22,CAN,Canaan Inc ADR,"컴퓨터, 전화 및 가전제품",8.05,8.98,7.5,8.98,8.98,663700.0,,,,,,,,,,,,,False
2019-11-25,CAN,Canaan Inc ADR,"컴퓨터, 전화 및 가전제품",8.88,8.98,7.36,8.29,8.29,1110400.0,,,,,,,,,,,,,False
2019-11-26,CAN,Canaan Inc ADR,"컴퓨터, 전화 및 가전제품",8.25,8.49,8.0,8.19,8.19,673600.0,,,,,,,,,,,,,False
2019-11-27,CAN,Canaan Inc ADR,"컴퓨터, 전화 및 가전제품",8.25,8.42,8.05,8.25,8.25,132500.0,,,,,,,,,,,,,False
2019-11-29,CAN,Canaan Inc ADR,"컴퓨터, 전화 및 가전제품",8.26,8.46,8.01,8.25,8.25,97100.0,,,,,,,,,,,,,False
2019-12-02,CAN,Canaan Inc ADR,"컴퓨터, 전화 및 가전제품",8.09,8.4,8.09,8.35,8.35,95300.0,,,,,,,,,,,,,False
2019-12-03,CAN,Canaan Inc ADR,"컴퓨터, 전화 및 가전제품",8.29,8.46,8.17,8.18,8.18,67100.0,,,,,,,,,,,,,False
2019-12-04,CAN,Canaan Inc ADR,"컴퓨터, 전화 및 가전제품",8.22,8.435,8.01,8.07,8.07,50200.0,,,,,,,,,,,,,False
2019-12-05,CAN,Canaan Inc ADR,"컴퓨터, 전화 및 가전제품",8.0,8.097,7.52,7.85,7.85,284600.0,,,,,,,,,,,,,False
2019-12-06,CAN,Canaan Inc ADR,"컴퓨터, 전화 및 가전제품",8.1,8.1,7.1,7.8,7.8,354900.0,,,,,,,,,,,,,False
2019-12-09,CAN,Canaan Inc ADR,"컴퓨터, 전화 및 가전제품",7.9,7.9,7.18,7.25,7.25,142800.0,,,,,,,,,,,,,False
2019-12-10,CAN,Canaan Inc ADR,"컴퓨터, 전화 및 가전제품",7.24,7.24,6.455,6.57,6.57,198400.0,,,,,,,,,,,,,False
2019-12-11,CAN,Canaan Inc ADR,"컴퓨터, 전화 및 가전제품",6.59,6.59,6.05,6.17,6.17,164000.0,,,,,,,0.9905000000000002,-0.4038364462392734,,-0.8506483865189003,,,False
2019-12-12,CAN,Canaan Inc ADR,"컴퓨터, 전화 및 가전제품",6.11,6.23,5.55,5.71,5.71,202200.0,,,,,,,0.6969285714285718,-0.6600389463974579,,-1.88582582826232,,,False
2019-12-13,CAN,Canaan Inc ADR,"컴퓨터, 전화 및 가전제품",5.75,5.85,5.2,5.24,5.24,212200.0,,,,,,,0.6369285714285716,-0.73791633957609,,-0.7479701538465255,,,False
