Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS
2018-03-06,44.939999,45.0,43.060001,43.200001,37.974525,5640100,CF,CF Industries Holdings Inc,화학,,,,,,,,
2018-03-07,42.52,43.110001,41.419998,41.91,36.840565,3685100,CF,CF Industries Holdings Inc,화학,,,,,,,,
2018-03-08,41.27,41.27,39.610001,40.889999,35.943932,7437300,CF,CF Industries Holdings Inc,화학,,,,,,,,
2018-03-09,41.299999,42.060001,40.349998,41.5,36.480156,4000800,CF,CF Industries Holdings Inc,화학,,,,,,,,
2018-03-12,41.34,42.02,41.009998,41.880001,36.814186,3971400,CF,CF Industries Holdings Inc,화학,,,,,,,,
2018-03-13,41.5,41.959999,40.200001,40.380001,35.495625,3633000,CF,CF Industries Holdings Inc,화학,,,,,,,,
2018-03-14,40.400002,40.709999,39.799999,40.310001,35.434093,3796300,CF,CF Industries Holdings Inc,화학,,,,,,,,
2018-03-15,40.330002,40.57,38.869999,38.990002,34.273762,3669800,CF,CF Industries Holdings Inc,화학,,,,,,,,
2018-03-16,38.990002,39.119999,38.080002,38.330002,33.6936,4597400,CF,CF Industries Holdings Inc,화학,,,,,,,,
2018-03-19,38.119999,38.529999,37.209999,37.689999,33.131016,4161400,CF,CF Industries Holdings Inc,화학,,,,,,,,
2018-03-20,37.860001,38.290001,37.360001,37.950001,33.35957,3274600,CF,CF Industries Holdings Inc,화학,,,,,,,,
2018-03-21,37.939999,39.16,37.849998,38.66,33.983681,2502500,CF,CF Industries Holdings Inc,화학,,,,,,,,
2018-03-22,38.09,38.75,37.25,37.27,32.761814,2163100,CF,CF Industries Holdings Inc,화학,,,,,,,,
2018-03-23,37.23,37.869999,36.799999,36.919998,32.454147,3327700,CF,CF Industries Holdings Inc,화학,,,,,,,,
2018-03-26,37.380001,37.610001,36.630001,37.349998,32.83213,2579000,CF,CF Industries Holdings Inc,화학,,,,1.3800003571428567,0.31159412225824984,,-1.5101661517875404,
2018-03-27,37.529999,38.009998,37.110001,37.5,32.963997,4438400,CF,CF Industries Holdings Inc,화학,,,,1.3171427857142857,0.11388438795468529,,1.2038026598623832,
2018-03-28,36.880001,37.369999,36.369999,36.490002,32.076176,2522600,CF,CF Industries Holdings Inc,화학,,,,1.2335715,-0.8187591882594588,,-0.644374332264306,
2018-03-29,36.73,37.869999,36.689999,37.73,33.166168,3083900,CF,CF Industries Holdings Inc,화학,,,,1.2099996428571431,1.0247920380141786,,0.21250234828487757,
2018-04-02,37.610001,37.740002,36.389999,36.619999,32.190441,3022800,CF,CF Industries Holdings Inc,화학,,,,1.2342854285714284,-0.8993065739135564,,0.30180962927536137,
2018-04-03,36.860001,37.169998,36.529999,36.98,32.506897,2036600,CF,CF Industries Holdings Inc,화학,-2.1014024153310107,,,1.1542854999999999,0.3118821123543499,,-0.35087149356685854,
2018-04-04,36.209999,37.169998,35.700001,37.110001,32.621166,3302000,CF,CF Industries Holdings Inc,화학,-2.2707217938838786,,,1.1942852857142852,0.10885255102364279,,-0.46987986762892486,
2018-04-05,37.43,38.889999,37.25,38.580002,33.913361,4174100,CF,CF Industries Holdings Inc,화학,1.2186811307935086,,,1.199999357142857,1.2250014895841341,,0.8803907305292671,
2018-04-06,37.970001,38.439999,36.529999,36.830002,32.375042,3400200,CF,CF Industries Holdings Inc,화학,-0.9344118925376899,,,1.272142642857143,-1.3756318993203647,,-0.35340053068218835,
2018-04-09,37.110001,37.75,36.549999,37.16,32.665119,1960400,CF,CF Industries Holdings Inc,화학,-0.1439389583929529,,,1.2635712857142865,0.26116294642882065,,0.10737225632433764,
2018-04-10,37.639999,37.82,37.0,37.27,32.761814,2852400,CF,CF Industries Holdings Inc,화학,-1.141768964365042,,,1.2557141428571437,0.08759955490325372,,-0.6504012823958552,
2018-04-11,37.16,37.82,37.16,37.41,32.884884,1913700,CF,CF Industries Holdings Inc,화학,-0.06287241498680318,,,1.2092854285714298,0.11577084838058475,,0.36579208813097464,
2018-04-12,37.650002,38.5,37.0,38.200001,33.579323,2122700,CF,CF Industries Holdings Inc,화학,1.3274496159469518,,,1.2092854285714298,0.6532791856536788,,0.26409694287837415,
2018-04-13,38.380001,38.549999,37.779999,38.43,33.781502,1955700,CF,CF Industries Holdings Inc,화학,2.1332141902497215,,,1.1878568571428585,0.19362518187015726,0.09383905406659686,0.33762383685943576,-0.021835940441475847
2018-04-16,38.700001,38.830002,38.330002,38.450001,33.799091,1634700,CF,CF Industries Holdings Inc,화학,1.210576297023258,,,1.1535711428571445,0.01733833246769894,0.07282078336727178,-0.4105710151664115,0.05670656931717623
2018-04-17,38.66,39.400002,38.189999,39.080002,34.352879,1805900,CF,CF Industries Holdings Inc,화학,1.5878490674982482,,,1.1757144285714298,0.5358452568839294,0.10296084543364636,-0.06831942548800873,-0.0341592939221375
2018-04-18,39.299999,40.349998,39.0,40.02,35.179176,2064700,CF,CF Industries Holdings Inc,화학,3.650700243383187,,,1.1914285000000011,0.7889671935831667,0.21779844413669106,0.7394264544782431,0.064683619416616
2018-04-19,39.93,40.009998,39.240002,39.639999,34.845135,1192400,CF,CF Industries Holdings Inc,화학,3.0902064907026627,,,1.14857142857143,-0.3308466417910444,0.12096710986488939,0.025992274588433284,0.051361471295441406
2018-04-20,39.57,39.650002,38.529999,38.720001,34.036434,2575400,CF,CF Industries Holdings Inc,화학,1.4213383755925513,,,1.1321428571428593,-0.8126165299684524,0.12715925586096824,-0.23244844622839644,0.01320018018803014
2018-04-23,38.669998,39.389999,38.419998,39.0,34.282547,1899300,CF,CF Industries Holdings Inc,화학,2.0274349047302076,,,1.1557144285714307,0.2422735176423306,0.12218721338153829,0.23835172231335544,0.05528755275090257
2018-04-24,39.23,39.82,38.419998,38.939999,34.229813,1958800,CF,CF Industries Holdings Inc,화학,2.9889176589105837,,,1.1507147857142879,-0.05214237337078717,0.1106875759247933,0.8988995388579487,0.15305751035710782
