Date,Symbol,Name,Industry,Open,High,Low,Close,Adj Close,Volume,RS,50MA,150MA,200MA,MA150_Slope,MA200_Slope,ATR,TC,ATC,TRS,ATRS,ATRS150,IsOriginData_NaN
2021-02-16,CFIV,CF Acquisition IV Corp,기타 금융업,10.81,10.81,10.3,10.43,10.43,167700.0,,,,,,,,,,,,,False
2021-02-17,CFIV,CF Acquisition IV Corp,기타 금융업,10.45,10.45,10.32,10.44,10.44,271000.0,,,,,,,,,,,,,False
2021-02-18,CFIV,CF Acquisition IV Corp,기타 금융업,10.44,10.6,10.4,10.5,10.5,405200.0,,,,,,,,,,,,,False
2021-02-19,CFIV,CF Acquisition IV Corp,기타 금융업,10.54,10.57,10.4,10.43,10.43,771200.0,,,,,,,,,,,,,False
2021-02-22,CFIV,CF Acquisition IV Corp,기타 금융업,10.59,10.59,10.31,10.38,10.38,612700.0,,,,,,,,,,,,,False
2021-02-23,CFIV,CF Acquisition IV Corp,기타 금융업,10.35,10.38,10.22,10.38,10.38,339100.0,,,,,,,,,,,,,False
2021-02-24,CFIV,CF Acquisition IV Corp,기타 금융업,10.32,10.48,10.25,10.29,10.29,242700.0,,,,,,,,,,,,,False
2021-02-25,CFIV,CF Acquisition IV Corp,기타 금융업,10.34,10.34,10.1,10.22,10.22,775300.0,,,,,,,,,,,,,False
2021-02-26,CFIV,CF Acquisition IV Corp,기타 금융업,10.18,10.26,10.11,10.12,10.12,162300.0,,,,,,,,,,,,,False
2021-03-01,CFIV,CF Acquisition IV Corp,기타 금융업,10.16,10.28,10.15,10.15,10.15,69700.0,,,,,,,,,,,,,False
2021-03-02,CFIV,CF Acquisition IV Corp,기타 금융업,10.21,10.21,9.9,10.0,10.0,82500.0,,,,,,,,,,,,,False
2021-03-03,CFIV,CF Acquisition IV Corp,기타 금융업,9.98,10.16,9.95,9.97,9.97,407200.0,,,,,,,,,,,,,False
2021-03-04,CFIV,CF Acquisition IV Corp,기타 금융업,9.97,10.02,9.72,9.91,9.91,486000.0,,,,,,,,,,,,,False
2021-03-05,CFIV,CF Acquisition IV Corp,기타 금융업,9.9,9.96,9.77,9.91,9.91,610300.0,,,,,,,,,,,,,False
2021-03-08,CFIV,CF Acquisition IV Corp,기타 금융업,9.98,9.99,9.9,9.972,9.972,280100.0,,,,,,,0.20142857142857146,0.30780141843971326,,0.6014537922054792,,,False
2021-03-09,CFIV,CF Acquisition IV Corp,기타 금융업,9.955,9.99,9.86,9.87,9.87,106500.0,,,,,,,0.20142857142857157,-0.5063829787234054,,-1.2409720011156544,,,False
2021-03-10,CFIV,CF Acquisition IV Corp,기타 금융업,9.88,9.9,9.85,9.89,9.89,224100.0,,,,,,,0.19071428571428597,0.10486891385768483,,-0.21387580761102415,,,False
2021-03-11,CFIV,CF Acquisition IV Corp,기타 금융업,9.96,9.96,9.88,9.9,9.9,464600.0,,,,,,,0.18428571428571455,0.05426356589147163,,-0.4807412427604033,,,False
2021-03-12,CFIV,CF Acquisition IV Corp,기타 금융업,9.98,9.98,9.85,9.95,9.95,153700.0,,,,,,,0.17357142857142893,0.2880658436213924,,0.23515426025478892,,,False
2021-03-15,CFIV,CF Acquisition IV Corp,기타 금융업,9.92,9.97,9.85,9.97,9.97,70900.0,-3.7612807883263932,,,,,,0.17071428571428612,0.1171548117154888,,-0.23611383451766582,,,False
2021-03-16,CFIV,CF Acquisition IV Corp,기타 금융업,9.93,9.94,9.86,9.92,9.92,82900.0,-3.819119463478471,,,,,,0.16214285714285762,-0.30837004405286694,,-0.21873647657405437,,,False
2021-03-17,CFIV,CF Acquisition IV Corp,기타 금융업,9.896,9.95,9.84,9.86,9.86,18500.0,-4.35464000530329,,,,,,0.15285714285714327,-0.3925233644859835,,-0.5681008732952633,,,False
2021-03-18,CFIV,CF Acquisition IV Corp,기타 금융업,9.88,9.91,9.81,9.84,9.84,92300.0,-2.8009061446598427,,,,,,0.14928571428571466,-0.13397129186602552,,0.77697138874342,,,False
2021-03-19,CFIV,CF Acquisition IV Corp,기타 금융업,9.82,9.86,9.8,9.85,9.85,101500.0,-2.355334601653658,,,,,,0.1421428571428574,0.07035175879396822,,0.1096103649347952,,,False
2021-03-22,CFIV,CF Acquisition IV Corp,기타 금융업,9.82,9.9,9.8,9.82,9.82,104300.0,-2.9824747836941667,,,,,,0.12714285714285736,-0.23595505617976983,,-0.6909150802561796,,,False
2021-03-23,CFIV,CF Acquisition IV Corp,기타 금융업,9.863,9.863,9.66,9.73,9.73,214200.0,-2.7801693007422634,,,,,,0.12664285714285725,-0.7106598984771556,,-0.20821812086317193,,,False
2021-03-24,CFIV,CF Acquisition IV Corp,기타 금융업,9.704,9.74,9.65,9.69,9.69,133400.0,-2.4000543977433675,,,,,,0.11164285714285731,-0.35828534868842743,,0.030166618616313923,,,False
2021-03-25,CFIV,CF Acquisition IV Corp,기타 금융업,9.61,9.72,9.61,9.68,9.68,100000.0,-2.64127376546327,,,,,,0.1059285714285716,-0.09440323668239838,-0.12843177905973668,-0.4934042641525848,-0.1855515197422289,,False
2021-03-26,CFIV,CF Acquisition IV Corp,기타 금융업,9.69,9.78,9.69,9.7,9.7,152800.0,-3.6290722432953504,,,,,,0.10664285714285729,0.18754186202276868,-0.1370217473752327,-1.073321104762825,-0.3051782980971077,,False
2021-03-29,CFIV,CF Acquisition IV Corp,기타 금융업,9.69,9.79,9.69,9.79,9.79,40700.0,-2.3882433894407917,,,,,,0.10450000000000007,0.861244019138754,-0.03933410467079275,0.9324693011190064,-0.149932490794632,,False
2021-03-30,CFIV,CF Acquisition IV Corp,기타 금융업,9.745,9.77,9.72,9.76,9.76,107000.0,-2.1500496498444543,,,,,,0.10592857142857134,-0.2832097100471958,-0.06705400637828422,-0.018392613191224982,-0.13596940547893205,,False
2021-03-31,CFIV,CF Acquisition IV Corp,기타 금융업,9.728,9.79,9.728,9.785,9.785,11200.0,-1.9671537302582087,,,,,,0.10464285714285701,0.23890784982935523,-0.05386512895414968,-0.0760804383108146,-0.10706506230396143,,False
2021-04-01,CFIV,CF Acquisition IV Corp,기타 금융업,9.75,9.81,9.75,9.78,9.78,56600.0,-2.781603194431792,,,,,,0.09964285714285699,-0.05017921146954197,-0.07802549003207358,-1.053861556903646,-0.19913762067242108,,False
2021-04-05,CFIV,CF Acquisition IV Corp,기타 금융업,9.78,9.88,9.73,9.73,9.73,50700.0,-4.285388726281559,,,,,,0.10178571428571408,-0.49122807017542913,-0.12148141016713912,-1.6998152648317655,-0.3036877228377139,,False
2021-04-06,CFIV,CF Acquisition IV Corp,기타 금융업,9.67,9.83,9.67,9.8,9.8,13100.0,-3.1063628088884854,,,,,,0.10535714285714258,0.6644067796610214,-0.05199735133043283,0.7482612925392123,-0.2346164536153377,,False
2021-04-07,CFIV,CF Acquisition IV Corp,기타 금융업,9.815,9.83,9.76,9.79,9.79,208300.0,-3.0603003569542597,,,,,,0.10249999999999979,-0.09756097560977155,-0.03092860926784626,-0.2312229382695986,-0.21055374397064738,,False
2021-04-08,CFIV,CF Acquisition IV Corp,기타 금융업,9.75,9.83,9.75,9.82,9.82,11000.0,-2.897523663406587,,,,,,0.10107142857142838,0.29681978798587755,-0.00015781784985318046,-0.11564908068220825,-0.2743123489296208,,False
2021-04-09,CFIV,CF Acquisition IV Corp,기타 금융업,9.81,9.86,9.79,9.85,9.85,150800.0,-3.096891529493373,,,,,,0.10178571428571422,0.2947368421052571,0.015869688100953166,-0.4752757959595295,-0.316089931850644,,False
2021-04-12,CFIV,CF Acquisition IV Corp,기타 금융업,9.85,9.91,9.85,9.9,9.9,33500.0,-2.3380049924797697,,,,,,0.09892857142857141,0.5054151624548809,0.06882470371771394,0.5260295709511561,-0.2291653139072629,,False
2021-04-13,CFIV,CF Acquisition IV Corp,기타 금융업,9.9,9.92,9.801,9.9,9.9,20100.0,-2.417050799299414,,,,,,0.09292857142857144,0.0,0.11958612503751076,-0.36209117476477953,-0.2401562463288063,,False
2021-04-14,CFIV,CF Acquisition IV Corp,기타 금융업,9.86,9.92,9.86,9.92,9.92,34200.0,-1.621200634016895,,,,,,0.09078571428571434,0.22029897718331537,0.16091357688549238,0.6909143762559241,-0.192959977925977,,False
2021-04-15,CFIV,CF Acquisition IV Corp,기타 금융업,9.92,9.92,9.82,9.84,9.84,63100.0,-3.244740759010545,,,,,,0.09007142857142851,-0.8881839809674875,0.1042149522937003,-2.205230558155753,-0.315233284640489,,False
2021-04-16,CFIV,CF Acquisition IV Corp,기타 금융업,9.88,9.88,9.82,9.85,9.85,9200.0,-3.1775755877506584,,,,,,0.08721428571428572,0.11466011466011221,0.09900911319636771,-0.3656982412907821,-0.26468879439248594,,False
2021-04-19,CFIV,CF Acquisition IV Corp,기타 금융업,9.81,9.84,9.79,9.84,9.84,34900.0,-2.4515315600377785,,,,,,0.08435714285714292,-0.1185436071126138,0.029024282749841434,0.596177969570575,-0.28870960378880245,,False
2021-04-20,CFIV,CF Acquisition IV Corp,기타 금융업,9.87,9.88,9.78,9.78,9.78,49100.0,-2.1262038066207523,,,,,,0.08650000000000027,-0.6936416184971134,-0.00029228213943839024,0.1812000297840366,-0.2744529864334266,,False
2021-04-21,CFIV,CF Acquisition IV Corp,기타 금융업,9.8,9.83,9.75,9.8,9.8,47200.0,-2.548104567597409,,,,,,0.0877857142857146,0.22782750203418867,-0.001083735553378859,-0.9282004178907473,-0.3353186992605646,,False
2021-04-22,CFIV,CF Acquisition IV Corp,기타 금융업,9.8,9.82,9.765,9.82,9.82,50900.0,-1.202202185932033,,,,,,0.0874285714285717,0.22875816993463494,0.018840363118348063,1.3637579193489353,-0.16263159381395173,,False
2021-04-23,CFIV,CF Acquisition IV Corp,기타 금융업,9.82,9.84,9.783,9.81,9.81,33800.0,-2.1066718602824275,,,,,,0.08078571428571456,-0.12378426171529314,0.045086349436929206,-1.4704713401989375,-0.14624988491160687,,False
2021-04-26,CFIV,CF Acquisition IV Corp,기타 금융업,9.84,9.84,9.78,9.82,9.82,428500.0,-1.9859407336494717,,,,,,0.07364285714285744,0.13579049466537,0.0073280433658112504,-0.0881700409739262,-0.20599498016254533,,False
2021-04-27,CFIV,CF Acquisition IV Corp,기타 금융업,9.87,9.87,9.75,9.75,9.75,8500.0,-2.385184925779349,9.938139999999999,,,,,0.07721428571428593,-0.9065679925994461,-0.05045817213345122,-0.8796495324074091,-0.2523111654581032,,False
2021-04-28,CFIV,CF Acquisition IV Corp,기타 금융업,9.78,9.83,9.78,9.83,9.83,13800.0,-1.2616080598812696,9.92614,,,,,0.07721428571428593,1.0360777058279351,0.0023459648552671846,1.1416291373292942,-0.16250557845728167,,False
2021-04-29,CFIV,CF Acquisition IV Corp,기타 금융업,9.83,9.85,9.79,9.85,9.85,23500.0,-1.4684500078591567,9.91434,,,,,0.07650000000000023,0.26143790849672566,-3.253040248506399e-05,-0.567940411910974,-0.1691244795966705,,False
2021-04-30,CFIV,CF Acquisition IV Corp,기타 금융업,9.86,9.86,9.78,9.85,9.85,84000.0,-0.5929355891257426,9.90134,,,,,0.07792857142857164,0.0,-0.036133613434976564,0.853153035080279,-0.14575851787316174,,False
2021-05-03,CFIV,CF Acquisition IV Corp,기타 금융업,9.86,9.86,9.8,9.8,9.8,21600.0,-1.2673326766728166,9.88874,,,,,0.07371428571428584,-0.6782945736433952,-0.08458322583807622,-0.9988225886988715,-0.19123933315416833,,False
2021-05-04,CFIV,CF Acquisition IV Corp,기타 금융업,9.82,9.82,9.78,9.82,9.82,85300.0,-0.30045395693452104,9.87754,,,,,0.07228571428571444,0.2766798418972267,-0.08055602121565397,1.0092256527287036,-0.16850281340611264,,False
2021-05-05,CFIV,CF Acquisition IV Corp,기타 금융업,9.795,9.82,9.77,9.82,9.82,60800.0,-0.2793352368183566,9.866340000000001,,,,,0.06871428571428595,0.0,-0.017114308289404863,-0.07994154204747816,-0.01669645511266445,,False
2021-05-06,CFIV,CF Acquisition IV Corp,기타 금융업,9.79,9.84,9.79,9.84,9.84,34100.0,-0.7704385232036204,9.857339999999999,,,,,0.06800000000000025,0.29411764705881616,-0.004295913118068868,-0.5759829228627185,-0.031716789510659905,,False
2021-05-07,CFIV,CF Acquisition IV Corp,기타 금융업,9.8,9.85,9.79,9.83,9.83,69500.0,-1.464846328106184,9.849540000000001,,,,,0.06800000000000025,-0.14705882352940808,-0.00633271429069703,-0.9371194172539548,-0.14123803142669775,,False
2021-05-10,CFIV,CF Acquisition IV Corp,기타 금융업,9.8,9.85,9.79,9.83,9.83,10500.0,-0.31720102392869265,9.84374,,,,,0.06514285714285732,0.0,0.04321311560195392,1.1195406027866495,-0.07421370478365398,,False
2021-05-11,CFIV,CF Acquisition IV Corp,기타 금융업,9.78,9.83,9.74,9.75,9.75,101900.0,-0.17393304567973056,9.835740000000001,,,,,0.06585714285714303,-1.2147505422993472,-0.05982817327901292,-0.33869527384075426,-0.03210619449436875,,False
2021-05-12,CFIV,CF Acquisition IV Corp,기타 금융업,9.761,9.8,9.73,9.73,9.73,131700.0,1.8272183509450368,9.830340000000001,,,,,0.06692857142857164,-0.2988260405549553,-0.0975127597425551,1.7124625714315789,-0.0071987193456084985,,False
2021-05-13,CFIV,CF Acquisition IV Corp,기타 금융업,9.7,9.77,9.7,9.73,9.73,109300.0,0.5887051588895797,9.82554,,,,,0.06785714285714306,0.0,-0.08867102676289128,-1.1003826990513994,0.01923618359350137,,False
2021-05-14,CFIV,CF Acquisition IV Corp,기타 금융업,9.72,9.72,9.68,9.7,9.7,155800.0,-1.1336380390834289,9.82134,,,,,0.06714285714285737,-0.44680851063831334,-0.1302852414274401,-1.6990679203809989,-0.09582795064986097,,False
2021-05-17,CFIV,CF Acquisition IV Corp,기타 금융업,9.715,9.715,9.62,9.7,9.7,45000.0,-0.8118831429108075,9.81714,,,,,0.06535714285714318,0.0,-0.06553038481319395,0.21122784842111406,-0.017908137733537888,,False
2021-05-18,CFIV,CF Acquisition IV Corp,기타 금융업,9.7,9.73,9.67,9.72,9.72,54100.0,0.2687853121113637,9.812100000000001,,,,,0.06392857142857178,0.31284916201119256,-0.11718956651438985,0.9991824151081745,-0.028082903606474998,,False
2021-05-19,CFIV,CF Acquisition IV Corp,기타 금융업,9.715,9.74,9.69,9.71,9.71,70800.0,0.43764287568308635,9.8089,,,,,0.06321428571428608,-0.15819209039547594,-0.1471631378638328,0.06928191159708544,0.017432976644100675,,False
2021-05-20,CFIV,CF Acquisition IV Corp,기타 금융업,9.69,9.7,9.66,9.7,9.7,5400.0,-0.6235466886756247,9.8051,,,,,0.061071428571428985,-0.16374269005850403,-0.1588590442965831,-0.9553370394927191,-0.1117448858253992,,False
2021-05-21,CFIV,CF Acquisition IV Corp,기타 금융업,9.72,9.72,9.67,9.67,9.67,7500.0,-0.8109980471135314,9.8005,,,,,0.06035714285714341,-0.4970414201183281,-0.14591239047336405,-0.4383019623297858,-0.07170769822760735,,False
