Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS
2018-03-06,26.225,26.775,25.27,25.6,25.6,1873600,CGC,Canopy Growth Corp,제약,,,,,,,,
2018-03-07,24.934999,26.049999,24.198,24.351,24.351,981600,CGC,Canopy Growth Corp,제약,,,,,,,,
2018-03-08,24.635,25.17,23.700001,24.659,24.659,595700,CGC,Canopy Growth Corp,제약,,,,,,,,
2018-03-09,24.855,25.23,24.013,24.18,24.18,564900,CGC,Canopy Growth Corp,제약,,,,,,,,
2018-03-12,24.5,25.326,23.496,25.280001,25.280001,705700,CGC,Canopy Growth Corp,제약,,,,,,,,
2018-03-13,25.030001,25.459999,24.382,24.544001,24.544001,524200,CGC,Canopy Growth Corp,제약,,,,,,,,
2018-03-14,24.655001,24.76,23.870001,24.0,24.0,365100,CGC,Canopy Growth Corp,제약,,,,,,,,
2018-03-15,23.948999,24.51,23.611,23.914,23.914,465300,CGC,Canopy Growth Corp,제약,,,,,,,,
2018-03-16,23.940001,25.25,23.610001,24.489,24.489,604500,CGC,Canopy Growth Corp,제약,,,,,,,,
2018-03-19,25.014999,25.899,24.49,25.799999,25.799999,947500,CGC,Canopy Growth Corp,제약,,,,,,,,
2018-03-20,25.905001,26.205,25.083,25.236,25.236,624100,CGC,Canopy Growth Corp,제약,,,,,,,,
2018-03-21,25.309999,25.940001,25.049,25.66,25.66,516300,CGC,Canopy Growth Corp,제약,,,,,,,,
2018-03-22,25.4,25.9,24.24,24.5,24.5,833600,CGC,Canopy Growth Corp,제약,,,,,,,,
2018-03-23,26.264999,26.68,25.58,25.9,25.9,1291000,CGC,Canopy Growth Corp,제약,,,,,,,,
2018-03-26,26.344999,26.84,25.9,26.620001,26.620001,706600,CGC,Canopy Growth Corp,제약,,,,1.362785428571429,0.5283304215798356,,-1.2934298524659549,
2018-03-27,26.545,27.0,25.496,25.780001,25.780001,611200,CGC,Canopy Growth Corp,제약,,,,1.3379283571428575,-0.6278363079124937,,0.4620819639952042,
2018-03-28,25.459999,25.780001,24.299,24.99,24.99,801300,CGC,Canopy Growth Corp,제약,,,,1.3387142142857145,-0.5901192290107369,,-0.415734373015584,
2018-03-29,25.110001,26.552999,24.75,26.122999,26.122999,690100,CGC,Canopy Growth Corp,제약,,,,1.380571285714286,0.8206740294571646,,0.008384339727863566,
2018-04-02,25.445,32.779999,24.379999,24.82,24.82,880800,CGC,Canopy Growth Corp,제약,,,,1.8498569999999999,-0.7043782303172623,,0.49673797287165544,
2018-04-03,24.735001,25.712,21.5,21.848,21.848,1796800,CGC,Canopy Growth Corp,제약,-9.733748755531424,,,2.0737142142857143,-1.4331772331626222,,-2.095930839083831,
2018-04-04,21.205,22.41,19.782,21.629,21.629,2106900,CGC,Canopy Growth Corp,제약,-11.081423084417818,,,2.1978571428571425,-0.09964250893727551,,-0.6783749275898432,
2018-04-05,22.155001,22.725,21.35,22.299999,22.299999,885200,CGC,Canopy Growth Corp,제약,-8.671859057026365,,,2.2318571428571423,0.30064603469243995,,-0.0439647243624271,
