Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,29.719999,29.969999,29.629999,29.74,26.087364,11900,CHSCP,CHS 8 Cumulative Redeemable Pref Shs,식품 및 담배,,,
2021-03-05,29.75,29.99,29.74,29.99,26.306662,5800,CHSCP,CHS 8 Cumulative Redeemable Pref Shs,식품 및 담배,,,
2021-03-08,29.85,29.969999,29.85,29.879999,26.210169,13300,CHSCP,CHS 8 Cumulative Redeemable Pref Shs,식품 및 담배,,,
2021-03-09,30.08,30.110001,29.879999,30.07,26.376835,24300,CHSCP,CHS 8 Cumulative Redeemable Pref Shs,식품 및 담배,,,
2021-03-10,30.209999,30.34,30.1,30.280001,26.561045,19900,CHSCP,CHS 8 Cumulative Redeemable Pref Shs,식품 및 담배,,,
2021-03-11,30.200001,30.379999,30.1,30.379999,26.64876,23700,CHSCP,CHS 8 Cumulative Redeemable Pref Shs,식품 및 담배,,,
2021-03-12,30.200001,30.4,30.200001,30.35,26.622446,14600,CHSCP,CHS 8 Cumulative Redeemable Pref Shs,식품 및 담배,,,
2021-03-15,30.5,30.5,30.309999,30.360001,26.631216,11800,CHSCP,CHS 8 Cumulative Redeemable Pref Shs,식품 및 담배,,,
2021-03-16,30.139999,30.139999,29.860001,30.01,26.764996,11300,CHSCP,CHS 8 Cumulative Redeemable Pref Shs,식품 및 담배,,,
2021-03-17,30.01,30.01,29.799999,29.959999,26.720406,13400,CHSCP,CHS 8 Cumulative Redeemable Pref Shs,식품 및 담배,,,
2021-03-18,29.799999,30.0,29.639999,29.700001,26.48852,13200,CHSCP,CHS 8 Cumulative Redeemable Pref Shs,식품 및 담배,,,
2021-03-19,29.860001,30.049999,29.809999,30.0,26.756081,12700,CHSCP,CHS 8 Cumulative Redeemable Pref Shs,식품 및 담배,,,
2021-03-22,29.809999,30.0,29.74,29.82,26.595543,16500,CHSCP,CHS 8 Cumulative Redeemable Pref Shs,식품 및 담배,,,
2021-03-23,29.889999,29.9,29.76,29.9,26.666893,10900,CHSCP,CHS 8 Cumulative Redeemable Pref Shs,식품 및 담배,,,
2021-03-24,29.9,30.15,29.84,30.09,26.836348,14200,CHSCP,CHS 8 Cumulative Redeemable Pref Shs,식품 및 담배,,,
2021-03-25,29.940001,30.08,29.93,29.93,26.693651,11400,CHSCP,CHS 8 Cumulative Redeemable Pref Shs,식품 및 담배,,,
2021-03-26,30.08,30.08,29.82,29.870001,26.640139,9000,CHSCP,CHS 8 Cumulative Redeemable Pref Shs,식품 및 담배,,,
2021-03-29,30.0,30.0,29.73,29.73,26.515278,14900,CHSCP,CHS 8 Cumulative Redeemable Pref Shs,식품 및 담배,,,
2021-03-30,29.83,29.99,29.780001,29.99,26.747162,6900,CHSCP,CHS 8 Cumulative Redeemable Pref Shs,식품 및 담배,,,
2021-03-31,30.1,30.24,29.969999,30.18,26.916615,36400,CHSCP,CHS 8 Cumulative Redeemable Pref Shs,식품 및 담배,-0.8580722271768537,,
2021-04-01,30.129999,30.219999,30.129999,30.219999,26.952291,16900,CHSCP,CHS 8 Cumulative Redeemable Pref Shs,식품 및 담배,-1.6467561086362825,,
2021-04-05,30.1,30.24,30.1,30.190001,26.925533,14600,CHSCP,CHS 8 Cumulative Redeemable Pref Shs,식품 및 담배,-2.887044148291129,,
2021-04-06,30.18,30.219999,30.0,30.049999,26.800673,18000,CHSCP,CHS 8 Cumulative Redeemable Pref Shs,식품 및 담배,-2.961200178251455,,
2021-04-07,29.91,30.059999,29.91,30.01,26.764996,7800,CHSCP,CHS 8 Cumulative Redeemable Pref Shs,식품 및 담배,-2.975513464437085,,
2021-04-08,30.09,30.09,29.92,29.92,26.684729,9200,CHSCP,CHS 8 Cumulative Redeemable Pref Shs,식품 및 담배,-3.3774429235626235,,
2021-04-09,29.93,30.1,29.91,30.09,26.836348,2500,CHSCP,CHS 8 Cumulative Redeemable Pref Shs,식품 및 담배,-3.301544459221617,,
2021-04-12,30.1,30.1,30.030001,30.030001,26.782837,7700,CHSCP,CHS 8 Cumulative Redeemable Pref Shs,식품 및 담배,-3.204572104022285,,
2021-04-13,29.99,30.16,29.99,30.16,26.898777,6900,CHSCP,CHS 8 Cumulative Redeemable Pref Shs,식품 및 담배,-2.8674989845659193,,
2021-04-14,30.200001,30.219999,30.0,30.110001,26.854185,15400,CHSCP,CHS 8 Cumulative Redeemable Pref Shs,식품 및 담배,-2.452834524827141,,
2021-04-15,30.25,30.25,30.01,30.25,26.979048,9900,CHSCP,CHS 8 Cumulative Redeemable Pref Shs,식품 및 담배,-2.8894736190890447,,
2021-04-16,30.25,30.25,30.049999,30.25,26.979048,8400,CHSCP,CHS 8 Cumulative Redeemable Pref Shs,식품 및 담배,-3.0062683970979553,,
2021-04-19,30.23,30.26,30.120001,30.25,26.979048,13700,CHSCP,CHS 8 Cumulative Redeemable Pref Shs,식품 및 담배,-2.22598465772772,,
2021-04-20,30.290001,30.299999,30.049999,30.110001,26.854185,10600,CHSCP,CHS 8 Cumulative Redeemable Pref Shs,식품 및 담배,-1.8233230361936914,,
