Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS,50MA
2021-07-07,9.65,9.65,9.65,9.65,9.65,1100000,CLBR,Colombier Acquisition Corp,기타 금융업,,,,,,,,,
2021-07-08,9.65,9.668,9.65,9.668,9.668,100000,CLBR,Colombier Acquisition Corp,기타 금융업,,,,,,,,,
2021-07-09,9.668,9.668,9.668,9.668,9.668,0,CLBR,Colombier Acquisition Corp,기타 금융업,,,,,,,,,
2021-07-12,9.65,9.65,9.65,9.65,9.65,500,CLBR,Colombier Acquisition Corp,기타 금융업,,,,,,,,,
2021-07-13,9.65,9.665,9.63,9.65,9.65,7700,CLBR,Colombier Acquisition Corp,기타 금융업,,,,,,,,,
2021-07-14,9.66,9.7,9.62,9.63,9.63,115600,CLBR,Colombier Acquisition Corp,기타 금융업,,,,,,,,,
2021-07-15,9.61,9.65,9.61,9.63,9.63,600,CLBR,Colombier Acquisition Corp,기타 금융업,,,,,,,,,
2021-07-16,9.63,9.63,9.63,9.63,9.63,200,CLBR,Colombier Acquisition Corp,기타 금융업,,,,,,,,,
2021-07-19,9.65,9.65,9.6,9.6,9.6,8000,CLBR,Colombier Acquisition Corp,기타 금융업,,,,,,,,,
2021-07-20,9.61,9.63,9.61,9.63,9.63,2500,CLBR,Colombier Acquisition Corp,기타 금융업,,,,,,,,,
2021-07-21,9.61,9.75,9.6,9.7,9.7,270500,CLBR,Colombier Acquisition Corp,기타 금융업,,,,,,,,,
2021-07-22,9.75,9.75,9.63,9.63,9.63,1900,CLBR,Colombier Acquisition Corp,기타 금융업,,,,,,,,,
2021-07-23,9.63,9.63,9.63,9.63,9.63,500,CLBR,Colombier Acquisition Corp,기타 금융업,,,,,,,,,
2021-07-26,9.63,9.63,9.62,9.62,9.62,94000,CLBR,Colombier Acquisition Corp,기타 금융업,,,,,,,,,
2021-07-27,9.64,9.64,9.62,9.62,9.62,700,CLBR,Colombier Acquisition Corp,기타 금융업,,,,0.04078571428571439,0.0,,0.46404995680872596,,
2021-07-28,9.62,9.62,9.6,9.62,9.62,6400,CLBR,Colombier Acquisition Corp,기타 금융업,,,,0.040928571428571585,0.0,,0.019505640403386253,,
2021-07-29,9.64,9.64,9.64,9.64,9.64,600,CLBR,Colombier Acquisition Corp,기타 금융업,,,,0.04235714285714311,0.47217537942667326,,0.015120922945580872,,
2021-07-30,9.64,9.64,9.64,9.64,9.64,0,CLBR,Colombier Acquisition Corp,기타 금융업,,,,0.041071428571428904,0.0,,0.5828682114993595,,
2021-08-02,9.64,9.64,9.64,9.64,9.64,0,CLBR,Colombier Acquisition Corp,기타 금융업,,,,0.03857142857142902,0.0,,0.19359169603101534,,
2021-08-03,9.64,9.64,9.63,9.63,9.63,200,CLBR,Colombier Acquisition Corp,기타 금융업,-1.263486628809063,,,0.033571428571428995,-0.2978723404255218,,-1.1304033134656177,,
2021-08-04,9.63,9.63,9.63,9.63,9.63,700,CLBR,Colombier Acquisition Corp,기타 금융업,-0.7433422337062234,,,0.030714285714286076,0.0,,0.4824921817628251,,
2021-08-05,9.71,9.71,9.55,9.65,9.65,68700,CLBR,Colombier Acquisition Corp,기타 금융업,-0.998950938507237,,,0.042142857142857516,0.47457627118642637,,-0.17588673873421728,,
2021-08-06,9.6,9.64,9.6,9.61,9.61,6300,CLBR,Colombier Acquisition Corp,기타 금융업,-1.4701760819468501,,,0.042142857142857516,-0.9491525423728948,,-1.1625482564951402,,
2021-08-09,9.62,9.63,9.6,9.63,9.63,14200,CLBR,Colombier Acquisition Corp,기타 금융업,-1.1087876148288545,,,0.042142857142857516,0.4745762711864685,,0.6125584078239008,,
2021-08-10,9.621,9.65,9.6,9.64,9.64,13700,CLBR,Colombier Acquisition Corp,기타 금융업,-1.0234580540463223,,,0.0350000000000004,0.2857142857142764,,0.13234284696262336,,
2021-08-11,9.6,9.63,9.6,9.63,9.63,400,CLBR,Colombier Acquisition Corp,기타 금융업,-1.1761339494784528,,,0.029285714285714803,-0.34146341463413304,,-0.542157663364794,,
2021-08-12,9.6,9.64,9.6,9.6,9.6,6100,CLBR,Colombier Acquisition Corp,기타 금융업,-1.7639775641352107,,,0.03214285714285773,-0.9333333333333517,,-1.624790023169763,,
2021-08-13,9.63,9.64,9.62,9.64,9.64,8000,CLBR,Colombier Acquisition Corp,기타 금융업,-1.3600651641661243,,,0.03428571428571482,1.1666666666666754,0.02513480310104418,0.8903087749094905,-0.08878195400590175,
2021-08-16,9.59,9.64,9.59,9.63,9.63,1700,CLBR,Colombier Acquisition Corp,기타 금융업,-1.4843476080159679,,,0.03642857142857192,-0.27450980392155905,0.0055269599637899625,-0.734974729270937,-0.1744265744401634,
2021-08-17,9.63,9.63,9.63,9.63,9.63,0,CLBR,Colombier Acquisition Corp,기타 금융업,-0.6412686625252517,,,0.035000000000000524,0.0,0.0055269599637899625,1.1370360582295211,-0.09460297316686805,
2021-08-18,9.63,9.63,9.63,9.63,9.63,0,CLBR,Colombier Acquisition Corp,기타 금융업,0.5234922950492882,,,0.033571428571428995,0.0,-0.028199852852400984,1.6057129342025451,0.019010741922915124,
2021-08-19,9.63,9.63,9.63,9.63,9.63,0,CLBR,Colombier Acquisition Corp,기타 금융업,0.4415620375475049,,,0.033571428571428995,0.0,-0.028199852852400984,-0.17665855689757853,-0.0352411701054376,
2021-08-20,9.6,9.6,9.6,9.6,9.6,200,CLBR,Colombier Acquisition Corp,기타 금융업,-0.631014385704487,,,0.03571428571428622,-0.84000000000002,-0.08819985285240241,-1.9828552266499124,-0.19070166458264673,
2021-08-23,9.61,9.64,9.61,9.63,9.63,1500,CLBR,Colombier Acquisition Corp,기타 금융업,-1.1048462397299952,,,0.03785714285714344,0.792452830188697,-0.010319483522815349,-0.42092211442813965,-0.1400244360799697,
2021-08-24,9.63,9.63,9.63,9.63,9.63,0,CLBR,Colombier Acquisition Corp,기타 금융업,-1.1637265511287853,,,0.03785714285714344,0.0,-0.010319483522815349,-0.21958084762408348,-0.19017250960760604,
2021-08-25,9.61,9.61,9.61,9.61,9.61,408800,CLBR,Colombier Acquisition Corp,기타 금융업,-1.477065194561411,,,0.02785714285714353,-0.717948717948749,-0.09549983988961361,-1.053026834506003,-0.252825373591305,
2021-08-26,9.61,9.61,9.61,9.61,9.61,0,CLBR,Colombier Acquisition Corp,기타 금융업,-0.8277537502574983,,,0.02428571428571491,0.0,-0.027703229720121108,0.849554681135837,-0.10910373518909237,
2021-08-27,9.61,9.61,9.61,9.61,9.61,0,CLBR,Colombier Acquisition Corp,기타 금융업,-1.55247093727221,,,0.022142857142857686,0.0,-0.06160153480486886,-1.1975180065008106,-0.2383949076408575,
2021-08-30,9.61,9.61,9.61,9.61,9.61,100,CLBR,Colombier Acquisition Corp,기타 금융업,-1.8037418309335251,,,0.018571428571429065,0.0,-0.08200969807017432,-0.5747001417357724,-0.2888979782621715,
2021-08-31,9.63,9.63,9.595,9.62,9.62,99200,CLBR,Colombier Acquisition Corp,기타 금융업,-1.4544755138395593,,,0.01821428571428615,0.5490196078431124,-0.018403767893228205,0.7288537280240938,-0.19811145030582233,
2021-09-01,9.619,9.63,9.6,9.62,9.62,54500,CLBR,Colombier Acquisition Corp,기타 금융업,-1.3459625573808642,,,0.017500000000000453,0.0,0.04826289877343976,-0.042448035712452425,-0.08508702263030014,
2021-09-02,9.62,9.63,9.61,9.63,9.63,6100,CLBR,Colombier Acquisition Corp,기타 금융업,-1.394791469124801,,,0.016071428571429052,0.6222222222223008,0.009374009884555865,0.24645512723074414,-0.13107656889306774,
