Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS
2020-05-08,5.0,5.42,4.55,4.9,4.9,196100,CLEU,China Liberal Education Holdings Ltd,교육서비스,,,,,,,,
2020-05-11,4.93,4.93,4.01,4.01,4.01,50700,CLEU,China Liberal Education Holdings Ltd,교육서비스,,,,,,,,
2020-05-12,3.99,3.99,3.55,3.775,3.775,52100,CLEU,China Liberal Education Holdings Ltd,교육서비스,,,,,,,,
2020-05-13,3.72,3.95,3.66,3.88,3.88,21200,CLEU,China Liberal Education Holdings Ltd,교육서비스,,,,,,,,
2020-05-14,3.7,4.42,3.7,4.11,4.11,37600,CLEU,China Liberal Education Holdings Ltd,교육서비스,,,,,,,,
2020-05-15,4.24,4.35,4.2,4.31,4.31,15500,CLEU,China Liberal Education Holdings Ltd,교육서비스,,,,,,,,
2020-05-18,4.25,4.35,3.84,4.15,4.15,40600,CLEU,China Liberal Education Holdings Ltd,교육서비스,,,,,,,,
2020-05-19,4.0,4.25,4.0,4.1,4.1,10000,CLEU,China Liberal Education Holdings Ltd,교육서비스,,,,,,,,
2020-05-20,4.215,4.87,4.12,4.42,4.42,47800,CLEU,China Liberal Education Holdings Ltd,교육서비스,,,,,,,,
2020-05-21,4.59,4.85,4.52,4.57,4.57,11400,CLEU,China Liberal Education Holdings Ltd,교육서비스,,,,,,,,
2020-05-22,4.575,4.99,4.575,4.97,4.97,6200,CLEU,China Liberal Education Holdings Ltd,교육서비스,,,,,,,,
2020-05-26,4.97,5.216,4.4,4.4,4.4,23500,CLEU,China Liberal Education Holdings Ltd,교육서비스,,,,,,,,
2020-05-27,4.62,4.8,4.05,4.25,4.25,11900,CLEU,China Liberal Education Holdings Ltd,교육서비스,,,,,,,,
2020-05-28,4.0,4.3,3.62,4.19,4.19,25800,CLEU,China Liberal Education Holdings Ltd,교육서비스,,,,,,,,
2020-05-29,3.95,4.051,3.6,3.6,3.6,14500,CLEU,China Liberal Education Holdings Ltd,교육서비스,,,,0.5604285714285713,-1.0527657405047166,,-1.299372216621962,
2020-06-01,3.78,3.9,3.401,3.65,3.65,16700,CLEU,China Liberal Education Holdings Ltd,교육서비스,,,,0.5303571428571427,0.09427609427609396,,-0.10128250342099249,
2020-06-02,3.85,3.88,3.7,3.76,3.76,8200,CLEU,China Liberal Education Holdings Ltd,교육서비스,,,,0.5139285714285713,0.21403752605976353,,-0.24170198822214442,
2020-06-03,3.89,3.93,3.65,3.76,3.76,3800,CLEU,China Liberal Education Holdings Ltd,교육서비스,,,,0.5132142857142856,0.0,,-0.7956706188870094,
2020-06-04,3.88,4.0,3.65,3.78,3.78,32700,CLEU,China Liberal Education Holdings Ltd,교육서비스,,,,0.48678571428571427,0.0410858400586941,,0.25385103560255107,
2020-06-05,3.73,3.89,3.6,3.765,3.765,26900,CLEU,China Liberal Education Holdings Ltd,교육서비스,-14.743227911499524,,,0.4903571428571429,-0.030589949016750984,,-1.5670167924113045,
2020-06-08,3.8,4.05,3.73,3.93,3.93,15900,CLEU,China Liberal Education Holdings Ltd,교육서비스,-10.589244545179765,,,0.4767857142857143,0.3460674157303371,,-0.4478926570942367,
2020-06-09,3.95,4.35,3.82,4.04,4.04,9900,CLEU,China Liberal Education Holdings Ltd,교육서비스,-6.991956213911587,,,0.4967857142857143,0.22142343637670717,,0.7438405671687529,
2020-06-10,3.87,4.22,3.65,3.94,3.94,40600,CLEU,China Liberal Education Holdings Ltd,교육서비스,-8.538766859134828,,,0.48249999999999993,-0.2072538860103629,,0.15419092267091009,
2020-06-11,4.29,6.11,4.05,4.8,4.8,180800,CLEU,China Liberal Education Holdings Ltd,교육서비스,17.43443110236953,,,0.6067857142857144,1.4173042966450848,,4.664411297178024,
