Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS
2018-03-06,2.9,2.95,2.9,2.95,2.182379,200,CLWT,Euro Tech Holdings Company Ltd,전문 및 상업 서비스,,,,,,,,
2018-03-07,2.9,2.95,2.9,2.95,2.182379,300,CLWT,Euro Tech Holdings Company Ltd,전문 및 상업 서비스,,,,,,,,
2018-03-08,2.85,2.85,2.8,2.8,2.07141,600,CLWT,Euro Tech Holdings Company Ltd,전문 및 상업 서비스,,,,,,,,
2018-03-09,2.85,2.85,2.8,2.85,2.1084,1300,CLWT,Euro Tech Holdings Company Ltd,전문 및 상업 서비스,,,,,,,,
2018-03-12,2.81,2.81,2.75,2.8,2.07141,3200,CLWT,Euro Tech Holdings Company Ltd,전문 및 상업 서비스,,,,,,,,
2018-03-13,2.82,2.85,2.8,2.8,2.07141,1600,CLWT,Euro Tech Holdings Company Ltd,전문 및 상업 서비스,,,,,,,,
2018-03-14,2.8,2.84,2.8,2.83,2.093604,2300,CLWT,Euro Tech Holdings Company Ltd,전문 및 상업 서비스,,,,,,,,
2018-03-15,2.83,3.35,2.75,2.9,2.145389,167900,CLWT,Euro Tech Holdings Company Ltd,전문 및 상업 서비스,,,,,,,,
2018-03-16,2.9,2.9,2.7,2.7,1.997432,16400,CLWT,Euro Tech Holdings Company Ltd,전문 및 상업 서비스,,,,,,,,
2018-03-19,2.75,2.8,2.7,2.7,1.997432,9000,CLWT,Euro Tech Holdings Company Ltd,전문 및 상업 서비스,,,,,,,,
2018-03-20,2.7,2.75,2.65,2.65,1.960442,8700,CLWT,Euro Tech Holdings Company Ltd,전문 및 상업 서비스,,,,,,,,
2018-03-21,2.75,2.76,2.65,2.75,2.034421,9600,CLWT,Euro Tech Holdings Company Ltd,전문 및 상업 서비스,,,,,,,,
2018-03-22,2.7,2.7,2.6,2.6,1.923453,9500,CLWT,Euro Tech Holdings Company Ltd,전문 및 상업 서비스,,,,,,,,
2018-03-23,2.65,2.85,2.6,2.85,2.1084,3600,CLWT,Euro Tech Holdings Company Ltd,전문 및 상업 서비스,,,,,,,,
2018-03-26,2.8,2.8,2.6,2.6,1.923453,6600,CLWT,Euro Tech Holdings Company Ltd,전문 및 상업 서비스,,,,0.1571428571428572,-1.5909090909090904,,-3.4126693649548807,
2018-03-27,2.6,2.6,2.6,2.6,1.923453,0,CLWT,Euro Tech Holdings Company Ltd,전문 및 상업 서비스,,,,0.1535714285714286,0.0,,1.0899182719076979,
2018-03-28,3.15,4.15,2.76,2.81,2.078808,2752000,CLWT,Euro Tech Holdings Company Ltd,전문 및 상업 서비스,,,,0.2535714285714286,0.8281690140845067,,1.0025538700796597,
2018-03-29,2.65,2.75,2.5,2.5,1.849474,140200,CLWT,Euro Tech Holdings Company Ltd,전문 및 상업 서비스,,,,0.27214285714285713,-1.1391076115485568,,-1.9513973012778578,
2018-04-02,2.55,2.6,2.1,2.25,1.664526,78600,CLWT,Euro Tech Holdings Company Ltd,전문 및 상업 서비스,,,,0.3007142857142857,-0.831353919239905,,0.3697622839490128,
2018-04-03,2.3,2.4,2.2,2.2,1.627537,18900,CLWT,Euro Tech Holdings Company Ltd,전문 및 상업 서비스,-16.16040792029437,,,0.3114285714285714,-0.16055045871559578,,-0.8233040646368043,
2018-04-04,2.2,2.2,2.0,2.2,1.627537,31500,CLWT,Euro Tech Holdings Company Ltd,전문 및 상업 서비스,-16.076035143535663,,,0.32285714285714284,0.0,,-0.5787324186525676,
2018-04-05,2.25,2.25,2.15,2.25,1.664526,20000,CLWT,Euro Tech Holdings Company Ltd,전문 및 상업 서비스,-13.722716275977687,,,0.2871428571428571,0.17412935323383025,,-0.1704814058210368,
2018-04-06,2.25,2.29,2.15,2.25,1.664526,12300,CLWT,Euro Tech Holdings Company Ltd,전문 및 상업 서비스,-11.070018677286875,,,0.28285714285714286,0.0,,1.0222313686381763,
