Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS,50MA
2018-03-12,26.51,26.719999,26.25,26.530001,25.192087,26000,CNXN,PC Connection Inc,통합 하드웨어 및 소프트웨어,,,,,,,,,
2018-03-13,26.67,26.889999,26.190001,26.27,24.945198,39100,CNXN,PC Connection Inc,통합 하드웨어 및 소프트웨어,,,,,,,,,
2018-03-14,26.389999,26.940001,25.91,26.09,24.774275,32700,CNXN,PC Connection Inc,통합 하드웨어 및 소프트웨어,,,,,,,,,
2018-03-15,26.139999,26.5,25.77,25.98,24.669823,40900,CNXN,PC Connection Inc,통합 하드웨어 및 소프트웨어,,,,,,,,,
2018-03-16,25.950001,26.639999,25.82,26.34,25.011665,77800,CNXN,PC Connection Inc,통합 하드웨어 및 소프트웨어,,,,,,,,,
2018-03-19,26.34,26.469999,25.389999,26.280001,24.954693,32300,CNXN,PC Connection Inc,통합 하드웨어 및 소프트웨어,,,,,,,,,
2018-03-20,26.4,26.4,25.9,26.059999,24.745789,32300,CNXN,PC Connection Inc,통합 하드웨어 및 소프트웨어,,,,,,,,,
2018-03-21,26.09,26.690001,26.0,26.110001,24.793268,52100,CNXN,PC Connection Inc,통합 하드웨어 및 소프트웨어,,,,,,,,,
2018-03-22,26.09,26.26,25.389999,25.6,24.308987,36700,CNXN,PC Connection Inc,통합 하드웨어 및 소프트웨어,,,,,,,,,
2018-03-23,25.57,25.99,24.5,24.6,23.359417,57700,CNXN,PC Connection Inc,통합 하드웨어 및 소프트웨어,,,,,,,,,
2018-03-26,24.790001,25.370001,24.49,25.0,23.739244,71900,CNXN,PC Connection Inc,통합 하드웨어 및 소프트웨어,,,,,,,,,
2018-03-27,25.08,25.4,24.83,25.0,23.739244,37600,CNXN,PC Connection Inc,통합 하드웨어 및 소프트웨어,,,,,,,,,
2018-03-28,25.030001,25.290001,24.52,24.809999,23.558825,57600,CNXN,PC Connection Inc,통합 하드웨어 및 소프트웨어,,,,,,,,,
2018-03-29,24.92,25.6,24.68,25.0,23.739244,335600,CNXN,PC Connection Inc,통합 하드웨어 및 소프트웨어,,,,,,,,,
2018-04-02,25.01,25.77,25.01,25.469999,24.185543,66200,CNXN,PC Connection Inc,통합 하드웨어 및 소프트웨어,,,,0.8442858571428573,0.5566823085139934,,1.7577985117029111,,
2018-04-03,25.65,26.58,25.57,26.34,25.011665,73800,CNXN,PC Connection Inc,통합 하드웨어 및 소프트웨어,,,,0.8735717857142856,0.9959124301257424,,0.3331588242045339,,
2018-04-04,26.389999,26.450001,25.969999,26.280001,24.954693,51100,CNXN,PC Connection Inc,통합 하드웨어 및 소프트웨어,,,,0.8342861428571428,-0.07191657264559774,,-0.6506489912981653,,
