Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,256.570007,263.640015,254.850006,257.540009,254.718475,32300,COKE,Coca-Cola Consolidated Inc,음료,,,
2021-03-05,259.970001,272.23999,255.839996,271.73999,268.762878,41000,COKE,Coca-Cola Consolidated Inc,음료,,,
2021-03-08,272.98999,282.049988,272.98999,278.519989,275.468628,28600,COKE,Coca-Cola Consolidated Inc,음료,,,
2021-03-09,281.190002,284.5,279.890015,282.570007,279.474304,34200,COKE,Coca-Cola Consolidated Inc,음료,,,
2021-03-10,282.570007,284.019989,280.049988,281.76001,278.673157,22200,COKE,Coca-Cola Consolidated Inc,음료,,,
2021-03-11,282.070007,288.980011,279.959991,288.980011,285.814056,19600,COKE,Coca-Cola Consolidated Inc,음료,,,
2021-03-12,289.059998,296.410004,287.869995,295.160004,291.926331,29600,COKE,Coca-Cola Consolidated Inc,음료,,,
2021-03-15,295.0,302.640015,294.01001,302.640015,299.324371,28700,COKE,Coca-Cola Consolidated Inc,음료,,,
2021-03-16,301.01001,306.459991,298.070007,305.589996,302.242065,21000,COKE,Coca-Cola Consolidated Inc,음료,,,
2021-03-17,302.399994,310.98999,302.399994,309.200012,305.8125,31200,COKE,Coca-Cola Consolidated Inc,음료,,,
2021-03-18,309.0,309.0,298.079987,303.970001,300.639801,30700,COKE,Coca-Cola Consolidated Inc,음료,,,
2021-03-19,301.779999,304.920013,297.309998,301.029999,297.732025,70400,COKE,Coca-Cola Consolidated Inc,음료,,,
2021-03-22,301.73999,304.079987,294.929993,296.730011,293.479156,18400,COKE,Coca-Cola Consolidated Inc,음료,,,
2021-03-23,296.73999,296.73999,288.720001,289.76001,286.58551,26200,COKE,Coca-Cola Consolidated Inc,음료,,,
2021-03-24,292.549988,292.549988,281.859985,282.359985,279.266541,27400,COKE,Coca-Cola Consolidated Inc,음료,,,
2021-03-25,280.0,293.670013,277.839996,289.910004,286.733856,31000,COKE,Coca-Cola Consolidated Inc,음료,,,
2021-03-26,292.559998,298.029999,290.0,297.559998,294.300049,14600,COKE,Coca-Cola Consolidated Inc,음료,,,
2021-03-29,298.0,303.279999,297.559998,302.700012,299.383759,25000,COKE,Coca-Cola Consolidated Inc,음료,,,
2021-03-30,301.059998,301.839996,293.549988,295.220001,291.985687,20300,COKE,Coca-Cola Consolidated Inc,음료,,,
