Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS
2018-03-06,4.51,4.57,4.51,4.55,4.55,4800,CTIB,Yunhong CTI Ltd,용기 및 포장,,,,,,,,
2018-03-07,4.55,4.55,4.55,4.55,4.55,0,CTIB,Yunhong CTI Ltd,용기 및 포장,,,,,,,,
2018-03-08,4.48,4.48,4.02,4.02,4.02,2700,CTIB,Yunhong CTI Ltd,용기 및 포장,,,,,,,,
2018-03-09,4.43,4.43,4.06,4.06,4.06,400,CTIB,Yunhong CTI Ltd,용기 및 포장,,,,,,,,
2018-03-12,4.45,4.45,4.45,4.45,4.45,300,CTIB,Yunhong CTI Ltd,용기 및 포장,,,,,,,,
2018-03-13,4.45,4.45,4.45,4.45,4.45,1000,CTIB,Yunhong CTI Ltd,용기 및 포장,,,,,,,,
2018-03-14,4.07,4.15,4.01,4.15,4.15,4500,CTIB,Yunhong CTI Ltd,용기 및 포장,,,,,,,,
2018-03-15,4.29,4.49,4.29,4.44,4.44,3900,CTIB,Yunhong CTI Ltd,용기 및 포장,,,,,,,,
2018-03-16,4.29,4.3,4.19,4.19,4.19,700,CTIB,Yunhong CTI Ltd,용기 및 포장,,,,,,,,
2018-03-19,4.2,4.2,4.13,4.13,4.13,1500,CTIB,Yunhong CTI Ltd,용기 및 포장,,,,,,,,
2018-03-20,4.38,4.49,4.34,4.38,4.38,7400,CTIB,Yunhong CTI Ltd,용기 및 포장,,,,,,,,
2018-03-21,4.45,4.45,4.34,4.4,4.4,12100,CTIB,Yunhong CTI Ltd,용기 및 포장,,,,,,,,
2018-03-22,4.2,4.2,4.2,4.2,4.2,200,CTIB,Yunhong CTI Ltd,용기 및 포장,,,,,,,,
2018-03-23,4.3,4.3,4.3,4.3,4.3,100,CTIB,Yunhong CTI Ltd,용기 및 포장,,,,,,,,
2018-03-26,4.3,4.3,4.3,4.3,4.3,0,CTIB,Yunhong CTI Ltd,용기 및 포장,,,,0.2285714285714287,0.0,,-1.8217602740457903,
2018-03-27,4.35,4.35,4.35,4.35,4.35,100,CTIB,Yunhong CTI Ltd,용기 및 포장,,,,0.23214285714285726,0.2153846153846145,,1.3053028872923123,
2018-03-28,4.35,4.35,4.35,4.35,4.35,0,CTIB,Yunhong CTI Ltd,용기 및 포장,,,,0.1942857142857144,0.0,,0.17438485599515288,
2018-03-29,4.4,4.4,4.0,4.0,4.0,1900,CTIB,Yunhong CTI Ltd,용기 및 포장,,,,0.1935714285714287,-1.8081180811808089,,-2.62040777091011,
2018-04-02,3.95,4.05,3.8,4.05,4.05,7600,CTIB,Yunhong CTI Ltd,용기 및 포장,,,,0.18357142857142866,0.27237354085603005,,1.4734897440449477,
2018-04-03,4.05,4.05,4.05,4.05,4.05,300,CTIB,Yunhong CTI Ltd,용기 및 포장,-2.293623818187096,,,0.18357142857142866,0.0,,-0.6627536059212085,
2018-04-04,3.95,4.04,3.85,3.85,3.85,2300,CTIB,Yunhong CTI Ltd,용기 및 포장,-7.562438851747411,,,0.16642857142857145,-1.2017167381974232,,-1.7804491568499907,
2018-04-05,3.86,4.15,3.77,3.97,3.97,7800,CTIB,Yunhong CTI Ltd,용기 및 포장,-4.793731050046435,,,0.16928571428571434,0.7088607594936712,,0.3642500004388042,
2018-04-06,3.84,3.84,3.75,3.76,3.76,1300,CTIB,Yunhong CTI Ltd,용기 및 포장,-7.738182486464861,,,0.16714285714285723,-1.2564102564102582,,-0.23417888777208185,
2018-04-09,3.56,4.13,3.56,3.73,3.73,13100,CTIB,Yunhong CTI Ltd,용기 및 포장,-8.69232324193463,,,0.2028571428571429,-0.14788732394366097,,-0.301678014048144,
2018-04-10,3.79,3.79,3.64,3.7,3.7,10700,CTIB,Yunhong CTI Ltd,용기 및 포장,-10.324896354400249,,,0.1878571428571429,-0.15969581749049322,,-0.8976966547896021,
2018-04-11,3.94,4.0,3.8,3.8,3.8,8900,CTIB,Yunhong CTI Ltd,용기 및 포장,-6.876771183771224,,,0.20142857142857143,0.4964539007092181,,0.7464751404596079,
2018-04-12,3.8,3.8,3.8,3.8,3.8,0,CTIB,Yunhong CTI Ltd,용기 및 포장,-7.390132933673998,,,0.1871428571428571,0.0,,-0.38918224277530467,
2018-04-13,4.02,4.02,3.97,3.97,3.97,600,CTIB,Yunhong CTI Ltd,용기 및 포장,-2.582561562070851,,,0.1957142857142857,0.8686131386861333,-0.1437244472923555,1.0126117936754118,-0.2593994418004283
2018-04-16,3.97,3.97,3.97,3.97,3.97,0,CTIB,Yunhong CTI Ltd,용기 및 포장,-3.2400761538201817,,,0.1957142857142857,0.0,-0.1437244472923555,-0.4279093476341104,-0.15983866134245112
2018-04-17,3.97,3.97,3.97,3.97,3.97,0,CTIB,Yunhong CTI Ltd,용기 및 포장,-4.087256824802665,,,0.19214285714285714,0.0,-0.15910906267697084,-0.6041646823719381,-0.2962292020327547
2018-04-18,4.09,4.09,4.09,4.09,4.09,300,CTIB,Yunhong CTI Ltd,용기 및 포장,-0.9394781514102002,,,0.20071428571428568,0.5978647686832724,-0.11640443634245137,0.5483240295783488,-0.26951926106252644
2018-04-19,4.09,4.09,4.09,4.09,4.09,0,CTIB,Yunhong CTI Ltd,용기 및 포장,-0.028652594093947492,,,0.1721428571428571,0.0,0.012746855170463558,0.3568389163794777,-0.05685878339898444
2018-04-20,4.06,4.06,4.06,4.06,4.06,200,CTIB,Yunhong CTI Ltd,용기 및 포장,0.3175875276758555,,,0.1564285714285714,-0.19178082191780985,-0.020407027884810722,0.38838726182224603,-0.13436610355774886
2018-04-23,4.0,4.08,3.77,4.08,4.08,4800,CTIB,Yunhong CTI Ltd,용기 및 포장,1.251741441383314,,,0.17857142857142855,0.1120000000000026,-0.012407027884810535,0.10807820467102744,-0.07930668851544628
2018-04-24,3.95,3.97,3.85,3.89,3.89,1300,CTIB,Yunhong CTI Ltd,용기 및 포장,-1.6952550169843872,,,0.1807142857142857,-1.051383399209486,-0.001668932242815026,-0.10034148698075018,0.040701002189499465
2018-04-25,3.82,3.82,3.8,3.8,3.8,800,CTIB,Yunhong CTI Ltd,용기 및 포장,-3.4214876360820656,,,0.15999999999999998,-0.562500000000002,-0.09248041506379168,-0.6900536524612705,-0.034606401589077296
2018-04-26,3.85,3.85,3.85,3.85,3.85,500,CTIB,Yunhong CTI Ltd,용기 및 포장,-2.420620389786432,,,0.14785714285714285,0.3381642512077313,0.021417764051778993,-0.4459412898180619,-0.04973228744950444
2018-04-27,3.96,4.2,3.81,4.2,4.2,9200,CTIB,Yunhong CTI Ltd,용기 및 포장,6.122235475939486,,,0.135,2.592592592592593,0.21716632951865428,2.5023943765849506,0.1505585975957166
2018-04-30,4.18,4.22,4.0,4.0,4.0,5600,CTIB,Yunhong CTI Ltd,용기 및 포장,2.1031506092747954,,,0.13999999999999999,-1.42857142857143,0.12653235729858736,-0.7385509128234018,0.16192615059330231
2018-05-01,4.0,4.0,4.0,4.0,4.0,0,CTIB,Yunhong CTI Ltd,용기 및 포장,1.9896210874590592,,,0.11857142857142858,0.0,0.09107136439078607,-0.2094412846551276,0.0936464059422498
2018-05-02,3.95,4.27,3.88,4.27,4.27,6400,CTIB,Yunhong CTI Ltd,용기 및 포장,9.057574224194308,,,0.1464285714285714,1.8439024390243877,0.2227786814639566,2.4419317194305687,0.2958688318140979
2018-05-03,4.24,4.25,4.0,4.0,4.0,30900,CTIB,Yunhong CTI Ltd,용기 및 포장,2.288518823212593,,,0.14999999999999997,-1.7999999999999976,0.0321634572720901,-1.6172929443505768,0.10801849338367012
2018-05-04,4.0,4.0,3.74,3.74,3.74,2600,CTIB,Yunhong CTI Ltd,용기 및 포장,-5.4445315522574695,,,0.16857142857142854,-1.5423728813559312,-0.07800603425333354,-2.5238300652021706,-0.04169012929976274
2018-05-07,3.79,3.85,3.79,3.85,3.85,900,CTIB,Yunhong CTI Ltd,용기 및 포장,-3.0418012370426517,,,0.17642857142857138,0.6234817813765177,-0.033471621297867994,0.3461929257825985,0.026192556996989864
2018-05-08,4.05,4.05,4.05,4.05,4.05,200,CTIB,Yunhong CTI Ltd,용기 및 포장,1.6010162095128067,,,0.1821428571428571,1.0980392156862733,0.002255124916632077,1.1190848729980647,0.06696118866982671
2018-05-09,3.91,3.91,3.91,3.91,3.91,200,CTIB,Yunhong CTI Ltd,용기 및 포장,-2.88796477194746,,,0.1921428571428571,-0.7286245353159837,-0.04978948474879534,-1.491287802698889,-0.06504786269291375
2018-05-10,4.01,4.01,3.81,3.93,3.93,7100,CTIB,Yunhong CTI Ltd,용기 및 포장,-3.3517657166577175,,,0.20428571428571418,0.09790209790209804,-0.029097847618801916,-0.6553109708182894,-0.139597736452952
2018-05-11,4.14,4.25,4.0,4.18,4.18,20500,CTIB,Yunhong CTI Ltd,용기 및 포장,2.49119519140264,,,0.20499999999999988,1.2195121951219499,0.05001016631848003,1.078122779787827,-0.07030883823032345
2018-05-14,4.18,4.18,4.18,4.18,4.18,0,CTIB,Yunhong CTI Ltd,용기 및 포장,2.23482741489327,,,0.18857142857142845,0.0,0.12510898054772904,-0.0821252178932331,-0.06900767615264367
2018-05-15,3.74,3.74,3.74,3.74,3.74,200,CTIB,Yunhong CTI Ltd,용기 및 포장,-7.626498884283128,,,0.21357142857142838,-2.0602006688963206,0.018130361340849128,-1.416716318965352,-0.12091215233150664
2018-05-16,4.01,4.01,4.01,4.01,4.01,300,CTIB,Yunhong CTI Ltd,용기 및 포장,-1.2358350964562503,,,0.22928571428571407,1.1775700934579432,0.07808792150157855,0.777871432886509,-0.033496957852608714
