Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS
2018-03-06,16.35,16.48,16.15,16.35,12.884,566300,CWEN,Clearway Energy Inc Class C,전기 유틸리티,,,,,,,,
2018-03-07,16.5,16.700001,16.35,16.4,12.923399,686800,CWEN,Clearway Energy Inc Class C,전기 유틸리티,,,,,,,,
2018-03-08,16.5,16.700001,16.35,16.5,13.002202,440700,CWEN,Clearway Energy Inc Class C,전기 유틸리티,,,,,,,,
2018-03-09,16.6,16.799999,16.450001,16.75,13.199204,470000,CWEN,Clearway Energy Inc Class C,전기 유틸리티,,,,,,,,
2018-03-12,16.799999,17.049999,16.799999,16.950001,13.356808,346200,CWEN,Clearway Energy Inc Class C,전기 유틸리티,,,,,,,,
2018-03-13,17.049999,17.200001,16.75,16.799999,13.238605,600400,CWEN,Clearway Energy Inc Class C,전기 유틸리티,,,,,,,,
2018-03-14,16.85,17.1,16.85,17.1,13.475011,360800,CWEN,Clearway Energy Inc Class C,전기 유틸리티,,,,,,,,
2018-03-15,17.0,17.15,16.719999,16.9,13.317406,341000,CWEN,Clearway Energy Inc Class C,전기 유틸리티,,,,,,,,
2018-03-16,16.950001,17.299999,16.9,17.0,13.396207,924400,CWEN,Clearway Energy Inc Class C,전기 유틸리티,,,,,,,,
2018-03-19,16.950001,17.25,16.75,17.25,13.593211,777200,CWEN,Clearway Energy Inc Class C,전기 유틸리티,,,,,,,,
2018-03-20,17.299999,17.35,17.200001,17.299999,13.632609,476200,CWEN,Clearway Energy Inc Class C,전기 유틸리티,,,,,,,,
2018-03-21,17.25,17.4,17.049999,17.25,13.593211,665300,CWEN,Clearway Energy Inc Class C,전기 유틸리티,,,,,,,,
2018-03-22,17.25,17.700001,17.1,17.4,13.711412,384600,CWEN,Clearway Energy Inc Class C,전기 유틸리티,,,,,,,,
2018-03-23,17.4,17.4,16.950001,17.0,13.396207,1055300,CWEN,Clearway Energy Inc Class C,전기 유틸리티,,,,,,,,
2018-03-26,17.1,17.25,16.9,17.25,13.593211,486900,CWEN,Clearway Energy Inc Class C,전기 유틸리티,,,,0.38071435714285684,0.6566602895571695,,-1.165099984488621,
2018-03-27,17.200001,17.35,16.950001,17.049999,13.435608,619200,CWEN,Clearway Energy Inc Class C,전기 유틸리티,,,,0.38428564285714273,-0.5204487956224537,,0.5694694762852441,
2018-03-28,17.15,17.35,17.0,17.200001,13.55381,1017300,CWEN,Clearway Energy Inc Class C,전기 유틸리티,,,,0.38428557142857145,0.3903399220594522,,0.5647247780546051,
2018-03-29,17.200001,17.4,16.950001,17.0,13.396207,731400,CWEN,Clearway Energy Inc Class C,전기 유틸리티,,,,0.39142849999999996,-0.5109515530933499,,-1.323241242822651,
2018-04-02,17.049999,17.18,16.75,16.950001,13.356808,583300,CWEN,Clearway Energy Inc Class C,전기 유틸리티,,,,0.4007142857142857,-0.12477468805704021,,1.0763415151318776,
2018-04-03,16.950001,17.200001,16.85,17.1,13.475011,575200,CWEN,Clearway Energy Inc Class C,전기 유틸리티,3.6926394514448235,,,0.3935714285714284,0.38112268602541133,,-0.28163091989579714,
2018-04-04,17.0,17.299999,17.0,17.200001,13.55381,545300,CWEN,Clearway Energy Inc Class C,전기 유틸리티,2.6909319776723617,,,0.3935712857142854,0.2540861176356118,,-0.32464630101695585,
2018-04-05,17.25,17.450001,17.049999,17.35,13.672014,541600,CWEN,Clearway Energy Inc Class C,전기 유틸리티,2.474925510528414,,,0.39142849999999996,0.3832091940162791,,0.038598434961412076,
2018-04-06,17.299999,17.450001,17.15,17.25,13.593211,724600,CWEN,Clearway Energy Inc Class C,전기 유틸리티,3.6792460320114406,,,0.38428578571428573,-0.26022299995855386,,0.7620083686796224,
2018-04-09,17.35,17.52,17.25,17.5,13.790209,431200,CWEN,Clearway Energy Inc Class C,전기 유틸리티,4.272281608940509,,,0.3678572142857143,0.6796115185220353,,0.5258208284175523,
2018-04-10,17.5,17.5,17.25,17.299999,13.632609,645500,CWEN,Clearway Energy Inc Class C,전기 유틸리티,1.0535941453692743,,,0.3750001428571427,-0.5333357968244594,,-1.2713366341235683,
