Date,Symbol,Name,Industry,Open,High,Low,Close,Adj Close,Volume,RS,50MA,150MA,200MA,MA150_Slope,MA200_Slope,ATR,TC,ATC,TRS,ATRS,ATRS150,IsOriginData_NaN
2018-03-19,CYAN,Cyanotech Corp,제약,5.25,5.25,5.1,5.1,5.1,2900.0,,,,,,,,,,,,,False
2018-03-20,CYAN,Cyanotech Corp,제약,5.05,5.1,4.98,5.05,5.05,5900.0,,,,,,,,,,,,,False
2018-03-21,CYAN,Cyanotech Corp,제약,5.05,5.2,5.05,5.2,5.2,5500.0,,,,,,,,,,,,,False
2018-03-22,CYAN,Cyanotech Corp,제약,5.1,5.25,4.98,5.14,5.14,19100.0,,,,,,,,,,,,,False
2018-03-23,CYAN,Cyanotech Corp,제약,5.1,5.2,4.95,5.0,5.0,5900.0,,,,,,,,,,,,,False
2018-03-26,CYAN,Cyanotech Corp,제약,5.1,5.15,4.96,5.05,5.05,13300.0,,,,,,,,,,,,,False
2018-03-27,CYAN,Cyanotech Corp,제약,5.05,5.25,5.0,5.0,5.0,4300.0,,,,,,,,,,,,,False
2018-03-28,CYAN,Cyanotech Corp,제약,5.25,5.3,4.95,4.95,4.95,2100.0,,,,,,,,,,,,,False
2018-03-29,CYAN,Cyanotech Corp,제약,5.25,5.27,4.98,5.1,5.1,9300.0,,,,,,,,,,,,,False
2018-04-02,CYAN,Cyanotech Corp,제약,5.2,5.2,4.85,5.15,5.15,14400.0,,,,,,,,,,,,,False
2018-04-03,CYAN,Cyanotech Corp,제약,5.2,5.39,5.08,5.1,5.1,25800.0,,,,,,,,,,,,,False
2018-04-04,CYAN,Cyanotech Corp,제약,5.0,5.25,5.0,5.23,5.23,6300.0,,,,,,,,,,,,,False
2018-04-05,CYAN,Cyanotech Corp,제약,5.1,5.25,5.1,5.25,5.25,2000.0,,,,,,,,,,,,,False
2018-04-06,CYAN,Cyanotech Corp,제약,5.2,5.2,5.11,5.2,5.2,3900.0,,,,,,,,,,,,,False
2018-04-09,CYAN,Cyanotech Corp,제약,5.35,5.35,5.2,5.3,5.3,4600.0,,,,,,,0.232142857142857,0.43076923076922946,,0.2769785406647465,,,False
2018-04-10,CYAN,Cyanotech Corp,제약,5.5,5.66,5.08,5.14,5.14,8500.0,,,,,,,0.26499999999999996,-0.603773584905661,,-1.3417744222047698,,,False
