Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS,50MA
2020-11-02,9.65,9.65,9.65,9.65,9.65,1000,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,,,,,,,,,
2020-11-03,9.65,9.65,9.65,9.65,9.65,0,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,,,,,,,,,
2020-11-04,9.65,9.65,9.65,9.65,9.65,0,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,,,,,,,,,
2020-11-05,10.58,10.63,9.8,9.8,9.8,2600,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,,,,,,,,,
2020-11-06,9.82,9.82,9.75,9.75,9.75,14200,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,,,,,,,,,
2020-11-09,9.72,9.875,9.72,9.8,9.8,203400,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,,,,,,,,,
2020-11-10,9.8,9.84,9.8,9.81,9.81,1500,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,,,,,,,,,
2020-11-11,9.815,9.865,9.72,9.76,9.76,287700,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,,,,,,,,,
2020-11-12,9.66,9.8,9.66,9.8,9.8,24200,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,,,,,,,,,
2020-11-13,9.8,9.8,9.8,9.8,9.8,38600,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,,,,,,,,,
2020-11-16,9.85,9.85,9.85,9.85,9.85,2000,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,,,,,,,,,
2020-11-17,9.71,9.812,9.71,9.812,9.812,1000,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,,,,,,,,,
2020-11-18,9.86,9.86,9.82,9.82,9.82,1200,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,,,,,,,,,
2020-11-19,9.84,9.85,9.82,9.82,9.82,1700,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,,,,,,,,,
2020-11-20,9.87,9.919,9.832,9.88,9.88,10300,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,,,,0.13549999999999976,0.4428044280442849,,0.8448785663185772,,
2020-11-23,10.072,10.23,9.85,9.85,9.85,29500,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,,,,0.16264285714285695,-0.18445322793149602,,-0.53317141258703,,
2020-11-24,9.96,9.97,9.9,9.94,9.94,13700,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,,,,0.1712142857142856,0.5256570713391735,,-0.5499464704432104,,
2020-11-25,9.9,10.21,9.9,9.94,9.94,20700,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,,,,0.12335714285714275,0.0,,0.11777274076570393,,
2020-11-27,9.99,9.99,9.98,9.98,9.98,400,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,,,,0.12192857142857136,0.32806092560047645,,0.1441937693030857,,
2020-11-30,10.437,10.437,9.95,10.02,10.02,56000,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,-0.03923023024151595,,,0.14564285714285713,0.27464443354585,,0.6854173705218037,,
2020-12-01,10.15,10.2,9.96,10.0,10.0,23100,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,-1.020243415324551,,,0.15992857142857136,-0.12505582849486116,,-1.1080461390368037,,
2020-12-02,10.05,10.29,9.92,10.0,10.0,39100,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,-0.9482275453892464,,,0.1759999999999999,0.0,,-0.16060023082962674,,
2020-12-03,10.09,10.15,9.93,10.0,10.0,17900,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,-0.7507495170189893,,,0.18171428571428563,0.0,,0.05900640642404819,,
2020-12-04,9.992,10.77,9.96,10.14,10.14,125200,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,-0.15104170254751637,,,0.23957142857142838,0.5843768634466338,,-0.2893290514531549,,
2020-12-07,10.15,10.28,10.08,10.1,10.1,140300,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,-0.2747646732589981,,,0.2502857142857141,-0.1598173515981773,,0.04226333622466044,,
2020-12-08,10.1,10.81,10.064,10.09,10.09,51600,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,-0.5873388977152172,,,0.29357142857142854,-0.03406326034063188,,-0.32960833587753036,,
2020-12-09,10.135,10.21,10.01,10.08,10.08,55000,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,0.15080652245711423,,,0.30442857142857144,-0.0328484279680894,,0.8122667943500732,,
2020-12-10,10.12,10.12,10.08,10.08,10.08,42500,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,0.25012048328709735,,,0.30514285714285716,0.0,0.1156646875459402,0.1378207817594434,-0.009077276754282894,
2020-12-11,10.11,10.34,10.09,10.19,10.19,289200,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,1.4524562510735306,,,0.3166428571428571,0.34739454094292627,0.10884969561012887,0.4802028729804452,-0.03512554056414946,
2020-12-14,10.25,10.478,10.12,10.14,10.14,108600,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,1.3107611761244975,,,0.31507142857142856,-0.1586941736567638,0.11068962805832404,0.2850302676856479,0.023317436598184676,
2020-12-15,10.29,10.75,10.1,10.17,10.17,362400,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,0.24701645296392183,,,0.35292857142857137,0.08500303582270616,0.07921433980714779,-1.2700050440755584,-0.028115318661268745,
2020-12-16,10.25,10.3,10.11,10.22,10.22,137100,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,0.4830489371152602,,,0.34435714285714286,0.14519809168222567,0.08958563207016391,-0.041212421289245404,-0.0394714016651937,
2020-12-17,10.35,10.35,10.2,10.305,10.305,67000,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,0.7095934908678991,,,0.3515,0.241820768136555,0.08342562082274095,-0.353811811087205,-0.07504322883592875,
2020-12-18,10.32,10.45,10.19,10.2,10.2,51100,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,0.01979392162085869,,,0.33528571428571424,-0.3131657435023447,0.04143917960501276,0.05442807709004688,-0.12011389265248282,
2020-12-21,10.13,10.81,10.115,10.53,10.53,148200,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,3.523854796990933,,,0.3677857142857143,0.8972616041949895,0.11446185336857351,1.2920149683654207,0.05131904359053322,
2020-12-22,10.62,10.75,10.39,10.5,10.5,50000,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,3.266317081708725,,,0.36707142857142866,-0.08172796263864389,0.10862414175152753,0.12859759499854756,0.07197603114968852,
2020-12-23,10.6,10.85,10.49,10.55,10.55,79200,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,3.446549338572158,,,0.37707142857142856,0.13260087137715665,0.11809563256418157,0.0568567517517181,0.07182248438737923,
2020-12-24,10.71,10.71,10.36,10.48,10.48,55200,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,2.2287469748154987,,,0.3442142857142859,-0.2033616932973653,0.06182859279675306,-0.5759842649262534,0.05134711199644363,
2020-12-28,10.81,10.81,10.48,10.55,10.55,227000,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,1.8719938485420418,,,0.35350000000000026,0.19801980198019867,0.08738838948092277,-0.6929808564765869,-0.0011703303393597597,
2020-12-29,10.46,10.57,10.3,10.55,10.55,314800,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,1.9817835303484355,,,0.3195000000000002,0.0,0.08982147950525363,0.22807641370706488,0.038664294630968474,
2020-12-30,10.68,10.88,10.384,10.54,10.54,32700,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,1.5770208631875837,,,0.3406428571428573,-0.029356259173835567,0.09007092013341463,-0.1762761276818126,-0.0319459140855948,
2020-12-31,10.64,10.64,10.315,10.36,10.36,150400,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,-0.8546989900486968,,,0.36100000000000027,-0.4986149584487523,0.05445556595850374,-1.204697864155432,-0.12784010307951446,
2021-01-04,10.74,10.86,10.4,10.6,10.6,292900,CYXT,Cyxtera Technologies Inc,소프트웨어 및 IT서비스,2.708146014712298,,,0.37814285714285745,0.634680770683793,0.0749760109399942,2.0478424170116662,-0.01586584993442724,
