Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,4.57,4.79,4.56,4.59,4.395111,1626300,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,,,
2021-03-05,4.66,4.85,4.58,4.8,4.596194,1398000,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,,,
2021-03-08,4.84,5.28,4.81,5.26,5.036663,1784100,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,,,
2021-03-09,5.29,5.48,5.2,5.23,5.007936,1528700,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,,,
2021-03-10,5.25,5.36,5.17,5.29,5.065389,1270900,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,,,
2021-03-11,5.32,5.32,5.13,5.2,4.97921,1117400,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,,,
2021-03-12,5.23,5.39,5.18,5.38,5.151568,1029900,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,,,
2021-03-15,5.38,5.58,5.28,5.4,5.170719,1439600,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,,,
2021-03-16,5.35,5.35,5.03,5.06,4.845155,1237000,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,,,
2021-03-17,5.06,5.19,5.03,5.19,4.969635,723900,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,,,
2021-03-18,5.15,5.29,4.96,5.04,4.826004,1031200,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,,,
2021-03-19,5.08,5.21,4.93,5.16,4.940909,3926500,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,,,
2021-03-22,5.13,5.17,4.83,4.98,4.768551,1246900,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,,,
2021-03-23,4.91,5.06,4.72,4.82,4.615345,1069200,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,,,
2021-03-24,4.89,5.01,4.67,4.68,4.481288,1468600,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,,,
2021-03-25,4.65,4.82,4.56,4.77,4.567468,1483200,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,,,
2021-03-26,4.85,4.92,4.8,4.91,4.701524,656800,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,,,
2021-03-29,4.87,5.06,4.74,4.79,4.586618,947300,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,,,
2021-03-30,4.82,4.88,4.76,4.82,4.615345,782400,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,,,
2021-03-31,4.85,4.9,4.74,4.78,4.577043,1712200,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-5.878390531458888,,
2021-04-01,4.77,4.78,4.59,4.75,4.548316,1248000,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-7.4305159289412614,,
2021-04-05,4.8,4.89,4.67,4.79,4.586618,1030900,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-7.70937926779639,,
2021-04-06,4.76,4.84,4.72,4.79,4.586618,1086800,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-6.885235885183705,,
2021-04-07,4.79,4.89,4.73,4.81,4.60577,1200500,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-5.999221615303307,,
2021-04-08,4.81,4.88,4.71,4.82,4.615345,1645100,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-5.520185462481331,,
2021-04-09,4.84,4.87,4.72,4.74,4.538742,624600,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-7.158918427038241,,
2021-04-12,4.74,4.77,4.54,4.61,4.414261,783600,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-8.774313020231528,,
2021-04-13,4.63,4.68,4.53,4.66,4.462138,842400,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-7.195431702756883,,
2021-04-14,4.63,4.76,4.63,4.65,4.452563,888400,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-6.437484851921782,,
2021-04-15,4.7,4.7,4.57,4.7,4.50044,1099500,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-5.76929771176532,,
2021-04-16,4.74,4.75,4.61,4.61,4.414261,1118300,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-7.185206646002296,,
2021-04-19,4.6,4.68,4.51,4.62,4.423837,919700,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-5.657101696262512,,
2021-04-20,4.58,4.59,4.43,4.5,4.308931,990100,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-6.7828549084250955,,
2021-04-21,4.46,4.61,4.37,4.6,4.404686,1450400,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-5.059902072072631,,
2021-04-22,4.64,4.64,4.41,4.45,4.261055,1060300,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-6.791479885126761,,
2021-04-23,4.47,4.48,4.4,4.42,4.241861,644400,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-7.770770064781296,,
2021-04-26,4.45,4.55,4.44,4.49,4.30904,866500,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-5.806568293076042,,
2021-04-27,4.53,4.53,4.4,4.45,4.270652,610800,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-6.0340403200251576,,
2021-04-28,4.48,4.55,4.44,4.47,4.289846,573500,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-4.905302883732777,,
2021-04-29,4.54,4.65,4.43,4.46,4.280249,845800,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-5.147032846511557,,
2021-04-30,4.41,4.46,4.32,4.42,4.241861,1479800,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-4.785595869123938,,
2021-05-03,4.48,4.48,4.36,4.41,4.232264,1271200,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-4.7345919429024885,,
2021-05-04,4.39,4.41,4.21,4.24,4.069116,1062200,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-7.128011855336458,,
2021-05-05,4.25,4.28,4.05,4.14,3.973145,1537200,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-8.608655805457687,,
2021-05-06,4.11,4.13,3.64,3.94,3.781206,2068800,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-12.770389987625041,,
2021-05-07,3.9,3.99,3.88,3.95,3.790804,1093800,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-12.313038324067039,,
2021-05-10,3.97,4.12,3.86,3.97,3.809998,1923400,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-10.22723597477755,,
2021-05-11,3.86,3.86,3.68,3.77,3.618058,1601400,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-13.110154996713375,,
2021-05-12,3.77,3.8,3.53,3.56,3.416522,1921700,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-15.131709170881136,,
2021-05-13,3.58,3.61,3.46,3.58,3.435716,1452800,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-14.620865875610745,,
2021-05-14,3.65,3.66,3.58,3.64,3.493298,1441800,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-13.493037976480448,,
2021-05-17,3.65,3.65,3.49,3.53,3.387731,1575100,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-14.787944090103855,,
2021-05-18,3.55,3.56,3.45,3.45,3.310955,1237200,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-14.924245153736903,,
2021-05-19,3.41,3.55,3.31,3.49,3.349343,2615900,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-12.552265765180536,,
2021-05-20,3.47,3.66,3.4,3.65,3.502894,1938900,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-8.562091870535127,,
2021-05-21,3.71,3.79,3.6,3.6,3.45491,973700,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-8.83620342703203,,
2021-05-24,3.61,3.68,3.6,3.67,3.522089,853800,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-7.007846849304178,,
2021-05-25,3.71,3.72,3.57,3.59,3.445313,988500,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-7.833085190239986,,
2021-05-26,3.58,3.65,3.54,3.64,3.493298,601000,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-5.70517462755401,,
2021-05-27,3.67,3.72,3.62,3.65,3.502894,1185800,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-4.569978658839191,,
2021-05-28,3.65,3.65,3.54,3.63,3.483701,1047600,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-4.146280336112806,,
2021-06-01,3.65,3.76,3.64,3.74,3.589267,1087600,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-0.2975798097575866,,
2021-06-02,3.78,3.89,3.74,3.84,3.685237,930200,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,2.828367003105625,,
2021-06-03,3.8,3.81,3.66,3.7,3.550879,963600,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,0.0656516852943545,,
2021-06-04,3.7,3.74,3.59,3.65,3.502894,896300,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,-1.7341024198573085,,
2021-06-07,3.67,3.84,3.67,3.76,3.608461,1085600,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,1.5602464549489214,,
2021-06-08,3.75,4.01,3.71,3.98,3.819594,1915000,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,7.522705964379095,,
2021-06-09,4.0,4.13,3.97,4.04,3.877176,1771100,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,9.035052138105515,,
2021-06-10,4.07,4.11,4.0,4.04,3.877176,1167800,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,8.057462392648773,,
2021-06-11,4.04,4.1,3.98,4.05,3.886774,934200,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,7.607938584675233,,
