Date,Symbol,Name,Industry,Open,High,Low,Close,Adj Close,Volume,RS,50MA,150MA,200MA,MA150_Slope,MA200_Slope,ATR,TC,ATC,TRS,ATRS,ATRS150,IsOriginData_NaN
2018-03-19,DHX,DHI Group Inc,전문 및 상업 서비스,1.75,1.79,1.7,1.75,1.75,265000.0,,,,,,,,,,,,,False
2018-03-20,DHX,DHI Group Inc,전문 및 상업 서비스,1.75,1.8,1.7,1.8,1.8,377000.0,,,,,,,,,,,,,False
2018-03-21,DHX,DHI Group Inc,전문 및 상업 서비스,1.8,1.85,1.75,1.85,1.85,227200.0,,,,,,,,,,,,,False
2018-03-22,DHX,DHI Group Inc,전문 및 상업 서비스,1.85,1.85,1.7,1.8,1.8,326300.0,,,,,,,,,,,,,False
2018-03-23,DHX,DHI Group Inc,전문 및 상업 서비스,1.8,1.85,1.75,1.8,1.8,207200.0,,,,,,,,,,,,,False
2018-03-26,DHX,DHI Group Inc,전문 및 상업 서비스,1.8,1.85,1.75,1.8,1.8,203600.0,,,,,,,,,,,,,False
2018-03-27,DHX,DHI Group Inc,전문 및 상업 서비스,1.8,1.85,1.75,1.75,1.75,283200.0,,,,,,,,,,,,,False
2018-03-28,DHX,DHI Group Inc,전문 및 상업 서비스,1.75,1.8,1.7,1.75,1.75,414600.0,,,,,,,,,,,,,False
2018-03-29,DHX,DHI Group Inc,전문 및 상업 서비스,1.75,1.8,1.6,1.6,1.6,1875000.0,,,,,,,,,,,,,False
2018-04-02,DHX,DHI Group Inc,전문 및 상업 서비스,1.65,1.75,1.65,1.65,1.65,303800.0,,,,,,,,,,,,,False
2018-04-03,DHX,DHI Group Inc,전문 및 상업 서비스,1.65,1.75,1.65,1.65,1.65,540400.0,,,,,,,,,,,,,False
2018-04-04,DHX,DHI Group Inc,전문 및 상업 서비스,1.65,1.75,1.63,1.7,1.7,160600.0,,,,,,,,,,,,,False
2018-04-05,DHX,DHI Group Inc,전문 및 상업 서비스,1.75,1.8,1.7,1.75,1.75,219900.0,,,,,,,,,,,,,False
2018-04-06,DHX,DHI Group Inc,전문 및 상업 서비스,1.75,1.8,1.65,1.7,1.7,256600.0,,,,,,,,,,,,,False
