Date,Symbol,Name,Industry,Open,High,Low,Close,Adj Close,Volume,RS,50MA,150MA,200MA,MA150_Slope,MA200_Slope,ATR,TC,ATC,TRS,ATRS,ATRS150,IsOriginData_NaN
2021-06-24,DKDCA,Data Knights Acquisition Corp,기타 금융업,9.87,9.9,9.87,9.9,9.9,664300.0,,,,,,,,,,,,,False
2021-06-25,DKDCA,Data Knights Acquisition Corp,기타 금융업,9.88,9.94,9.88,9.94,9.94,77800.0,,,,,,,,,,,,,False
2021-06-28,DKDCA,Data Knights Acquisition Corp,기타 금융업,9.86,10.05,9.86,9.95,9.95,18100.0,,,,,,,,,,,,,False
2021-06-29,DKDCA,Data Knights Acquisition Corp,기타 금융업,9.89,10.05,9.87,9.92,9.92,4300.0,,,,,,,,,,,,,False
2021-06-30,DKDCA,Data Knights Acquisition Corp,기타 금융업,9.9,9.975,9.88,9.89,9.89,103700.0,,,,,,,,,,,,,False
2021-07-01,DKDCA,Data Knights Acquisition Corp,기타 금융업,10.0,10.0,10.0,10.0,10.0,200.0,,,,,,,,,,,,,False
2021-07-02,DKDCA,Data Knights Acquisition Corp,기타 금융업,10.0,10.0,10.0,10.0,10.0,0.0,,,,,,,,,,,,,False
2021-07-06,DKDCA,Data Knights Acquisition Corp,기타 금융업,9.92,9.975,9.92,9.975,9.975,800.0,,,,,,,,,,,,,False
2021-07-07,DKDCA,Data Knights Acquisition Corp,기타 금융업,10.2,10.2,10.2,10.2,10.2,200.0,,,,,,,,,,,,,False
2021-07-08,DKDCA,Data Knights Acquisition Corp,기타 금융업,10.05,10.05,9.895,9.94,9.94,52700.0,,,,,,,,,,,,,False
2021-07-09,DKDCA,Data Knights Acquisition Corp,기타 금융업,9.94,9.97,9.93,9.93,9.93,804200.0,,,,,,,,,,,,,False
2021-07-12,DKDCA,Data Knights Acquisition Corp,기타 금융업,9.94,9.99,9.94,9.95,9.95,419200.0,,,,,,,,,,,,,False
2021-07-13,DKDCA,Data Knights Acquisition Corp,기타 금융업,9.91,9.94,9.91,9.93,9.93,32700.0,,,,,,,,,,,,,False
2021-07-14,DKDCA,Data Knights Acquisition Corp,기타 금융업,9.93,9.97,9.93,9.95,9.95,24700.0,,,,,,,,,,,,,False
2021-07-15,DKDCA,Data Knights Acquisition Corp,기타 금융업,9.97,9.98,9.94,9.94,9.94,9600.0,,,,,,,0.10464285714285726,-0.09556313993173847,,0.3685662441234327,,,False
2021-07-16,DKDCA,Data Knights Acquisition Corp,기타 금융업,9.955,10.03,9.955,10.03,10.03,53200.0,,,,,,,0.10678571428571448,0.8428093645484921,,1.8359114548303497,,,False
2021-07-19,DKDCA,Data Knights Acquisition Corp,기타 금융업,10.03,10.03,10.03,10.03,10.03,100.0,,,,,,,0.09321428571428582,0.0,,1.7805583125119833,,,False
2021-07-20,DKDCA,Data Knights Acquisition Corp,기타 금융업,9.965,9.965,9.93,9.93,9.93,1800.0,,,,,,,0.08749999999999998,-1.142857142857139,,-2.637527077850707,,,False
2021-07-21,DKDCA,Data Knights Acquisition Corp,기타 금융업,9.91,9.91,9.91,9.91,9.91,10600.0,,,,,,,0.08214285714285717,-0.24347826086955995,,-1.0390789854750109,,,False
2021-07-22,DKDCA,Data Knights Acquisition Corp,기타 금융업,9.91,9.91,9.89,9.9,9.9,66400.0,-1.453420219820789,,,,,,0.07571428571428575,-0.13207547169811035,,-0.32940786325372484,,,False
2021-07-23,DKDCA,Data Knights Acquisition Corp,기타 금융업,9.81,9.9,9.81,9.9,9.9,226500.0,-2.280847226235816,,,,,,0.08214285714285717,0.0,,-0.975638568267716,,,False
2021-07-26,DKDCA,Data Knights Acquisition Corp,기타 금융업,9.9,9.9,9.9,9.9,9.9,7400.0,-2.335739476901433,,,,,,0.07642857142857144,0.0,,-0.24080488558393795,,,False
2021-07-27,DKDCA,Data Knights Acquisition Corp,기타 금융업,9.81,9.9,9.81,9.9,9.9,1500.0,-1.7237688103999838,,,,,,0.06678571428571432,0.0,,0.46404995680872596,,,False
2021-07-28,DKDCA,Data Knights Acquisition Corp,기타 금융업,9.9,9.99,9.9,9.9,9.9,108400.0,-1.5727623191774787,,,,,,0.051428571428571476,0.0,,0.019505640403386253,,,False
2021-07-29,DKDCA,Data Knights Acquisition Corp,기타 금융업,9.9,9.9,9.9,9.9,9.9,174400.0,-1.8538699426965732,,,,,,0.04857142857142855,0.0,,-0.4570544564810924,,,False
2021-07-30,DKDCA,Data Knights Acquisition Corp,기타 금융업,9.9,9.9,9.9,9.9,9.9,0.0,-1.185291024714985,,,,,,0.04428571428571423,0.0,,0.5828682114993595,,,False
2021-08-02,DKDCA,Data Knights Acquisition Corp,기타 금융업,9.93,9.93,9.93,9.93,9.93,100.0,-0.6283387719071776,,,,,,0.04357142857142853,0.6885245901639204,,0.8821162861949358,,,False
2021-08-03,DKDCA,Data Knights Acquisition Corp,기타 금융업,9.945,9.945,9.945,9.945,9.945,100.0,-1.1836343901359458,,,,,,0.04178571428571422,0.3589743589743732,0.01973816416644556,-0.47355661406572286,-0.015678024614695637,,False
2021-08-04,DKDCA,Data Knights Acquisition Corp,기타 금융업,9.93,10.04,9.91,10.04,10.04,17800.0,0.3569424182055192,,,,,,0.04821428571428551,1.9703703703703552,0.16730484347373795,2.45286255213318,0.13320028310028634,,False
2021-08-05,DKDCA,Data Knights Acquisition Corp,기타 금융업,9.91,9.92,9.91,9.92,9.92,2200.0,-1.3025260686555296,,,,,,0.05107142857142831,-2.3496503496503465,-0.06072799325475052,-3.00011335957099,-0.21223006078552364,,False
2021-08-06,DKDCA,Data Knights Acquisition Corp,기타 금융업,9.92,9.92,9.92,9.92,9.92,0.0,-1.3881615945253944,,,,,,0.05107142857142831,0.0,-0.06072799325475051,-0.21339571412224542,-0.3546553484022543,,False
2021-08-09,DKDCA,Data Knights Acquisition Corp,기타 금융업,9.92,9.92,9.92,9.92,9.92,0.0,-1.2274325670186936,,,,,,0.04392857142857119,0.0,0.020904659806473706,0.13798213663743236,-0.15640469022453002,,False
2021-08-10,DKDCA,Data Knights Acquisition Corp,기타 금융업,9.92,9.92,9.92,9.92,9.92,0.0,-1.2450803672489186,,,,,,0.042499999999999795,0.0,0.038295964154299415,-0.15337143875165302,-0.0931398654585759,,False
2021-08-11,DKDCA,Data Knights Acquisition Corp,기타 금융업,9.92,9.92,9.92,9.92,9.92,0.0,-1.2801512179648977,,,,,,0.04107142857142839,0.0,0.047729926418450155,-0.20069424873066088,-0.08394603584978562,,False
