Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS,50MA
2021-06-24,41.169998,53.889999,41.169998,53.0,53.0,17305900,DOCS,Doximity Inc,소프트웨어 및 IT서비스,,,,,,,,,
2021-06-25,50.0,55.98,48.099998,55.98,55.98,5004200,DOCS,Doximity Inc,소프트웨어 및 IT서비스,,,,,,,,,
2021-06-28,56.990002,59.689999,54.16,58.349998,58.349998,2776700,DOCS,Doximity Inc,소프트웨어 및 IT서비스,,,,,,,,,
2021-06-29,59.799999,65.419998,54.150002,55.189999,55.189999,4220500,DOCS,Doximity Inc,소프트웨어 및 IT서비스,,,,,,,,,
2021-06-30,54.959999,59.66,54.959999,58.200001,58.200001,3630700,DOCS,Doximity Inc,소프트웨어 및 IT서비스,,,,,,,,,
2021-07-01,57.650002,61.09,52.580002,52.799999,52.799999,1871400,DOCS,Doximity Inc,소프트웨어 및 IT서비스,,,,,,,,,
2021-07-02,52.810001,53.099998,48.5,49.880001,49.880001,1202500,DOCS,Doximity Inc,소프트웨어 및 IT서비스,,,,,,,,,
2021-07-06,49.880001,50.009998,44.799999,46.82,46.82,1135400,DOCS,Doximity Inc,소프트웨어 및 IT서비스,,,,,,,,,
2021-07-07,47.189999,49.618999,47.105,49.16,49.16,899900,DOCS,Doximity Inc,소프트웨어 및 IT서비스,,,,,,,,,
2021-07-08,47.330002,48.990002,46.860001,48.32,48.32,723400,DOCS,Doximity Inc,소프트웨어 및 IT서비스,,,,,,,,,
2021-07-09,48.619999,53.990002,48.619999,52.740002,52.740002,1175100,DOCS,Doximity Inc,소프트웨어 및 IT서비스,,,,,,,,,
2021-07-12,52.290001,53.5,49.400002,51.080002,51.080002,816600,DOCS,Doximity Inc,소프트웨어 및 IT서비스,,,,,,,,,
2021-07-13,51.0,51.02,49.810001,50.240002,50.240002,465500,DOCS,Doximity Inc,소프트웨어 및 IT서비스,,,,,,,,,
2021-07-14,49.580002,50.490002,48.299999,49.759998,49.759998,940800,DOCS,Doximity Inc,소프트웨어 및 IT서비스,,,,,,,,,
2021-07-15,49.490002,53.419998,49.110001,52.91,52.91,1091700,DOCS,Doximity Inc,소프트웨어 및 IT서비스,,,,5.024213714285715,0.6269641737260025,,1.0910935577811738,,
2021-07-16,53.490002,54.400002,50.799999,54.349998,54.349998,633000,DOCS,Doximity Inc,소프트웨어 및 IT서비스,,,,4.718499500000001,0.30518133995775615,,1.2982834302396136,,
2021-07-19,52.970001,58.25,52.209999,56.700001,56.700001,966200,DOCS,Doximity Inc,소프트웨어 및 IT서비스,,,,4.754928214285714,0.4942247062615263,,2.2747830187735096,,
2021-07-20,56.700001,56.799999,53.650002,54.669998,54.669998,553000,DOCS,Doximity Inc,소프트웨어 및 IT서비스,,,,4.1749282857142855,-0.4862366155955871,,-1.9809065505891552,,
2021-07-21,54.650002,56.299999,53.950001,55.689999,55.689999,414300,DOCS,Doximity Inc,소프트웨어 및 IT서비스,,,,4.007070928571428,0.2545502732999148,,-0.5410504513055361,,
2021-07-22,56.98,62.73,56.810001,59.91,59.91,1315100,DOCS,Doximity Inc,소프트웨어 및 IT서비스,11.445393900680202,,,3.9020711428571424,1.081477206720035,,0.8841448151644203,,
2021-07-23,60.060001,62.830002,59.209999,60.970001,60.970001,1037600,DOCS,Doximity Inc,소프트웨어 및 IT서비스,11.64435568656974,,,3.832071499999999,0.2766130538013205,,-0.6990255144663955,,
2021-07-26,61.68,68.709999,61.68,66.5,66.5,1603400,DOCS,Doximity Inc,소프트웨어 및 IT서비스,20.52686902341183,,,4.012785714285713,1.3780947685078049,,1.137289882923867,,
2021-07-27,66.5,66.936996,56.130001,59.43,59.43,1878300,DOCS,Doximity Inc,소프트웨어 및 IT서비스,8.265095828042558,,,4.5847854285714265,-1.5420568988771504,,-1.0780069420684244,,
2021-07-28,60.259998,61.040001,56.139999,57.970001,57.970001,856300,DOCS,Doximity Inc,소프트웨어 및 IT서비스,5.492389485013094,,,4.770499928571426,-0.30604737907148605,,-0.2865417386680998,,
2021-07-29,57.810001,61.0,57.639999,59.860001,59.860001,585400,DOCS,Doximity Inc,소프트웨어 및 IT서비스,8.474269689456415,,,4.6054998571428545,0.4103789075291614,,-0.04667554895193099,,
2021-07-30,59.029999,63.349998,58.0,61.900002,61.900002,1022000,DOCS,Doximity Inc,소프트웨어 및 IT서비스,11.946564492381938,,,4.694785571428569,0.43452485080788367,,1.0173930623072431,,
2021-08-02,62.450001,63.939999,58.810001,59.0,59.0,613500,DOCS,Doximity Inc,소프트웨어 및 IT서비스,6.060951102808598,,,4.970499642857141,-0.5834427539226262,,-0.3898510578916109,,
2021-08-03,59.0,59.990002,53.509998,54.16,54.16,666600,DOCS,Doximity Inc,소프트웨어 및 IT서비스,-3.986658372269958,,,5.276928285714283,-0.9172002608227341,0.10193038373727295,-1.7497312338628301,0.06651419495613174,
2021-08-04,54.169998,56.759998,52.740002,56.549999,56.549999,588700,DOCS,Doximity Inc,소프트웨어 및 IT서비스,0.10283705124713993,,,5.256213928571426,0.45469971969911344,0.08962577987820944,0.9371919014619385,0.055521219504757795,
2021-08-05,56.549999,57.459999,54.59,56.810001,56.810001,518900,DOCS,Doximity Inc,소프트웨어 및 IT서비스,-0.6733394939710036,,,5.204070785714284,0.049961272762417575,0.07139577507854242,-0.6005017371582261,-0.08010629245223076,
2021-08-06,57.25,57.839001,52.16,52.360001,52.360001,523600,DOCS,Doximity Inc,소프트웨어 및 IT서비스,-8.511949753852887,,,5.1782850714285695,-0.8593578643541828,-0.0252886942511511,-1.0727535784764282,-0.3192160493986549,
2021-08-09,52.369999,54.450001,52.279999,53.549999,53.549999,404900,DOCS,Doximity Inc,소프트웨어 및 IT서비스,-6.501149138262319,,,5.108285428571427,0.2329544847561103,0.026082098631113,0.37093662139354266,-0.15122725139989074,
2021-08-10,53.23,55.349998,52.650002,52.93,52.93,559800,DOCS,Doximity Inc,소프트웨어 및 IT서비스,-7.829131169328152,,,5.133285285714284,-0.12078015646732726,-0.0007272177808328609,-0.27415159521898025,-0.13216304739370818,
2021-08-11,60.029999,70.669998,60.029999,70.410004,70.410004,4642900,DOCS,Doximity Inc,소프트웨어 및 IT서비스,20.37343687538733,,,5.897570785714286,2.9639328861201464,0.13373390217631795,2.7632386373894855,0.002057939908082166,
2021-08-12,71.0,83.93,70.169998,79.540001,79.540001,6258400,DOCS,Doximity Inc,소프트웨어 및 IT서비스,32.553750728600846,,,6.621856428571428,1.3787669815078836,0.21245918272678674,0.6873102916714724,0.10108192606078702,
2021-08-13,76.470001,80.0,73.330002,76.010002,76.010002,5487100,DOCS,Doximity Inc,소프트웨어 및 IT서비스,24.409043399787045,,,6.545427857142857,-0.5393076017403211,0.07550187056620632,-0.8156654934975061,-0.038414886540739615,
2021-08-16,75.610001,81.0,74.150002,80.0,80.0,3423200,DOCS,Doximity Inc,소프트웨어 및 IT서비스,28.463084605706833,,,6.262785214285715,0.6370964137327625,0.23115567860977151,0.1766314883833846,0.051202144205818166,
2021-08-17,78.5,84.870003,74.5,75.870003,75.870003,3267300,DOCS,Doximity Inc,소프트웨어 및 IT서비스,20.781438347399096,,,6.653499571428573,-0.6207255228113363,0.20867866834263937,0.5163105354181848,0.10854873521198136,
2021-08-18,77.18,80.685997,71.32,79.019997,79.019997,2150500,DOCS,Doximity Inc,소프트웨어 및 IT서비스,24.872176856705998,,,7.082499285714287,0.44475740454413926,0.21113427527228062,2.0504703387466843,0.2583448700475967,
2021-08-19,77.440002,77.599998,73.621002,74.309998,74.309998,1187000,DOCS,Doximity Inc,소프트웨어 및 IT서비스,16.01157851789243,,,7.085999071428573,-0.6646908858612721,0.13261886551019808,-0.8413494427588506,0.12557754825716147,
2021-08-20,74.800003,76.330002,72.513,76.209999,76.209999,1180800,DOCS,Doximity Inc,소프트웨어 및 IT서비스,16.67748000179654,,,6.992213642857144,0.27173097062629636,0.19370270297797829,-0.871124256023596,0.09120089124773394,
2021-08-23,78.790001,87.620003,78.054001,87.150002,87.150002,2440000,DOCS,Doximity Inc,소프트웨어 및 IT서비스,30.341110108416803,,,7.344356500000002,1.4895795159181069,0.36561554417375264,0.2762045713012702,0.23591059161659825,
2021-08-24,88.0,89.839996,84.279999,88.389999,88.389999,1470100,DOCS,Doximity Inc,소프트웨어 및 IT서비스,29.312488668916913,,,7.454356571428572,0.16634527582873143,0.345018798183011,-0.053235571795352044,0.1651657720982204,
2021-08-25,89.540001,95.970001,87.25,92.050003,92.050003,2362800,DOCS,Doximity Inc,소프트웨어 및 IT서비스,31.225146359685407,,,7.8722138571428575,0.4649269019386578,0.3746592002670282,0.12984878538140376,0.21733366656533679,
2021-08-26,87.669998,89.470001,80.07,80.260002,80.260002,3909400,DOCS,Doximity Inc,소프트웨어 및 IT서비스,13.484076025355574,,,8.32228542857143,-1.41667827920483,0.3348505992062677,-0.567123598068993,0.25345009373729643,
2021-08-27,82.150002,83.949997,75.900002,82.529999,82.529999,2887100,DOCS,Doximity Inc,소프트웨어 및 IT서비스,14.15311034794966,,,8.742284928571427,0.25965717413089884,0.33675793416160976,-0.9378608323699118,0.1599645613256211,
2021-08-30,83.0,84.440002,76.730003,82.75,82.75,1917300,DOCS,Doximity Inc,소프트웨어 및 IT서비스,12.27759880841015,,,9.100142285714286,0.02417555606194877,0.3471119136279866,-0.5505245856738237,0.14022363343598945,
2021-08-31,80.690002,92.419998,80.690002,92.0,92.0,2663900,DOCS,Doximity Inc,소프트웨어 및 IT서비스,21.962717000539335,,,8.67085642857143,1.066791968728744,0.21160184810002927,1.2466260889097254,0.03189416568743516,
2021-09-01,90.75,92.959999,88.519997,91.0,91.0,1553600,DOCS,Doximity Inc,소프트웨어 및 IT서비스,18.027134222549822,,,8.005142142857142,-0.12491970562849826,0.10419565616171629,-0.16736774134095067,-0.02915426524202363,
2021-09-02,91.629997,99.400002,91.040001,98.209999,98.209999,2844500,DOCS,Doximity Inc,소프트웨어 및 IT서비스,23.81349361471581,,,8.128713857142857,0.8869790629503376,0.20607327506819192,0.5112119679587809,0.0656226962905683,64.46900022
2021-09-03,98.209999,104.980003,95.260002,99.160004,99.160004,2779600,DOCS,Doximity Inc,소프트웨어 및 IT서비스,21.555400850682503,,,8.33371407142857,0.11399539171340373,0.16870891635252344,0.1605920897142875,0.06447702495706135,65.3922003
2021-09-07,99.099998,107.699997,97.599998,98.25,98.25,2011900,DOCS,Doximity Inc,소프트웨어 및 IT서비스,17.69143302416827,,,8.314428071428571,-0.1094487789397215,0.20522868377192446,0.4072924273512647,0.05669001723799564,66.2376003
2021-09-08,99.199997,103.086998,92.32,93.75,93.75,2043900,DOCS,Doximity Inc,소프트웨어 및 IT서비스,9.821476526261774,,,8.41449957142857,-0.5347911615896622,0.1352609290480815,-0.3199351603166423,-0.11262466126652769,66.94560034
2021-09-09,93.0,103.709999,92.410004,101.290001,101.290001,1926000,DOCS,Doximity Inc,소프트웨어 및 IT서비스,17.13030284306216,,,8.83599957142857,0.8533274519818663,0.2436908103225914,1.6288668612643802,0.06381936044941737,67.86760038
2021-09-10,103.050003,107.790001,100.75,102.019997,102.019997,2111100,DOCS,Doximity Inc,소프트웨어 및 IT서비스,17.352679450286736,,,9.066213785714286,0.08051828660275595,0.2300327614637671,1.2963437770008275,0.21863850566544762,68.7440003
2021-09-13,105.709999,105.900002,92.18,94.959999,94.959999,2745600,DOCS,Doximity Inc,소프트웨어 및 IT서비스,7.811922485633804,,,9.231213642857142,-0.7647962958221467,0.06900591776803469,-1.121254265955024,0.11882001728999804,69.5872003
2021-09-14,95.779999,103.339996,95.209999,101.449997,101.449997,2217200,DOCS,Doximity Inc,소프트웨어 및 IT서비스,14.402169280699884,,,9.432642214285712,0.6880360616425072,0.10626954532616152,1.513422862760733,0.23072419118686124,70.61860022
2021-09-15,101.0,101.0,93.550003,94.290001,94.290001,2804100,DOCS,Doximity Inc,소프트웨어 및 IT서비스,4.391986044977458,,,9.374070285714286,-0.763808653207086,0.0185027199586084,-1.8900283462755292,0.08644725321136602,71.56800024
2021-09-16,96.0,99.019997,95.0,95.480003,95.480003,2064100,DOCS,Doximity Inc,소프트웨어 및 IT서비스,4.9923691075903776,,,8.856212642857141,0.13436917653053113,0.12929182393970562,0.3358652518180976,0.15094645677472965,72.4944003
2021-09-17,96.160004,101.489998,93.25,95.669998,95.669998,5270600,DOCS,Doximity Inc,소프트웨어 및 IT서비스,4.951403979871549,,,8.869784285714285,0.021420475840209233,0.11227491691894208,1.1966304093818558,0.3034101168998559,73.44140026
2021-09-20,91.010002,91.800003,83.0,85.660004,85.660004,3559700,DOCS,Doximity Inc,소프트웨어 및 IT서비스,-4.984159767390606,,,9.224069928571428,-1.0852036115851842,0.03303354780128972,0.7169689955677805,0.39394537270282765,74.0998003
2021-09-21,88.019997,89.900002,85.5,87.050003,87.050003,2558100,DOCS,Doximity Inc,소프트웨어 및 IT서비스,-3.489113669635935,,,8.700498928571427,0.15976083801762309,-0.03175439010664748,0.24021996912722898,0.3220592212897922,74.81920032
2021-09-22,87.419998,87.959999,83.550003,84.290001,84.290001,1790200,DOCS,Doximity Inc,소프트웨어 및 IT서비스,-7.312477322729849,,,8.698355642857141,-0.3173015812783466,-0.045495952653065226,-1.1919866882155452,0.2488721536558926,75.5002003
2021-09-23,85.68,90.980003,83.800003,88.089996,88.089996,1823500,DOCS,Doximity Inc,소프트웨어 및 IT서비스,-4.1393705823276505,,,8.611212642857142,0.44128453884506363,-0.07733127580344193,-0.6083560875674432,0.16890300683259082,76.26680026
2021-09-24,87.0,88.980003,85.0,86.089996,86.089996,1126500,DOCS,Doximity Inc,소프트웨어 및 IT서비스,-6.761011570515041,,,8.201212785714285,-0.24386637101817496,-0.10289283028426899,-0.36953248566352015,0.13103696573417603,76.93040017999999
2021-09-27,86.089996,89.300003,83.709999,87.559998,87.559998,1517300,DOCS,Doximity Inc,소프트웨어 및 IT서비스,-5.226197803965437,,,7.879070285714285,0.18657048949865146,-0.08174859682438519,0.42616187646483306,0.13238478352800234,77.59460018
2021-09-28,85.139999,87.0,79.5,80.410004,80.410004,2189300,DOCS,Doximity Inc,소프트웨어 및 IT서비스,-11.199141539172864,,,7.685713142857141,-0.930296755434461,-0.10999899638472797,0.6695801447514729,0.20306444817572483,78.06880024
2021-09-29,81.470001,85.449997,81.470001,82.019997,82.019997,2100100,DOCS,Doximity Inc,소프트웨어 및 IT서비스,-9.229783632181931,,,7.238570142857141,0.2224186501236999,-0.15506391080316842,0.10089791785346872,0.09392380936065974,78.61580022
2021-09-30,82.309998,84.230003,80.610001,80.699997,80.699997,1273300,DOCS,Doximity Inc,소프트웨어 및 IT서비스,-9.31225329857427,,,6.994284499999998,-0.18872552296092726,-0.17429561148628864,0.7194529478104453,0.052717321561346724,79.11600018
2021-10-01,81.0,82.830002,77.400002,79.389999,79.389999,1803500,DOCS,Doximity Inc,소프트웨어 및 IT서비스,-11.0605465056281,,,6.402141499999998,-0.20461872015793364,-0.13428292751027343,-1.0298643309355335,0.059245174062738895,79.50560016
2021-10-04,78.0,78.489998,74.019997,75.010002,75.010002,1398800,DOCS,Doximity Inc,소프트웨어 및 IT서비스,-13.933138109505915,,,6.187141857142855,-0.7079192785831213,-0.23399402324067545,0.20505191955846258,-0.03420989330885184,79.78640018
2021-10-05,75.349998,78.18,74.800003,78.150002,78.150002,1277400,DOCS,Doximity Inc,소프트웨어 및 IT서비스,-10.4347899910601,,,5.864284928571427,0.5354446515212081,-0.14119021576008303,-0.17819835711074217,0.0880636773457758,80.01940022
2021-10-06,76.379997,86.525002,75.989998,86.150002,86.150002,3119200,DOCS,Doximity Inc,소프트웨어 및 IT서비스,-1.4179717227131738,,,6.278928357142855,1.2741027680144286,-0.05978067351123321,1.0030507837763145,0.13571978677136273,80.55380026
2021-10-07,87.0,91.25,79.68,80.220001,80.220001,3749200,DOCS,Doximity Inc,소프트웨어 및 IT서비스,-7.968960135669423,,,6.516785642857141,-0.9099579647060673,-0.1263077049788244,-1.4484879346323059,-0.05321723780107739,80.99880026
2021-10-08,80.5,81.300003,74.279999,76.5,76.5,3507100,DOCS,Doximity Inc,소프트웨어 및 IT서비스,-10.83953594892202,,,6.11321464285714,-0.6085179757832575,-0.09225873099297248,-0.4681958119424976,-0.1378718669089544,81.33160024
2021-10-11,74.839996,76.230003,70.279999,70.379997,70.379997,2229300,DOCS,Doximity Inc,소프트웨어 및 IT서비스,-16.31046899763402,,,6.2432145714285685,-0.980264722601008,-0.17368912818001755,-0.48276441920852337,-0.18951360893293673,81.50120014
2021-10-12,71.169998,76.099998,69.511002,75.25,75.25,2750900,DOCS,Doximity Inc,소프트웨어 및 IT서비스,-8.99612219668552,,,6.398857428571426,0.761073840816492,-0.09666231231610052,0.9413160484608019,-0.03713484202748334,81.82620014
2021-10-13,75.889999,78.379997,73.75,77.849998,77.849998,1607900,DOCS,Doximity Inc,소프트웨어 및 IT서비스,-5.337706108709761,,,6.216714357142855,0.4182270329040716,-0.09830927702617138,0.18574098281402693,0.019586377285478813,82.30000009999999
2021-10-14,79.010002,80.620003,73.519997,75.629997,75.629997,1818100,DOCS,Doximity Inc,소프트웨어 및 IT서비스,-8.536089633603993,,,6.439571714285712,-0.34474357899844316,-0.10551479188190482,-1.5932492632438173,-0.06782196397025671,82.68160006
2021-10-15,76.0,76.029999,69.350998,69.879997,69.879997,2456100,DOCS,Doximity Inc,소프트웨어 및 IT서비스,-14.75378074910375,,,6.5173572142857115,-0.8822594513304098,-0.1818597876554092,-1.4267097313926962,-0.20016993596008023,82.94299998000001
2021-10-18,70.0,72.559998,68.889999,70.57,70.57,2388900,DOCS,Doximity Inc,소프트웨어 및 IT서비스,-13.272628425980148,,,6.203785857142854,0.11122289129395742,-0.10746552717480788,-0.15420975419322996,-0.2590120715989876,83.30719995999999
2021-10-19,72.0,73.879997,69.699997,71.5,71.5,1586600,DOCS,Doximity Inc,소프트웨어 및 IT서비스,-11.759603671353847,,,6.1423577857142835,0.15140765687127078,-0.11253774097855283,-0.43132413667017566,-0.2970279326363907,83.66619998
2021-10-20,71.339996,74.379997,69.110001,72.68,72.68,1928800,DOCS,Doximity Inc,소프트웨어 및 IT서비스,-9.837803762071996,,,6.260214499999998,0.1884919438463342,-0.08559363620660558,-0.12403334637954097,-0.3572769536499612,84.06119998
2021-10-21,73.290001,75.860001,67.339996,67.870003,67.870003,2772200,DOCS,Doximity Inc,소프트웨어 및 IT서비스,-14.886929584468678,,,6.480929142857142,-0.7421770696723748,-0.12399066117192281,-1.0220871653898098,-0.3567214418252666,84.01039996000002
2021-10-22,67.339996,67.839996,63.889999,64.75,64.75,2494900,DOCS,Doximity Inc,소프트웨어 및 IT서비스,-17.518100243549096,,,6.38164357142857,-0.4889027356477017,-0.1083466223908214,-0.3816997274641998,-0.39863227375545673,83.71459994000001
2021-10-25,65.470001,66.0,63.169998,65.019997,65.019997,1980000,DOCS,Doximity Inc,소프트웨어 및 IT서비스,-16.23968072405473,,,6.342358214285712,0.04257044318182068,-0.14355192298649191,-0.4578201679825957,-0.41860526024630346,83.49479984
2021-10-26,66.25,67.489998,63.400002,66.470001,66.470001,2526400,DOCS,Doximity Inc,소프트웨어 및 IT서비스,-13.5240558472698,,,5.8820004999999975,0.246515449973184,-0.21695101713229512,0.03903840782078821,-0.4874632871002697,83.22419986000001
2021-10-27,66.379997,68.760002,64.510002,67.099998,67.099998,2110400,DOCS,Doximity Inc,소프트웨어 및 IT서비스,-11.184876531773625,,,5.359143357142855,0.11755554162594303,-0.14355719525143723,0.7312120018054654,-0.3317704344975717,83.04879976000001
2021-10-28,67.300003,70.139999,65.683998,69.209999,69.209999,2075500,DOCS,Doximity Inc,소프트웨어 및 IT서비스,-8.267577634351786,,,5.176000285714285,0.4076508662148997,-0.07097370653728316,-0.7367976457544163,-0.35095627976985166,82.85259980000001
2021-10-29,69.550003,71.489998,68.139999,69.480003,69.480003,2329900,DOCS,Doximity Inc,소프트웨어 및 IT서비스,-7.202881524597704,,,4.971000142857142,0.05431583026364833,0.0029249043816208754,-0.18125122082873604,-0.3294196227427239,82.7559999
2021-11-01,69.0,74.389999,68.959999,73.730003,73.730003,1853600,DOCS,Doximity Inc,소프트웨어 및 IT서비스,-1.25971411975766,,,4.888214714285714,0.8694380767643975,0.010665206949328416,0.6483617329607908,-0.35034493099272473,82.70639998
