Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,9.13,9.35,8.82,9.12,8.345069,652800,DRD,DRDGOLD Ltd ADR,메탈&마이닝,,,
2021-03-05,9.19,9.2,8.82,9.17,8.390821,312400,DRD,DRDGOLD Ltd ADR,메탈&마이닝,,,
2021-03-08,9.0,9.14,8.73,8.84,8.088861,229100,DRD,DRDGOLD Ltd ADR,메탈&마이닝,,,
2021-03-09,9.46,9.62,9.27,9.53,8.720231,452400,DRD,DRDGOLD Ltd ADR,메탈&마이닝,,,
2021-03-10,9.71,9.72,9.5,9.67,8.848336,218200,DRD,DRDGOLD Ltd ADR,메탈&마이닝,,,
2021-03-11,9.77,9.94,9.61,9.9,9.058792,267700,DRD,DRDGOLD Ltd ADR,메탈&마이닝,,,
2021-03-12,9.45,9.67,9.35,9.58,8.765984,297300,DRD,DRDGOLD Ltd ADR,메탈&마이닝,,,
2021-03-15,9.7,10.08,9.64,9.81,8.97644,346800,DRD,DRDGOLD Ltd ADR,메탈&마이닝,,,
2021-03-16,9.98,10.0,9.69,9.79,8.958139,208400,DRD,DRDGOLD Ltd ADR,메탈&마이닝,,,
2021-03-17,9.65,10.02,9.46,9.95,9.104544,268400,DRD,DRDGOLD Ltd ADR,메탈&마이닝,,,
2021-03-18,9.93,10.04,9.8,9.89,9.049643,312700,DRD,DRDGOLD Ltd ADR,메탈&마이닝,,,
2021-03-19,9.71,10.0,9.66,9.86,9.022191,673600,DRD,DRDGOLD Ltd ADR,메탈&마이닝,,,
2021-03-22,10.01,10.01,9.71,9.72,8.894088,134600,DRD,DRDGOLD Ltd ADR,메탈&마이닝,,,
2021-03-23,9.55,9.55,9.27,9.34,8.546376,171700,DRD,DRDGOLD Ltd ADR,메탈&마이닝,,,
2021-03-24,9.25,9.26,8.97,8.98,8.216965,289200,DRD,DRDGOLD Ltd ADR,메탈&마이닝,,,
2021-03-25,8.94,9.18,8.85,9.01,8.244416,227300,DRD,DRDGOLD Ltd ADR,메탈&마이닝,,,
2021-03-26,9.0,9.36,9.0,9.36,8.564676,144500,DRD,DRDGOLD Ltd ADR,메탈&마이닝,,,
2021-03-29,9.24,9.48,9.03,9.48,8.674479,267600,DRD,DRDGOLD Ltd ADR,메탈&마이닝,,,
2021-03-30,9.21,9.3,9.06,9.06,8.290168,200900,DRD,DRDGOLD Ltd ADR,메탈&마이닝,,,
2021-03-31,9.08,9.54,9.06,9.46,8.656179,308500,DRD,DRDGOLD Ltd ADR,메탈&마이닝,-1.5537755643350692,,
2021-04-01,9.72,9.83,9.65,9.76,8.930689,217300,DRD,DRDGOLD Ltd ADR,메탈&마이닝,0.3648650389251884,,
2021-04-05,9.82,10.03,9.68,9.83,8.99474,245500,DRD,DRDGOLD Ltd ADR,메탈&마이닝,-0.40287290826819255,,
2021-04-06,9.96,10.14,9.91,10.02,9.168596,182500,DRD,DRDGOLD Ltd ADR,메탈&마이닝,1.315093746539242,,
2021-04-07,9.85,9.89,9.56,9.69,8.866635,214100,DRD,DRDGOLD Ltd ADR,메탈&마이닝,-1.9963091431034474,,
2021-04-08,9.78,10.06,9.78,10.05,9.196047,223100,DRD,DRDGOLD Ltd ADR,메탈&마이닝,1.274601872690173,,
2021-04-09,9.89,10.12,9.85,10.1,9.241799,186900,DRD,DRDGOLD Ltd ADR,메탈&마이닝,1.1383885602952892,,
2021-04-12,10.1,10.1,9.65,9.73,8.903237,167200,DRD,DRDGOLD Ltd ADR,메탈&마이닝,-2.4016343217271863,,
2021-04-13,9.7,9.96,9.7,9.79,8.958139,142900,DRD,DRDGOLD Ltd ADR,메탈&마이닝,-1.903183582631196,,
2021-04-14,9.86,9.86,9.59,9.6,8.784284,132600,DRD,DRDGOLD Ltd ADR,메탈&마이닝,-3.1245961224137586,,
2021-04-15,9.78,10.16,9.75,10.08,9.223498,226200,DRD,DRDGOLD Ltd ADR,메탈&마이닝,0.7848649603462432,,
2021-04-16,10.25,10.57,10.1,10.49,9.59866,425700,DRD,DRDGOLD Ltd ADR,메탈&마이닝,4.549814624888171,,
2021-04-19,10.59,10.64,10.39,10.47,9.580359,171700,DRD,DRDGOLD Ltd ADR,메탈&마이닝,4.917868548959192,,
2021-04-20,10.48,10.78,10.37,10.74,9.827416,215000,DRD,DRDGOLD Ltd ADR,메탈&마이닝,8.065870419704435,,
2021-04-21,10.75,11.04,10.67,10.92,9.992123,299400,DRD,DRDGOLD Ltd ADR,메탈&마이닝,8.349734484267323,,
2021-04-22,10.84,10.9,10.56,10.66,9.754215,193400,DRD,DRDGOLD Ltd ADR,메탈&마이닝,6.161947882738028,,
2021-04-23,10.83,10.88,10.52,10.59,9.690164,198600,DRD,DRDGOLD Ltd ADR,메탈&마이닝,3.835611606957423,,
2021-04-26,10.69,10.71,10.47,10.68,9.772516,129300,DRD,DRDGOLD Ltd ADR,메탈&마이닝,4.114876099600129,,
2021-04-27,10.64,10.71,10.23,10.26,9.388204,204100,DRD,DRDGOLD Ltd ADR,메탈&마이닝,-0.08722937681404641,,
2021-04-28,10.13,10.59,10.06,10.57,9.671862,221600,DRD,DRDGOLD Ltd ADR,메탈&마이닝,2.5211373757871414,,
2021-04-29,10.35,10.35,10.06,10.24,9.369903,170500,DRD,DRDGOLD Ltd ADR,메탈&마이닝,-1.4473891150106333,,
2021-04-30,10.06,10.15,9.9,9.91,9.067943,242500,DRD,DRDGOLD Ltd ADR,메탈&마이닝,-3.8195783879161227,,
2021-05-03,10.05,10.47,10.05,10.31,9.433955,180200,DRD,DRDGOLD Ltd ADR,메탈&마이닝,-0.30977262485809565,,
2021-05-04,10.33,10.46,10.03,10.13,9.26925,132200,DRD,DRDGOLD Ltd ADR,메탈&마이닝,-1.3373772662394146,,
2021-05-05,9.95,9.98,9.75,9.85,9.013042,204100,DRD,DRDGOLD Ltd ADR,메탈&마이닝,-4.109450579879937,,
2021-05-06,9.95,10.78,9.94,10.58,9.681012,449500,DRD,DRDGOLD Ltd ADR,메탈&마이닝,2.0280802586783997,,
2021-05-07,10.97,11.11,10.7,10.9,9.973822,436800,DRD,DRDGOLD Ltd ADR,메탈&마이닝,4.07260349234051,,
2021-05-10,11.17,11.18,10.52,10.57,9.671862,387300,DRD,DRDGOLD Ltd ADR,메탈&마이닝,1.6440252426053847,,
2021-05-11,10.39,10.84,10.32,10.73,9.818267,377900,DRD,DRDGOLD Ltd ADR,메탈&마이닝,3.6254954647537696,,
2021-05-12,10.74,10.83,10.46,10.5,9.60781,198200,DRD,DRDGOLD Ltd ADR,메탈&마이닝,3.0961671809893287,,
2021-05-13,10.53,10.69,10.34,10.52,9.62611,187200,DRD,DRDGOLD Ltd ADR,메탈&마이닝,1.7639918626408013,,
2021-05-14,10.97,11.4,10.97,11.38,10.413036,380800,DRD,DRDGOLD Ltd ADR,메탈&마이닝,7.992001230710755,,
2021-05-17,11.62,12.26,11.6,12.2,11.16336,594600,DRD,DRDGOLD Ltd ADR,메탈&마이닝,15.119834754961081,,
2021-05-18,12.32,12.59,11.76,12.22,11.181661,391400,DRD,DRDGOLD Ltd ADR,메탈&마이닝,15.475705342605895,,
2021-05-19,12.22,12.7,12.07,12.25,11.209112,358400,DRD,DRDGOLD Ltd ADR,메탈&마이닝,15.291748082076296,,
2021-05-20,12.18,12.45,12.12,12.43,11.373817,266200,DRD,DRDGOLD Ltd ADR,메탈&마이닝,14.85062849781411,,
2021-05-21,12.5,12.55,12.03,12.24,11.199961,249800,DRD,DRDGOLD Ltd ADR,메탈&마이닝,12.295136373427628,,
2021-05-24,12.5,12.72,12.47,12.62,11.547672,230400,DRD,DRDGOLD Ltd ADR,메탈&마이닝,13.656035056143946,,
2021-05-25,12.4,12.55,12.03,12.47,11.410419,220000,DRD,DRDGOLD Ltd ADR,메탈&마이닝,11.434734885244646,,
2021-05-26,12.49,12.6,12.26,12.38,11.328065,189100,DRD,DRDGOLD Ltd ADR,메탈&마이닝,9.55470481500782,,
2021-05-27,12.23,12.34,12.08,12.34,11.291465,193100,DRD,DRDGOLD Ltd ADR,메탈&마이닝,8.058440881373862,,
2021-05-28,12.15,12.75,12.07,12.74,11.657476,303900,DRD,DRDGOLD Ltd ADR,메탈&마이닝,10.137981996130051,,
2021-06-01,12.87,12.99,12.56,12.75,11.666627,271700,DRD,DRDGOLD Ltd ADR,메탈&마이닝,9.137971686791268,,
2021-06-02,12.91,13.16,12.78,13.07,11.959435,316200,DRD,DRDGOLD Ltd ADR,메탈&마이닝,10.378460837828673,,
2021-06-03,12.55,12.77,12.16,12.56,11.492771,369800,DRD,DRDGOLD Ltd ADR,메탈&마이닝,5.275285341133951,,
2021-06-04,12.67,13.18,12.66,13.16,12.041789,417600,DRD,DRDGOLD Ltd ADR,메탈&마이닝,8.2106700309849,,
2021-06-07,12.89,12.99,12.74,12.91,11.813031,220600,DRD,DRDGOLD Ltd ADR,메탈&마이닝,5.361472136671486,,
2021-06-08,13.0,13.0,12.56,12.64,11.565974,185100,DRD,DRDGOLD Ltd ADR,메탈&마이닝,2.316688942020151,,
2021-06-09,12.74,12.8,12.5,12.51,11.44702,131200,DRD,DRDGOLD Ltd ADR,메탈&마이닝,0.7931813054602888,,
2021-06-10,12.55,12.96,12.41,12.94,11.840482,312700,DRD,DRDGOLD Ltd ADR,메탈&마이닝,2.9555094414617455,,
2021-06-11,12.77,12.81,12.56,12.6,11.529372,271200,DRD,DRDGOLD Ltd ADR,메탈&마이닝,-0.6290772551588053,,
2021-06-14,12.05,12.33,11.67,12.21,11.172511,381800,DRD,DRDGOLD Ltd ADR,메탈&마이닝,-4.108933470420717,,
2021-06-15,11.95,12.1,11.78,11.84,10.83395,273800,DRD,DRDGOLD Ltd ADR,메탈&마이닝,-6.605296136344474,,
2021-06-16,11.84,11.96,11.25,11.54,10.559442,341900,DRD,DRDGOLD Ltd ADR,메탈&마이닝,-8.127273707541393,,
2021-06-17,10.94,11.16,10.71,10.96,10.028724,495300,DRD,DRDGOLD Ltd ADR,메탈&마이닝,-12.144854335216582,,
2021-06-18,10.73,10.86,10.62,10.67,9.763365,749600,DRD,DRDGOLD Ltd ADR,메탈&마이닝,-12.700242651225935,,
2021-06-21,10.71,10.95,10.52,10.84,9.918921,322000,DRD,DRDGOLD Ltd ADR,메탈&마이닝,-11.964717513432099,,
2021-06-22,10.63,10.72,10.45,10.65,9.745064,230100,DRD,DRDGOLD Ltd ADR,메탈&마이닝,-13.205895070244654,,
2021-06-23,10.87,11.05,10.58,10.62,9.717613,231100,DRD,DRDGOLD Ltd ADR,메탈&마이닝,-12.640265106319791,,
2021-06-24,10.75,10.86,10.62,10.65,9.745064,145700,DRD,DRDGOLD Ltd ADR,메탈&마이닝,-12.203870008981344,,
2021-06-25,10.86,10.88,10.63,10.75,9.836568,191700,DRD,DRDGOLD Ltd ADR,메탈&마이닝,-11.006641399352358,,
2021-06-28,10.72,10.73,10.43,10.51,9.616961,246000,DRD,DRDGOLD Ltd ADR,메탈&마이닝,-12.291759048243833,,
2021-06-29,10.42,10.57,10.35,10.41,9.525457,288000,DRD,DRDGOLD Ltd ADR,메탈&마이닝,-12.193513408907563,,
2021-06-30,10.54,10.93,10.47,10.87,9.946371,319300,DRD,DRDGOLD Ltd ADR,메탈&마이닝,-7.469532979820892,,
2021-07-01,11.02,11.12,10.53,10.68,9.772516,200700,DRD,DRDGOLD Ltd ADR,메탈&마이닝,-8.685072611198752,,
2021-07-02,10.75,10.8,10.46,10.65,9.745064,132500,DRD,DRDGOLD Ltd ADR,메탈&마이닝,-8.496969576726677,,
2021-07-06,10.95,10.97,10.52,10.72,9.809116,186800,DRD,DRDGOLD Ltd ADR,메탈&마이닝,-6.685679245421339,,
2021-07-07,10.87,10.9,10.69,10.79,9.873169,110900,DRD,DRDGOLD Ltd ADR,메탈&마이닝,-5.471746652615018,,
2021-07-08,10.67,10.67,10.26,10.31,9.433955,256400,DRD,DRDGOLD Ltd ADR,메탈&마이닝,-7.879345986212217,,
2021-07-09,10.25,10.53,10.19,10.38,9.498007,223200,DRD,DRDGOLD Ltd ADR,메탈&마이닝,-7.073910315579979,,
2021-07-12,10.28,10.48,10.06,10.18,9.315001,234300,DRD,DRDGOLD Ltd ADR,메탈&마이닝,-8.017887293106263,,
2021-07-13,10.11,10.44,10.04,10.14,9.278399,258400,DRD,DRDGOLD Ltd ADR,메탈&마이닝,-7.045670165155515,,
2021-07-14,10.44,10.6,10.26,10.54,9.644411,176700,DRD,DRDGOLD Ltd ADR,메탈&마이닝,-2.753954631905131,,
