Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS
2018-03-06,14.5,14.5,13.75,13.75,13.75,2900,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,,,,,,,,
2018-03-07,14.25,15.15,14.0,14.5,14.5,14840,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,,,,,,,,
2018-03-08,14.75,15.25,14.0,15.25,15.25,7260,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,,,,,,,,
2018-03-09,15.25,15.25,14.75,14.8,14.8,840,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,,,,,,,,
2018-03-12,15.0,15.25,15.0,15.1,15.1,1080,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,,,,,,,,
2018-03-13,15.0,15.1,15.0,15.1,15.1,300,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,,,,,,,,
2018-03-14,15.25,15.25,14.85,14.85,14.85,900,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,,,,,,,,
2018-03-15,14.5,14.6,14.25,14.35,14.35,900,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,,,,,,,,
2018-03-16,16.0,16.0,15.0,15.0,15.0,180,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,,,,,,,,
2018-03-19,15.5,15.5,14.55,14.55,14.55,180,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,,,,,,,,
2018-03-20,14.75,16.25,14.75,15.5,15.5,3020,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,,,,,,,,
2018-03-21,15.5,15.75,14.55,15.5,15.5,7320,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,,,,,,,,
2018-03-22,14.6,14.6,14.6,14.6,14.6,160,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,,,,,,,,
2018-03-23,14.95,15.25,14.95,15.25,15.25,280,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,,,,,,,,
2018-03-26,14.75,15.0,14.75,15.0,15.0,820,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,,,,0.8749999999999999,-0.28571428571428575,,-2.107474559760076,
2018-03-27,14.5,14.55,14.0,14.15,14.15,3240,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,,,,0.8464285714285713,-1.0042194092827001,,0.08569886262499771,
2018-03-28,14.0,14.35,14.0,14.25,14.25,3580,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,,,,0.7821428571428569,0.1278538812785384,,0.30223873727369127,
2018-03-29,14.5,15.0,14.5,15.0,15.0,260,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,,,,0.7999999999999998,0.9375000000000002,,0.12521031027069918,
2018-04-02,15.0,15.0,14.25,14.25,14.25,560,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,,,,0.8214285714285713,-0.9130434782608697,,0.28807272492804803,
2018-04-03,14.75,15.0,14.25,14.25,14.25,140,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,-0.5152280658837882,,,0.8678571428571428,0.0,,-0.6627536059212085,
2018-04-04,14.5,14.6,14.5,14.5,14.5,540,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,-0.32994945476340076,,,0.8642857142857141,0.2892561983471075,,-0.28947622030546016,
2018-04-05,14.5,14.5,14.5,14.5,14.5,380,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,-1.1241005821297723,,,0.8214285714285713,0.0,,-0.34461075905486704,
2018-04-06,14.75,14.8,14.55,14.55,14.55,240,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,1.4231734954429198,,,0.7249999999999999,0.06896551724138031,,1.0911968858795567,
2018-04-09,14.75,15.1,14.75,14.75,14.75,1160,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,2.1662700527528056,,,0.6964285714285713,0.2871794871794862,,0.1333887970750032,
2018-04-10,15.0,15.0,14.85,14.85,14.85,160,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,1.017217208980714,,,0.5928571428571427,0.16867469879518016,,-0.5693261385039288,
2018-04-11,14.75,14.8,14.75,14.8,14.8,120,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,1.1077180784141216,,,0.5142857142857142,-0.09722222222222016,,0.1527990175281697,
2018-04-12,14.8,14.8,14.8,14.8,14.8,0,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,0.1406449367073792,,,0.4499999999999999,0.0,,-0.38918224277530467,
2018-04-13,15.0,15.0,14.5,14.75,14.75,520,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,-0.20517393147548857,,,0.43928571428571417,-0.11382113821138376,-0.03818505363212621,0.030177516777894764,-0.15386004814019888
2018-04-16,15.0,15.0,15.0,15.0,15.0,360,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,0.5335450186656043,,,0.4214285714285713,0.593220338983051,0.024595990989112134,0.16531099134894062,0.008481776939016574
2018-04-17,14.75,14.75,14.25,14.5,14.5,1000,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,-3.8379783456420014,,,0.40357142857142847,-1.2389380530973455,0.007830373573780327,-1.8431027354692837,-0.12928976578200352
2018-04-18,14.5,14.5,14.5,14.5,14.5,0,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,-3.6136340503218345,,,0.3785714285714285,0.0,-0.0013020465175438442,-0.04954073910492361,-0.15441687123761885
2018-04-19,14.25,14.55,14.25,14.3,14.3,660,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,-4.045214504204619,,,0.3464285714285714,-0.5773195876288639,-0.10950344563389128,-0.22048067124938625,-0.1791090842033393
2018-04-20,15.25,15.25,14.55,14.75,14.75,160,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,-0.17481292874833576,,,0.36071428571428565,1.2475247524752457,0.04482285656154554,1.8276928362153018,-0.06913621911139257
2018-04-23,14.25,14.25,14.25,14.25,14.25,80,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,-3.077674425903032,,,0.3428571428571428,-1.4583333333333335,-0.05934381010512114,-1.4622551286623087,-0.12624347073575687
2018-04-24,14.25,14.25,14.25,14.25,14.25,0,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,-1.5546426803983326,,,0.3178571428571428,0.0,-0.08000496712991453,0.9510419122287359,-0.03763503269760001
2018-04-25,14.35,14.35,14.25,14.25,14.25,920,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,-1.7198988704242302,,,0.3249999999999999,0.0,-0.08000496712991453,-0.1275536524612685,-0.022130953655200118
2018-04-26,14.25,14.25,14.25,14.25,14.25,0,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,-2.6221808668888236,,,0.30357142857142844,0.0,-0.08493107550429883,-0.7841055410257932,-0.15608112700558224
2018-04-27,14.9,14.9,14.9,14.9,14.9,40,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,1.7984024701352963,,,0.31071428571428567,2.0919540229885074,0.04398139133920268,2.001755806980865,-0.022626340583734996
2018-04-30,14.9,14.9,14.9,14.9,14.9,0,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,2.5381773051357914,,,0.2928571428571428,0.0,0.03193319856811838,0.6900205157480281,0.06732699186283335
2018-05-01,14.75,14.75,14.75,14.75,14.75,460,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,1.1505978603030265,,,0.29642857142857143,-0.5060240963855434,0.002733064699309578,-0.7154653810406709,0.00530810625077331
2018-05-02,14.75,14.75,14.75,14.75,14.75,0,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,1.779502143590106,,,0.29642857142857143,0.0,0.002733064699309582,0.5980292804061811,0.07582321504945086
2018-05-03,14.75,14.75,14.25,14.25,14.25,440,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,-1.4247873703707281,,,0.29642857142857143,-1.6867469879518073,-0.10961878171072068,-1.5040399323023865,-0.03376374559914067
2018-05-04,14.3,15.75,14.25,15.75,15.75,12320,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,7.254500837092914,,,0.38571428571428573,3.888888888888889,0.12578611471112486,2.9074317050426495,0.16210201966469567
2018-05-07,16.25,16.25,14.25,14.5,14.5,10000,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,-1.402085348083304,,,0.47500000000000003,-2.631578947368421,0.026311765120333792,-2.90886780296234,0.08597594341519166
2018-05-08,16.0,16.0,14.25,14.75,14.75,920,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,0.38738690582948987,,,0.6,0.4166666666666667,0.05607366988223856,0.4377123239784581,0.12077973363543322
2018-05-09,16.0,16.0,14.75,14.75,14.75,480,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,-0.45400138967751635,,,0.6678571428571428,0.0,0.09731078328430028,-0.7626632673829051,0.08205240534018186
2018-05-10,15.75,15.75,14.55,15.0,15.0,480,DYNT,Dynatronics Corp,헬스케어 장비 및 용품,0.33641608104590937,,,0.6857142857142857,0.3645833333333333,0.034243539059877946,-0.3886297353870541,-0.07625634977427212
