Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-11-11,24.889999,25.440001,24.85,24.98,23.357105,164300,EFSCP,Enterprise Finl Svcs DRC Rep Non Cum Perp Pfd Series A,은행,,,
2021-11-12,25.200001,25.219999,24.99,25.049999,23.422558,96900,EFSCP,Enterprise Finl Svcs DRC Rep Non Cum Perp Pfd Series A,은행,,,
2021-11-15,25.200001,25.200001,24.85,25.1,23.469311,86400,EFSCP,Enterprise Finl Svcs DRC Rep Non Cum Perp Pfd Series A,은행,,,
2021-11-16,25.190001,25.5,25.0,25.08,23.450611,69300,EFSCP,Enterprise Finl Svcs DRC Rep Non Cum Perp Pfd Series A,은행,,,
2021-11-17,25.08,25.440001,25.07,25.08,23.450611,24600,EFSCP,Enterprise Finl Svcs DRC Rep Non Cum Perp Pfd Series A,은행,,,
2021-11-18,25.450001,25.450001,25.1,25.200001,23.562817,27400,EFSCP,Enterprise Finl Svcs DRC Rep Non Cum Perp Pfd Series A,은행,,,
2021-11-19,25.219999,25.35,25.08,25.25,23.609566,24800,EFSCP,Enterprise Finl Svcs DRC Rep Non Cum Perp Pfd Series A,은행,,,
2021-11-22,25.35,25.75,25.1,25.5,23.843325,44900,EFSCP,Enterprise Finl Svcs DRC Rep Non Cum Perp Pfd Series A,은행,,,
2021-11-23,25.431,25.700001,25.41,25.450001,23.796574,24100,EFSCP,Enterprise Finl Svcs DRC Rep Non Cum Perp Pfd Series A,은행,,,
2021-11-24,25.75,25.75,25.190001,25.370001,23.721769,19800,EFSCP,Enterprise Finl Svcs DRC Rep Non Cum Perp Pfd Series A,은행,,,
2021-11-26,25.16,25.16,25.08,25.15,23.516064,6000,EFSCP,Enterprise Finl Svcs DRC Rep Non Cum Perp Pfd Series A,은행,,,
2021-11-29,25.15,25.25,24.92,25.165001,23.530088,33700,EFSCP,Enterprise Finl Svcs DRC Rep Non Cum Perp Pfd Series A,은행,,,
2021-11-30,25.16,25.51,25.16,25.200001,23.562817,30000,EFSCP,Enterprise Finl Svcs DRC Rep Non Cum Perp Pfd Series A,은행,,,
2021-12-01,25.17,25.455,25.17,25.42,23.768522,28100,EFSCP,Enterprise Finl Svcs DRC Rep Non Cum Perp Pfd Series A,은행,,,
2021-12-02,25.389999,25.450001,25.299999,25.4,23.749821,12300,EFSCP,Enterprise Finl Svcs DRC Rep Non Cum Perp Pfd Series A,은행,,,
2021-12-03,25.25,25.4,25.25,25.4,23.749821,6700,EFSCP,Enterprise Finl Svcs DRC Rep Non Cum Perp Pfd Series A,은행,,,
2021-12-06,25.389999,25.4,25.200001,25.201,23.563749,6100,EFSCP,Enterprise Finl Svcs DRC Rep Non Cum Perp Pfd Series A,은행,,,
2021-12-07,25.08,25.4,25.08,25.27,23.628269,16800,EFSCP,Enterprise Finl Svcs DRC Rep Non Cum Perp Pfd Series A,은행,,,
2021-12-08,25.379999,25.4,24.799999,24.799999,23.188801,33500,EFSCP,Enterprise Finl Svcs DRC Rep Non Cum Perp Pfd Series A,은행,,,
2021-12-09,24.889999,25.15,24.889999,25.049999,23.422558,15600,EFSCP,Enterprise Finl Svcs DRC Rep Non Cum Perp Pfd Series A,은행,-1.036281851334675,,
2021-12-10,25.17,25.4,25.129999,25.4,23.749821,6200,EFSCP,Enterprise Finl Svcs DRC Rep Non Cum Perp Pfd Series A,은행,-0.6188140493754712,,
2021-12-13,25.35,25.35,25.25,25.25,23.609566,900,EFSCP,Enterprise Finl Svcs DRC Rep Non Cum Perp Pfd Series A,은행,-0.3487450343154008,,
2021-12-14,25.299999,25.389999,25.097,25.209999,23.572163,5900,EFSCP,Enterprise Finl Svcs DRC Rep Non Cum Perp Pfd Series A,은행,0.16836371648034643,,
2021-12-15,25.33,25.4,25.275,25.389999,23.740471,20300,EFSCP,Enterprise Finl Svcs DRC Rep Non Cum Perp Pfd Series A,은행,-0.7900508222417946,,
