Date,Symbol,Name,Industry,Open,High,Low,Close,Adj Close,Volume,RS,50MA,150MA,200MA,MA150_Slope,MA200_Slope,ATR,TC,ATC,TRS,ATRS,ATRS150,IsOriginData_NaN
2018-03-19,EGRX,Eagle Pharmaceuticals Inc,제약,53.669998,54.93,51.799999,52.209999,52.209999,344800.0,,,,,,,,,,,,,False
2018-03-20,EGRX,Eagle Pharmaceuticals Inc,제약,52.459999,53.360001,51.490002,52.380001,52.380001,225800.0,,,,,,,,,,,,,False
2018-03-21,EGRX,Eagle Pharmaceuticals Inc,제약,52.23,54.599998,51.965,54.200001,54.200001,142000.0,,,,,,,,,,,,,False
2018-03-22,EGRX,Eagle Pharmaceuticals Inc,제약,53.669998,55.16,52.564999,53.25,53.25,177400.0,,,,,,,,,,,,,False
2018-03-23,EGRX,Eagle Pharmaceuticals Inc,제약,53.259998,54.009998,52.189999,52.23,52.23,215700.0,,,,,,,,,,,,,False
2018-03-26,EGRX,Eagle Pharmaceuticals Inc,제약,53.02,53.049999,51.27,52.48,52.48,197000.0,,,,,,,,,,,,,False
2018-03-27,EGRX,Eagle Pharmaceuticals Inc,제약,52.849998,53.77,52.005001,53.029999,53.029999,184800.0,,,,,,,,,,,,,False
2018-03-28,EGRX,Eagle Pharmaceuticals Inc,제약,52.919998,53.529999,51.720001,52.16,52.16,173800.0,,,,,,,,,,,,,False
2018-03-29,EGRX,Eagle Pharmaceuticals Inc,제약,52.509998,53.98,51.759998,52.689999,52.689999,166000.0,,,,,,,,,,,,,False
2018-04-02,EGRX,Eagle Pharmaceuticals Inc,제약,52.279999,53.59,51.02,51.25,51.25,198900.0,,,,,,,,,,,,,False
2018-04-03,EGRX,Eagle Pharmaceuticals Inc,제약,51.669998,51.990002,50.23,51.540001,51.540001,266700.0,,,,,,,,,,,,,False
2018-04-04,EGRX,Eagle Pharmaceuticals Inc,제약,51.279999,53.119999,50.261002,52.900002,52.900002,218000.0,,,,,,,,,,,,,False
