Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,25.370001,25.790001,24.202,24.959999,24.959999,826600,ELF,elf Beauty Inc,전문품 상점,,,
2021-03-05,25.190001,25.82,24.555,25.780001,25.780001,867700,ELF,elf Beauty Inc,전문품 상점,,,
2021-03-08,25.870001,26.68,25.790001,26.08,26.08,832300,ELF,elf Beauty Inc,전문품 상점,,,
2021-03-09,26.540001,26.9,26.25,26.33,26.33,411100,ELF,elf Beauty Inc,전문품 상점,,,
2021-03-10,27.48,27.809999,27.0,27.41,27.41,688500,ELF,elf Beauty Inc,전문품 상점,,,
2021-03-11,27.84,28.780001,27.41,28.719999,28.719999,624400,ELF,elf Beauty Inc,전문품 상점,,,
2021-03-12,28.65,29.1,28.6,28.610001,28.610001,801400,ELF,elf Beauty Inc,전문품 상점,,,
2021-03-15,28.5,28.83,27.719999,28.790001,28.790001,426000,ELF,elf Beauty Inc,전문품 상점,,,
2021-03-16,28.889999,28.959999,28.24,28.25,28.25,730700,ELF,elf Beauty Inc,전문품 상점,,,
2021-03-17,28.15,28.225,27.629999,27.870001,27.870001,578900,ELF,elf Beauty Inc,전문품 상점,,,
2021-03-18,27.870001,28.110001,27.6,27.75,27.75,721900,ELF,elf Beauty Inc,전문품 상점,,,
2021-03-19,28.120001,28.120001,27.4,27.67,27.67,539600,ELF,elf Beauty Inc,전문품 상점,,,
2021-03-22,28.889999,29.24,28.290001,28.35,28.35,770500,ELF,elf Beauty Inc,전문품 상점,,,
2021-03-23,28.16,28.315001,27.110001,27.24,27.24,558900,ELF,elf Beauty Inc,전문품 상점,,,
2021-03-24,27.559999,27.674999,26.030001,26.139999,26.139999,865600,ELF,elf Beauty Inc,전문품 상점,,,
2021-03-25,25.85,26.66,25.26,26.65,26.65,859600,ELF,elf Beauty Inc,전문품 상점,,,
2021-03-26,26.76,27.389999,26.5,27.110001,27.110001,692600,ELF,elf Beauty Inc,전문품 상점,,,
2021-03-29,27.049999,27.66,26.35,26.58,26.58,571100,ELF,elf Beauty Inc,전문품 상점,,,
2021-03-30,26.43,27.1,26.299999,27.040001,27.040001,360700,ELF,elf Beauty Inc,전문품 상점,,,
2021-03-31,27.33,27.440001,26.83,26.83,26.83,447200,ELF,elf Beauty Inc,전문품 상점,-2.74609326919778,,
2021-04-01,26.799999,27.16,26.42,26.940001,26.940001,388100,ELF,elf Beauty Inc,전문품 상점,-3.543030483201981,,
2021-04-05,27.25,27.299999,26.791,27.01,27.01,281100,ELF,elf Beauty Inc,전문품 상점,-4.6093262625385485,,
2021-04-06,27.01,27.610001,26.99,27.02,27.02,372200,ELF,elf Beauty Inc,전문품 상점,-4.348488574885778,,
2021-04-07,27.16,27.440001,26.75,27.25,27.25,410400,ELF,elf Beauty Inc,전문품 상점,-3.5963945615322013,,
2021-04-08,27.360001,27.65,26.98,27.540001,27.540001,608900,ELF,elf Beauty Inc,전문품 상점,-2.7633448677889416,,
2021-04-09,27.610001,27.9,27.08,27.85,27.85,371600,ELF,elf Beauty Inc,전문품 상점,-2.035754331313555,,
2021-04-12,28.0,28.43,27.58,28.33,28.33,514500,ELF,elf Beauty Inc,전문품 상점,-0.042977002765964833,,
2021-04-13,28.67,28.990999,28.16,28.24,28.24,493200,ELF,elf Beauty Inc,전문품 상점,-0.3719642832184622,,
2021-04-14,28.48,29.110001,28.26,29.07,29.07,609400,ELF,elf Beauty Inc,전문품 상점,3.0381923010676326,,
2021-04-15,29.25,29.389999,28.83,29.08,29.08,585800,ELF,elf Beauty Inc,전문품 상점,1.9724481381479864,,
2021-04-16,29.4,29.98,29.120001,29.9,29.9,408900,ELF,elf Beauty Inc,전문품 상점,4.427737998150838,,
2021-04-19,29.75,29.950001,29.200001,29.75,29.75,447700,ELF,elf Beauty Inc,전문품 상점,4.401147748614931,,
2021-04-20,29.76,30.07,29.25,29.57,29.57,522100,ELF,elf Beauty Inc,전문품 상점,4.513091238621159,,
2021-04-21,29.389999,30.0,29.299999,29.809999,29.809999,443500,ELF,elf Beauty Inc,전문품 상점,4.255051594778392,,
2021-04-22,30.17,30.559999,29.809999,30.219999,30.219999,566800,ELF,elf Beauty Inc,전문품 상점,6.216374028958449,,
2021-04-23,30.25,31.290001,30.120001,31.120001,31.120001,612700,ELF,elf Beauty Inc,전문품 상점,7.705718519784122,,
2021-04-26,31.190001,31.190001,30.200001,30.33,30.33,589300,ELF,elf Beauty Inc,전문품 상점,4.465992784819628,,
2021-04-27,30.629999,30.83,29.709999,30.209999,30.209999,770600,ELF,elf Beauty Inc,전문품 상점,3.684493158605706,,
2021-04-28,30.059999,30.559,29.51,30.049999,30.049999,619400,ELF,elf Beauty Inc,전문품 상점,2.961689873225337,,
2021-04-29,30.35,30.530001,29.809999,30.290001,30.290001,379500,ELF,elf Beauty Inc,전문품 상점,2.7635644946694793,,
2021-04-30,30.030001,30.639999,30.030001,30.25,30.25,460400,ELF,elf Beauty Inc,전문품 상점,2.979381809167281,,
2021-05-03,30.24,30.639999,29.459999,29.540001,29.540001,946000,ELF,elf Beauty Inc,전문품 상점,-0.013652587352375178,,
2021-05-04,29.389999,29.9,29.16,29.73,29.73,358700,ELF,elf Beauty Inc,전문품 상점,0.9434122767405073,,
