Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS
2018-03-06,24.93,24.93,24.700001,24.889999,16.501007,29800,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,,,,,,,,
2018-03-07,24.719999,24.940001,24.67,24.889999,16.501007,132500,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,,,,,,,,
2018-03-08,24.93,25.17,24.889999,25.16,16.68001,41400,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,,,,,,,,
2018-03-09,25.360001,25.99,25.23,25.98,17.223637,56400,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,,,,,,,,
2018-03-12,25.98,25.98,25.51,25.6,16.971716,65600,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,,,,,,,,
2018-03-13,25.559999,25.74,25.389999,25.41,16.845755,54400,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,,,,,,,,
2018-03-14,25.59,25.73,25.190001,25.49,16.898785,102700,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,,,,,,,,
2018-03-15,25.52,25.969999,25.379999,25.969999,17.216999,32500,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,,,,,,,,
2018-03-16,25.9,25.9,25.58,25.709999,17.044634,73500,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,,,,,,,,
2018-03-19,25.91,25.91,25.32,25.879999,17.157339,24200,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,,,,,,,,
2018-03-20,25.959999,25.98,25.75,25.950001,17.203747,24700,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,,,,,,,,
2018-03-21,25.860001,26.35,25.51,26.059999,17.397348,36200,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,,,,,,,,
2018-03-22,26.08,26.08,25.76,26.040001,17.383989,30800,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,,,,,,,,
2018-03-23,25.870001,25.870001,25.120001,25.17,16.803194,98000,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,,,,,,,,
2018-03-26,25.379999,25.379999,24.879999,25.07,16.736429,57500,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,,,,0.5085714999999998,-0.19662918586669023,,-2.0183894599124805,
2018-03-27,25.219999,25.450001,25.1,25.1,16.756466,95700,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,,,,0.516428642857143,0.058091278272301185,,1.148009550179999,
2018-03-28,25.110001,25.209999,24.889999,24.92,16.636299,55600,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,,,,0.5192857142857142,-0.3466299862448413,,-0.17224513024968843,
2018-03-29,25.059999,25.219999,24.940001,25.01,16.696381,64400,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,,,,0.4814285000000001,0.18694364791448748,,-0.6253460418148136,
2018-04-02,25.059999,25.4,24.76,24.889999,16.616268,50600,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,,,,0.4935713571428571,-0.24312796572040438,,0.9579882374685134,
2018-04-03,24.99,25.190001,24.780001,25.0,16.689705,47900,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,1.3137282542175832,,,0.49785700000000005,0.2209489873598251,,-0.44180461856138337,
2018-04-04,24.84,25.35,24.780001,25.299999,16.889986,51100,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,1.1199172478897124,,,0.4999998571428573,0.5999981714280482,,0.021265752775480595,
2018-04-05,25.41,25.67,25.389999,25.530001,17.04352,42200,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,1.0981180186721229,,,0.4842856428571431,0.474930453529563,,0.13031969447469594,
2018-04-06,25.42,25.59,25.049999,25.1,16.756466,43300,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,1.381672197404149,,,0.4950000714285715,-0.8686887635369691,,0.1535426051012072,
2018-04-09,25.219999,25.559999,25.219999,25.299999,16.889986,33300,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,1.6579845507876056,,,0.48571428571428577,0.41176264705881993,,0.25797195695433695,
2018-04-10,25.5,25.85,25.5,25.690001,17.150337,45800,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,1.276583334806003,,,0.5085715000000002,0.766857757463796,,0.028856920164687105,
2018-04-11,25.74,25.75,25.639999,25.700001,17.157015,29600,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,1.592717623184292,,,0.45642871428571447,0.021909226319494397,,0.27193046606988425,
2018-04-12,25.799999,25.799999,25.639999,25.74,17.183714,28900,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,0.7123501999896087,,,0.4450001428571433,0.08988536440276795,,-0.2992968783725367,
2018-04-13,25.75,25.75,25.51,25.51,17.030172,25900,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,0.022794959715888297,,,0.39642871428571447,-0.5801799711063086,0.04257654723384926,-0.43618131611703004,-0.07309844727422345
2018-04-16,25.76,25.85,25.5,25.58,17.076902,41200,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,-0.6183054627459939,,,0.38571442857142885,0.18148141426613426,0.06958444724333672,-0.24642793336797617,0.053470233193241144
2018-04-17,25.790001,25.809999,25.700001,25.799999,17.223774,32000,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,-0.8176022722214848,,,0.3750000000000005,0.586664000000003,0.10733964165245828,-0.01750068237193514,-0.029780497703325574
2018-04-18,25.91,25.91,25.82,25.84,17.250475,22300,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,-0.7404860538073432,,,0.36000007142857193,0.11111386684248707,0.14003563115869602,0.06157312773756346,-0.013079193561379012
2018-04-19,25.860001,25.860001,25.76,25.809999,17.230453,27900,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,-0.27138854346888674,,,0.3457145000000005,-0.08677969827704239,0.12048396357358675,0.2700592181024353,0.05087832500413876
2018-04-20,25.790001,25.790001,25.389999,25.41,17.082552,27100,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,-0.7994643945934965,,,0.3300002142857151,-1.212117394728965,0.05127043293011814,-0.631949310988909,-0.06268864274281997
2018-04-23,25.559999,25.57,25.370001,25.52,17.156498,20600,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,-0.28848987171596896,,,0.3150001428571438,0.3492061908361918,0.060431661749858624,0.3452843955072167,-0.0064679988807771205
2018-04-24,25.559999,25.690001,25.34,25.41,17.082552,38400,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,0.5154851972292818,,,0.29928600000000066,-0.36754141523492306,-0.008678308726067905,0.5835004969938129,0.03369162570624661
2018-04-25,25.41,25.540001,25.280001,25.530001,17.163219,23000,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,0.7706314999070374,,,0.2914287857142863,0.41176783448442933,-0.013189924372148878,0.28421418202316084,0.04468408910256554
2018-04-26,25.549999,25.790001,25.530001,25.75,17.311129,23300,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,0.5427948622083623,,,0.27142871428571497,0.8105222049883163,0.10675371623680008,0.026416663962523068,0.03560366473551667
2018-04-27,25.790001,25.940001,25.76,25.879999,17.398518,22200,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,0.8209977178863959,,,0.2521431428571435,0.5155761863159409,0.11416896904088014,0.42537797030829844,0.04756123711794249
2018-04-30,25.91,25.91,25.6,25.65,17.243895,37500,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,0.7257224526097783,,,0.2350002142857147,-0.9787182564879229,-0.010515031955671201,-0.28869774073989474,0.02487876133904379
2018-05-01,25.57,25.709999,25.51,25.629999,17.230453,44000,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,0.34329548094000906,,,0.2414286428571431,-0.08284435418804859,-0.017997430563352845,-0.29228563884317615,-0.015422389011889097
2018-05-02,25.629999,25.790001,25.629999,25.68,17.264065,42500,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,1.1757606616010552,,,0.24142878571428586,0.2071045499071966,-0.009624631598750797,0.8051338303133777,0.0634655187513905
2018-05-03,25.629999,25.67,25.389999,25.549999,17.176662,24600,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,0.82377680700918,,,0.24500028571428598,-0.5306157077367836,-0.006084327072356154,-0.3479086520873627,0.06977070903922389
2018-05-04,25.4,25.700001,25.4,25.66,17.250624,22600,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,-0.021386983221849398,,,0.24142892857142886,0.4556247697858449,0.013497341179051745,-0.5258324140603944,0.04981324613262258
2018-05-07,25.74,25.77,25.59,25.700001,17.277512,34400,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,-0.176533420482905,,,0.2378575714285715,0.16817206935963547,-0.016394939580974505,-0.10911678623428367,0.0432692387138834
2018-05-08,25.719999,25.719999,25.42,25.469999,17.122887,31100,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,-0.9733004389163913,,,0.2514288571428572,-0.9147796422958566,-0.08967304737657047,-0.8937339849840652,-0.024966983623375794
2018-05-09,25.530001,25.67,25.440001,25.66,17.250624,21100,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,-1.080651614580752,,,0.26071442857142885,0.72877055957777,-0.031419457529798175,-0.03389270780513509,-0.04667783547391653
2018-05-10,25.719999,25.799999,25.620001,25.67,17.257345,30700,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,-1.840668715701077,,,0.24357142857142883,0.04105571847507969,0.05809290769906216,-0.7121573502453077,-0.05240698113508786
2018-05-11,25.690001,25.790001,25.690001,25.790001,17.338009,32200,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,-1.473581318005024,,,0.23785728571428574,0.5045084057006507,0.0691859230465235,0.36311899036652784,-0.051133081502279916
2018-05-14,25.82,25.91,25.52,25.77,17.324568,22800,ETO,Eaton Vance Tax Advantaged Global Dividend Opportunities Closed Fund,다양한 금융서비스,-1.578760214727859,,,0.2407143571428573,-0.0830901830592953,0.08950386820192549,-0.1652154009525284,-0.10461278849844716
