Date,Symbol,Name,Industry,Open,High,Low,Close,Adj Close,Volume,RS,50MA,150MA,200MA,MA150_Slope,MA200_Slope,ATR,TC,ATC,TRS,ATRS,ATRS150,IsOriginData_NaN
2018-03-19,EXTR,Extreme Networks Inc,커뮤니케이션 및 네트워킹,12.63,12.63,12.14,12.44,12.44,1699300,,,,,,,,,,,,,False
2018-03-20,EXTR,Extreme Networks Inc,커뮤니케이션 및 네트워킹,12.42,12.83,12.36,12.8,12.8,1134200,,,,,,,,,,,,,False
2018-03-21,EXTR,Extreme Networks Inc,커뮤니케이션 및 네트워킹,12.81,13.05,12.68,12.83,12.83,2403200,,,,,,,,,,,,,False
2018-03-22,EXTR,Extreme Networks Inc,커뮤니케이션 및 네트워킹,12.65,12.7,12.35,12.44,12.44,1552400,,,,,,,,,,,,,False
2018-03-23,EXTR,Extreme Networks Inc,커뮤니케이션 및 네트워킹,12.45,12.5,12.13,12.13,12.13,2023400,,,,,,,,,,,,,False
2018-03-26,EXTR,Extreme Networks Inc,커뮤니케이션 및 네트워킹,12.37,12.47,11.85,12.17,12.17,1012800,,,,,,,,,,,,,False
2018-03-27,EXTR,Extreme Networks Inc,커뮤니케이션 및 네트워킹,12.28,12.34,11.47,11.56,11.56,1367600,,,,,,,,,,,,,False
2018-03-28,EXTR,Extreme Networks Inc,커뮤니케이션 및 네트워킹,11.56,11.64,10.88,10.98,10.98,1661900,,,,,,,,,,,,,False
2018-03-29,EXTR,Extreme Networks Inc,커뮤니케이션 및 네트워킹,11.11,11.3,10.94,11.07,11.07,1584600,,,,,,,,,,,,,False
2018-04-02,EXTR,Extreme Networks Inc,커뮤니케이션 및 네트워킹,11.07,11.09,10.43,10.58,10.58,1403200,,,,,,,,,,,,,False
2018-04-03,EXTR,Extreme Networks Inc,커뮤니케이션 및 네트워킹,10.7,10.9,10.26,10.33,10.33,1923800,,,,,,,,,,,,,False
2018-04-04,EXTR,Extreme Networks Inc,커뮤니케이션 및 네트워킹,10.14,10.86,10.05,10.83,10.83,1674700,,,,,,,,,,,,,False
2018-04-05,EXTR,Extreme Networks Inc,커뮤니케이션 및 네트워킹,10.94,11.0,10.63,10.79,10.79,1146300,,,,,,,,,,,,,False
2018-04-06,EXTR,Extreme Networks Inc,커뮤니케이션 및 네트워킹,10.7,10.83,10.4,10.52,10.52,1272400,,,,,,,,,,,,,False
2018-04-09,EXTR,Extreme Networks Inc,커뮤니케이션 및 네트워킹,10.64,10.8,10.4,10.58,10.58,1319800,,,,,,,0.5435714285714287,0.11038107752956725,,-0.04340961257491577,,,False
