Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS,50MA
2018-03-12,29.25,29.65,29.0,29.299999,23.956139,304000,FFBC,First Financial Bancorp,은행,,,,,,,,,
2018-03-13,29.35,29.450001,29.0,29.200001,23.874378,282400,FFBC,First Financial Bancorp,은행,,,,,,,,,
2018-03-14,29.25,29.4,28.65,28.700001,23.465567,249100,FFBC,First Financial Bancorp,은행,,,,,,,,,
2018-03-15,28.799999,29.0,28.5,28.85,23.588213,198600,FFBC,First Financial Bancorp,은행,,,,,,,,,
2018-03-16,28.85,29.35,28.65,29.049999,23.751734,818800,FFBC,First Financial Bancorp,은행,,,,,,,,,
2018-03-19,29.0,29.0,28.35,28.950001,23.669975,290900,FFBC,First Financial Bancorp,은행,,,,,,,,,
2018-03-20,29.0,29.15,28.549999,28.6,23.383806,235500,FFBC,First Financial Bancorp,은행,,,,,,,,,
2018-03-21,28.549999,28.950001,28.450001,28.65,23.424686,211400,FFBC,First Financial Bancorp,은행,,,,,,,,,
2018-03-22,28.35,28.549999,27.65,27.65,22.607069,246400,FFBC,First Financial Bancorp,은행,,,,,,,,,
2018-03-23,27.75,27.75,26.6,26.6,21.748573,385800,FFBC,First Financial Bancorp,은행,,,,,,,,,
2018-03-26,27.0,27.450001,26.799999,27.4,22.40267,276300,FFBC,First Financial Bancorp,은행,,,,,,,,,
2018-03-27,27.65,28.43,27.65,28.15,23.015882,1403700,FFBC,First Financial Bancorp,은행,,,,,,,,,
2018-03-28,28.15,28.75,27.9,28.549999,23.342928,1502800,FFBC,First Financial Bancorp,은행,,,,,,,,,
2018-03-29,28.549999,29.35,28.450001,29.35,23.997021,7526100,FFBC,First Financial Bancorp,은행,,,,,,,,,
2018-04-02,29.299999,29.35,28.700001,28.85,23.588213,1469800,FFBC,First Financial Bancorp,은행,,,,0.7592857142857145,-0.6585136406396989,,0.5426025625492189,,
2018-04-03,28.950001,29.25,28.68,29.049999,23.751734,1024400,FFBC,First Financial Bancorp,은행,,,,0.7678570714285716,0.2604638381826803,,-0.40228976773852815,,
2018-04-04,28.65,29.4,28.450001,29.299999,23.956139,710700,FFBC,First Financial Bancorp,은행,,,,0.7821427142857144,0.3196347615771254,,-0.25909765707544224,,
2018-04-05,29.6,29.6,29.0,29.15,23.833496,574900,FFBC,First Financial Bancorp,은행,,,,0.7892855714285716,-0.19004401629756087,,-0.5346547753524279,,
2018-04-06,28.75,29.0,27.950001,28.15,23.015882,653300,FFBC,First Financial Bancorp,은행,,,,0.8249997857142856,-1.2121215269579726,,-0.18989015831979628,,
2018-04-09,28.4,28.700001,28.1,28.1,22.975004,917600,FFBC,First Financial Bancorp,은행,0.44699590408798784,,,0.8178570714285713,-0.061135376518370026,,-0.21492606662285305,,
2018-04-10,28.450001,28.799999,28.200001,28.549999,23.342928,1128000,FFBC,First Financial Bancorp,은행,0.27467187539405025,,,0.8249997857142856,0.5454534750095587,,-0.19254736228955027,,
2018-04-11,28.5,28.799999,28.299999,28.700001,23.465567,364800,FFBC,First Financial Bancorp,은행,1.2185705503607869,,,0.8249997857142856,0.18182065328675057,,0.43184189303714043,,
2018-04-12,28.799999,29.299999,28.450001,29.1,23.792614,409700,FFBC,First Financial Bancorp,은행,1.559883022083075,,,0.8142853571428569,0.4912270575557285,,0.10204481478042382,,
2018-04-13,29.299999,29.299999,28.700001,28.799999,23.547325,366500,FFBC,First Financial Bancorp,은행,0.644290757001631,,,0.7749994999999998,-0.38709831425697927,,-0.24309965926770075,,
2018-04-16,28.9,29.15,28.75,29.049999,23.751734,448700,FFBC,First Financial Bancorp,은행,0.5648804847675937,,,0.7428565714285712,0.3365387204144004,,-0.09137062721971001,,
2018-04-17,29.15,29.18,27.860001,28.799999,23.547325,801500,FFBC,First Financial Bancorp,은행,-1.338727405704132,,,0.7635707857142854,-0.3274090689131545,,-0.9315737512850926,,
2018-04-18,28.75,29.049999,28.35,28.75,23.506449,635200,FFBC,First Financial Bancorp,은행,-1.6317859536479018,,,0.752856428571428,-0.06641239697570833,,-0.11595313608063194,,
2018-04-19,28.65,29.35,28.65,29.15,23.833496,553900,FFBC,First Financial Bancorp,은행,0.19077703918775057,,,0.7385707857142852,0.5415865449012464,-0.01614352068799672,0.8984254612807241,-0.08574915925744471,
2018-04-20,28.6,30.799999,28.6,30.799999,25.182562,961300,FFBC,First Financial Bancorp,은행,6.244274892398538,,,0.8492850714285708,1.9428093763906156,0.16966526624274003,2.5229774601306714,0.05570619056980191,
2018-04-23,30.700001,31.65,30.700001,31.4,25.673128,565700,FFBC,First Financial Bancorp,은행,7.573758879993475,,,0.8764278571428564,0.6845982759562145,0.1999605832265639,0.6806764806272393,0.13306092259592814,
