Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS
2018-03-06,35.720001,36.889999,35.720001,36.799999,32.612827,3900,FMAO,Farmers & Merchants Bancorp Inc,은행,,,,,,,,
2018-03-07,36.380001,37.5,36.27,36.560001,32.400135,7100,FMAO,Farmers & Merchants Bancorp Inc,은행,,,,,,,,
2018-03-08,36.200001,38.279999,35.919998,37.549999,33.277496,6600,FMAO,Farmers & Merchants Bancorp Inc,은행,,,,,,,,
2018-03-09,37.98,38.560001,37.669998,38.560001,34.172565,2900,FMAO,Farmers & Merchants Bancorp Inc,은행,,,,,,,,
2018-03-12,38.43,38.509998,37.09,38.360001,33.995327,11600,FMAO,Farmers & Merchants Bancorp Inc,은행,,,,,,,,
2018-03-13,38.169998,38.169998,37.490002,37.700001,33.410423,12600,FMAO,Farmers & Merchants Bancorp Inc,은행,,,,,,,,
2018-03-14,36.709999,37.889999,36.689999,36.970001,32.763493,2000,FMAO,Farmers & Merchants Bancorp Inc,은행,,,,,,,,
2018-03-15,37.360001,38.0,36.669998,37.59,33.312946,3600,FMAO,Farmers & Merchants Bancorp Inc,은행,,,,,,,,
2018-03-16,37.490002,40.98,37.040001,40.970001,36.308369,58400,FMAO,Farmers & Merchants Bancorp Inc,은행,,,,,,,,
2018-03-19,40.650002,42.970001,38.400002,42.599998,37.752899,17600,FMAO,Farmers & Merchants Bancorp Inc,은행,,,,,,,,
2018-03-20,42.200001,43.0,40.990002,42.450001,37.619968,20700,FMAO,Farmers & Merchants Bancorp Inc,은행,,,,,,,,
2018-03-21,41.900002,41.900002,40.75,40.759998,36.122253,4700,FMAO,Farmers & Merchants Bancorp Inc,은행,,,,,,,,
2018-03-22,40.869999,40.869999,39.84,40.080002,35.519634,3900,FMAO,Farmers & Merchants Bancorp Inc,은행,,,,,,,,
2018-03-23,40.349998,41.279999,38.380001,40.220001,35.6437,16100,FMAO,Farmers & Merchants Bancorp Inc,은행,,,,,,,,
2018-03-26,40.91,41.919998,39.830002,40.34,35.865978,13700,FMAO,Farmers & Merchants Bancorp Inc,은행,,,,1.9792853571428566,0.06062743786132044,,-1.7611328361844698,
2018-03-27,40.549999,41.279999,39.700001,39.900002,35.474777,3900,FMAO,Farmers & Merchants Bancorp Inc,은행,,,,2.0042852142857135,-0.21952863637564135,,0.8703896355320565,
2018-03-28,41.470001,42.130001,39.560001,40.580002,36.079353,6300,FMAO,Farmers & Merchants Bancorp Inc,은행,,,,2.0192851428571426,0.3367528367181709,,0.5111376927133238,
