Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,15.54,15.9,15.05,15.1,14.075448,78600,FMNB,Farmers National Banc Corp,은행,,,
2021-03-05,15.38,15.82,15.25,15.73,14.662701,76400,FMNB,Farmers National Banc Corp,은행,,,
2021-03-08,15.89,16.58,15.74,16.51,15.389778,87500,FMNB,Farmers National Banc Corp,은행,,,
2021-03-09,16.450001,16.58,15.88,16.219999,15.119452,97400,FMNB,Farmers National Banc Corp,은행,,,
2021-03-10,16.17,16.940001,15.81,16.91,15.762635,89200,FMNB,Farmers National Banc Corp,은행,,,
2021-03-11,16.780001,16.780001,16.17,16.43,15.415484,77000,FMNB,Farmers National Banc Corp,은행,,,
2021-03-12,16.5,16.83,16.23,16.610001,15.584369,42300,FMNB,Farmers National Banc Corp,은행,,,
2021-03-15,16.6,18.26,16.01,16.17,15.171537,55900,FMNB,Farmers National Banc Corp,은행,,,
2021-03-16,16.25,16.33,15.92,16.23,15.227833,55700,FMNB,Farmers National Banc Corp,은행,,,
2021-03-17,16.27,16.43,16.110001,16.25,15.246598,33600,FMNB,Farmers National Banc Corp,은행,,,
2021-03-18,16.309999,16.9,16.309999,16.440001,15.424864,68700,FMNB,Farmers National Banc Corp,은행,,,
2021-03-19,16.34,16.5,16.01,16.190001,15.190304,310100,FMNB,Farmers National Banc Corp,은행,,,
2021-03-22,16.139999,16.280001,15.47,15.92,14.936975,45000,FMNB,Farmers National Banc Corp,은행,,,
2021-03-23,15.68,15.97,15.56,15.75,14.77747,63500,FMNB,Farmers National Banc Corp,은행,,,
2021-03-24,15.93,16.73,15.74,15.74,14.768087,69100,FMNB,Farmers National Banc Corp,은행,,,
2021-03-25,15.71,16.280001,15.7,16.040001,15.049566,46200,FMNB,Farmers National Banc Corp,은행,,,
2021-03-26,16.200001,16.540001,16.07,16.5,15.481162,38000,FMNB,Farmers National Banc Corp,은행,,,
2021-03-29,16.26,16.67,16.25,16.25,15.246598,51600,FMNB,Farmers National Banc Corp,은행,,,
2021-03-30,16.41,16.879999,16.299999,16.459999,15.443628,64000,FMNB,Farmers National Banc Corp,은행,,,
2021-03-31,16.58,16.870001,16.5,16.700001,15.668811,147700,FMNB,Farmers National Banc Corp,은행,1.6014252056628875,,
2021-04-01,16.59,16.790001,16.41,16.790001,15.753255,76900,FMNB,Farmers National Banc Corp,은행,0.7483918811970858,,
2021-04-05,16.82,16.940001,16.6,16.870001,15.828317,100900,FMNB,Farmers National Banc Corp,은행,-0.2636132754395559,,
2021-04-06,16.799999,16.950001,16.65,16.690001,15.659428,95100,FMNB,Farmers National Banc Corp,은행,-0.9645837263383195,,
2021-04-07,16.799999,17.110001,16.709999,16.969999,15.922138,117500,FMNB,Farmers National Banc Corp,은행,0.5801085537238571,,
2021-04-08,16.92,17.07,16.68,16.92,15.875226,84300,FMNB,Farmers National Banc Corp,은행,0.11350407723729194,,
2021-04-09,17.0,17.09,16.76,16.790001,15.753255,43600,FMNB,Farmers National Banc Corp,은행,-1.2920782819193621,,
2021-04-12,16.799999,16.940001,16.68,16.73,15.696959,42700,FMNB,Farmers National Banc Corp,은행,-1.4349174380230645,,
2021-04-13,16.610001,16.700001,16.370001,16.42,15.406102,39700,FMNB,Farmers National Banc Corp,은행,-3.4504170601112216,,
2021-04-14,16.41,16.629999,16.4,16.49,15.471778,40900,FMNB,Farmers National Banc Corp,은행,-2.5247895683526367,,
2021-04-15,16.49,16.85,16.379999,16.809999,15.77202,47000,FMNB,Farmers National Banc Corp,은행,-1.6537579185488926,,
