Date,Symbol,Name,Industry,Open,High,Low,Close,Adj Close,Volume,RS,50MA,150MA,200MA,MA150_Slope,MA200_Slope,ATR,TC,ATC,TRS,ATRS,ATRS150,IsOriginData_NaN
2020-06-26,FTHY,First Trust High Yield Opportunities 2027 Term Closed End Fd,다양한 금융서비스,20.0,20.09,20.0,20.0,15.915561,1927800.0,,,,,,,,,,,,,False
2020-06-29,FTHY,First Trust High Yield Opportunities 2027 Term Closed End Fd,다양한 금융서비스,20.049999,20.275999,20.01,20.18,16.058805,426800.0,,,,,,,,,,,,,False
2020-06-30,FTHY,First Trust High Yield Opportunities 2027 Term Closed End Fd,다양한 금융서비스,20.25,20.290001,20.16,20.219999,16.090635,103200.0,,,,,,,,,,,,,False
2020-07-01,FTHY,First Trust High Yield Opportunities 2027 Term Closed End Fd,다양한 금융서비스,20.25,20.5,20.15,20.43,16.257751,214600.0,,,,,,,,,,,,,False
2020-07-02,FTHY,First Trust High Yield Opportunities 2027 Term Closed End Fd,다양한 금융서비스,20.450001,20.584,20.389999,20.49,16.305494,106300.0,,,,,,,,,,,,,False
2020-07-06,FTHY,First Trust High Yield Opportunities 2027 Term Closed End Fd,다양한 금융서비스,20.57,20.65,20.486,20.620001,16.408943,130400.0,,,,,,,,,,,,,False
2020-07-07,FTHY,First Trust High Yield Opportunities 2027 Term Closed End Fd,다양한 금융서비스,20.629999,20.75,20.549999,20.73,16.496479,124400.0,,,,,,,,,,,,,False
2020-07-08,FTHY,First Trust High Yield Opportunities 2027 Term Closed End Fd,다양한 금융서비스,20.700001,20.940001,20.627001,20.9,16.631762,131600.0,,,,,,,,,,,,,False
2020-07-09,FTHY,First Trust High Yield Opportunities 2027 Term Closed End Fd,다양한 금융서비스,20.950001,20.950001,20.58,20.65,16.432817,98500.0,,,,,,,,,,,,,False
2020-07-10,FTHY,First Trust High Yield Opportunities 2027 Term Closed End Fd,다양한 금융서비스,20.700001,20.76,20.57,20.639999,16.424856,76800.0,,,,,,,,,,,,,False
2020-07-13,FTHY,First Trust High Yield Opportunities 2027 Term Closed End Fd,다양한 금융서비스,20.75,20.799999,20.66,20.66,16.440773,95200.0,,,,,,,,,,,,,False
2020-07-14,FTHY,First Trust High Yield Opportunities 2027 Term Closed End Fd,다양한 금융서비스,20.639999,20.75,20.450001,20.629999,16.416897,153300.0,,,,,,,,,,,,,False
2020-07-15,FTHY,First Trust High Yield Opportunities 2027 Term Closed End Fd,다양한 금융서비스,20.700001,21.24,20.6,21.16,16.838665,147500.0,,,,,,,,,,,,,False
2020-07-16,FTHY,First Trust High Yield Opportunities 2027 Term Closed End Fd,다양한 금융서비스,21.1,21.25,21.02,21.219999,16.886408,88200.0,,,,,,,,,,,,,False
2020-07-17,FTHY,First Trust High Yield Opportunities 2027 Term Closed End Fd,다양한 금융서비스,21.219999,21.299999,20.976999,21.059999,16.759083,101700.0,,,,,,,0.274285857142857,-0.5833330295140479,,-0.7677271430492733,,,False
2020-07-20,FTHY,First Trust High Yield Opportunities 2027 Term Closed End Fd,다양한 금융서비스,21.120001,21.200001,20.75,20.91,16.639717,63200.0,,,,,,,0.28671457142857143,-0.5231648996862025,,-1.0774338939737018,,,False
2020-07-21,FTHY,First Trust High Yield Opportunities 2027 Term Closed End Fd,다양한 금융서비스,20.809999,21.200001,20.73,20.950001,16.671551,143600.0,,,,,,,0.3110002857142857,0.12862046061510338,,0.011129859038882958,,,False
2020-07-22,FTHY,First Trust High Yield Opportunities 2027 Term Closed End Fd,다양한 금융서비스,21.059999,21.200001,20.790001,20.969999,16.687464,122100.0,,,,,,,0.3152859999999999,0.06342812557487829,,-0.3405975432170557,,,False
2020-07-23,FTHY,First Trust High Yield Opportunities 2027 Term Closed End Fd,다양한 금융서비스,21.25,21.25,20.958,21.165001,16.842644,115600.0,,,,,,,0.32228592857142857,0.6050589948632532,,1.466336095581817,,,False
2020-07-24,FTHY,First Trust High Yield Opportunities 2027 Term Closed End Fd,다양한 금융서비스,21.200001,21.799999,21.200001,21.719999,17.2843,69700.0,3.258000821099083,,,,,,0.355928642857143,1.5592956934987598,,1.9980829485572433,,,False
2020-07-27,FTHY,First Trust High Yield Opportunities 2027 Term Closed End Fd,다양한 금융서비스,21.0,21.1,20.6,20.6,16.39303,271300.0,-2.5713936397726123,,,,,,0.4216427857142858,-2.6562745479035312,,-3.1889126612482626,,,False
2020-07-28,FTHY,First Trust High Yield Opportunities 2027 Term Closed End Fd,다양한 금융서비스,20.6,20.610001,20.059999,20.07,15.971265,160100.0,-4.185488425543326,,,,,,0.4385715000000001,-1.2084688585555627,,-0.7328981164221332,,,False
2020-07-29,FTHY,First Trust High Yield Opportunities 2027 Term Closed End Fd,다양한 금융서비스,20.059999,20.1,20.0,20.066,15.968081,126300.0,-5.115354466050393,,,,,,0.4192857142857144,-0.00954003407155344,,-0.9435886540543313,,,False
2020-07-30,FTHY,First Trust High Yield Opportunities 2027 Term Closed End Fd,다양한 금융서비스,20.459999,20.459999,20.01,20.038,15.945798,114200.0,-4.608831937334346,,,,,,0.4378570714285713,-0.06394780814808972,,0.21964844907896452,,,False
2020-07-31,FTHY,First Trust High Yield Opportunities 2027 Term Closed End Fd,다양한 금융서비스,20.0,20.34,20.0,20.309999,16.162256,99600.0,-3.7991462924845787,,,,,,0.4507142142857141,0.603484406257436,,-0.008882104466778284,,,False
2020-08-03,FTHY,First Trust High Yield Opportunities 2027 Term Closed End Fd,다양한 금융서비스,20.370001,20.6,20.110001,20.476,16.294355,81500.0,-3.5026326426027765,,,,,,0.4642856428571428,0.3575406703908678,,-0.2657838929899543,,,False
