Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,10.5,10.5,9.81,10.002,10.002,24400,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,,,
2021-03-05,9.87,9.87,9.08,9.7,9.7,20600,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,,,
2021-03-08,9.85,9.85,9.0,9.49,9.49,8700,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,,,
2021-03-09,9.77,9.77,9.41,9.54,9.54,3500,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,,,
2021-03-10,9.58,9.8,9.54,9.54,9.54,7800,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,,,
2021-03-11,9.55,10.05,9.55,9.77,9.77,5500,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,,,
2021-03-12,9.77,10.0,9.77,9.91,9.91,4000,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,,,
2021-03-15,9.628,10.02,9.628,9.9,9.9,7900,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,,,
2021-03-16,9.893,10.04,9.87,9.89,9.89,10900,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,,,
2021-03-17,10.43,10.43,9.905,10.03,10.03,9400,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,,,
2021-03-18,9.97,9.97,9.77,9.85,9.85,4200,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,,,
2021-03-19,10.21,10.384,9.8,10.384,10.384,3400,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,,,
2021-03-22,11.0,11.0,10.04,10.259,10.259,6400,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,,,
2021-03-23,10.97,10.97,9.84,9.84,9.84,3300,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,,,
2021-03-24,9.915,9.915,8.82,9.34,9.34,32100,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,,,
2021-03-25,9.54,9.9,9.35,9.9,9.9,10100,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,,,
2021-03-26,10.32,10.73,10.32,10.48,10.48,11600,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,,,
2021-03-29,10.71,10.71,10.71,10.71,10.71,400,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,,,
2021-03-30,10.71,10.71,10.36,10.61,10.61,7900,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,,,
2021-03-31,10.6,11.018,10.6,10.79,10.79,7300,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,6.44175155151494,,
2021-04-01,10.7,11.43,10.7,11.35,11.35,5800,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,10.291516885028717,,
2021-04-05,11.68,11.68,10.75,11.18,11.18,19600,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,6.6417049234432035,,
2021-04-06,10.77,11.055,10.53,10.71,10.71,35400,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,1.9695754524512443,,
2021-04-07,10.75,10.75,10.38,10.69,10.69,600,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,1.317835349804919,,
2021-04-08,10.29,10.29,9.62,10.02,10.02,20000,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,-5.429044332354294,,
2021-04-09,9.91,10.57,9.91,10.025,10.025,600,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,-6.012125300295478,,
2021-04-12,10.0,10.21,9.65,10.1,10.1,21500,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,-5.1685564721954735,,
2021-04-13,10.1,10.1,10.1,10.1,10.1,0,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,-5.3778285062023095,,
2021-04-14,9.96,9.99,9.77,9.99,9.99,20500,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,-5.889570718460502,,
2021-04-15,9.74,9.9,9.58,9.777,9.777,1300,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,-8.588019868578911,,
2021-04-16,9.76,9.76,9.45,9.5,9.5,5900,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,-11.070922054047328,,
2021-04-19,9.65,9.65,8.74,8.845,8.845,19700,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,-15.888792775090154,,
2021-04-20,8.65,9.0,8.17,8.68,8.68,59000,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,-16.054639507923262,,
2021-04-21,8.99,9.01,8.543,8.6,8.6,16000,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,-16.837566995042064,,
2021-04-22,8.6,8.8,8.44,8.65,8.65,19900,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,-15.045646661738044,,
2021-04-23,8.44,9.23,8.08,9.23,9.23,27900,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,-9.734986252633915,,
2021-04-26,8.838,9.564,8.64,9.564,9.564,32200,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,-5.956648768324568,,
2021-04-27,9.33,10.459,9.262,10.0,10.0,62000,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,-1.0196448350185627,,
2021-04-28,10.07,10.07,9.743,10.07,10.07,26800,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,0.3250966595465421,,
2021-04-29,10.06,10.11,9.612,10.11,10.11,33900,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,0.708731123432571,,
2021-04-30,9.98,10.18,9.98,10.179,10.179,17700,GAME,Engine Gaming and Media Inc,소프트웨어 및 IT서비스,2.971040252369095,,
