Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS,50MA
2018-03-12,21.290001,21.469999,21.219999,21.42,15.139451,51200,GBAB,Guggenheim Taxable Muni Bd & Inv Grade Dbt Trust,다양한 금융서비스,,,,,,,,,
2018-03-13,21.370001,21.9,21.370001,21.799999,15.408032,101200,GBAB,Guggenheim Taxable Muni Bd & Inv Grade Dbt Trust,다양한 금융서비스,,,,,,,,,
2018-03-14,21.58,21.889999,21.530001,21.84,15.526034,79200,GBAB,Guggenheim Taxable Muni Bd & Inv Grade Dbt Trust,다양한 금융서비스,,,,,,,,,
2018-03-15,21.73,21.76,21.700001,21.700001,15.426511,30400,GBAB,Guggenheim Taxable Muni Bd & Inv Grade Dbt Trust,다양한 금융서비스,,,,,,,,,
2018-03-16,21.700001,21.77,21.700001,21.73,15.447841,27700,GBAB,Guggenheim Taxable Muni Bd & Inv Grade Dbt Trust,다양한 금융서비스,,,,,,,,,
2018-03-19,21.629999,21.84,21.59,21.67,15.405189,28100,GBAB,Guggenheim Taxable Muni Bd & Inv Grade Dbt Trust,다양한 금융서비스,,,,,,,,,
2018-03-20,21.559999,21.59,21.370001,21.370001,15.191912,39300,GBAB,Guggenheim Taxable Muni Bd & Inv Grade Dbt Trust,다양한 금융서비스,,,,,,,,,
2018-03-21,21.389999,21.4,21.27,21.34,15.17059,29100,GBAB,Guggenheim Taxable Muni Bd & Inv Grade Dbt Trust,다양한 금융서비스,,,,,,,,,
2018-03-22,21.370001,21.469999,21.17,21.32,15.15637,62700,GBAB,Guggenheim Taxable Muni Bd & Inv Grade Dbt Trust,다양한 금융서비스,,,,,,,,,
2018-03-23,21.379999,21.559999,21.219999,21.299999,15.142153,46400,GBAB,Guggenheim Taxable Muni Bd & Inv Grade Dbt Trust,다양한 금융서비스,,,,,,,,,
2018-03-26,21.190001,21.290001,21.190001,21.290001,15.135043,31000,GBAB,Guggenheim Taxable Muni Bd & Inv Grade Dbt Trust,다양한 금융서비스,,,,,,,,,
